Date,"Baseline (12,26)","Winner (14,30)","RunnerUp1 (10,35)","RunnerUp2 (8,21)"
2023-01-01,10132.178538252807,10351.690780653349,9991.53395634529,9571.054124714872
2023-01-02,10105.261316460079,10469.493718798796,9938.43744050472,9294.126980806062
2023-01-03,10276.972073742836,10668.793929274469,9942.35521587428,9350.66565344628
2023-01-04,10676.497033946378,11003.95923361613,10249.302849073803,10278.195121954299
2023-01-05,10622.539786305479,11064.11593784285,9812.954810299394,10390.611605896527
2023-01-06,10568.859589618593,11074.031439902525,9808.68736644506,9914.48039303628
2023-01-07,10994.576640020883,11694.423428386814,10185.246934018716,10496.355706189543
2023-01-08,11214.312799980033,12054.760641329322,10213.203422170194,10237.781503672644
2023-01-09,11091.66343483369,12109.72538448579,10242.769591080967,10445.098483384194
2023-01-10,11250.98410049766,12198.776344728562,10575.63096183276,10460.417908698388
2023-01-11,11129.637260435002,12305.347252523494,10128.309612583778,10304.83935774828
2023-01-12,11008.955889777631,12205.410458164642,9870.487645146583,10589.730359627163
2023-01-13,11084.356853855974,12676.788569505507,9783.861846589716,10258.473591030328
2023-01-14,10563.037314508561,11923.515744842598,9163.77567326507,9295.728644199628
2023-01-15,10115.978458627758,11707.7044493531,8948.268396196523,8698.355187562169
2023-01-16,9981.869028060744,11583.001171369528,8801.777622250796,8840.733853263217
2023-01-17,9737.105833515136,11175.070028823757,8551.058670396544,8197.54183849229
2023-01-18,9821.39200656645,11198.88080607216,8279.529438172649,7577.456277239588
2023-01-19,9606.297610244355,10890.902158867213,8213.31629270636,7290.835751696677
2023-01-20,9274.80740655564,10568.852922115593,7741.318517651492,7133.309022754044
2023-01-21,9622.067503915952,11070.406424777508,8026.723984623125,7682.525265619127
2023-01-22,9575.454287817438,10922.150125513255,8035.114733564682,7533.302283157548
2023-01-23,9599.279982175884,10949.972080181871,8273.572566570992,7459.432434158142
2023-01-24,9265.04548757262,10904.797044994708,7784.156187195309,7430.463332254969
2023-01-25,9146.364256328314,11043.976071421333,7220.121423274185,6907.4866965939755
2023-01-26,9179.044807976918,11161.004370348439,7271.899819382278,6852.7431235710965
2023-01-27,8922.262503301974,10842.876355988343,7341.231029729962,6679.645527581285
2023-01-28,9013.202221845877,10981.692745503877,7594.956857937499,6843.218404885165
2023-01-29,8885.070834260783,10922.128087765854,7524.992262855641,6630.176939244854
2023-01-30,8827.385900207582,10683.382934658108,7405.34149759623,6588.351477347797
2023-01-31,8701.660397306361,10485.575328078254,7425.42419051282,5991.995297693576
2023-02-01,9111.569118697604,10744.92073783003,7613.886527201094,6182.9613724723895
2023-02-02,9115.783851589806,10817.707311095466,7690.532449141379,6268.991639232059
2023-02-03,8882.029873525422,10634.704450868334,7581.701945023026,5906.168284221839
2023-02-04,9071.782209464664,10799.372289115907,7897.098015101172,6054.233039305595
2023-02-05,8802.15894262361,10720.56555062459,8110.778989039726,5936.254046593101
2023-02-06,8855.161933791698,10594.450794614904,8221.643845977518,5913.383279380716
2023-02-07,8428.416156244504,9828.822000917538,7762.370998376693,5628.967193454788
