chand_period,chand_mult,universe,window,step,equity
10,1,Base5,0,0,1.000000
10,1,Base5,0,10,1.309725
10,1,Base5,0,20,0.789150
10,1,Base5,0,30,0.789150
10,1,Base5,0,40,0.789150
10,1,Base5,0,50,0.789150
10,1,Base5,0,60,0.789150
10,1,Base5,0,70,0.478283
10,1,Base5,0,80,0.743331
10,1,Base5,0,90,0.698891
10,1,Base5,0,100,0.594903
10,1,Base5,0,110,0.684889
10,1,Base5,0,120,0.741399
10,1,Base5,0,130,0.834169
10,1,Base5,0,140,0.834169
10,1,Base5,0,150,0.834169
10,1,Base5,1,0,1.000000
10,1,Base5,1,10,1.405825
10,1,Base5,1,20,1.405825
10,1,Base5,1,30,1.405825
10,1,Base5,1,40,1.311604
10,1,Base5,1,50,1.236135
10,1,Base5,1,60,1.554703
10,1,Base5,1,70,2.219057
10,1,Base5,1,80,2.040680
10,1,Base5,1,90,2.040680
10,1,Base5,1,100,2.040680
10,1,Base5,1,110,6.080730
10,1,Base5,1,120,4.718821
10,1,Base5,1,130,5.023152
10,1,Base5,1,140,5.023152
10,1,Base5,1,150,5.023152
10,1,Base5,1,160,5.335354
10,1,Base5,1,170,5.556788
10,1,Base5,2,0,1.000000
10,1,Base5,2,10,0.807603
10,1,Base5,2,20,0.841866
10,1,Base5,2,30,0.841866
10,1,Base5,2,40,0.737490
10,1,Base5,2,50,0.694807
10,1,Base5,2,60,0.507535
10,1,Base5,2,70,0.533717
10,1,Base5,2,80,0.533717
10,1,Base5,2,90,0.682830
10,1,Base5,2,100,0.607844
10,1,Base5,2,110,0.815149
10,1,Base5,2,120,0.779643
10,1,Base5,2,130,0.779643
10,1,Base5,2,140,0.779643
10,1,Base5,2,150,0.779643
10,1,Base5,2,160,1.223745
10,1,Base5,3,0,1.000000
10,1,Base5,3,10,2.249995
10,1,Base5,3,20,1.908434
10,1,Base5,3,30,3.093503
10,1,Base5,3,40,2.517108
10,1,Base5,3,50,2.297906
10,1,Base5,3,60,2.513891
10,1,Base5,3,70,2.513891
10,1,Base5,3,80,2.513891
10,1,Base5,3,90,2.366417
10,1,Base5,3,100,2.239486
10,1,Base5,3,110,4.040629
10,1,Base5,3,120,3.906893
10,1,Base5,3,130,3.496469
10,1,Base5,3,140,3.496469
10,1,Base5,4,0,1.000000
10,1,Base5,4,10,1.000000
10,1,Base5,4,20,1.031700
10,1,Base5,4,30,1.013608
10,1,Base5,4,40,0.962490
10,1,Base5,4,50,0.962490
10,1,Base5,4,60,0.962490
10,1,Base5,4,70,0.938668
10,1,Base5,4,80,1.043122
10,1,Base5,4,90,1.043122
10,1,Base5,4,100,1.043122
10,1,Base5,4,110,1.043122
10,1,Base5,4,120,1.043122
10,1,Base5,4,130,1.118189
10,1,Base5,4,140,1.118189
10,1,Base5,4,150,1.118189
10,1,Base5,4,160,1.118189
10,1,Base5,4,170,1.054254
10,1,Base5,4,180,1.065415
10,1,Base5,5,0,1.000000
10,1,Base5,5,10,1.140357
10,1,Base5,5,20,1.354144
10,1,Base5,5,30,1.354144
10,1,Base5,5,40,1.269184
10,1,Base5,5,50,1.269184
10,1,Base5,5,60,1.258018
10,1,Base5,5,70,1.500419
10,1,Base5,5,80,1.507286
10,1,Base5,5,90,1.610774
10,1,Base5,5,100,1.610774
10,1,Base5,5,110,1.610774
10,1,Base5,5,120,1.450948
10,1,Base5,5,130,1.816878
10,1,Base5,5,140,2.041227
10,1,Base5,5,150,1.973353
10,1,NoDOGE,0,0,1.000000
10,1,NoDOGE,0,10,1.309725
10,1,NoDOGE,0,20,0.789150
10,1,NoDOGE,0,30,0.789150
10,1,NoDOGE,0,40,0.789150
10,1,NoDOGE,0,50,0.789150
10,1,NoDOGE,0,60,0.789150
10,1,NoDOGE,0,70,0.478283
10,1,NoDOGE,0,80,0.791971
10,1,NoDOGE,0,90,0.791971
10,1,NoDOGE,0,100,0.674133
10,1,NoDOGE,0,110,0.776103
10,1,NoDOGE,0,120,0.840140
10,1,NoDOGE,0,130,0.945265
10,1,NoDOGE,0,140,0.945265
10,1,NoDOGE,0,150,0.945265
10,1,NoDOGE,1,0,1.000000
10,1,NoDOGE,1,10,1.405825
10,1,NoDOGE,1,20,1.405825
10,1,NoDOGE,1,30,1.405825
10,1,NoDOGE,1,40,1.405825
10,1,NoDOGE,1,50,1.324935
10,1,NoDOGE,1,60,1.324935
10,1,NoDOGE,1,70,1.324935
10,1,NoDOGE,1,80,1.529951
10,1,NoDOGE,1,90,1.529951
10,1,NoDOGE,1,100,1.506734
10,1,NoDOGE,1,110,1.502676
10,1,NoDOGE,1,120,1.662552
10,1,NoDOGE,1,130,1.662552
10,1,NoDOGE,1,140,1.662552
10,1,NoDOGE,1,150,1.662552
10,1,NoDOGE,1,160,1.662552
10,1,NoDOGE,1,170,1.801023
10,1,NoDOGE,1,180,2.716095
10,1,NoDOGE,2,0,1.000000
10,1,NoDOGE,2,10,0.881410
10,1,NoDOGE,2,20,0.881410
10,1,NoDOGE,2,30,0.881410
10,1,NoDOGE,2,40,0.936308
10,1,NoDOGE,2,50,0.850372
10,1,NoDOGE,2,60,0.914346
10,1,NoDOGE,2,70,0.840013
10,1,NoDOGE,2,80,0.764499
10,1,NoDOGE,2,90,0.764499
10,1,NoDOGE,2,100,0.764499
10,1,NoDOGE,2,110,1.048039
10,1,NoDOGE,2,120,1.405472
10,1,NoDOGE,2,130,1.405472
10,1,NoDOGE,2,140,1.405472
10,1,NoDOGE,2,150,1.405472
10,1,NoDOGE,2,160,1.405472
10,1,NoDOGE,2,170,2.206061
10,1,NoDOGE,3,0,1.000000
10,1,NoDOGE,3,10,2.249995
10,1,NoDOGE,3,20,1.908434
10,1,NoDOGE,3,30,3.093503
10,1,NoDOGE,3,40,2.517108
10,1,NoDOGE,3,50,2.297906
10,1,NoDOGE,3,60,2.513891
10,1,NoDOGE,3,70,2.513891
10,1,NoDOGE,3,80,2.513891
10,1,NoDOGE,3,90,2.366417
10,1,NoDOGE,3,100,2.239486
10,1,NoDOGE,3,110,4.040629
10,1,NoDOGE,3,120,4.334653
10,1,NoDOGE,3,130,4.312206
10,1,NoDOGE,3,140,4.312206
10,1,NoDOGE,4,0,1.000000
10,1,NoDOGE,4,10,1.000000
10,1,NoDOGE,4,20,1.031700
10,1,NoDOGE,4,30,1.013608
10,1,NoDOGE,4,40,0.962490
10,1,NoDOGE,4,50,0.962490
10,1,NoDOGE,4,60,0.962490
10,1,NoDOGE,4,70,1.124863
10,1,NoDOGE,4,80,1.124863
10,1,NoDOGE,4,90,1.124863
10,1,NoDOGE,4,100,1.124863
10,1,NoDOGE,4,110,1.124863
10,1,NoDOGE,4,120,1.124863
10,1,NoDOGE,4,130,1.205813
10,1,NoDOGE,4,140,1.205813
10,1,NoDOGE,4,150,1.205813
10,1,NoDOGE,4,160,1.205813
10,1,NoDOGE,4,170,1.205813
10,1,NoDOGE,4,180,1.218578
10,1,NoDOGE,5,0,1.000000
10,1,NoDOGE,5,10,1.140357
10,1,NoDOGE,5,20,1.354144
10,1,NoDOGE,5,30,1.354144
10,1,NoDOGE,5,40,1.269184
10,1,NoDOGE,5,50,1.269184
10,1,NoDOGE,5,60,1.258018
10,1,NoDOGE,5,70,1.446626
10,1,NoDOGE,5,80,1.453246
10,1,NoDOGE,5,90,1.553024
10,1,NoDOGE,5,100,1.553024
10,1,NoDOGE,5,110,1.553024
10,1,NoDOGE,5,120,1.398929
10,1,NoDOGE,5,130,1.398929
10,1,NoDOGE,5,140,1.347161
10,1,NoDOGE,5,150,1.411306
10,1,NoDOGE,5,160,1.374110
10,1,Legacy4,0,0,1.000000
10,1,Legacy4,0,10,0.922028
10,1,Legacy4,0,20,0.922028
10,1,Legacy4,0,30,0.923289
10,1,Legacy4,0,40,0.900781
10,1,Legacy4,0,50,0.928470
10,1,Legacy4,0,60,0.692919
10,1,Legacy4,0,70,0.588274
10,1,Legacy4,0,80,0.651429
10,1,Legacy4,0,90,0.651429
10,1,Legacy4,0,100,0.651429
10,1,Legacy4,0,110,0.629496
10,1,Legacy4,0,120,0.602381
10,1,Legacy4,0,130,0.587518
10,1,Legacy4,0,140,0.558276
10,1,Legacy4,0,150,0.628133
10,1,Legacy4,0,160,0.659460
10,1,Legacy4,1,0,1.000000
10,1,Legacy4,1,10,1.375815
10,1,Legacy4,1,20,1.255513
10,1,Legacy4,1,30,1.255513
10,1,Legacy4,1,40,1.074465
10,1,Legacy4,1,50,1.074465
10,1,Legacy4,1,60,1.074465
10,1,Legacy4,1,70,1.227406
10,1,Legacy4,1,80,1.381814
10,1,Legacy4,1,90,1.583850
10,1,Legacy4,1,100,1.583850
10,1,Legacy4,1,110,1.583850
10,1,Legacy4,1,120,1.583850
10,1,Legacy4,1,130,1.583850
10,1,Legacy4,1,140,1.618608
10,1,Legacy4,1,150,1.700783
10,1,Legacy4,2,0,1.000000
10,1,Legacy4,2,10,1.000000
10,1,Legacy4,2,20,1.000000
10,1,Legacy4,2,30,1.000000
10,1,Legacy4,2,40,0.983507
10,1,Legacy4,2,50,1.125225
10,1,Legacy4,2,60,1.033749
10,1,Legacy4,2,70,1.033749
10,1,Legacy4,2,80,0.940820
10,1,Legacy4,2,90,0.940820
10,1,Legacy4,2,100,0.940820
10,1,Legacy4,2,110,0.932025
10,1,Legacy4,2,120,1.061052
10,1,Legacy4,2,130,1.061052
10,1,Legacy4,2,140,1.061052
10,1,Legacy4,2,150,1.061052
10,1,Legacy4,2,160,1.061052
10,1,Legacy4,2,170,1.061052
10,1,Legacy4,3,0,1.000000
10,1,Legacy4,3,10,1.090166
10,1,Legacy4,3,20,1.119529
10,1,Legacy4,3,30,1.106085
10,1,Legacy4,3,40,0.864753
10,1,Legacy4,3,50,0.703629
10,1,Legacy4,3,60,0.681279
10,1,Legacy4,3,70,0.708208
10,1,Legacy4,3,80,0.708208
10,1,Legacy4,3,90,0.708208
10,1,Legacy4,3,100,0.708208
10,1,Legacy4,3,110,0.773860
10,1,Legacy4,3,120,0.819553
10,1,Legacy4,3,130,0.819553
10,1,Legacy4,3,140,0.717006
10,1,Legacy4,3,150,0.717006
10,1,Legacy4,3,160,0.717006
10,1,Legacy4,3,170,0.701435
10,1,Legacy4,4,0,1.000000
10,1,Legacy4,4,10,1.000000
10,1,Legacy4,4,20,0.957028
10,1,Legacy4,4,30,0.889840
10,1,Legacy4,4,40,0.889840
10,1,Legacy4,4,50,0.746062
10,1,Legacy4,4,60,0.684071
10,1,Legacy4,4,70,0.684071
10,1,Legacy4,4,80,0.740274
10,1,Legacy4,4,90,0.714954
10,1,Legacy4,4,100,0.714954
10,1,Legacy4,4,110,0.714954
10,1,Legacy4,4,120,0.718880
10,1,Legacy4,4,130,0.723991
10,1,Legacy4,4,140,0.723991
10,1,Legacy4,4,150,0.723991
10,1,Legacy4,4,160,0.723991
10,1,Legacy4,4,170,0.723991
10,1,Legacy4,4,180,0.723991
10,1,Legacy4,4,190,0.723991
10,1,Legacy4,4,200,0.723991
10,1,Legacy4,5,0,1.000000
10,1,Legacy4,5,10,1.008965
10,1,Legacy4,5,20,0.988250
10,1,Legacy4,5,30,1.002258
10,1,Legacy4,5,40,1.002258
10,1,Legacy4,5,50,1.002258
10,1,Legacy4,5,60,0.877507
10,1,Legacy4,5,70,0.889522
