chand_period,chand_mult,universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
10,1,Base5,0,-16.58,0.7756,66.60,21,28.57,false
10,1,Base5,1,537.37,5.3749,22.40,20,60.00,true
10,1,Base5,2,-15.09,0.7246,49.25,24,29.17,false
10,1,Base5,3,242.05,8.2128,27.61,24,54.17,true
10,1,Base5,4,6.54,1.4078,22.09,15,40.00,true
10,1,Base5,5,97.34,5.6163,10.89,20,60.00,true
10,1,NoDOGE,0,-5.47,1.2822,66.60,21,33.33,false
10,1,NoDOGE,1,171.61,20.0739,5.93,11,54.55,true
10,1,NoDOGE,2,61.94,4.6934,26.59,18,33.33,true
10,1,NoDOGE,3,321.86,9.4177,27.61,23,60.87,true
10,1,NoDOGE,4,21.86,3.1396,20.12,12,50.00,true
10,1,NoDOGE,5,37.41,3.8293,13.50,17,52.94,true
10,1,Legacy4,0,-26.23,-1.2465,45.32,25,40.00,false
10,1,Legacy4,1,121.37,8.1701,24.59,19,47.37,true
10,1,Legacy4,2,-18.48,-0.6906,32.75,19,42.11,false
10,1,Legacy4,3,-29.86,-1.3034,45.82,20,40.00,false
10,1,Legacy4,4,-27.60,-6.9261,31.59,10,40.00,false
10,1,Legacy4,5,-11.15,-2.3549,17.33,17,41.18,false
10,1,Legacy5BNB,0,-50.56,-4.5532,65.55,26,38.46,false
10,1,Legacy5BNB,1,114.35,9.2427,13.28,15,53.33,true
10,1,Legacy5BNB,2,29.03,2.6932,25.05,22,45.45,true
10,1,Legacy5BNB,3,12.01,1.6254,44.02,17,58.82,true
10,1,Legacy5BNB,4,5.94,1.7023,17.26,11,45.45,true
10,1,Legacy5BNB,5,-25.66,-4.3067,34.18,19,42.11,false
10,1,OldGuardNoBNB,0,28.20,2.1111,38.34,31,41.94,true
10,1,OldGuardNoBNB,1,61.04,4.9173,32.70,18,50.00,true
10,1,OldGuardNoBNB,2,-18.48,-0.6906,32.75,19,42.11,false
10,1,OldGuardNoBNB,3,-29.86,-1.3034,45.82,20,40.00,false
10,1,OldGuardNoBNB,4,-27.60,-6.9261,31.59,10,40.00,false
10,1,OldGuardNoBNB,5,26.03,4.5755,6.77,18,50.00,true
10,1,LargeCaps5,0,-40.78,-0.6948,66.60,24,29.17,false
10,1,LargeCaps5,1,176.25,21.4488,5.93,11,54.55,true
10,1,LargeCaps5,2,35.68,3.7663,35.95,18,27.78,true
10,1,LargeCaps5,3,232.74,8.5783,27.89,21,61.90,true
10,1,LargeCaps5,4,22.51,3.0945,20.12,12,50.00,true
10,1,LargeCaps5,5,23.08,2.6361,13.50,18,44.44,true
10,1,Legacy3,0,-5.64,0.3029,45.82,22,40.91,false
10,1,Legacy3,1,68.17,6.8764,22.24,16,50.00,true
10,1,Legacy3,2,118.52,7.7620,25.73,20,50.00,true
10,1,Legacy3,3,154.41,6.4644,14.41,18,61.11,true
10,1,Legacy3,4,-36.19,-5.1225,43.84,13,30.77,false
10,1,Legacy3,5,-4.95,-1.1646,13.86,14,42.86,false
10,1,LowVolume5,0,6.63,1.1759,23.70,22,45.45,true
10,1,LowVolume5,1,55.80,5.8053,15.17,15,46.67,true
10,1,LowVolume5,2,155.22,5.6029,31.76,25,32.00,true
10,1,LowVolume5,3,499.66,10.1395,24.15,21,57.14,true
10,1,LowVolume5,4,-42.84,-3.9705,42.84,17,29.41,false
10,1,LowVolume5,5,-14.07,-1.9087,23.93,22,50.00,false
10,1,OldGuard4,0,35.36,2.6437,37.77,25,56.00,true
10,1,OldGuard4,1,65.79,5.4976,24.30,20,50.00,true
10,1,OldGuard4,2,136.97,8.3699,17.32,20,55.00,true
10,1,OldGuard4,3,154.41,6.4644,14.41,18,61.11,true
10,1,OldGuard4,4,-24.67,-2.2071,31.62,15,33.33,false
10,1,OldGuard4,5,22.28,4.5839,13.48,17,47.06,true
10,1.5,Base5,0,-5.95,1.3276,67.12,17,35.29,false
10,1.5,Base5,1,178.37,2.8808,36.25,15,73.33,true
10,1.5,Base5,2,34.17,3.5832,34.47,14,35.71,true
10,1.5,Base5,3,282.10,9.5809,41.89,16,56.25,true
10,1.5,Base5,4,0.58,0.5376,15.76,10,60.00,true
10,1.5,Base5,5,51.95,3.3886,14.85,18,55.56,true
10,1.5,NoDOGE,0,-5.95,1.3276,67.12,17,35.29,false
10,1.5,NoDOGE,1,67.76,10.9591,12.67,10,60.00,true
10,1.5,NoDOGE,2,151.28,9.2531,14.85,10,50.00,true
10,1.5,NoDOGE,3,371.25,10.7649,41.89,15,66.67,true
10,1.5,NoDOGE,4,15.75,2.9071,10.33,8,62.50,true
10,1.5,NoDOGE,5,49.82,4.2292,17.03,13,53.85,true
10,1.5,Legacy4,0,152.47,6.2673,40.91,17,58.82,true
10,1.5,Legacy4,1,49.00,6.8634,15.57,13,61.54,true
10,1.5,Legacy4,2,-47.01,-3.2079,51.79,13,23.08,false
10,1.5,Legacy4,3,-16.09,-0.4892,33.51,12,50.00,false
10,1.5,Legacy4,4,-29.39,-6.6934,33.05,7,28.57,false
