ad_period,universe,windows,n_pass,n_total,pass_rate_pct,avg_ret_pct,avg_sharpe,avg_dd_pct,total_trades
1,Base5,,9,10,90.0,277.44,6.4616,31.74,78
1,NoDOGE,,8,10,80.0,118.82,4.4814,38.41,79
1,Legacy4,,7,10,70.0,42.14,3.1564,33.52,70
1,Legacy5BNB,,7,10,70.0,62.60,3.0710,30.38,70
1,OldGuardNoBNB,,6,10,60.0,42.20,2.6200,36.41,73
1,LargeCaps5,,7,10,70.0,237.83,5.3881,31.46,77
1,Legacy3,,8,10,80.0,42.99,2.8208,32.37,69
1,LowVolume5,,5,9,55.6,78.55,0.1549,53.21,81
1,OldGuard4,,7,10,70.0,34.73,2.0255,38.00,71
8,Base5,,7,10,70.0,238.53,5.1413,39.37,82
8,NoDOGE,,6,10,60.0,120.79,4.5124,35.38,74
8,Legacy4,,6,10,60.0,32.36,3.1263,31.24,65
8,Legacy5BNB,,6,10,60.0,148.11,4.3186,31.59,69
8,OldGuardNoBNB,,5,10,50.0,26.74,2.2323,32.76,68
8,LargeCaps5,,3,7,42.9,377.12,3.6932,30.80,49
8,Legacy3,,6,10,60.0,55.87,3.5726,31.07,64
8,LowVolume5,,4,8,50.0,136.68,5.4668,39.06,57
8,OldGuard4,,4,8,50.0,50.04,2.7819,32.02,53
40,Base5,,8,10,80.0,430.86,5.5649,35.36,72
40,NoDOGE,,3,7,42.9,480.14,3.7221,38.59,44
40,Legacy4,,5,10,50.0,31.75,2.0162,29.03,58
40,Legacy5BNB,,5,10,50.0,56.35,3.4485,25.91,56
40,OldGuardNoBNB,,5,10,50.0,31.00,1.8636,29.03,59
40,LargeCaps5,,6,10,60.0,341.51,3.5826,33.44,62
40,Legacy3,,5,10,50.0,33.61,2.5474,29.51,55
40,LowVolume5,,5,9,55.6,371.54,1.9261,39.36,60
40,OldGuard4,,3,8,37.5,24.64,0.5623,31.72,46
5,Base5,,7,10,70.0,119.66,3.0443,41.88,88
5,NoDOGE,,7,10,70.0,192.16,6.5214,34.67,74
5,Legacy4,,8,10,80.0,77.33,5.6341,27.57,63
5,Legacy5BNB,,7,9,77.8,131.14,6.7695,29.49,59
5,OldGuardNoBNB,,6,8,75.0,54.88,3.1647,32.20,52
5,LargeCaps5,,7,10,70.0,508.90,6.4454,32.13,76
5,Legacy3,,7,10,70.0,69.92,5.2087,25.91,62
5,LowVolume5,,5,10,50.0,204.72,5.7954,35.50,78
5,OldGuard4,,7,10,70.0,71.69,4.2404,27.54,64
