ap,pass,total,pass_pct,sharpe,ret,dd,trades
63,56,63,0.8889,6.106326,116.1318,22.4932,599
37,56,63,0.8889,5.842944,129.9545,24.8860,659
11,56,63,0.8889,4.727392,135.6427,29.5860,710
7,56,63,0.8889,4.389277,128.9164,29.1698,743
17,55,63,0.8730,6.371117,150.8162,26.3984,682
21,55,63,0.8730,5.761751,130.2502,25.4449,650
64,55,63,0.8730,5.591084,115.4157,22.5157,611
3,55,63,0.8730,5.222637,145.3104,28.6139,737
4,55,63,0.8730,4.997490,137.3127,27.7354,741
14,55,63,0.8730,4.947178,119.0799,29.1061,686
12,55,63,0.8730,4.909673,129.6641,29.3151,706
13,55,63,0.8730,4.653495,122.3237,29.0896,704
78,54,63,0.8571,6.329982,118.0755,20.6520,560
23,54,63,0.8571,6.143345,134.2409,25.0953,670
15,54,63,0.8571,5.981322,133.8989,26.4352,677
16,54,63,0.8571,5.812995,142.2200,27.1970,676
20,54,63,0.8571,5.499499,122.0786,26.9580,666
42,54,63,0.8571,5.489145,138.7760,23.2566,645
10,54,63,0.8571,4.376348,138.6478,29.9046,721
6,54,63,0.8571,4.231253,120.3700,29.5796,738
53,53,63,0.8413,6.098909,116.5010,24.2569,609
18,53,63,0.8413,6.046791,142.5768,24.8218,677
33,53,63,0.8413,5.189202,117.6016,26.4470,653
80,53,63,0.8413,4.864985,117.5901,24.2207,596
79,53,63,0.8413,4.855921,110.5132,23.6098,609
9,53,63,0.8413,4.382982,123.3266,29.2461,725
5,53,63,0.8413,4.157788,120.9981,29.6332,733
22,52,63,0.8254,5.850173,131.0223,25.3661,663
30,52,63,0.8254,5.573430,131.0335,25.8552,662
32,52,63,0.8254,5.464414,143.0675,25.7775,657
72,52,63,0.8254,5.339228,118.1893,21.2841,574
26,52,63,0.8254,4.983379,134.3778,27.1083,685
62,52,63,0.8254,4.578800,103.4158,24.0618,603
59,51,63,0.8095,4.948750,112.3357,22.9866,604
25,51,63,0.8095,4.782370,124.6783,26.4857,679
71,51,63,0.8095,4.666625,114.5463,23.3993,574
2,51,63,0.8095,4.533645,131.1519,28.5191,747
74,50,63,0.7937,5.843068,116.4235,23.8241,562
38,50,63,0.7937,5.820318,132.4186,24.5160,651
24,50,63,0.7937,5.172905,133.8811,25.3901,677
61,50,63,0.7937,5.156503,95.4719,25.2937,590
31,50,63,0.7937,4.997714,136.5520,27.1809,668
52,50,63,0.7937,4.980829,125.1931,25.8684,644
67,50,63,0.7937,4.490424,107.3983,23.6435,615
56,50,63,0.7937,4.470318,111.6182,25.9128,632
60,50,63,0.7937,4.376866,107.2487,24.3382,589
43,50,63,0.7937,4.266370,116.9555,24.7878,653
41,50,63,0.7937,4.191346,116.6423,25.8228,661
76,50,63,0.7937,4.015231,100.9453,24.4047,565
8,50,63,0.7937,3.681299,123.1854,30.6041,736
65,50,63,0.7937,3.621409,99.3942,25.6818,632
68,49,63,0.7778,5.624501,117.0941,21.9197,559
73,49,63,0.7778,5.589360,118.1070,23.4501,567
36,49,63,0.7778,5.286818,125.4300,27.4724,654
77,49,63,0.7778,5.032512,101.1468,22.5945,545
69,49,63,0.7778,4.937038,110.3165,23.6157,574
55,49,63,0.7778,4.834626,114.9630,25.5473,611
70,49,63,0.7778,4.598667,110.7382,22.5172,559
75,49,63,0.7778,4.550926,111.6831,24.2263,578
1,49,63,0.7778,4.242833,142.1450,29.3890,752
66,49,63,0.7778,3.884143,95.3782,25.7488,627
29,48,63,0.7619,5.494356,133.7544,26.9403,675
35,48,63,0.7619,5.087999,124.5684,26.5220,639
19,48,63,0.7619,4.887752,131.4668,29.0340,665
27,48,63,0.7619,4.451418,122.6674,27.4204,680
50,48,63,0.7619,4.390317,101.6044,27.4491,637
58,48,63,0.7619,4.141155,99.6722,24.8300,618
57,48,63,0.7619,3.746890,96.4811,27.6641,623
54,47,63,0.7460,4.756211,119.2404,25.7443,605
51,47,63,0.7460,4.694601,122.2034,27.3050,640
40,47,63,0.7460,4.534888,134.0137,26.9258,663
28,47,63,0.7460,4.404145,125.3108,28.9998,681
34,47,63,0.7460,4.300511,105.2706,29.1521,665
46,46,63,0.7302,4.219638,103.1528,28.3251,636
47,45,63,0.7143,3.018186,89.2869,31.3966,652
39,44,63,0.6984,4.420178,116.7112,27.6805,651
45,44,63,0.6984,3.865398,106.2217,28.8375,655
49,44,63,0.6984,3.357708,86.6826,29.5264,646
48,44,63,0.6984,3.337887,92.2994,31.3585,649
44,43,63,0.6825,4.046323,132.5295,29.3348,660
