ap,universe,window,equity,sharpe,dd,trades
1,Base5,0,3.460145,9.9717,33.10,11
2,Base5,0,11.053368,14.9157,33.10,11
3,Base5,0,7.215831,13.8405,33.10,11
4,Base5,0,3.637377,12.9293,33.10,10
5,Base5,0,3.637377,12.9293,33.10,10
6,Base5,0,3.637377,12.9293,33.10,10
7,Base5,0,3.390614,12.1059,37.64,10
8,Base5,0,3.408230,12.1463,37.64,10
9,Base5,0,3.637377,12.9293,33.10,10
10,Base5,0,3.390614,12.1059,37.64,10
11,Base5,0,3.408230,12.1463,37.64,10
12,Base5,0,6.761250,13.3105,37.64,11
13,Base5,0,5.690705,12.1294,37.64,11
14,Base5,0,3.390614,12.1059,37.64,10
15,Base5,0,3.408230,12.1463,37.64,10
16,Base5,0,3.496651,12.4621,35.69,10
17,Base5,0,3.514818,12.5030,35.69,10
18,Base5,0,3.631466,10.3400,39.51,10
19,Base5,0,4.305023,12.5399,28.29,9
20,Base5,0,3.077357,11.3571,33.10,10
21,Base5,0,3.077357,11.3571,33.10,10
22,Base5,0,3.077357,11.3571,33.10,10
23,Base5,0,3.077357,11.3571,33.10,10
24,Base5,0,2.769062,7.9441,33.10,10
25,Base5,0,2.769062,7.9441,33.10,10
26,Base5,0,2.769062,7.9441,33.10,10
27,Base5,0,4.738075,10.7919,33.10,10
28,Base5,0,2.769062,7.9441,33.10,10
29,Base5,0,2.769062,7.9441,33.10,10
30,Base5,0,2.769062,7.9441,33.10,10
31,Base5,0,2.769062,7.9441,33.10,10
32,Base5,0,2.769062,7.9441,33.10,10
33,Base5,0,4.738075,10.7919,33.10,10
34,Base5,0,4.738075,10.7919,33.10,10
35,Base5,0,2.841715,9.1379,33.10,10
36,Base5,0,4.328400,12.9560,33.10,9
37,Base5,0,3.758553,12.6917,33.10,9
38,Base5,0,3.758553,12.6917,33.10,9
39,Base5,0,2.755753,11.0295,33.10,9
40,Base5,0,2.769062,7.9441,33.10,10
41,Base5,0,4.738075,10.7919,33.10,10
42,Base5,0,2.841715,9.1379,33.10,10
43,Base5,0,4.738075,10.7919,33.10,10
44,Base5,0,2.135087,9.1989,33.10,9
45,Base5,0,3.177431,9.3434,33.10,9
46,Base5,0,5.465072,12.5708,33.10,9
47,Base5,0,5.465072,12.5708,33.10,9
48,Base5,0,3.404756,11.5572,33.10,9
49,Base5,0,2.061159,7.7803,33.10,9
50,Base5,0,1.696010,6.2520,33.10,9
51,Base5,0,3.257247,12.6969,33.10,9
52,Base5,0,2.810618,11.7718,33.10,9
53,Base5,0,2.274243,10.3775,33.10,8
54,Base5,0,2.286059,10.4261,33.10,8
55,Base5,0,2.286059,10.4261,33.10,8
56,Base5,0,2.863740,10.5736,33.10,8
57,Base5,0,0.988399,2.0054,33.10,8
58,Base5,0,0.840212,0.7780,35.06,8
59,Base5,0,2.757875,9.0512,33.10,8
60,Base5,0,2.757875,9.0512,33.10,8
61,Base5,0,1.293899,5.1966,33.10,7
62,Base5,0,1.924095,8.6165,33.10,8
63,Base5,0,2.274243,10.3775,33.10,8
64,Base5,0,1.498485,6.4740,33.10,8
65,Base5,0,2.158046,8.9953,33.10,8
66,Base5,0,2.158046,8.9953,33.10,8
67,Base5,0,2.321088,9.0914,33.10,8
68,Base5,0,1.924095,8.6165,33.10,8
69,Base5,0,2.220222,9.0438,33.10,8
70,Base5,0,1.924095,8.6165,33.10,8
71,Base5,0,1.924095,8.6165,33.10,8
