universe,window,step,equity
Base5,0,0,1.000000
Base5,0,1,1.000000
Base5,0,2,1.000000
Base5,0,3,1.000000
Base5,0,4,1.000000
Base5,0,5,1.000000
Base5,0,6,1.000000
Base5,0,7,1.000000
Base5,0,8,1.000000
Base5,0,9,1.000000
Base5,0,10,1.000000
Base5,0,11,1.000000
Base5,0,12,1.000000
Base5,0,13,1.000000
Base5,0,14,1.000000
Base5,0,15,1.000000
Base5,0,16,1.000000
Base5,0,17,1.000000
Base5,0,18,1.000000
Base5,0,19,1.000000
Base5,0,20,1.000000
Base5,0,21,1.000000
Base5,0,22,1.000000
Base5,0,23,1.000000
Base5,0,24,1.000000
Base5,0,25,1.000000
Base5,0,26,1.000000
Base5,0,27,1.000000
Base5,0,28,1.000000
Base5,0,29,1.000000
Base5,0,30,1.000000
Base5,0,31,1.000000
Base5,0,32,1.000000
Base5,0,33,1.000000
Base5,0,34,1.000000
Base5,0,35,1.000000
Base5,0,36,0.974745
Base5,0,37,0.974745
Base5,0,38,0.974745
Base5,0,39,0.974745
Base5,0,40,0.974745
Base5,0,41,0.974745
Base5,0,42,0.974745
Base5,0,43,0.974745
Base5,0,44,0.974745
Base5,0,45,0.974745
Base5,0,46,0.974745
Base5,0,47,0.974745
Base5,0,48,0.974745
Base5,0,49,0.974745
Base5,0,50,0.974745
Base5,0,51,0.974745
Base5,0,52,0.974745
Base5,0,53,0.974745
Base5,0,54,0.974745
Base5,0,55,0.974745
Base5,0,56,0.974745
Base5,0,57,0.974745
Base5,0,58,0.974745
Base5,0,59,0.974745
Base5,0,60,0.974745
Base5,0,61,0.974745
Base5,0,62,0.974745
Base5,0,63,1.195697
Base5,0,64,1.195697
Base5,0,65,1.195697
Base5,0,66,1.195697
Base5,0,67,1.195697
Base5,0,68,1.195697
Base5,0,69,1.195697
Base5,0,70,1.195697
Base5,0,71,1.195697
Base5,0,72,1.195697
Base5,0,73,1.286525
Base5,0,74,1.286525
Base5,0,75,1.743351
Base5,0,76,1.743351
Base5,0,77,1.743351
Base5,0,78,1.743351
Base5,0,79,1.743351
Base5,0,80,1.743351
Base5,0,81,1.594285
Base5,0,82,1.594285
Base5,0,83,1.594285
Base5,0,84,1.594285
Base5,0,85,1.594285
Base5,0,86,1.594285
Base5,0,87,1.594285
Base5,0,88,2.239904
Base5,0,89,2.239904
Base5,0,90,2.239904
Base5,0,91,2.239904
Base5,0,92,2.239904
Base5,0,93,2.239904
Base5,0,94,1.606308
Base5,0,95,1.606308
Base5,0,96,1.606308
Base5,0,97,1.606308
Base5,0,98,1.606308
Base5,0,99,1.606308
Base5,0,100,1.606308
Base5,0,101,1.606308
Base5,0,102,1.606308
Base5,0,103,1.606308
Base5,0,104,1.606308
Base5,0,105,1.606308
Base5,0,106,1.606308
Base5,0,107,1.606308
Base5,0,108,1.606308
Base5,0,109,1.606308
Base5,0,110,1.606308
Base5,0,111,1.606308
Base5,0,112,1.498485
Base5,0,113,1.498485
Base5,0,114,1.498485
Base5,0,115,1.498485
Base5,0,116,1.498485
Base5,0,117,1.498485
Base5,0,118,1.498485
Base5,0,119,1.498485
Base5,0,120,1.498485
Base5,0,121,1.498485
Base5,0,122,1.498485
Base5,0,123,1.498485
Base5,0,124,1.498485
Base5,0,125,1.498485
Base5,0,126,1.498485
Base5,0,127,1.498485
Base5,0,128,1.498485
Base5,0,129,1.498485
Base5,0,130,1.498485
Base5,0,131,1.498485
Base5,0,132,1.498485
Base5,0,133,1.498485
Base5,0,134,1.498485
Base5,0,135,1.498485
Base5,0,136,1.498485
Base5,0,137,1.498485
Base5,0,138,1.498485
Base5,0,139,1.498485
Base5,0,140,1.498485
Base5,0,141,1.498485
Base5,0,142,1.498485
Base5,0,143,1.498485
Base5,0,144,1.498485
Base5,0,145,1.498485
Base5,1,0,1.000000
Base5,1,1,1.000000
Base5,1,2,0.710373
Base5,1,3,0.710373
Base5,1,4,0.710373
Base5,1,5,0.710373
Base5,1,6,0.710373
Base5,1,7,0.710373
Base5,1,8,0.710373
Base5,1,9,0.710373
Base5,1,10,0.710373
Base5,1,11,0.710373
Base5,1,12,0.710373
Base5,1,13,0.710373
Base5,1,14,0.710373
Base5,1,15,0.710373
Base5,1,16,0.710373
Base5,1,17,0.710373
Base5,1,18,0.710373
Base5,1,19,0.710373
Base5,1,20,0.754922
Base5,1,21,0.754922
Base5,1,22,0.754922
Base5,1,23,0.754922
Base5,1,24,0.754922
Base5,1,25,0.754922
Base5,1,26,0.754922
Base5,1,27,0.754922
Base5,1,28,0.754922
Base5,1,29,0.754922
Base5,1,30,0.754922
Base5,1,31,0.754922
Base5,1,32,0.754922
Base5,1,33,4.783392
Base5,1,34,4.783392
Base5,1,35,4.783392
Base5,1,36,4.783392
Base5,1,37,4.783392
Base5,1,38,4.783392
Base5,1,39,4.783392
Base5,1,40,4.783392
Base5,1,41,4.783392
Base5,1,42,4.783392
Base5,1,43,4.783392
Base5,1,44,4.783392
Base5,1,45,4.783392
Base5,1,46,4.783392
Base5,1,47,5.555523
Base5,1,48,5.555523
Base5,1,49,5.555523
Base5,1,50,5.555523
Base5,1,51,5.555523
Base5,1,52,5.555523
Base5,1,53,5.555523
Base5,1,54,6.218859
Base5,1,55,6.218859
Base5,1,56,6.218859
Base5,1,57,6.218859
Base5,1,58,6.218859
Base5,1,59,6.039578
Base5,1,60,6.039578
Base5,1,61,6.039578
Base5,1,62,5.730112
Base5,1,63,5.730112
Base5,1,64,5.730112
Base5,1,65,5.730112
Base5,1,66,5.730112
Base5,1,67,5.730112
Base5,1,68,5.730112
Base5,1,69,5.730112
Base5,1,70,5.730112
Base5,1,71,5.730112
Base5,1,72,5.730112
Base5,1,73,5.730112
Base5,1,74,5.730112
Base5,1,75,5.730112
Base5,1,76,5.730112
Base5,1,77,5.730112
Base5,1,78,5.730112
Base5,1,79,5.730112
Base5,1,80,5.730112
Base5,1,81,5.730112
Base5,1,82,5.730112
Base5,1,83,5.730112
Base5,1,84,5.730112
Base5,1,85,5.730112
Base5,1,86,5.730112
Base5,1,87,5.730112
Base5,1,88,5.730112
Base5,1,89,4.939679
Base5,1,90,4.939679
Base5,1,91,5.052433
Base5,1,92,5.704784
Base5,1,93,5.911913
Base5,1,94,5.911913
Base5,1,95,5.911913
Base5,1,96,5.911913
Base5,1,97,5.911913
Base5,1,98,5.911913
Base5,1,99,5.911913
Base5,1,100,5.911913
Base5,1,101,5.911913
Base5,1,102,5.911913
Base5,1,103,5.911913
Base5,1,104,5.911913
Base5,1,105,5.911913
Base5,1,106,5.911913
Base5,2,0,1.000000
Base5,2,1,0.913993
Base5,2,2,0.913993
Base5,2,3,0.913993
Base5,2,4,0.913993
Base5,2,5,0.913993
Base5,2,6,0.913993
Base5,2,7,0.913993
Base5,2,8,0.913993
Base5,2,9,0.913993
Base5,2,10,0.913993
Base5,2,11,0.913993
Base5,2,12,0.913993
Base5,2,13,0.913993
Base5,2,14,0.913993
Base5,2,15,0.913993
Base5,2,16,0.913993
Base5,2,17,0.913993
Base5,2,18,0.913993
Base5,2,19,0.913993
Base5,2,20,0.913993
Base5,2,21,0.913993
Base5,2,22,0.913993
Base5,2,23,0.913993
Base5,2,24,0.913993
Base5,2,25,0.913993
Base5,2,26,0.913993
Base5,2,27,0.913993
Base5,2,28,0.913993
Base5,2,29,0.913993
Base5,2,30,0.913993
Base5,2,31,0.913993
Base5,2,32,0.913993
Base5,2,33,0.913993
Base5,2,34,0.913993
Base5,2,35,0.913993
Base5,2,36,0.913993
Base5,2,37,0.913993
Base5,2,38,0.913993
Base5,2,39,0.913993
Base5,2,40,0.913993
Base5,2,41,0.913993
Base5,2,42,0.913993
Base5,2,43,0.913993
Base5,2,44,0.966064
Base5,2,45,0.944289
Base5,2,46,0.944289
Base5,2,47,0.944289
Base5,2,48,0.944289
Base5,2,49,0.944289
Base5,2,50,0.944289
Base5,2,51,0.944289
Base5,2,52,0.944289
Base5,2,53,0.944289
Base5,2,54,0.747578
Base5,2,55,0.747578
Base5,2,56,0.747578
Base5,2,57,0.747578
Base5,2,58,0.747578
Base5,2,59,0.747578
Base5,2,60,0.747578
Base5,2,61,0.747578
Base5,2,62,0.747578
Base5,2,63,0.747578
Base5,2,64,0.747578
Base5,2,65,0.747578
Base5,2,66,0.747578
Base5,2,67,0.747578
Base5,2,68,0.747578
Base5,2,69,0.747578
Base5,2,70,0.747578
Base5,2,71,0.747578
Base5,2,72,0.747578
Base5,2,73,0.747578
Base5,2,74,0.747578
Base5,2,75,0.747578
Base5,2,76,0.747578
Base5,2,77,0.747578
Base5,2,78,0.747578
Base5,2,79,0.747578
Base5,2,80,0.853760
Base5,2,81,1.012448
Base5,2,82,1.012448
Base5,2,83,1.012448
Base5,2,84,1.012448
Base5,2,85,1.012448
Base5,2,86,1.234344
Base5,2,87,1.234344
Base5,2,88,1.162258
Base5,2,89,1.162258
Base5,2,90,1.162258
Base5,2,91,1.162258
Base5,2,92,1.187476
Base5,2,93,1.187476
Base5,2,94,1.669598
Base5,2,95,1.669598
Base5,2,96,1.669598
Base5,2,97,1.669598
Base5,2,98,1.669598
Base5,2,99,1.669598
Base5,2,100,1.669598
Base5,2,101,1.466468
Base5,2,102,1.466468
Base5,2,103,1.466468
Base5,2,104,1.722370
Base5,3,0,1.000000
Base5,3,1,1.235451
Base5,3,2,1.235451
Base5,3,3,1.235451
Base5,3,4,1.235451
Base5,3,5,1.235451
Base5,3,6,1.235451
Base5,3,7,1.235451
Base5,3,8,1.235451
Base5,3,9,1.235451
Base5,3,10,1.235451
Base5,3,11,1.235451
Base5,3,12,1.235451
Base5,3,13,1.235451
Base5,3,14,1.235451
Base5,3,15,1.235451
