ap,pass_count,total_windows,pass_rate,avg_sharpe,avg_return,avg_dd,total_trades,positive_universes
63,56,63,88.9%,5.9058,141.33%,26.20%,600,9
64,56,63,88.9%,5.5606,142.18%,25.36%,599,9
23,55,63,87.3%,5.9232,141.79%,28.77%,671,9
78,54,63,85.7%,6.5946,135.46%,22.38%,545,9
37,54,63,85.7%,6.3955,143.08%,26.45%,652,9
17,54,63,85.7%,6.3727,161.74%,26.49%,694,9
53,54,63,85.7%,6.2944,133.31%,26.81%,611,9
42,54,63,85.7%,5.6558,140.87%,25.04%,630,9
51,54,63,85.7%,5.2352,105.05%,29.47%,629,9
6,54,63,85.7%,4.8532,144.30%,30.78%,719,9
9,54,63,85.7%,4.8015,141.12%,30.90%,717,9
50,54,63,85.7%,4.7731,109.37%,28.76%,632,9
1,54,63,85.7%,4.7416,143.35%,31.40%,744,9
15,53,63,84.1%,6.0789,144.41%,27.60%,681,9
31,53,63,84.1%,5.8117,165.00%,28.54%,659,9
32,53,63,84.1%,5.6162,152.42%,28.31%,650,9
16,53,63,84.1%,5.4339,129.22%,30.74%,683,9
80,53,63,84.1%,5.3461,124.97%,25.44%,587,9
26,53,63,84.1%,5.1346,130.29%,29.71%,669,9
3,53,63,84.1%,4.7977,146.20%,32.23%,738,9
2,53,63,84.1%,4.7097,154.83%,31.73%,741,9
60,53,63,84.1%,4.5020,145.19%,27.49%,587,9
7,53,63,84.1%,4.5006,142.67%,31.07%,724,9
49,53,63,84.1%,4.3471,106.56%,30.15%,633,9
8,53,63,84.1%,4.1317,132.73%,31.56%,728,9
5,53,63,84.1%,4.1204,135.64%,32.07%,730,9
72,52,63,82.5%,5.7582,164.56%,23.31%,566,9
41,52,63,82.5%,5.4178,157.42%,26.96%,638,9
61,52,63,82.5%,5.3498,125.20%,28.55%,590,9
33,52,63,82.5%,5.3472,146.56%,28.72%,648,9
18,52,63,82.5%,5.2262,150.81%,28.51%,694,9
43,52,63,82.5%,5.0038,153.47%,27.37%,654,9
77,52,63,82.5%,4.6899,131.82%,26.56%,555,9
11,52,63,82.5%,4.6831,139.77%,31.17%,702,9
58,52,63,82.5%,4.5829,132.68%,26.16%,599,9
79,52,63,82.5%,4.5323,131.14%,25.69%,590,9
74,51,63,81.0%,6.1553,163.19%,24.70%,553,9
35,51,63,81.0%,6.0000,130.14%,27.58%,640,9
69,51,63,81.0%,5.8773,152.10%,24.46%,567,9
67,51,63,81.0%,5.8495,161.97%,24.02%,602,9
75,51,63,81.0%,5.6850,162.91%,25.24%,568,9
52,51,63,81.0%,5.6676,136.60%,29.09%,643,9
71,51,63,81.0%,5.3146,156.31%,24.47%,575,9
66,51,63,81.0%,5.0888,143.35%,28.18%,614,9
62,51,63,81.0%,5.0332,124.97%,28.49%,594,9
14,51,63,81.0%,4.8133,125.72%,31.01%,688,9
21,51,63,81.0%,4.5324,133.57%,31.36%,661,9
13,51,63,81.0%,4.4368,127.44%,32.07%,705,9
12,51,63,81.0%,4.3236,126.12%,32.08%,706,9
68,50,63,79.4%,6.5044,160.62%,23.38%,556,9
38,50,63,79.4%,6.3674,142.55%,26.24%,651,9
59,50,63,79.4%,5.8769,153.49%,24.98%,594,9
25,50,63,79.4%,4.9814,141.31%,29.69%,667,9
30,50,63,79.4%,4.7571,137.64%,31.06%,669,9
56,50,63,79.4%,4.7486,146.06%,27.66%,615,9
19,50,63,79.4%,4.6232,132.53%,32.46%,671,9
4,50,63,79.4%,4.6199,134.94%,31.59%,729,9
10,50,63,79.4%,4.4758,145.69%,32.18%,712,9
65,50,63,79.4%,3.8249,132.48%,28.48%,624,9
73,49,63,77.8%,6.1034,166.76%,25.09%,556,9
70,49,63,77.8%,5.8689,152.56%,23.15%,556,9
54,49,63,77.8%,5.8272,145.61%,26.96%,601,9
27,49,63,77.8%,4.4459,136.86%,32.10%,671,9
20,49,63,77.8%,4.3712,123.92%,33.71%,672,9
36,47,63,74.6%,5.1839,135.90%,29.17%,648,9
39,47,63,74.6%,5.0297,134.57%,29.74%,641,9
29,47,63,74.6%,4.7902,140.13%,30.92%,671,9
24,47,63,74.6%,4.6896,152.07%,29.47%,676,9
40,47,63,74.6%,4.6599,140.82%,28.73%,644,9
34,47,63,74.6%,4.5707,142.23%,31.46%,646,9
57,47,63,74.6%,3.9679,127.98%,30.87%,620,9
47,47,63,74.6%,3.8899,120.04%,32.09%,630,9
44,46,63,73.0%,4.5603,135.97%,31.15%,642,9
22,46,63,73.0%,4.4249,132.83%,30.87%,668,9
28,46,63,73.0%,4.1491,134.97%,34.65%,665,9
55,45,63,71.4%,4.9484,141.44%,28.48%,600,9
45,45,63,71.4%,3.8858,110.69%,31.05%,635,9
76,44,63,69.8%,3.5942,133.21%,27.90%,562,9
48,43,63,68.3%,3.7581,115.47%,33.64%,628,9
46,42,63,66.7%,3.9480,126.21%,31.97%,631,9
