step,Base5_W0_asym_hard,Base5_W0_asym_soft,Base5_W0_baseline,Base5_W1_asym_hard,Base5_W1_asym_soft,Base5_W1_baseline,Base5_W2_asym_hard,Base5_W2_asym_soft,Base5_W2_baseline,Base5_W3_asym_hard,Base5_W3_asym_soft,Base5_W3_baseline,Base5_W4_asym_hard,Base5_W4_asym_soft,Base5_W4_baseline,Base5_W5_asym_hard,Base5_W5_asym_soft,Base5_W5_baseline,LargeCaps5_W0_asym_hard,LargeCaps5_W0_asym_soft,LargeCaps5_W0_baseline,LargeCaps5_W1_asym_hard,LargeCaps5_W1_asym_soft,LargeCaps5_W1_baseline,LargeCaps5_W2_asym_hard,LargeCaps5_W2_asym_soft,LargeCaps5_W2_baseline,LargeCaps5_W3_asym_hard,LargeCaps5_W3_asym_soft,LargeCaps5_W3_baseline,LargeCaps5_W4_asym_hard,LargeCaps5_W4_asym_soft,LargeCaps5_W4_baseline,LargeCaps5_W5_asym_hard,LargeCaps5_W5_asym_soft,LargeCaps5_W5_baseline,Legacy3_W0_asym_hard,Legacy3_W0_asym_soft,Legacy3_W0_baseline,Legacy3_W1_asym_hard,Legacy3_W1_asym_soft,Legacy3_W1_baseline,Legacy3_W2_asym_hard,Legacy3_W2_asym_soft,Legacy3_W2_baseline,Legacy3_W3_asym_hard,Legacy3_W3_asym_soft,Legacy3_W3_baseline,Legacy3_W4_asym_hard,Legacy3_W4_asym_soft,Legacy3_W4_baseline,Legacy3_W5_asym_hard,Legacy3_W5_asym_soft,Legacy3_W5_baseline,Legacy4_W0_asym_hard,Legacy4_W0_asym_soft,Legacy4_W0_baseline,Legacy4_W1_asym_hard,Legacy4_W1_asym_soft,Legacy4_W1_baseline,Legacy4_W2_asym_hard,Legacy4_W2_asym_soft,Legacy4_W2_baseline,Legacy4_W3_asym_hard,Legacy4_W3_asym_soft,Legacy4_W3_baseline,Legacy4_W4_asym_hard,Legacy4_W4_asym_soft,Legacy4_W4_baseline,Legacy4_W5_asym_hard,Legacy4_W5_asym_soft,Legacy4_W5_baseline,Legacy5BNB_W0_asym_hard,Legacy5BNB_W0_asym_soft,Legacy5BNB_W0_baseline,Legacy5BNB_W1_asym_hard,Legacy5BNB_W1_asym_soft,Legacy5BNB_W1_baseline,Legacy5BNB_W2_asym_hard,Legacy5BNB_W2_asym_soft,Legacy5BNB_W2_baseline,Legacy5BNB_W3_asym_hard,Legacy5BNB_W3_asym_soft,Legacy5BNB_W3_baseline,Legacy5BNB_W4_asym_hard,Legacy5BNB_W4_asym_soft,Legacy5BNB_W4_baseline,Legacy5BNB_W5_asym_hard,Legacy5BNB_W5_asym_soft,Legacy5BNB_W5_baseline,LowVolume5_W0_asym_hard,LowVolume5_W0_asym_soft,LowVolume5_W0_baseline,LowVolume5_W1_asym_hard,LowVolume5_W1_asym_soft,LowVolume5_W1_baseline,LowVolume5_W2_asym_hard,LowVolume5_W2_asym_soft,LowVolume5_W2_baseline,LowVolume5_W3_asym_hard,LowVolume5_W3_asym_soft,LowVolume5_W3_baseline,LowVolume5_W4_asym_hard,LowVolume5_W4_asym_soft,LowVolume5_W4_baseline,LowVolume5_W5_asym_hard,LowVolume5_W5_asym_soft,LowVolume5_W5_baseline,NoDOGE_W0_asym_hard,NoDOGE_W0_asym_soft,NoDOGE_W0_baseline,NoDOGE_W1_asym_hard,NoDOGE_W1_asym_soft,NoDOGE_W1_baseline,NoDOGE_W2_asym_hard,NoDOGE_W2_asym_soft,NoDOGE_W2_baseline,NoDOGE_W3_asym_hard,NoDOGE_W3_asym_soft,NoDOGE_W3_baseline,NoDOGE_W4_asym_hard,NoDOGE_W4_asym_soft,NoDOGE_W4_baseline,NoDOGE_W5_asym_hard,NoDOGE_W5_asym_soft,NoDOGE_W5_baseline,OldGuard4_W0_asym_hard,OldGuard4_W0_asym_soft,OldGuard4_W0_baseline,OldGuard4_W1_asym_hard,OldGuard4_W1_asym_soft,OldGuard4_W1_baseline,OldGuard4_W2_asym_hard,OldGuard4_W2_asym_soft,OldGuard4_W2_baseline,OldGuard4_W3_asym_hard,OldGuard4_W3_asym_soft,OldGuard4_W3_baseline,OldGuard4_W4_asym_hard,OldGuard4_W4_asym_soft,OldGuard4_W4_baseline,OldGuard4_W5_asym_hard,OldGuard4_W5_asym_soft,OldGuard4_W5_baseline,OldGuardNoBNB_W0_asym_hard,OldGuardNoBNB_W0_asym_soft,OldGuardNoBNB_W0_baseline,OldGuardNoBNB_W1_asym_hard,OldGuardNoBNB_W1_asym_soft,OldGuardNoBNB_W1_baseline,OldGuardNoBNB_W2_asym_hard,OldGuardNoBNB_W2_asym_soft,OldGuardNoBNB_W2_baseline,OldGuardNoBNB_W3_asym_hard,OldGuardNoBNB_W3_asym_soft,OldGuardNoBNB_W3_baseline,OldGuardNoBNB_W4_asym_hard,OldGuardNoBNB_W4_asym_soft,OldGuardNoBNB_W4_baseline,OldGuardNoBNB_W5_asym_hard,OldGuardNoBNB_W5_asym_soft,OldGuardNoBNB_W5_baseline
0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.148985,1.148985,1.148985,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.148985,1.148985,1.148985,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.966540,0.966540,0.966540,1.000000,1.000000,1.000000,1.148985,1.148985,1.148985,0.890512,0.890512,0.890512,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.966540,0.966540,0.966540,1.000000,1.000000,1.000000,1.148985,1.148985,1.148985,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.148985,1.148985,1.148985,1.000000,1.000000,1.000000,1.013709,1.013709,1.013709,1.000000,1.000000,1.000000,0.890833,0.890833,0.890833,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.890512,0.890512,0.890512,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.148985,1.148985,1.148985,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.890833,0.890833,0.890833,1.000000,1.000000,1.000000,1.148985,1.148985,1.148985,0.890512,0.890512,0.890512,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.890833,0.890833,0.890833,1.000000,1.000000,1.000000,1.148985,1.148985,1.148985,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2,1.309725,1.309725,1.309725,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.148985,1.148985,1.148985,1.000000,1.000000,1.000000,0.917024,0.917024,0.917024,1.309725,1.309725,1.309725,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.148985,1.148985,1.148985,1.000000,1.000000,1.000000,0.917024,0.917024,0.917024,1.000000,1.000000,1.000000,0.966540,0.966540,0.966540,0.972272,0.972272,0.972272,1.092683,1.092683,1.092683,0.890512,0.890512,0.890512,0.954510,0.954510,0.954510,1.000000,1.000000,1.000000,0.966540,0.966540,0.966540,1.000000,1.000000,1.000000,1.148985,1.148985,1.148985,1.000000,1.000000,1.000000,0.917024,0.917024,0.917024,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.148985,1.148985,1.148985,1.000000,1.000000,1.000000,1.013709,1.013709,1.013709,1.000000,1.000000,1.000000,0.890833,0.890833,0.890833,0.972272,0.972272,0.972272,1.000000,1.000000,1.000000,0.890512,0.890512,0.890512,0.896380,0.896380,0.896380,1.309725,1.309725,1.309725,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.148985,1.148985,1.148985,1.000000,1.000000,1.000000,0.917024,0.917024,0.917024,1.000000,1.000000,1.000000,0.890833,0.890833,0.890833,1.000000,1.000000,1.000000,1.092683,1.092683,1.092683,0.890512,0.890512,0.890512,0.954510,0.954510,0.954510,1.000000,1.000000,1.000000,0.890833,0.890833,0.890833,1.000000,1.000000,1.000000,1.148985,1.148985,1.148985,1.000000,1.000000,1.000000,0.917024,0.917024,0.917024
3,1.309725,1.309725,1.309725,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.148985,1.148985,1.148985,1.000000,1.000000,1.000000,0.917024,0.917024,0.917024,1.309725,1.309725,1.309725,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.148985,1.148985,1.148985,1.000000,1.000000,1.000000,0.917024,0.917024,0.917024,1.000000,1.000000,1.000000,0.966540,0.966540,0.966540,0.972272,0.972272,0.972272,1.003334,1.003334,1.003334,0.890512,0.890512,0.890512,0.954510,0.954510,0.954510,1.000000,1.000000,1.000000,0.966540,0.966540,0.966540,1.000000,1.000000,1.000000,1.148985,1.148985,1.148985,1.000000,1.000000,1.000000,0.917024,0.917024,0.917024,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.148985,1.148985,1.148985,1.000000,1.000000,1.000000,1.013709,1.013709,1.013709,1.000000,1.000000,1.000000,0.890833,0.890833,0.890833,0.972272,0.972272,0.972272,1.000000,1.000000,1.000000,0.890512,0.890512,0.890512,0.846467,0.846467,0.846467,1.309725,1.309725,1.309725,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.148985,1.148985,1.148985,1.000000,1.000000,1.000000,0.917024,0.917024,0.917024,1.000000,1.000000,1.000000,0.890833,0.890833,0.890833,1.000000,1.000000,1.000000,1.003334,1.003334,1.003334,0.890512,0.890512,0.890512,0.954510,0.954510,0.954510,1.000000,1.000000,1.000000,0.890833,0.890833,0.890833,1.000000,1.000000,1.000000,1.148985,1.148985,1.148985,1.000000,1.000000,1.000000,0.917024,0.917024,0.917024
4,1.309725,1.309725,1.309725,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.148985,1.148985,1.148985,1.259787,1.259787,1.259787,0.917024,0.917024,0.917024,1.309725,1.309725,1.309725,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.148985,1.148985,1.148985,1.259787,1.259787,1.259787,0.917024,0.917024,0.917024,1.000000,1.000000,1.000000,0.966540,0.966540,0.966540,0.972272,0.972272,0.972272,1.003334,1.003334,1.003334,0.890512,0.890512,0.890512,0.954510,0.954510,0.954510,1.000000,1.000000,1.000000,0.966540,0.966540,0.966540,1.000000,1.000000,1.000000,1.148985,1.148985,1.148985,1.259787,1.259787,1.259787,0.917024,0.917024,0.917024,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.148985,1.148985,1.148985,1.259787,1.259787,1.259787,1.013709,1.013709,1.013709,1.000000,1.000000,1.000000,0.890833,0.890833,0.890833,0.972272,0.972272,0.972272,1.000000,1.000000,1.000000,0.890512,0.890512,0.890512,0.846467,0.846467,0.846467,1.309725,1.309725,1.309725,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.148985,1.148985,1.148985,1.259787,1.259787,1.259787,0.917024,0.917024,0.917024,1.000000,1.000000,1.000000,0.890833,0.890833,0.890833,0.962133,0.962133,0.962133,1.003334,1.003334,1.003334,0.890512,0.890512,0.890512,0.954510,0.954510,0.954510,1.000000,1.000000,1.000000,0.890833,0.890833,0.890833,1.000000,1.000000,1.000000,1.148985,1.148985,1.148985,1.259787,1.259787,1.259787,0.917024,0.917024,0.917024
5,1.309725,1.309725,1.309725,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.148985,1.148985,1.148985,1.259787,1.259787,1.259787,0.917024,0.917024,0.917024,1.309725,1.309725,1.309725,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.148985,1.148985,1.148985,1.259787,1.259787,1.259787,0.917024,0.917024,0.917024,1.000000,1.000000,1.000000,0.966540,0.966540,0.966540,0.950820,0.950820,0.950820,1.003334,1.003334,1.003334,0.890512,0.890512,0.890512,0.954510,0.954510,0.954510,1.000000,1.000000,1.000000,0.966540,0.966540,0.966540,1.000000,1.000000,1.000000,1.148985,1.148985,1.148985,1.259787,1.259787,1.259787,0.917024,0.917024,0.917024,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.148985,1.148985,1.148985,1.259787,1.259787,1.259787,1.013709,1.013709,1.013709,1.000000,1.000000,1.000000,0.933633,0.933633,0.933633,0.950820,0.950820,0.950820,1.000000,1.000000,1.000000,0.890512,0.890512,0.890512,0.846467,0.846467,0.846467,1.309725,1.309725,1.309725,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.148985,1.148985,1.148985,1.259787,1.259787,1.259787,0.917024,0.917024,0.917024,1.000000,1.000000,1.000000,0.890833,0.890833,0.890833,0.962133,0.962133,0.962133,1.003334,1.003334,1.003334,0.890512,0.890512,0.890512,0.954510,0.954510,0.954510,1.000000,1.000000,1.000000,0.890833,0.890833,0.890833,1.000000,1.000000,1.000000,1.148985,1.148985,1.148985,1.259787,1.259787,1.259787,0.917024,0.917024,0.917024
6,1.309725,1.309725,1.309725,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.094680,1.094680,1.094680,1.214123,1.214123,1.214123,0.917024,0.917024,0.917024,1.309725,1.309725,1.309725,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.094680,1.094680,1.094680,1.214123,1.214123,1.214123,0.917024,0.917024,0.917024,1.000000,1.000000,1.000000,0.966540,0.966540,0.966540,0.950820,0.950820,0.950820,1.003334,1.003334,1.003334,0.890512,0.890512,0.890512,0.954510,0.954510,0.954510,1.000000,1.000000,1.000000,0.966540,0.966540,0.966540,1.000000,1.000000,1.000000,1.094680,1.094680,1.094680,1.214123,1.214123,1.214123,0.917024,0.917024,0.917024,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.094680,1.094680,1.094680,1.214123,1.214123,1.214123,1.013709,1.013709,1.013709,1.000000,1.000000,1.000000,0.902004,0.902004,0.902004,0.836273,0.836273,0.836273,0.943485,0.943485,0.943485,0.890512,0.890512,0.890512,0.846467,0.846467,0.846467,1.309725,1.309725,1.309725,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.094680,1.094680,1.094680,1.214123,1.214123,1.214123,0.917024,0.917024,0.917024,1.000000,1.000000,1.000000,0.890833,0.890833,0.890833,0.962133,0.962133,0.962133,1.003334,1.003334,1.003334,0.890512,0.890512,0.890512,0.954510,0.954510,0.954510,1.000000,1.000000,1.000000,0.890833,0.890833,0.890833,1.000000,1.000000,1.000000,1.094680,1.094680,1.094680,1.214123,1.214123,1.214123,0.917024,0.917024,0.917024
7,1.262555,1.262555,1.262555,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.778567,1.778567,1.778567,1.165896,1.165896,1.165896,0.917024,0.917024,0.917024,1.262555,1.262555,1.262555,1.000000,1.000000,1.000000,0.881410,0.881410,0.881410,1.778567,1.778567,1.778567,1.165896,1.165896,1.165896,0.917024,0.917024,0.917024,0.968549,0.968549,0.968549,0.966540,0.966540,0.966540,0.950820,0.950820,0.950820,1.003334,1.003334,1.003334,0.890512,0.890512,0.890512,0.954510,0.954510,0.954510,1.000000,1.000000,1.000000,0.966540,0.966540,0.966540,1.000000,1.000000,1.000000,1.094680,1.094680,1.094680,1.165896,1.165896,1.165896,0.917024,0.917024,0.917024,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.094680,1.094680,1.094680,1.165896,1.165896,1.165896,1.013709,1.013709,1.013709,0.968549,0.968549,0.968549,0.902004,0.902004,0.902004,0.836273,0.836273,0.836273,1.592260,1.592260,1.592260,0.890512,0.890512,0.890512,0.846467,0.846467,0.846467,1.262555,1.262555,1.262555,1.000000,1.000000,1.000000,0.881410,0.881410,0.881410,1.778567,1.778567,1.778567,1.165896,1.165896,1.165896,0.917024,0.917024,0.917024,1.000000,1.000000,1.000000,0.855484,0.855484,0.855484,0.962133,0.962133,0.962133,1.003334,1.003334,1.003334,0.890512,0.890512,0.890512,0.954510,0.954510,0.954510,1.000000,1.000000,1.000000,0.890833,0.890833,0.890833,1.000000,1.000000,1.000000,1.094680,1.094680,1.094680,1.165896,1.165896,1.165896,0.917024,0.917024,0.917024
8,1.262555,1.262555,1.262555,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2.282862,2.282862,2.282862,1.165896,1.165896,1.165896,0.917024,0.917024,0.917024,1.262555,1.262555,1.262555,1.000000,1.000000,1.000000,0.881410,0.881410,0.881410,2.282862,2.282862,2.282862,1.165896,1.165896,1.165896,0.917024,0.917024,0.917024,0.938932,0.938932,0.938932,0.966540,0.966540,0.966540,0.950820,0.950820,0.950820,1.003334,1.003334,1.003334,0.972081,0.972081,0.972081,0.954510,0.954510,0.954510,1.000000,1.000000,1.000000,0.966540,0.966540,0.966540,1.000000,1.000000,1.000000,1.094680,1.094680,1.094680,1.165896,1.165896,1.165896,0.917024,0.917024,0.917024,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.094680,1.094680,1.094680,1.165896,1.165896,1.165896,1.013709,1.013709,1.013709,0.938932,0.938932,0.938932,0.902004,0.902004,0.902004,0.836273,0.836273,0.836273,1.592260,1.592260,1.592260,0.890512,0.890512,0.890512,0.846467,0.846467,0.846467,1.262555,1.262555,1.262555,1.000000,1.000000,1.000000,0.881410,0.881410,0.881410,2.282862,2.282862,2.282862,1.165896,1.165896,1.165896,0.917024,0.917024,0.917024,1.000000,1.000000,1.000000,0.855484,0.855484,0.855484,0.962133,0.962133,0.962133,1.003334,1.003334,1.003334,0.972081,0.972081,0.972081,0.954510,0.954510,0.954510,1.000000,1.000000,1.000000,0.890833,0.890833,0.890833,1.000000,1.000000,1.000000,1.094680,1.094680,1.094680,1.165896,1.165896,1.165896,0.917024,0.917024,0.917024
9,1.262555,1.262555,1.262555,1.000000,1.000000,1.000000,0.916263,0.916263,0.916263,2.692046,2.692046,2.692046,1.165896,1.165896,1.165896,0.917024,0.917024,0.917024,1.262555,1.262555,1.262555,1.000000,1.000000,1.000000,0.881410,0.881410,0.881410,2.692046,2.692046,2.692046,1.124427,1.124427,1.124427,0.917024,0.917024,0.917024,0.938932,0.938932,0.938932,0.966540,0.966540,0.966540,0.950820,0.950820,0.950820,1.003334,1.003334,1.003334,0.939592,0.939592,0.939592,0.954510,0.954510,0.954510,1.000000,1.000000,1.000000,0.966540,0.966540,0.966540,1.000000,1.000000,1.000000,1.094680,1.094680,1.094680,1.165896,1.165896,1.165896,0.917024,0.917024,0.917024,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.094680,1.094680,1.094680,1.124427,1.124427,1.124427,1.013709,1.013709,1.013709,0.938932,0.938932,0.938932,0.902004,0.902004,0.902004,0.836273,0.836273,0.836273,1.491451,1.491451,1.491451,0.890512,0.890512,0.890512,0.846467,0.846467,0.846467,1.262555,1.262555,1.262555,1.000000,1.000000,1.000000,0.881410,0.881410,0.881410,2.692046,2.692046,2.692046,1.165896,1.165896,1.165896,0.917024,0.917024,0.917024,1.000000,1.000000,1.000000,0.855484,0.855484,0.855484,0.962133,0.962133,0.962133,1.003334,1.003334,1.003334,0.939592,0.939592,0.939592,0.954510,0.954510,0.954510,1.000000,1.000000,1.000000,0.890833,0.890833,0.890833,1.000000,1.000000,1.000000,1.094680,1.094680,1.094680,1.165896,1.165896,1.165896,0.917024,0.917024,0.917024
