universe,window,atr_ema,final_equity
Base5,0,1,4.196566
Base5,0,4,4.350889
Base5,0,1,4.196566
Base5,0,5,4.350889
Base5,1,1,10.256927
Base5,1,4,7.553990
Base5,1,1,10.256927
Base5,1,5,6.969835
Base5,2,1,3.134453
Base5,2,4,2.169928
Base5,2,1,3.134453
Base5,2,5,2.308991
Base5,3,1,2.370787
Base5,3,4,2.357670
Base5,3,1,2.370787
Base5,3,5,2.146025
Base5,4,1,1.805838
Base5,4,4,2.686026
Base5,4,1,1.805838
Base5,4,5,2.686026
Base5,5,1,1.124038
Base5,5,4,1.124038
Base5,5,1,1.124038
Base5,5,5,1.124038
NoDOGE,0,1,4.196566
NoDOGE,0,4,4.350889
NoDOGE,0,1,4.196566
NoDOGE,0,5,4.350889
NoDOGE,1,1,0.817111
NoDOGE,1,4,0.891510
NoDOGE,1,1,0.817111
NoDOGE,1,5,0.865223
NoDOGE,2,1,2.428462
NoDOGE,2,4,1.405695
NoDOGE,2,1,2.428462
NoDOGE,2,5,1.405695
NoDOGE,3,1,4.009054
NoDOGE,3,4,3.266927
NoDOGE,3,1,4.009054
NoDOGE,3,5,2.973658
NoDOGE,4,1,1.805838
NoDOGE,4,4,2.686026
NoDOGE,4,1,1.805838
NoDOGE,4,5,2.686026
NoDOGE,5,1,1.124038
NoDOGE,5,4,1.124038
NoDOGE,5,1,1.124038
NoDOGE,5,5,1.124038
Legacy4,0,1,2.290441
Legacy4,0,4,2.182480
Legacy4,0,1,2.290441
Legacy4,0,5,2.216140
Legacy4,1,1,1.406243
Legacy4,1,4,1.534283
Legacy4,1,1,1.406243
Legacy4,1,5,1.489044
Legacy4,2,1,2.331082
Legacy4,2,4,1.776228
Legacy4,2,1,2.331082
Legacy4,2,5,2.377508
Legacy4,3,1,1.943304
Legacy4,3,4,1.790633
Legacy4,3,1,1.943304
Legacy4,3,5,1.629890
Legacy4,4,1,1.384789
Legacy4,4,4,1.110278
Legacy4,4,1,1.384789
Legacy4,4,5,1.110278
Legacy4,5,1,0.743782
Legacy4,5,4,0.702367
Legacy4,5,1,0.743782
Legacy4,5,5,0.844331
Legacy5BNB,0,1,3.158806
Legacy5BNB,0,4,3.009914
Legacy5BNB,0,1,3.158806
Legacy5BNB,0,5,3.056336
Legacy5BNB,1,1,1.186499
Legacy5BNB,1,4,1.407155
Legacy5BNB,1,1,1.186499
Legacy5BNB,1,5,1.365665
Legacy5BNB,2,1,2.331082
Legacy5BNB,2,4,1.776228
Legacy5BNB,2,1,2.331082
Legacy5BNB,2,5,1.148747
Legacy5BNB,3,1,2.830037
Legacy5BNB,3,4,1.419421
Legacy5BNB,3,1,2.830037
Legacy5BNB,3,5,1.292002
Legacy5BNB,4,1,1.708744
Legacy5BNB,4,4,1.708744
Legacy5BNB,4,1,1.708744
Legacy5BNB,4,5,1.708744
Legacy5BNB,5,1,0.390422
Legacy5BNB,5,4,0.496339
Legacy5BNB,5,1,0.390422
Legacy5BNB,5,5,0.505796
OldGuardNoBNB,0,1,3.089356
OldGuardNoBNB,0,4,3.231329
OldGuardNoBNB,0,1,3.089356
OldGuardNoBNB,0,5,3.732940
OldGuardNoBNB,1,1,0.617202
OldGuardNoBNB,1,4,0.756492
OldGuardNoBNB,1,1,0.617202
OldGuardNoBNB,1,5,0.734187
OldGuardNoBNB,2,1,2.331082
OldGuardNoBNB,2,4,1.776228
OldGuardNoBNB,2,1,2.331082
OldGuardNoBNB,2,5,2.377508
OldGuardNoBNB,3,1,1.943304
OldGuardNoBNB,3,4,1.790633
OldGuardNoBNB,3,1,1.943304
OldGuardNoBNB,3,5,1.629890
OldGuardNoBNB,4,1,1.384789
OldGuardNoBNB,4,4,1.110278
OldGuardNoBNB,4,1,1.384789
OldGuardNoBNB,4,5,1.110278
OldGuardNoBNB,5,1,0.426990
OldGuardNoBNB,5,4,0.484883
OldGuardNoBNB,5,1,0.426990
OldGuardNoBNB,5,5,0.484713
LargeCaps5,0,1,4.196566
LargeCaps5,0,4,4.350889
LargeCaps5,0,1,4.196566
LargeCaps5,0,5,4.350889
LargeCaps5,1,1,0.817111
LargeCaps5,1,4,0.891510
LargeCaps5,1,1,0.817111
LargeCaps5,1,5,0.865223
LargeCaps5,2,1,2.428462
LargeCaps5,2,4,1.405695
LargeCaps5,2,1,2.428462
LargeCaps5,2,5,1.405695
LargeCaps5,3,1,2.419926
LargeCaps5,3,4,1.157830
LargeCaps5,3,1,2.419926
LargeCaps5,3,5,1.053893
LargeCaps5,4,1,1.461724
LargeCaps5,4,4,1.655346
LargeCaps5,4,1,1.461724
