em,universe,window,bar_idx,equity
0.00,Base5,0,0,1.00000000
0.00,Base5,0,10,0.75060748
0.00,Base5,0,20,0.75060748
0.00,Base5,0,30,0.75060748
0.00,Base5,0,40,0.66200986
0.00,Base5,0,50,0.59466665
0.00,Base5,0,60,0.75545493
0.00,Base5,0,70,3.39467568
0.00,Base5,0,80,3.81774907
0.00,Base5,0,90,3.40674330
0.00,Base5,1,0,1.00000000
0.00,Base5,1,10,1.00000000
0.00,Base5,1,20,1.00000000
0.00,Base5,1,30,1.00000000
0.00,Base5,1,40,0.99665850
0.00,Base5,1,50,0.99665850
0.00,Base5,1,60,0.99665850
0.00,Base5,1,70,1.41251928
0.00,Base5,1,80,1.24680653
0.00,Base5,1,90,7.91592740
0.00,Base5,1,100,9.21211523
0.00,Base5,1,110,9.21211523
0.00,Base5,1,120,10.33269697
0.00,Base5,1,130,10.25692709
0.00,Base5,2,0,1.00000000
0.00,Base5,2,10,1.24987590
0.00,Base5,2,20,1.43099971
0.00,Base5,2,30,1.43099971
0.00,Base5,2,40,1.53826853
0.00,Base5,2,50,1.53826853
0.00,Base5,2,60,2.32469120
0.00,Base5,2,70,2.57099713
0.00,Base5,2,80,3.07560872
0.00,Base5,2,90,3.07560872
0.00,Base5,2,100,3.07560872
0.00,Base5,3,0,1.00000000
0.00,Base5,3,10,1.54000341
0.00,Base5,3,20,2.16407847
0.00,Base5,3,30,1.48716400
0.00,Base5,3,40,1.48716400
0.00,Base5,3,50,2.82379028
0.00,Base5,3,60,2.17546424
0.00,Base5,3,70,1.68714979
0.00,Base5,4,0,1.00000000
0.00,Base5,4,10,1.21256058
0.00,Base5,4,20,0.95007931
0.00,Base5,4,30,0.95007931
0.00,Base5,4,40,0.95007931
0.00,Base5,4,50,0.95007931
0.00,Base5,4,60,0.95007931
0.00,Base5,4,70,1.10220645
0.00,Base5,4,80,1.05369866
0.00,Base5,4,90,1.05369866
0.00,Base5,4,100,1.05369866
0.00,Base5,5,0,1.00000000
0.00,Base5,5,10,0.92393516
0.00,Base5,5,20,1.07690470
0.00,Base5,5,30,1.07690470
0.00,Base5,5,40,1.07690470
0.00,Base5,5,50,1.04822406
0.00,Base5,5,60,1.41503129
0.00,Base5,5,70,1.41503129
0.00,Base5,5,80,1.21286867
0.00,Base5,5,90,1.21286867
0.00,Base5,5,100,1.13666444
0.00,Base5,5,110,1.05525319
0.00,NoDOGE,0,0,1.00000000
0.00,NoDOGE,0,10,0.75060748
0.00,NoDOGE,0,20,0.75060748
0.00,NoDOGE,0,30,0.75060748
0.00,NoDOGE,0,40,0.66200986
0.00,NoDOGE,0,50,0.59466665
0.00,NoDOGE,0,60,0.75545493
0.00,NoDOGE,0,70,3.39467568
0.00,NoDOGE,0,80,3.81774907
0.00,NoDOGE,0,90,3.40674330
0.00,NoDOGE,1,0,1.00000000
0.00,NoDOGE,1,10,1.00000000
0.00,NoDOGE,1,20,1.00000000
0.00,NoDOGE,1,30,1.00000000
0.00,NoDOGE,1,40,0.99665850
0.00,NoDOGE,1,50,0.99665850
0.00,NoDOGE,1,60,0.99665850
0.00,NoDOGE,1,70,0.99665850
0.00,NoDOGE,1,80,0.88464816
0.00,NoDOGE,1,90,0.88464816
0.00,NoDOGE,1,100,0.73387672
0.00,NoDOGE,1,110,0.73387672
0.00,NoDOGE,1,120,0.73387672
0.00,NoDOGE,1,130,0.73387672
0.00,NoDOGE,1,140,0.82314709
0.00,NoDOGE,1,150,0.81711093
0.00,NoDOGE,2,0,1.00000000
0.00,NoDOGE,2,10,0.86137821
0.00,NoDOGE,2,20,0.86137821
0.00,NoDOGE,2,30,0.98620348
0.00,NoDOGE,2,40,0.86381531
0.00,NoDOGE,2,50,0.86381531
0.00,NoDOGE,2,60,0.86381531
0.00,NoDOGE,2,70,0.86381531
0.00,NoDOGE,2,80,2.38287204
0.00,NoDOGE,2,90,2.38287204
0.00,NoDOGE,2,100,2.38287204
0.00,NoDOGE,2,110,2.72677077
0.00,NoDOGE,3,0,1.00000000
0.00,NoDOGE,3,10,1.54000341
0.00,NoDOGE,3,20,2.16407847
0.00,NoDOGE,3,30,1.48716400
0.00,NoDOGE,3,40,1.48716400
0.00,NoDOGE,3,50,2.82379028
0.00,NoDOGE,3,60,2.85300760
0.00,NoDOGE,3,70,2.85300760
0.00,NoDOGE,4,0,1.00000000
0.00,NoDOGE,4,10,1.21256058
0.00,NoDOGE,4,20,0.95007931
0.00,NoDOGE,4,30,0.95007931
0.00,NoDOGE,4,40,0.95007931
0.00,NoDOGE,4,50,0.95007931
0.00,NoDOGE,4,60,0.95007931
0.00,NoDOGE,4,70,1.10220645
0.00,NoDOGE,4,80,1.05369866
0.00,NoDOGE,4,90,1.05369866
0.00,NoDOGE,4,100,1.05369866
0.00,NoDOGE,5,0,1.00000000
0.00,NoDOGE,5,10,0.92393516
0.00,NoDOGE,5,20,1.07690470
0.00,NoDOGE,5,30,1.07690470
0.00,NoDOGE,5,40,1.07690470
0.00,NoDOGE,5,50,1.04822406
0.00,NoDOGE,5,60,1.41503129
0.00,NoDOGE,5,70,1.41503129
0.00,NoDOGE,5,80,1.21286867
0.00,NoDOGE,5,90,1.21286867
0.00,NoDOGE,5,100,1.13666444
0.00,NoDOGE,5,110,1.05525319
0.00,Legacy4,0,0,1.00000000
0.00,Legacy4,0,10,1.00000000
0.00,Legacy4,0,20,0.99968358
0.00,Legacy4,0,30,1.11755561
0.00,Legacy4,0,40,1.31919227
0.00,Legacy4,0,50,1.19995592
0.00,Legacy4,0,60,1.51071718
0.00,Legacy4,0,70,2.21148509
0.00,Legacy4,0,80,1.97340419
0.00,Legacy4,1,0,1.00000000
0.00,Legacy4,1,10,0.81547870
0.00,Legacy4,1,20,0.82386791
0.00,Legacy4,1,30,0.82111495
0.00,Legacy4,1,40,0.82111495
0.00,Legacy4,1,50,0.82111495
0.00,Legacy4,1,60,1.06451543
0.00,Legacy4,1,70,0.82277161
0.00,Legacy4,1,80,0.82277161
0.00,Legacy4,1,90,0.82277161
0.00,Legacy4,1,100,0.82277161
0.00,Legacy4,2,0,1.00000000
0.00,Legacy4,2,10,1.00000000
0.00,Legacy4,2,20,1.00000000
0.00,Legacy4,2,30,0.97455877
0.00,Legacy4,2,40,1.14491344
0.00,Legacy4,2,50,1.00282931
0.00,Legacy4,2,60,1.00282931
0.00,Legacy4,2,70,1.00282931
0.00,Legacy4,2,80,0.88983799
0.00,Legacy4,2,90,2.28732025
0.00,Legacy4,2,100,2.28732025
0.00,Legacy4,2,110,2.28732025
0.00,Legacy4,2,120,3.11014122
0.00,Legacy4,3,0,1.00000000
0.00,Legacy4,3,10,1.05218558
0.00,Legacy4,3,20,1.49766112
0.00,Legacy4,3,30,1.77879917
0.00,Legacy4,3,40,1.61039641
0.00,Legacy4,3,50,2.19054310
0.00,Legacy4,3,60,2.19054310
0.00,Legacy4,3,70,1.86061238
0.00,Legacy4,3,80,1.86061238
0.00,Legacy4,4,0,1.00000000
0.00,Legacy4,4,10,1.14956704
0.00,Legacy4,4,20,1.14956704
0.00,Legacy4,4,30,1.16418985
0.00,Legacy4,4,40,1.16724013
0.00,Legacy4,4,50,1.16724013
0.00,Legacy4,4,60,1.16724013
0.00,Legacy4,4,70,1.16068740
0.00,Legacy4,4,80,1.16068740
0.00,Legacy4,4,90,1.16068740
0.00,Legacy4,4,100,1.10960588
