em,runs_pass,runs_total,pass_pct,avg_sharpe,avg_ret_pct,avg_dd,total_trades
0.94,42,54,77.78,5.3447,72.9772,28.25,486
1.07,41,54,75.93,7.8590,91.9088,24.77,428
1.08,41,54,75.93,7.8423,91.7266,24.84,427
1.09,41,54,75.93,7.4184,88.9512,25.22,427
1.10,41,54,75.93,7.4184,88.9512,25.22,427
1.15,41,54,75.93,6.2475,78.7479,24.41,418
0.95,41,54,75.93,5.2724,77.6430,29.04,479
0.91,41,54,75.93,5.2687,74.1981,28.27,490
0.88,41,54,75.93,5.2058,75.5114,28.64,497
0.92,41,54,75.93,5.1843,73.0103,28.57,490
0.90,41,54,75.93,5.1015,73.3797,28.43,492
0.89,41,54,75.93,5.0726,73.1611,28.45,495
0.93,41,54,75.93,4.9264,71.2416,29.09,490
1.16,40,54,74.07,6.7656,72.9872,24.23,412
0.87,40,54,74.07,4.9663,73.8397,28.86,505
0.86,40,54,74.07,4.8830,72.0885,28.86,508
0.84,40,54,74.07,4.8039,70.1479,28.80,512
0.83,40,54,74.07,4.8022,68.7117,27.90,512
0.85,40,54,74.07,4.7894,70.0041,28.86,512
0.04,40,54,74.07,3.3858,105.8219,34.78,712
0.01,40,54,74.07,3.1994,105.9797,35.40,721
0.02,40,54,74.07,3.1509,105.6421,35.33,715
0.00,40,54,74.07,3.1471,105.3297,35.41,721
0.03,40,54,74.07,3.0730,102.1058,35.47,714
1.05,39,54,72.22,7.7446,91.6825,25.12,431
1.06,39,54,72.22,7.7446,91.6825,25.12,431
1.04,39,54,72.22,7.6719,90.0625,27.24,437
1.20,39,54,72.22,7.4168,76.9164,23.49,397
1.17,39,54,72.22,6.7912,73.4698,23.72,409
1.03,39,54,72.22,6.2483,76.0397,29.00,453
1.11,39,54,72.22,6.1000,83.3315,25.57,427
1.00,39,54,72.22,5.8860,76.7062,28.95,456
0.99,39,54,72.22,5.7036,77.0530,29.01,462
1.01,39,54,72.22,5.6271,75.9778,29.03,456
1.02,39,54,72.22,5.6271,75.9778,29.03,456
0.98,39,54,72.22,5.2072,76.4627,29.52,467
0.97,39,54,72.22,5.1792,75.8320,29.64,470
0.96,39,54,72.22,5.1161,75.2896,29.68,476
0.24,39,54,72.22,4.5646,105.6758,32.93,667
0.25,39,54,72.22,4.5403,106.0799,32.93,667
0.26,39,54,72.22,4.3293,99.6948,33.19,662
0.82,39,54,72.22,4.2628,65.8652,29.21,518
0.81,39,54,72.22,4.2308,65.6246,29.39,520
0.79,39,54,72.22,3.7675,57.1216,30.63,528
0.80,39,54,72.22,3.7278,57.2425,30.88,528
0.06,39,54,72.22,3.4004,104.3214,34.56,709
0.05,39,54,72.22,3.3755,103.9801,34.86,711
1.14,38,54,70.37,5.8007,78.5732,26.52,423
1.13,38,54,70.37,5.6794,78.3167,26.52,425
1.12,38,54,70.37,5.5449,77.0656,26.74,427
0.23,38,54,70.37,4.2461,99.9340,33.36,670
1.28,37,54,68.52,15.4205,67.1470,22.93,366
1.29,37,54,68.52,14.7895,60.3093,23.79,366
1.30,37,54,68.52,14.7781,59.8016,23.79,366
1.26,37,54,68.52,7.7465,69.1466,22.82,371
1.27,37,54,68.52,7.5413,68.2593,22.88,371
1.25,37,54,68.52,7.4125,68.0766,23.36,379
1.19,37,54,68.52,6.8799,75.1860,23.91,405
1.18,37,54,68.52,6.6051,70.5964,24.14,408
0.08,37,54,68.52,4.5296,112.0860,32.39,696
0.09,37,54,68.52,4.4306,108.4440,32.81,696
0.11,37,54,68.52,4.3238,107.7358,33.06,693
0.10,37,54,68.52,4.2982,107.5681,33.24,696
0.12,37,54,68.52,4.2298,108.4478,32.83,684
0.07,37,54,68.52,4.1066,107.5849,33.82,701
0.13,37,54,68.52,4.0372,103.3442,33.38,684
0.21,37,54,68.52,3.9654,86.9690,33.99,676
0.22,37,54,68.52,3.9605,86.9212,34.06,675
0.14,37,54,68.52,3.9012,95.5575,33.34,680
0.15,37,54,68.52,3.8334,94.1401,33.70,680
0.16,37,54,68.52,3.6228,87.8560,33.87,680
0.75,37,54,68.52,3.3026,52.0091,32.27,536
0.74,37,54,68.52,3.2762,51.4964,32.53,537
0.78,37,54,68.52,3.1721,50.0285,32.95,530
1.31,36,54,66.67,14.5932,59.4946,24.06,366
