em,universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
0.00,Base5,0,379.5913,9.4792,54.60,14,57.14,true
0.00,Base5,1,925.6927,7.3288,11.73,11,63.64,true
0.00,Base5,2,213.4453,7.5610,25.05,12,75.00,true
0.00,Base5,3,68.7150,5.2642,40.25,15,66.67,true
0.00,Base5,4,3.3715,1.3314,29.61,13,53.85,true
0.00,Base5,5,3.1592,1.4874,27.10,13,38.46,true
0.00,NoDOGE,0,379.5913,9.4792,54.60,14,57.14,true
0.00,NoDOGE,1,-18.2889,-3.8160,26.61,9,44.44,false
0.00,NoDOGE,2,142.8462,5.8302,25.05,13,53.85,true
0.00,NoDOGE,3,185.3008,9.4825,31.91,14,78.57,true
0.00,NoDOGE,4,3.3715,1.3314,29.61,13,53.85,true
0.00,NoDOGE,5,3.1592,1.4874,27.10,13,38.46,true
0.00,Legacy4,0,129.0441,9.7389,10.77,14,57.14,true
0.00,Legacy4,1,18.6460,2.9607,27.97,13,46.15,true
0.00,Legacy4,2,133.1082,5.6641,25.05,12,50.00,true
0.00,Legacy4,3,74.5326,5.8099,42.16,14,57.14,true
0.00,Legacy4,4,31.5061,4.1342,27.05,12,58.33,true
0.00,Legacy4,5,-31.7390,-3.0525,35.32,14,21.43,false
0.00,Legacy5BNB,0,245.7301,13.0194,10.53,14,64.29,true
0.00,Legacy5BNB,1,18.6499,3.3978,22.71,11,36.36,true
0.00,Legacy5BNB,2,133.1082,5.6641,25.05,12,50.00,true
0.00,Legacy5BNB,3,154.1722,10.4739,17.58,13,61.54,true
0.00,Legacy5BNB,4,50.1173,6.5371,14.84,10,60.00,true
0.00,Legacy5BNB,5,-57.0628,-9.4403,57.64,12,25.00,false
0.00,OldGuardNoBNB,0,238.1288,8.3334,39.12,15,53.33,true
0.00,OldGuardNoBNB,1,-56.9111,-10.2018,57.66,13,30.77,false
0.00,OldGuardNoBNB,2,133.1082,5.6641,25.05,12,50.00,true
0.00,OldGuardNoBNB,3,74.5326,5.8099,42.16,14,57.14,true
0.00,OldGuardNoBNB,4,31.5061,4.1342,27.05,12,58.33,true
0.00,OldGuardNoBNB,5,-60.8128,-10.0923,60.81,15,20.00,false
0.00,LargeCaps5,0,379.5913,9.4792,54.60,14,57.14,true
0.00,LargeCaps5,1,-18.2889,-3.8160,26.61,9,44.44,false
0.00,LargeCaps5,2,142.8462,5.8302,25.05,13,53.85,true
0.00,LargeCaps5,3,72.2119,5.6281,39.57,13,69.23,true
0.00,LargeCaps5,4,15.6487,2.6896,23.49,12,58.33,true
