bar,baseline,winner,runner_up1,mid_range
0,1.000000,1.000000,1.000000,1.000000
1,1.001067,1.005451,1.005451,1.005451
2,1.040407,0.993838,0.993838,0.993838
3,1.001666,1.014672,1.014672,1.014672
4,1.001666,1.014672,1.014672,1.014672
5,1.030722,1.014672,1.014672,1.014672
6,1.025585,1.014672,1.014672,1.035004
7,1.081888,1.014672,1.014672,1.013174
8,1.080049,0.967373,0.967373,1.013174
9,1.130321,0.998694,0.998694,1.047158
10,1.108050,1.024455,1.024455,1.028888
11,1.116710,1.014778,1.014778,1.020166
12,1.116710,1.007463,1.007463,1.012812
13,1.140177,0.993709,1.007463,0.998986
14,1.175922,0.993709,1.044037,1.033869
15,1.221624,1.019845,1.097033,1.073374
16,1.158894,1.072687,1.035650,1.062264
17,1.154635,1.072687,1.035650,1.057028
18,1.140384,1.063311,1.035650,1.057028
19,1.171010,1.063311,1.035650,1.057028
20,1.191842,1.063311,1.035650,1.057028
21,1.226607,1.070049,1.042213,1.101005
22,1.207709,1.070049,1.042213,1.101005
23,1.207709,1.070049,1.042213,1.085128
24,1.229601,1.070049,1.042213,1.085128
25,1.206545,1.093328,1.064887,1.085128
26,1.221005,1.101693,1.073033,1.104432
27,1.201776,1.101693,1.073033,1.104432
28,1.174524,1.121292,1.092123,1.135390
29,1.174524,1.121292,1.102817,1.121604
30,1.226505,1.126215,1.096136,1.109936
31,1.216081,1.137244,1.096136,1.032866
32,1.199089,1.097558,1.069006,1.007302
33,1.180013,1.021347,1.069006,0.984976
34,1.178425,1.021347,1.069006,0.984976
35,1.193516,1.021347,1.069006,0.977989
36,1.260719,1.001967,1.069006,0.979219
37,1.281868,1.001967,1.069006,0.972694
38,1.263805,1.001967,1.069006,0.972694
39,1.263805,0.995291,1.061883,0.975876
40,1.263805,0.995291,1.061883,1.002190
41,1.247580,0.995291,1.061883,0.988580
42,1.247580,1.033883,1.074095,1.023659
43,1.255664,1.033883,1.097393,1.071687
44,1.255664,1.048469,1.112875,1.070327
45,1.255664,1.048469,1.112875,1.121168
46,1.255664,1.048469,1.112875,1.118370
47,1.255664,1.012905,1.075127,1.118370
48,1.233334,1.010705,1.072791,1.104011
49,1.349091,1.044360,1.108514,1.140774
50,1.349091,1.044360,1.108514,1.148166
51,1.349091,1.028207,1.091369,1.130407
52,1.349091,1.009923,1.071961,1.110305
53,1.328573,1.009923,1.071961,1.110305
54,1.328573,1.011193,1.071961,1.110305
55,1.372496,1.035169,1.071961,1.120773
56,1.382655,1.073612,1.071961,1.120773
57,1.581349,1.077123,1.071961,1.141114
