em,window_idx,equity_mult,ret_pct,sharpe,max_dd_pct,trades,pass
0.60,0,3.402013,240.20,8.4126,33.18,13,true
0.60,1,4.437985,343.80,6.9594,16.09,11,true
0.60,2,2.535272,153.53,7.3584,35.07,13,true
0.60,3,1.763225,76.32,5.1103,49.59,16,true
0.60,4,1.667743,66.77,9.9311,19.62,9,true
0.60,5,1.201786,20.18,3.1750,31.97,12,true
0.65,0,2.990099,199.01,7.7447,33.18,13,true
0.65,1,4.437985,343.80,6.9594,16.09,11,true
0.65,2,4.965474,396.55,17.1252,9.67,11,true
0.65,3,1.763225,76.32,5.1103,49.59,16,true
0.65,4,1.667743,66.77,9.9311,19.62,9,true
0.65,5,1.462659,46.27,4.5796,18.73,11,true
0.70,0,1.741795,74.18,5.4070,57.62,12,true
0.70,1,4.437985,343.80,6.9594,16.09,11,true
0.70,2,4.965474,396.55,17.1252,9.67,11,true
0.70,3,1.763225,76.32,5.1103,49.59,16,true
0.70,4,1.667743,66.77,9.9311,19.62,9,true
0.70,5,1.662650,66.27,5.7570,18.73,10,true
0.75,0,1.741795,74.18,5.4070,57.62,12,true
0.75,1,4.437985,343.80,6.9594,16.09,11,true
0.75,2,2.839504,183.95,8.4657,35.07,12,true
0.75,3,1.604018,60.40,4.5627,49.59,16,true
0.75,4,1.046425,4.64,1.9616,36.74,10,true
0.75,5,1.456701,45.67,5.0692,18.73,9,true
0.80,0,1.741795,74.18,5.4070,57.62,12,true
0.80,1,3.931815,293.18,6.7360,16.09,11,true
0.80,2,2.802319,180.23,8.3662,35.07,12,true
0.80,3,1.604018,60.40,4.5627,49.59,16,true
0.80,4,1.255643,25.56,3.2774,31.19,10,true
0.80,5,1.456701,45.67,5.0692,18.73,9,true
0.85,0,1.218385,21.84,3.9175,57.62,12,true
0.85,1,2.526682,152.67,5.7220,35.94,11,true
0.85,2,2.802319,180.23,8.3662,35.07,12,true
0.85,3,1.122483,12.25,2.7045,41.03,15,true
0.85,4,1.726757,72.68,11.3660,19.68,8,true
0.85,5,1.456701,45.67,5.0692,18.73,9,true
0.90,0,1.218385,21.84,3.9175,57.62,12,true
0.90,1,2.526682,152.67,5.7220,35.94,11,true
0.90,2,5.628666,462.87,11.2920,35.07,11,true
0.90,3,0.716605,-28.34,-0.3394,54.62,14,false
0.90,4,1.665630,66.56,10.9188,19.68,8,true
0.90,5,1.925489,92.55,7.9395,12.44,8,true
0.95,0,1.218385,21.84,3.9175,57.62,12,true
0.95,1,2.390133,139.01,5.5689,35.94,11,true
0.95,2,5.107517,410.75,11.8416,22.35,10,true
0.95,3,1.331963,33.20,4.1740,28.41,12,true
0.95,4,1.665630,66.56,10.9188,19.68,8,true
0.95,5,1.925489,92.55,7.9395,12.44,8,true
1.00,0,0.969988,-3.00,2.5590,57.62,12,false
1.00,1,2.390133,139.01,5.5689,35.94,11,true
1.00,2,5.107517,410.75,11.8416,22.35,10,true
1.00,3,1.331963,33.20,4.1740,28.41,12,true
1.00,4,1.465311,46.53,8.4626,27.10,7,true
1.00,5,2.074744,107.47,9.4681,8.49,7,true
1.05,0,2.358004,135.80,8.8750,18.88,9,true
1.05,1,2.390133,139.01,5.5689,35.94,11,true
1.05,2,5.218000,421.80,11.8439,22.35,10,true
1.05,3,1.331963,33.20,4.1740,28.41,12,true
1.05,4,1.465311,46.53,8.4626,27.10,7,true
1.05,5,2.090102,109.01,10.6841,8.20,6,true
1.10,0,2.358004,135.80,8.8750,18.88,9,true
1.10,1,2.390133,139.01,5.5689,35.94,11,true
1.10,2,5.218000,421.80,11.8439,22.35,10,true
1.10,3,1.331963,33.20,4.1740,28.41,12,true
1.10,4,1.012394,1.24,1.5830,19.65,6,true
1.10,5,2.090102,109.01,10.6841,8.20,6,true
