em,global_pass,global_total,pass_pct,avg_sharpe,avg_return_pct,avg_max_dd_pct,total_trades
0.85,44,54,81.48,6.1225,92.33,0.00,527
0.90,43,54,79.63,5.9080,99.54,0.00,507
1.05,39,54,72.22,5.6666,102.45,0.00,460
0.70,43,54,79.63,5.6491,107.00,0.00,580
1.00,37,54,68.52,5.4754,94.42,0.00,474
0.95,40,54,74.07,5.4390,96.40,0.00,487
0.80,41,54,75.93,5.1801,100.11,0.00,549
0.65,41,54,75.93,5.0957,110.06,0.00,600
1.10,39,54,72.22,5.0393,97.77,0.00,456
0.60,41,54,75.93,4.4366,91.25,0.00,615
0.75,42,54,77.78,4.2819,85.17,0.00,564
