atr_entry_mult,universe,window,train_end,test_end,ret_pct,sharpe,trades,win_rate_pct,max_dd_pct,pass
0.00,Base5,0,252,504,8755.1105,5.5314,79,55.6962,78.8736,1
0.00,Base5,1,504,756,-32.1285,1.0283,59,47.4576,83.5107,1
0.00,Base5,2,756,1008,280.2357,3.1829,69,47.8261,57.0654,1
0.00,Base5,3,1008,1260,375.1631,2.7443,105,49.5238,85.1195,1
0.00,Base5,4,1260,1512,570.9755,5.2967,62,58.0645,47.1599,1
0.00,Base5,5,1512,1764,-38.0530,-0.0995,66,39.3939,73.3616,1
0.00,Base5,6,1764,2016,72.3198,1.7622,82,47.5610,66.2255,1
0.00,NoDOGE,0,252,504,8755.1105,5.5314,79,55.6962,78.8736,1
0.00,NoDOGE,1,504,756,-33.2242,-0.1081,54,48.1481,75.4268,1
0.00,NoDOGE,2,756,1008,1643.5977,5.1596,67,50.7463,39.9766,1
0.00,NoDOGE,3,1008,1260,532.6457,2.9901,107,50.4673,85.1195,1
0.00,NoDOGE,4,1260,1512,570.9755,5.2967,62,58.0645,47.1599,1
0.00,NoDOGE,5,1512,1764,-32.7973,-0.1046,58,37.9310,71.1015,1
0.00,NoDOGE,6,1764,2016,1.0823,0.6103,75,46.6667,68.3800,1
0.00,Legacy4,0,252,504,-33.7991,0.1784,78,44.8718,69.0672,1
0.00,Legacy4,1,504,756,-14.3166,0.5878,72,45.8333,79.4128,1
0.00,Legacy4,2,756,1008,473.2060,3.4742,72,45.8333,51.8383,1
0.00,Legacy4,3,1008,1260,2871.9653,4.5849,99,53.5354,78.5400,1
0.00,Legacy4,4,1260,1512,253.8257,4.0938,54,57.4074,66.9500,1
0.00,Legacy4,5,1512,1764,-54.2667,-1.4214,50,42.0000,70.5356,1
0.00,Legacy4,6,1764,2016,10.0103,0.8461,72,51.3889,56.7071,1
0.00,Legacy5BNB,0,252,504,128.2998,2.1845,89,52.8090,72.4636,1
0.00,Legacy5BNB,1,504,756,25.7092,1.3041,71,49.2958,73.1818,1
0.00,Legacy5BNB,2,756,1008,229.6362,2.8344,74,45.9459,58.0481,1
0.00,Legacy5BNB,3,1008,1260,78077.7834,6.7567,96,59.3750,78.5400,0
0.00,Legacy5BNB,4,1260,1512,900.1903,6.0091,63,60.3175,52.5868,1
0.00,Legacy5BNB,5,1512,1764,-67.5247,-2.4543,57,38.5965,76.9878,1
