atr_entry_mult,universe,window,step,equity
0.00,Base5,0,0,1.00000000
0.00,Base5,0,2,1.40835959
0.00,Base5,0,4,1.54080332
0.00,Base5,0,6,1.48873511
0.00,Base5,0,8,1.43716149
0.00,Base5,0,10,1.43716149
0.00,Base5,0,12,1.23707169
0.00,Base5,0,14,1.23707169
0.00,Base5,0,16,1.23707169
0.00,Base5,0,18,1.23707169
0.00,Base5,0,20,1.23707169
0.00,Base5,0,22,1.23707169
0.00,Base5,0,24,1.23707169
0.00,Base5,0,26,1.23707169
0.00,Base5,0,28,1.04792156
0.00,Base5,0,30,0.65289959
0.00,Base5,0,32,0.65289959
0.00,Base5,0,34,0.65289959
0.00,Base5,0,36,0.65289959
0.00,Base5,0,38,0.65289959
0.00,Base5,0,40,0.64848927
0.00,Base5,0,42,0.64848927
0.00,Base5,0,44,0.64848927
0.00,Base5,0,46,0.64848927
0.00,Base5,0,48,0.64848927
0.00,Base5,0,50,0.64848927
0.00,Base5,0,52,0.64848927
0.00,Base5,0,54,0.64848927
0.00,Base5,0,56,0.64848927
0.00,Base5,0,58,0.64848927
0.00,Base5,0,60,0.64848927
0.00,Base5,0,62,0.64848927
0.00,Base5,0,64,0.64848927
0.00,Base5,0,66,0.64848927
0.00,Base5,0,68,0.64848927
0.00,Base5,0,70,0.64848927
0.00,Base5,0,72,0.64848927
0.00,Base5,0,74,0.64848927
0.00,Base5,0,76,0.63871844
0.00,Base5,0,78,0.63871844
0.00,Base5,0,80,0.63871844
0.00,Base5,0,82,0.63871844
0.00,Base5,0,84,0.63871844
0.00,Base5,0,86,0.52373979
0.00,Base5,0,88,0.42714912
0.00,Base5,0,90,0.34603432
0.00,Base5,0,92,0.34603432
0.00,Base5,0,94,0.34603432
0.00,Base5,0,96,0.34603432
0.00,Base5,0,98,0.34603432
0.00,Base5,0,100,0.34603432
0.00,Base5,0,102,0.34603432
0.00,Base5,0,104,0.38638345
0.00,Base5,0,106,0.38638345
0.00,Base5,0,108,0.55295765
0.00,Base5,0,110,0.74779670
0.00,Base5,0,112,0.74779670
0.00,Base5,0,114,1.26296775
0.00,Base5,0,116,1.50556969
0.00,Base5,0,118,1.74120081
0.00,Base5,0,120,2.03259283
0.00,Base5,0,122,4.57667692
0.00,Base5,0,124,6.57434213
0.00,Base5,0,126,6.00659922
0.00,Base5,0,128,6.00659922
0.00,Base5,0,130,11.83050444
0.00,Base5,0,132,20.41389067
0.00,Base5,0,134,30.18525138
0.00,Base5,0,136,63.79985375
0.00,Base5,0,138,75.46476800
0.00,Base5,0,140,79.55993794
0.00,Base5,0,142,68.71316362
0.00,Base5,0,144,68.71316362
0.00,Base5,0,146,68.71316362
0.00,Base5,0,148,68.71316362
0.00,Base5,0,150,68.71316362
0.00,Base5,0,152,68.71316362
0.00,Base5,0,154,68.71316362
0.00,Base5,0,156,68.71316362
0.00,Base5,0,158,68.71316362
0.00,Base5,0,160,68.71316362
0.00,Base5,0,162,71.70850612
0.00,Base5,0,164,61.52899322
0.00,Base5,0,166,61.52899322
0.00,Base5,0,168,61.52899322
0.00,Base5,0,170,61.52899322
0.00,Base5,0,172,85.85171183
0.00,Base5,0,174,100.44372049
0.00,Base5,0,176,100.89610368
0.00,Base5,0,178,104.68322485
0.00,Base5,0,180,110.57148782
0.00,Base5,0,182,111.50802108
0.00,Base5,0,184,117.02551008
0.00,Base5,0,186,106.07428402
0.00,Base5,0,188,89.92951883
0.00,Base5,0,190,78.93839051
0.00,Base5,0,192,78.93839051
0.00,Base5,0,194,78.93839051
0.00,Base5,0,196,72.78437215
0.00,Base5,0,198,76.68755074
0.00,Base5,0,200,67.83400141
0.00,Base5,0,202,57.35682414
0.00,Base5,0,204,57.35682414
0.00,Base5,0,206,70.19384373
0.00,Base5,0,208,85.06612080
0.00,Base5,0,210,102.79113674
0.00,Base5,0,212,137.97341025
0.00,Base5,0,214,168.04800737
0.00,Base5,0,216,158.31912112
