atr_entry_mult,bar,mean_equity
0.00,0,1.00000000
0.00,2,1.01445399
0.00,4,0.99842876
0.00,6,1.07188519
0.00,8,1.14769655
0.00,10,1.19741443
0.00,12,1.20633031
0.00,14,1.13670541
0.00,16,1.11918733
0.00,18,1.12886407
0.00,20,1.13392127
0.00,22,1.20002289
0.00,24,1.24569625
0.00,26,1.31104566
0.00,28,1.30620468
0.00,30,1.43143685
0.00,32,1.39619147
0.00,34,1.40004198
0.00,36,1.40808667
0.00,38,1.43804104
0.00,40,1.46787480
0.00,42,1.36454892
0.00,44,1.33331478
0.00,46,1.34252650
0.00,48,1.35616253
0.00,50,1.37509757
0.00,52,1.44091535
0.00,54,1.43968415
0.00,56,1.43316766
0.00,58,1.45337850
0.00,60,1.40118545
0.00,62,1.29268228
0.00,64,1.35446263
0.00,66,1.37646387
0.00,68,1.42957916
0.00,70,1.45479073
0.00,72,1.61172279
0.00,74,1.62380334
0.00,76,1.63065311
0.00,78,1.65452197
0.00,80,1.75027422
0.00,82,1.67566971
0.00,84,1.68020317
0.00,86,1.71593731
0.00,88,1.85141730
0.00,90,1.85532996
0.00,92,1.85615704
0.00,94,1.86255432
0.00,96,1.90200837
0.00,98,1.76976134
0.00,100,1.77547150
0.00,102,1.85490963
0.00,104,1.83170656
0.00,106,1.88721714
0.00,108,2.00387130
0.00,110,1.77009302
0.00,112,1.75400086
0.00,114,1.64487191
0.00,116,1.66309570
0.00,118,1.66309570
0.00,120,1.90132296
0.00,122,1.75034815
0.00,124,1.73556440
0.00,126,1.80515236
0.00,128,1.90248253
0.00,130,2.06642917
0.00,132,2.06118515
0.00,134,2.07114230
0.00,136,1.18750257
0.00,138,1.09559382
0.00,140,1.09833236
0.00,142,1.21766833
0.00,144,1.20589571
0.00,146,1.25673482
0.00,148,1.25673482
0.00,150,1.33881289
0.00,152,1.18187766
0.00,154,1.18187766
0.50,0,1.00000000
0.50,2,0.98644854
0.50,4,0.99028827
0.50,6,1.01992823
0.50,8,1.01523620
0.50,10,1.05722670
0.50,12,1.06988381
0.50,14,1.07800754
0.50,16,1.13950368
0.50,18,1.11078535
0.50,20,1.09988931
0.50,22,1.09814708
0.50,24,1.09392170
0.50,26,1.08905383
0.50,28,1.12998211
0.50,30,1.14792739
0.50,32,1.09499335
0.50,34,1.08353813
0.50,36,1.08502749
0.50,38,1.07607557
0.50,40,1.07496042
0.50,42,1.09903709
0.50,44,1.10364839
0.50,46,1.14973358
0.50,48,1.15898814
0.50,50,1.18380006
0.50,52,1.15738871
0.50,54,1.14573863
0.50,56,1.17688584
0.50,58,1.14308094
0.50,60,1.12408449
0.50,62,1.12994384
0.50,64,1.12310422
0.50,66,1.10015593
0.50,68,1.10077622
0.50,70,1.08847309
0.50,72,1.16599158
0.50,74,1.21211625
0.50,76,1.28705333
0.50,78,1.30827946
0.50,80,1.32826977
0.50,82,1.33132526
0.50,84,1.34475502
0.50,86,1.50096937
0.50,88,1.65455806
0.50,90,1.64230955
0.50,92,1.62434932
0.50,94,1.61518539
0.50,96,1.62560787
0.50,98,1.69854520
0.50,100,1.80563596
0.50,102,1.79953095
0.50,104,1.92840441
0.50,106,1.89892027
0.50,108,1.86220992
0.50,110,1.85708523
0.50,112,1.91620541
0.50,114,1.87536121
0.50,116,1.83108902
0.50,118,1.84212011
0.50,120,1.81806938
0.50,122,1.72789302
0.50,124,1.82824750
0.50,126,1.82860229
0.50,128,1.38621375
0.50,130,1.37396020
0.50,132,1.26047779
0.50,134,1.24025941
0.50,136,1.30002833
0.50,138,1.41164526
0.50,140,1.46161579
0.50,142,1.46998460
0.50,144,1.03929837
0.50,146,1.04286971
0.50,148,1.05794334
0.50,150,1.04459468
0.50,152,1.06320907
0.50,154,1.06320907
0.50,156,1.14578105
0.50,158,1.19983855
0.50,160,1.02520143
0.50,162,1.12569161
0.50,164,1.12715084
0.50,166,1.24542901
0.50,168,1.24542901
0.50,170,1.24542901
0.50,172,1.24542901
0.50,174,1.24542901
0.50,176,1.24542901
0.50,178,1.24542901
0.50,180,1.24542901
0.50,182,0.99691245
0.50,184,0.99691245
0.50,186,0.99691245
0.85,0,1.00000000
0.85,2,0.98901857
0.85,4,0.99501279
0.85,6,1.00235572
0.85,8,0.95558134
0.85,10,0.98664279
0.85,12,0.98723715
0.85,14,0.99290185
0.85,16,0.99918744
0.85,18,1.00510812
0.85,20,1.01307771
0.85,22,1.01307771
0.85,24,1.01881092
0.85,26,1.03373482
0.85,28,1.06368361
0.85,30,1.04370103
0.85,32,1.03810511
0.85,34,1.01409367
0.85,36,1.01409367
0.85,38,1.00448524
0.85,40,1.00785499
0.85,42,1.04562721
0.85,44,1.05024289
0.85,46,1.04920310
0.85,48,1.06975255
0.85,50,1.07112147
0.85,52,1.06870562
0.85,54,1.07051825
0.85,56,1.07115410
0.85,58,1.07522144
