mult,universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
0,Base5,0,374.29,7.0171,27.57,14,64.29,true
0,Base5,1,128.84,3.5223,56.65,11,63.64,true
0,Base5,2,-0.13,1.1607,53.61,14,57.14,false
0,Base5,3,-39.48,0.5336,67.86,17,47.06,false
0,Base5,4,42.96,3.8973,30.20,10,60.00,true
0,Base5,5,12.24,2.0195,42.25,14,50.00,true
0,NoDOGE,0,374.29,7.0171,27.57,14,64.29,true
0,NoDOGE,1,-27.87,-2.3234,40.98,9,33.33,false
0,NoDOGE,2,-20.02,0.5707,53.61,15,46.67,false
0,NoDOGE,3,38.99,3.4468,56.37,17,52.94,true
0,NoDOGE,4,42.96,3.8973,30.20,10,60.00,true
0,NoDOGE,5,31.55,2.7164,25.42,12,66.67,true
0,Legacy4,0,-1.99,1.2486,44.79,16,37.50,false
0,Legacy4,1,-14.74,-0.5500,28.94,12,33.33,false
0,Legacy4,2,-23.04,-0.5846,41.04,12,50.00,false
0,Legacy4,3,29.54,3.1625,54.02,16,56.25,true
0,Legacy4,4,-3.24,0.4704,30.43,10,40.00,false
0,Legacy4,5,7.87,1.4885,33.30,11,54.55,true
0,Legacy5BNB,0,-7.84,0.9547,55.09,17,35.29,false
0,Legacy5BNB,1,-39.31,-3.9219,46.63,12,33.33,false
0,Legacy5BNB,2,-33.14,-1.3490,41.04,12,50.00,false
0,Legacy5BNB,3,51.80,3.8205,43.96,15,60.00,true
0,Legacy5BNB,4,47.07,5.1395,11.09,8,62.50,true
0,Legacy5BNB,5,-39.49,-4.5614,47.70,11,36.36,false
0,OldGuardNoBNB,0,56.62,3.6237,48.07,18,44.44,true
0,OldGuardNoBNB,1,-66.09,-8.1173,66.09,12,25.00,false
0,OldGuardNoBNB,2,-26.81,-0.8647,41.04,12,50.00,false
0,OldGuardNoBNB,3,29.54,3.1625,54.02,16,56.25,true
0,OldGuardNoBNB,4,-1.43,0.6083,30.43,11,45.45,false
0,OldGuardNoBNB,5,96.54,4.6784,33.30,13,61.54,true
0,LargeCaps5,0,418.86,7.3633,24.72,15,66.67,true
0,LargeCaps5,1,-27.87,-2.3234,40.98,9,33.33,false
0,LargeCaps5,2,-20.02,0.5707,53.61,15,46.67,false
0,LargeCaps5,3,-4.47,1.8905,56.37,16,50.00,false
0,LargeCaps5,4,66.55,5.0768,30.20,10,70.00,true
0,LargeCaps5,5,23.63,2.3179,25.42,12,58.33,true
0,Legacy3,0,48.95,3.4125,30.67,15,46.67,true
0,Legacy3,1,0.77,1.3319,45.31,13,38.46,true
0,Legacy3,2,-10.45,0.7138,49.99,14,35.71,false
0,Legacy3,3,-7.86,1.6520,37.20,14,50.00,false
0,Legacy3,4,-4.97,0.5429,26.25,11,36.36,false
0,Legacy3,5,-31.93,-1.4603,49.03,11,36.36,false
0,LowVolume5,0,-3.55,1.5205,47.62,17,41.18,false
0,LowVolume5,1,-49.36,-2.0908,57.25,14,50.00,false
0,LowVolume5,2,186.92,5.2003,28.09,14,42.86,true
0,LowVolume5,3,196.45,6.5519,49.06,15,66.67,true
0,LowVolume5,4,-35.81,-2.3110,45.80,13,23.08,false
