atr_entry_mult,avg_sharpe,avg_return,total_trades,pass_count,total_windows
1.35,6.9261,67.2,449,0,54
1.30,6.6559,62.9,478,0,54
1.20,5.8300,90.4,511,0,54
1.25,5.8234,82.6,491,0,54
0.90,5.4504,93.0,607,50,54
1.05,5.3005,89.3,545,0,54
0.85,5.2085,81.7,635,52,54
1.15,5.0264,100.6,529,0,54
1.00,4.7498,81.0,567,0,54
0.80,4.7438,100.6,665,0,54
1.10,4.6838,84.5,541,0,54
0.30,4.6141,117.9,811,0,54
0.95,4.6061,85.1,593,0,54
0.25,4.4477,115.8,827,0,54
0.70,4.4414,87.0,706,0,54
0.40,4.3270,109.5,791,0,54
0.35,4.3248,99.7,800,0,54
0.15,4.2703,112.0,857,0,54
0.10,4.1633,114.5,874,0,54
0.20,4.0479,107.5,851,0,54
0.75,4.0297,85.2,681,0,54
0.65,3.8806,83.6,729,0,54
0.05,3.8491,108.6,898,0,54
0.45,3.7288,101.1,777,0,54
0.00,3.6577,114.6,908,45,54
0.50,3.6363,90.2,764,43,54
0.60,3.5107,71.3,747,0,54
0.55,3.3327,69.8,754,0,54
1.40,2.8647,63.7,434,0,54
1.50,1.8635,56.5,400,0,54
2.00,1.4223,25.8,283,0,54
1.45,1.4153,53.3,414,0,54
1.55,-1.2588,35.9,379,0,54
1.60,-3.4299,25.4,373,0,54
1.65,-3.8750,27.2,368,0,54
1.95,-5.1513,27.5,294,0,54
1.70,-13.1887,28.3,362,0,54
1.75,-17.8466,25.2,354,0,54
1.80,-21.7012,30.2,349,0,54
1.90,-37.2362,29.9,324,0,54
1.85,-39.9030,21.4,337,0,54
