atr_entry_mult,universe,window,train_end,test_end,ret_pct,sharpe,trades,win_rate_pct,max_dd_pct,pass
0.00,Base5,0,252,504,155.7611,2.5273,16,50.00,44.8516,true
0.05,Base5,0,252,504,155.7611,2.5273,16,50.00,44.8516,true
0.10,Base5,0,252,504,38.0253,1.5407,16,43.75,65.1732,true
0.15,Base5,0,252,504,351.1301,3.2873,14,57.14,34.1809,true
0.20,Base5,0,252,504,351.1301,3.2873,14,57.14,34.1809,true
0.25,Base5,0,252,504,351.1301,3.2873,14,57.14,34.1809,true
0.30,Base5,0,252,504,133.1565,2.1775,14,50.00,34.1809,true
0.35,Base5,0,252,504,104.3763,1.9554,14,50.00,34.1809,true
0.40,Base5,0,252,504,220.5233,2.2779,13,53.85,34.1809,true
0.45,Base5,0,252,504,293.5940,2.5052,13,53.85,34.1809,true
0.50,Base5,0,252,504,293.5940,2.5052,13,53.85,34.1809,true
0.55,Base5,0,252,504,235.1090,2.3097,13,53.85,34.1809,true
0.60,Base5,0,252,504,235.1090,2.3097,13,53.85,34.1809,true
0.65,Base5,0,252,504,194.5341,2.1516,13,53.85,34.1809,true
0.70,Base5,0,252,504,71.5722,1.4920,12,50.00,58.2583,true
0.75,Base5,0,252,504,71.5722,1.4920,12,50.00,58.2583,true
0.80,Base5,0,252,504,71.5722,1.4920,12,50.00,58.2583,true
0.85,Base5,0,252,504,20.0147,1.0659,12,41.67,58.2583,true
0.90,Base5,0,252,504,20.0147,1.0659,12,41.67,58.2583,true
0.95,Base5,0,252,504,20.0147,1.0659,12,41.67,58.2583,true
1.00,Base5,0,252,504,-4.4531,0.7121,12,41.67,58.2583,false
1.05,Base5,0,252,504,132.2708,1.8285,9,55.56,18.8754,true
1.10,Base5,0,252,504,132.2708,1.8285,9,55.56,18.8754,true
1.15,Base5,0,252,504,163.3559,1.9937,8,62.50,18.8754,true
1.20,Base5,0,252,504,163.3559,1.9937,8,62.50,18.8754,true
1.25,Base5,0,252,504,163.3559,1.9937,8,62.50,18.8754,true
1.30,Base5,0,252,504,163.3559,1.9937,8,62.50,18.8754,true
1.35,Base5,0,252,504,260.6164,2.3123,7,71.43,18.4832,true
1.40,Base5,0,252,504,342.3832,2.6068,6,83.33,4.4944,true
1.45,Base5,0,252,504,265.3993,2.4022,6,83.33,4.4944,true
1.50,Base5,0,252,504,265.3993,2.4022,6,83.33,4.4944,true
1.55,Base5,0,252,504,131.1393,1.8299,5,80.00,4.4944,true
1.60,Base5,0,252,504,131.1393,1.8299,5,80.00,4.4944,true
1.65,Base5,0,252,504,131.1393,1.8299,5,80.00,4.4944,true
1.70,Base5,0,252,504,131.1393,1.8299,5,80.00,4.4944,true
1.75,Base5,0,252,504,99.8959,1.5360,4,75.00,4.4944,true
1.80,Base5,0,252,504,99.8959,1.5360,4,75.00,4.4944,true
1.85,Base5,0,252,504,99.8959,1.5360,4,75.00,4.4944,true
1.90,Base5,0,252,504,99.8959,1.5360,4,75.00,4.4944,true
1.95,Base5,0,252,504,99.8959,1.5360,4,75.00,4.4944,true
2.00,Base5,0,252,504,99.8959,1.5360,4,75.00,4.4944,true
0.00,Base5,1,504,756,990.7540,1.8431,11,81.82,16.0910,true
0.05,Base5,1,504,756,990.7540,1.8431,11,81.82,16.0910,true
0.10,Base5,1,504,756,990.7540,1.8431,11,81.82,16.0910,true
0.15,Base5,1,504,756,990.7540,1.8431,11,81.82,16.0910,true
0.20,Base5,1,504,756,990.7540,1.8431,11,81.82,16.0910,true
0.25,Base5,1,504,756,941.7800,1.8297,11,81.82,16.0910,true
0.30,Base5,1,504,756,454.4953,1.9797,11,72.73,16.0910,true
0.35,Base5,1,504,756,470.5408,1.9971,11,72.73,16.0910,true
0.40,Base5,1,504,756,470.5408,1.9971,11,72.73,16.0910,true
0.45,Base5,1,504,756,470.5408,1.9971,11,72.73,16.0910,true
0.50,Base5,1,504,756,343.7985,1.8341,11,63.64,16.0910,true
0.55,Base5,1,504,756,343.7985,1.8341,11,63.64,16.0910,true
