atr_entry_mult,global_pass,global_total,pass_pct,avg_sharpe,avg_return_pct,avg_max_dd_pct,total_trades
0.00,45,54,83.33,1.8736,151.9243,26.94,707
0.05,45,54,83.33,1.8358,142.7543,27.01,704
0.10,43,54,79.63,1.5878,128.6906,30.19,691
0.15,41,54,75.93,1.5835,140.6010,29.91,674
0.25,41,54,75.93,1.4953,130.7563,30.45,656
0.20,41,54,75.93,1.4842,129.9432,30.62,672
1.25,41,54,75.93,1.3119,84.7332,16.39,356
1.35,42,54,77.78,1.3103,83.1281,16.88,325
1.30,42,54,77.78,1.2843,78.7211,16.43,350
1.15,38,54,70.37,1.1900,106.4839,17.76,391
0.30,38,54,70.37,1.1824,99.4405,32.10,657
0.70,38,54,70.37,1.1730,88.0656,30.40,540
1.20,40,54,74.07,1.1618,90.5276,17.14,372
0.35,38,54,70.37,1.0766,84.3595,32.71,645
0.40,37,54,68.52,1.0585,90.0576,33.15,627
0.65,33,54,61.11,1.0510,89.3288,32.61,566
0.95,43,54,79.63,1.0420,72.1166,26.23,451
1.05,42,54,77.78,1.0117,82.6769,22.82,420
0.90,43,54,79.63,1.0086,77.3376,26.88,468
1.40,35,54,64.81,0.9922,83.4842,16.90,315
0.85,35,54,64.81,0.9910,62.9812,27.69,488
1.00,38,54,70.37,0.9846,69.1626,26.63,439
0.60,33,54,61.11,0.9671,74.1873,34.57,588
0.45,35,54,64.81,0.9589,100.4404,35.34,614
0.55,33,54,61.11,0.9521,73.8926,34.98,601
0.50,33,54,61.11,0.9074,94.1619,35.26,608
0.80,35,54,64.81,0.9035,61.5684,31.91,518
0.75,35,54,64.81,0.8564,59.5310,34.57,528
1.10,41,54,75.93,0.8524,72.6231,23.08,415
1.50,38,54,70.37,0.8407,72.5241,16.58,288
1.45,33,54,61.11,0.7521,70.3886,17.68,294
1.55,33,54,61.11,0.6594,59.4540,17.35,269
1.60,32,54,59.26,0.5140,44.4041,17.59,253
2.00,28,54,51.85,0.4612,30.7129,12.83,192
1.65,32,54,59.26,0.4597,48.2383,17.95,246
1.70,32,54,59.26,0.4140,46.1493,18.27,242
1.75,32,54,59.26,0.3926,44.4481,18.08,235
1.95,28,54,51.85,0.3794,32.6347,14.82,199
1.90,28,54,51.85,0.2854,29.9921,17.03,209
1.80,28,54,51.85,0.2167,40.0444,18.19,228
1.85,28,54,51.85,0.1983,26.9982,17.91,218
