universe,window,threshold,return_pct,sharpe,max_dd_pct,trades,win_rate,pass
Base5,0,0,251.3046,8.018196,58.9716,14,57.14,1
Base5,0,5,207.3763,7.618020,56.7540,13,61.54,1
Base5,0,10,86.8526,5.633157,56.7540,12,58.33,1
Base5,0,15,42.9512,4.516808,56.7540,11,54.55,1
Base5,0,20,40.0771,4.688305,56.7540,10,50.00,1
Base5,0,25,21.4241,3.934629,56.7540,10,40.00,1
Base5,0,30,148.9844,9.140366,21.0915,8,62.50,1
Base5,0,35,14.5529,3.604356,21.0915,7,57.14,1
Base5,0,40,14.9753,3.704027,21.2410,7,42.86,1
Base5,0,45,9.9170,3.121902,24.7060,7,42.86,1
Base5,0,50,19.3318,4.748486,21.0915,6,50.00,1
Base5,0,55,15.3276,4.129413,21.0915,6,50.00,1
Base5,0,60,15.3276,4.129413,21.0915,6,50.00,1
Base5,0,65,15.3276,4.129413,21.0915,6,50.00,1
Base5,0,70,-23.7091,-9.996155,23.7091,4,25.00,0
Base5,0,75,-19.8843,-12.694144,21.0915,3,33.33,0
Base5,0,80,-29.7272,-34.446227,29.7272,3,0.00,0
Base5,0,85,-11.9797,0.000000,11.9797,1,0.00,0
Base5,0,90,0.0000,0.000000,0.0000,0,0.00,0
Base5,0,95,0.0000,0.000000,0.0000,0,0.00,0
Base5,0,100,0.0000,0.000000,0.0000,0,0.00,0
Base5,1,0,747.4586,7.268416,19.4036,11,63.64,1
Base5,1,5,799.0126,7.888456,18.4828,10,70.00,1
Base5,1,10,728.0322,8.340797,15.9541,9,66.67,1
Base5,1,15,689.4662,9.082007,15.9541,8,62.50,1
Base5,1,20,839.3275,9.956657,8.9093,7,71.43,1
Base5,1,25,839.3275,9.956657,8.9093,7,71.43,1
Base5,1,30,839.3275,9.956657,8.9093,7,71.43,1
Base5,1,35,839.3275,9.956657,8.9093,7,71.43,1
Base5,1,40,984.2455,11.797196,0.5333,6,83.33,1
Base5,1,45,908.6782,11.029561,0.5333,6,66.67,1
Base5,1,50,908.6782,11.029561,0.5333,6,66.67,1
Base5,1,55,-5.3513,0.043871,25.6312,4,50.00,0
Base5,1,60,-26.7770,-8.639195,33.5354,2,50.00,0
Base5,1,65,0.0000,0.000000,0.0000,0,0.00,0
Base5,1,70,0.0000,0.000000,0.0000,0,0.00,0
Base5,1,75,0.0000,0.000000,0.0000,0,0.00,0
Base5,1,80,0.0000,0.000000,0.0000,0,0.00,0
Base5,1,85,0.0000,0.000000,0.0000,0,0.00,0
Base5,1,90,0.0000,0.000000,0.0000,0,0.00,0
Base5,1,95,0.0000,0.000000,0.0000,0,0.00,0
Base5,1,100,0.0000,0.000000,0.0000,0,0.00,0
Base5,2,0,41.2773,2.542320,29.9744,15,60.00,1
Base5,2,5,13.8086,1.382572,36.1343,14,57.14,1
Base5,2,10,32.2847,2.779200,33.9520,12,50.00,1
Base5,2,15,50.8879,4.447873,16.5423,11,63.64,1
Base5,2,20,42.7427,3.929872,16.5423,11,63.64,1
Base5,2,25,71.7048,12.195625,10.2675,9,66.67,1
Base5,2,30,71.7048,12.195625,10.2675,9,66.67,1
Base5,2,35,60.4256,9.797268,12.2900,9,55.56,1
Base5,2,40,12.6806,1.763789,26.7993,10,50.00,1
Base5,2,45,5.9052,1.317803,26.7993,9,44.44,1
Base5,2,50,3.2218,1.065402,28.6540,9,44.44,1
Base5,2,55,10.1233,1.873529,23.8837,8,50.00,1
Base5,2,60,5.0113,1.440924,23.8837,7,42.86,1
Base5,2,65,5.0113,1.440924,23.8837,7,42.86,1
Base5,2,70,1.9732,1.151129,18.2500,5,40.00,1
Base5,2,75,22.1855,8.556077,12.7710,4,50.00,1
Base5,2,80,8.8076,5.062809,12.7710,3,33.33,1
Base5,2,85,8.8076,5.062809,12.7710,3,33.33,1
Base5,2,90,21.3215,15.296259,2.7388,2,50.00,0
Base5,2,95,24.7379,0.000000,0.0000,1,100.00,0
Base5,2,100,0.0000,0.000000,0.0000,0,0.00,0
Base5,3,0,142.7267,8.678424,32.0442,14,71.43,1
Base5,3,5,142.7267,8.678424,32.0442,14,71.43,1
Base5,3,10,142.7267,8.678424,32.0442,14,71.43,1
Base5,3,15,142.7267,8.678424,32.0442,14,71.43,1
Base5,3,20,142.7267,8.678424,32.0442,14,71.43,1
Base5,3,25,51.1098,4.587721,47.0642,14,64.29,1
Base5,3,30,51.1098,4.587721,47.0642,14,64.29,1
Base5,3,35,51.1098,4.587721,47.0642,14,64.29,1
Base5,3,40,51.1098,4.587721,47.0642,14,64.29,1
Base5,3,45,51.1098,4.587721,47.0642,14,64.29,1
Base5,3,50,51.1098,4.587721,47.0642,14,64.29,1
Base5,3,55,51.1098,4.587721,47.0642,14,64.29,1
Base5,3,60,51.1098,4.587721,47.0642,14,64.29,1
Base5,3,65,51.1098,4.587721,47.0642,14,64.29,1
Base5,3,70,129.1027,6.838642,38.9541,12,50.00,1
Base5,3,75,-6.3501,2.101718,44.8715,11,36.36,0
Base5,3,80,60.2230,5.888932,46.8396,9,44.44,1
Base5,3,85,35.4915,12.034629,6.1487,6,83.33,1
Base5,3,90,14.3183,6.170572,12.1886,4,50.00,1
Base5,3,95,-0.8882,-0.431479,7.9601,3,33.33,0
Base5,3,100,-24.0630,-21.289946,24.0630,2,0.00,0
Base5,4,0,90.7232,8.752095,15.0057,12,75.00,1
Base5,4,5,142.1760,14.186491,15.0035,11,81.82,1
Base5,4,10,113.9030,11.417941,15.0035,10,70.00,1
Base5,4,15,86.0558,10.136964,15.0035,9,66.67,1
Base5,4,20,31.1010,5.384475,15.1527,9,44.44,1
Base5,4,25,-1.3218,1.020784,17.3374,7,28.57,0
Base5,4,30,-1.0563,-0.677479,8.1997,3,33.33,0
Base5,4,35,-8.1997,-132.127274,8.1997,2,0.00,0
Base5,4,40,-8.1997,-132.127274,8.1997,2,0.00,0
Base5,4,45,-8.1997,-132.127274,8.1997,2,0.00,0
Base5,4,50,-11.6641,-35.845402,11.6641,2,0.00,0
Base5,4,55,-3.7813,0.000000,3.7813,1,0.00,0
Base5,4,60,-3.7813,0.000000,3.7813,1,0.00,0
Base5,4,65,-9.4609,0.000000,9.4609,1,0.00,0
Base5,4,70,0.0000,0.000000,0.0000,0,0.00,0
Base5,4,75,0.0000,0.000000,0.0000,0,0.00,0
Base5,4,80,0.0000,0.000000,0.0000,0,0.00,0
Base5,4,85,0.0000,0.000000,0.0000,0,0.00,0
Base5,4,90,0.0000,0.000000,0.0000,0,0.00,0
Base5,4,95,0.0000,0.000000,0.0000,0,0.00,0
Base5,4,100,0.0000,0.000000,0.0000,0,0.00,0
Base5,5,0,-34.5701,-5.012838,50.3773,13,23.08,0
Base5,5,5,-7.3933,-0.581519,29.7661,10,30.00,0
Base5,5,10,-5.0796,-0.113959,28.0114,9,33.33,0
Base5,5,15,-10.0953,-1.312569,25.4945,8,25.00,0
Base5,5,20,-5.3038,-0.216517,25.4945,7,28.57,0
Base5,5,25,1.2471,1.439818,20.3404,6,33.33,1
Base5,5,30,1.2471,1.439818,20.3404,6,33.33,1
Base5,5,35,1.2471,1.439818,20.3404,6,33.33,1
Base5,5,40,1.2471,1.439818,20.3404,6,33.33,1
Base5,5,45,10.0645,3.996781,14.6423,5,40.00,1
Base5,5,50,8.8385,3.599211,14.6423,5,40.00,1
Base5,5,55,3.0637,2.273679,18.9111,4,25.00,1
Base5,5,60,3.0637,2.273679,18.9111,4,25.00,1
Base5,5,65,3.0637,2.273679,18.9111,4,25.00,1
Base5,5,70,3.0637,2.273679,18.9111,4,25.00,1
Base5,5,75,3.0637,2.273679,18.9111,4,25.00,1
Base5,5,80,8.4893,4.667194,14.6423,3,33.33,1
Base5,5,85,8.4893,4.667194,14.6423,3,33.33,1
Base5,5,90,5.1693,4.618640,12.1313,2,50.00,0
Base5,5,95,5.1693,4.618640,12.1313,2,50.00,0
Base5,5,100,28.2639,0.000000,0.0000,1,100.00,0
NoDOGE,0,0,251.3046,8.018196,58.9716,14,57.14,1
NoDOGE,0,5,207.3763,7.618020,56.7540,13,61.54,1
NoDOGE,0,10,86.8526,5.633157,56.7540,12,58.33,1
NoDOGE,0,15,42.9512,4.516808,56.7540,11,54.55,1
NoDOGE,0,20,40.0771,4.688305,56.7540,10,50.00,1
NoDOGE,0,25,21.4241,3.934629,56.7540,10,40.00,1
NoDOGE,0,30,148.9844,9.140366,21.0915,8,62.50,1
NoDOGE,0,35,14.5529,3.604356,21.0915,7,57.14,1
NoDOGE,0,40,14.9753,3.704027,21.2410,7,42.86,1
NoDOGE,0,45,9.9170,3.121902,24.7060,7,42.86,1
NoDOGE,0,50,19.3318,4.748486,21.0915,6,50.00,1
NoDOGE,0,55,15.3276,4.129413,21.0915,6,50.00,1
NoDOGE,0,60,15.3276,4.129413,21.0915,6,50.00,1
NoDOGE,0,65,15.3276,4.129413,21.0915,6,50.00,1
NoDOGE,0,70,-23.7091,-9.996155,23.7091,4,25.00,0
NoDOGE,0,75,-19.8843,-12.694144,21.0915,3,33.33,0
NoDOGE,0,80,-29.7272,-34.446227,29.7272,3,0.00,0
NoDOGE,0,85,-11.9797,0.000000,11.9797,1,0.00,0
NoDOGE,0,90,0.0000,0.000000,0.0000,0,0.00,0
NoDOGE,0,95,0.0000,0.000000,0.0000,0,0.00,0
NoDOGE,0,100,0.0000,0.000000,0.0000,0,0.00,0
NoDOGE,1,0,-23.2810,-3.570475,25.3380,10,40.00,0
NoDOGE,1,5,-18.6140,-2.789840,24.4850,9,44.44,0
NoDOGE,1,10,-25.0397,-5.884493,30.4472,8,37.50,0
NoDOGE,1,15,-28.5310,-8.065002,30.4472,7,28.57,0
NoDOGE,1,20,-14.9643,-5.051983,17.2442,6,33.33,0
NoDOGE,1,25,-14.9643,-5.051983,17.2442,6,33.33,0
NoDOGE,1,30,-14.9643,-5.051983,17.2442,6,33.33,0
NoDOGE,1,35,-14.9643,-5.051983,17.2442,6,33.33,0
NoDOGE,1,40,-2.8619,-0.630641,17.2442,5,40.00,0
