universe,window,bar_idx,equity_T_0
,equity_T_24,equity_T_25,equity_T_26,equity_T_27,equity_T_28
Base5,0,0,6.044168
Base5,1,0,8.507303
Base5,2,0,1.200616
Base5,3,0,0.788993
Base5,4,0,1.160746
Base5,5,0,0.675798
Base5,6,0,1.222731
NoDOGE,0,0,3.046762
NoDOGE,1,0,1.686705
NoDOGE,2,0,1.208613
NoDOGE,3,0,1.392778
NoDOGE,4,0,1.160746
NoDOGE,5,0,0.732692
NoDOGE,6,0,1.373003
Legacy4,0,0,1.258156
Legacy4,1,0,1.137008
Legacy4,2,0,9.958076
Legacy4,3,0,1.641171
Legacy4,4,0,0.853054
Legacy4,5,0,1.489667
Legacy4,6,0,1.165787
Legacy5BNB,0,0,1.422485
Legacy5BNB,1,0,1.169174
Legacy5BNB,2,0,9.958076
Legacy5BNB,3,0,1.633729
Legacy5BNB,4,0,0.816804
Legacy5BNB,5,0,1.355813
Legacy5BNB,6,0,1.174585
OldGuardNoBNB,0,0,1.047717
OldGuardNoBNB,1,0,0.873512
OldGuardNoBNB,2,0,9.958076
OldGuardNoBNB,3,0,1.641171
OldGuardNoBNB,4,0,1.209302
OldGuardNoBNB,5,0,0.552410
OldGuardNoBNB,6,0,1.165787
LargeCaps5,0,0,2.698706
LargeCaps5,1,0,1.757369
LargeCaps5,2,0,1.208613
LargeCaps5,3,0,1.090329
LargeCaps5,4,0,1.330954
LargeCaps5,5,0,0.732692
LargeCaps5,6,0,1.373003
Legacy3,0,0,1.468747
Legacy3,1,0,1.099451
Legacy3,2,0,4.772200
Legacy3,3,0,1.260219
Legacy3,4,0,0.744652
Legacy3,5,0,1.201999
Legacy3,6,0,0.937538
LowVolume5,0,0,1.993524
LowVolume5,1,0,0.661948
LowVolume5,2,0,17.428423
LowVolume5,3,0,1.580926
LowVolume5,4,0,0.605481
LowVolume5,5,0,0.383651
LowVolume5,6,0,0.851863
OldGuard4,0,0,1.771249
OldGuard4,1,0,0.683948
OldGuard4,2,0,4.121488
OldGuard4,3,0,1.260219
OldGuard4,4,0,0.947055
OldGuard4,5,0,0.718203
OldGuard4,6,0,1.000641
