threshold,pass_count,total_trades,avg_return_pct,avg_sharpe,avg_dd_pct
0,50,766,118.0449,3.361988,30.8585
1,45,751,110.5690,2.871944,34.1629
2,45,751,110.5690,2.871944,34.1629
3,46,735,120.4335,3.242304,33.3263
4,46,735,120.4335,3.242304,33.3263
5,45,723,120.9668,3.314686,33.3387
6,45,723,120.9668,3.314686,33.3387
7,45,723,120.9668,3.314686,33.3387
8,44,712,110.0709,3.156881,32.8943
9,44,712,110.0709,3.156881,32.8943
10,48,704,115.7019,3.613923,30.7200
11,48,704,115.7019,3.613923,30.7200
12,49,681,108.5792,3.185798,30.4081
13,49,681,108.5792,3.185798,30.4081
14,49,681,108.5792,3.185798,30.4081
15,48,680,110.7909,3.320671,29.9918
16,48,680,110.7909,3.320671,29.9918
17,45,635,108.6764,3.840443,28.2542
18,45,635,108.6764,3.840443,28.2542
19,45,635,108.6764,3.840443,28.2542
20,47,607,105.5407,3.686854,28.3752
21,47,607,105.5407,3.686854,28.3752
22,48,597,126.9787,4.258943,26.9995
23,48,597,126.9787,4.258943,26.9995
24,52,567,132.2850,5.589929,23.4877
25,52,567,132.2850,5.589929,23.4877
26,52,567,132.2850,5.589929,23.4877
27,52,553,130.8555,5.511366,22.7137
28,52,553,130.8555,5.511366,22.7137
29,46,541,127.1733,4.610152,23.0709
30,46,541,127.1733,4.610152,23.0709
31,47,535,127.4270,4.717517,22.3165
32,47,535,127.4270,4.717517,22.3165
33,47,535,127.4270,4.717517,22.3165
34,46,527,114.3800,5.108373,21.4227
35,46,527,114.3800,5.108373,21.4227
36,46,517,123.0256,6.596190,20.8512
37,46,517,123.0256,6.596190,20.8512
38,46,517,123.0256,6.596190,20.8512
39,50,512,108.6847,7.058661,19.4963
40,50,512,108.6847,7.058661,19.4963
41,50,506,64.4652,6.460314,19.5050
42,50,506,64.4652,6.460314,19.5050
43,48,479,59.1028,6.322304,20.5904
44,48,479,59.1028,6.322304,20.5904
45,48,479,59.1028,6.322304,20.5904
46,49,478,58.9409,6.333152,20.3445
47,49,478,58.9409,6.333152,20.3445
48,49,478,57.3260,6.067104,20.5627
49,49,478,57.3260,6.067104,20.5627
50,49,478,57.3260,6.067104,20.5627
51,50,464,63.3349,6.681868,19.3227
52,50,464,63.3349,6.681868,19.3227
53,49,461,55.2867,5.726660,19.5211
54,49,461,55.2867,5.726660,19.5211
55,51,456,53.3798,6.423710,19.0291
56,51,456,53.3798,6.423710,19.0291
57,51,456,53.3798,6.423710,19.0291
58,50,426,48.5430,7.028547,17.5942
59,50,426,48.5430,7.028547,17.5942
60,49,416,49.7867,8.190630,17.6822
61,49,416,49.7867,8.190630,17.6822
62,47,408,51.9981,7.593275,19.2415
63,47,408,51.9981,7.593275,19.2415
64,47,408,51.9981,7.593275,19.2415
65,46,395,38.1266,7.030836,21.0179
66,46,395,38.1266,7.030836,21.0179
67,47,390,37.4643,6.906642,20.9327
68,47,390,37.4643,6.906642,20.9327
69,47,390,37.4643,6.906642,20.9327
70,45,335,30.1682,7.682604,18.0398
71,45,335,30.1682,7.682604,18.0398
72,47,326,40.0795,11.368324,12.2905
73,47,326,40.0795,11.368324,12.2905
74,47,319,37.0198,11.115198,12.2905
75,47,319,37.0198,11.115198,12.2905
76,47,319,37.0198,11.115198,12.2905
77,47,305,39.3889,11.203259,9.5623
78,47,305,39.3889,11.203259,9.5623
79,46,284,33.7353,13.058823,10.2388
80,46,284,33.7353,13.058823,10.2388
81,45,259,29.5374,14.130750,9.2023
82,45,259,29.5374,14.130750,9.2023
83,45,259,29.5374,14.130750,9.2023
84,44,250,26.4891,16.227741,10.2410
85,44,250,26.4891,16.227741,10.2410
86,44,227,25.2691,22.663644,11.0608
87,44,227,25.2691,22.663644,11.0608
88,44,227,25.2691,22.663644,11.0608
89,40,207,23.2922,4011778202265467.500000,10.0248
90,40,207,23.2922,4011778202265467.500000,10.0248
91,37,203,24.9268,4011778202265469.000000,8.3149
92,37,203,24.9268,4011778202265469.000000,8.3149
93,35,195,33.7716,4011778202265472.000000,5.4433
94,35,195,33.7716,4011778202265472.000000,5.4433
95,35,195,33.7716,4011778202265472.000000,5.4433
96,35,184,26.0817,1392669648532769.250000,5.2426
97,35,184,26.0817,1392669648532769.250000,5.2426
98,0,0,0.0000,0.000000,0.0000
99,0,0,0.0000,0.000000,0.0000
100,0,0,0.0000,0.000000,0.0000
