threshold,pass_count,total_trades,avg_return_pct,avg_sharpe,avg_dd_pct
0,0,4076,-85.2314,-3.494280,88.1319
1,0,3871,-84.3855,-3.336411,87.3200
2,0,3871,-84.3855,-3.336411,87.3200
3,0,3736,-83.0186,-3.237633,86.3194
4,0,3736,-83.0186,-3.237633,86.3194
5,0,3643,-81.5359,-3.150351,85.1772
6,0,3643,-81.5359,-3.150351,85.1772
7,0,3643,-81.5359,-3.150351,85.1772
8,0,3602,-81.4153,-3.175261,85.0779
9,0,3602,-81.4153,-3.175261,85.0779
10,0,3537,-80.8049,-3.126953,84.5141
11,0,3537,-80.8049,-3.126953,84.5141
12,0,3441,-79.9173,-3.116233,83.7300
13,0,3441,-79.9173,-3.116233,83.7300
14,0,3441,-79.9173,-3.116233,83.7300
15,0,3403,-79.7699,-3.142477,83.7209
16,0,3403,-79.7699,-3.142477,83.7209
17,0,3264,-78.9645,-3.091608,82.9021
18,0,3264,-78.9645,-3.091608,82.9021
19,0,3264,-78.9645,-3.091608,82.9021
20,0,3184,-77.0317,-3.029438,81.4184
21,0,3184,-77.0317,-3.029438,81.4184
22,1,3141,-75.5988,-3.017968,80.3636
23,1,3141,-75.5988,-3.017968,80.3636
24,2,3015,-71.0235,-2.779857,77.0160
25,2,3015,-71.0235,-2.779857,77.0160
26,2,3015,-71.0235,-2.779857,77.0160
27,1,2920,-70.9214,-2.780656,76.3128
28,1,2920,-70.9214,-2.780656,76.3128
29,2,2861,-70.1873,-2.785864,75.4420
30,2,2861,-70.1873,-2.785864,75.4420
31,2,2845,-70.1297,-2.798658,75.4611
32,2,2845,-70.1297,-2.798658,75.4611
33,2,2845,-70.1297,-2.798658,75.4611
34,1,2758,-68.3403,-2.645208,73.6277
35,1,2758,-68.3403,-2.645208,73.6277
36,1,2663,-66.0263,-2.496436,71.7145
37,1,2663,-66.0263,-2.496436,71.7145
38,1,2663,-66.0263,-2.496436,71.7145
39,1,2641,-66.0184,-2.532744,71.8105
40,1,2641,-66.0184,-2.532744,71.8105
41,2,2547,-66.5656,-2.620174,72.1891
42,2,2547,-66.5656,-2.620174,72.1891
43,2,2489,-65.0676,-2.543682,70.8760
44,2,2489,-65.0676,-2.543682,70.8760
45,2,2489,-65.0676,-2.543682,70.8760
46,2,2457,-63.6983,-2.502206,69.6766
47,2,2457,-63.6983,-2.502206,69.6766
48,2,2432,-65.0265,-2.589619,70.2856
49,2,2432,-65.0265,-2.589619,70.2856
50,2,2432,-65.0265,-2.589619,70.2856
51,2,2351,-62.7882,-2.526805,68.7867
52,2,2351,-62.7882,-2.526805,68.7867
53,3,2287,-61.6629,-2.568061,67.8141
54,3,2287,-61.6629,-2.568061,67.8141
55,3,2223,-60.2394,-2.484958,66.5451
56,3,2223,-60.2394,-2.484958,66.5451
57,3,2223,-60.2394,-2.484958,66.5451
58,3,2147,-58.7907,-2.442507,65.3316
59,3,2147,-58.7907,-2.442507,65.3316
60,5,2071,-56.3972,-2.317660,63.5794
61,5,2071,-56.3972,-2.317660,63.5794
62,3,2011,-55.4710,-2.256644,62.1941
63,3,2011,-55.4710,-2.256644,62.1941
64,3,2011,-55.4710,-2.256644,62.1941
65,3,1932,-56.2174,-2.320142,62.7423
66,3,1932,-56.2174,-2.320142,62.7423
67,3,1880,-54.1369,-2.237943,60.8483
68,3,1880,-54.1369,-2.237943,60.8483
69,3,1880,-54.1369,-2.237943,60.8483
70,6,1685,-47.2648,-1.894197,54.8894
71,6,1685,-47.2648,-1.894197,54.8894
72,5,1615,-45.9345,-1.865162,53.5214
73,5,1615,-45.9345,-1.865162,53.5214
74,6,1574,-44.7442,-1.854755,52.2099
75,6,1574,-44.7442,-1.854755,52.2099
76,6,1574,-44.7442,-1.854755,52.2099
77,8,1481,-40.3798,-1.727218,49.8569
78,8,1481,-40.3798,-1.727218,49.8569
79,5,1406,-42.0887,-1.836343,49.1658
80,5,1406,-42.0887,-1.836343,49.1658
81,3,1313,-41.3097,-1.793593,47.7188
82,3,1313,-41.3097,-1.793593,47.7188
83,3,1313,-41.3097,-1.793593,47.7188
84,6,1230,-39.4466,-1.903596,45.2085
85,6,1230,-39.4466,-1.903596,45.2085
86,6,1133,-36.5227,-1.746210,42.8914
87,6,1133,-36.5227,-1.746210,42.8914
88,6,1133,-36.5227,-1.746210,42.8914
89,1,1066,-37.2515,-1.864542,42.9530
90,1,1066,-37.2515,-1.864542,42.9530
91,2,997,-35.0779,-1.842522,41.0281
92,2,997,-35.0779,-1.842522,41.0281
93,8,882,-28.3243,-1.641055,37.4559
94,8,882,-28.3243,-1.641055,37.4559
95,8,882,-28.3243,-1.641055,37.4559
96,5,807,-29.3255,-1.604533,36.3877
97,5,807,-29.3255,-1.604533,36.3877
98,0,0,0.0000,0.000000,0.0000
99,0,0,0.0000,0.000000,0.0000
100,0,0,0.0000,0.000000,0.0000
