universe,window,threshold,return_pct,sharpe,max_dd_pct,trades,pass
Base5,0,0,-84.2144,-2.319033,90.7946,76,0
Base5,0,1,-87.2325,-2.609075,92.5546,74,0
Base5,0,2,-87.2325,-2.609075,92.5546,74,0
Base5,0,3,-80.7405,-2.064788,88.7687,67,0
Base5,0,4,-80.7405,-2.064788,88.7687,67,0
Base5,0,5,-78.3906,-1.914620,87.3984,66,0
Base5,0,6,-78.3906,-1.914620,87.3984,66,0
Base5,0,7,-78.3906,-1.914620,87.3984,66,0
Base5,0,8,-81.8403,-2.189940,89.4101,64,0
Base5,0,9,-81.8403,-2.189940,89.4101,64,0
Base5,0,10,-81.5397,-2.164837,89.2348,63,0
Base5,0,11,-81.5397,-2.164837,89.2348,63,0
Base5,0,12,-83.7627,-2.410975,90.5312,64,0
Base5,0,13,-83.7627,-2.410975,90.5312,64,0
Base5,0,14,-83.7627,-2.410975,90.5312,64,0
Base5,0,15,-84.7814,-2.472168,91.1252,64,0
Base5,0,16,-84.7814,-2.472168,91.1252,64,0
Base5,0,17,-88.9722,-2.926970,93.5691,64,0
Base5,0,18,-88.9722,-2.926970,93.5691,64,0
Base5,0,19,-88.9722,-2.926970,93.5691,64,0
Base5,0,20,-88.5261,-2.922156,92.9142,62,0
Base5,0,21,-88.5261,-2.922156,92.9142,62,0
Base5,0,22,-87.6397,-3.176706,91.6318,61,0
Base5,0,23,-87.6397,-3.176706,91.6318,61,0
Base5,0,24,-86.2092,-3.026140,90.6633,60,0
Base5,0,25,-86.2092,-3.026140,90.6633,60,0
Base5,0,26,-86.2092,-3.026140,90.6633,60,0
Base5,0,27,-87.1194,-3.160935,90.7911,60,0
Base5,0,28,-87.1194,-3.160935,90.7911,60,0
Base5,0,29,-86.7425,-3.396481,89.9694,57,0
Base5,0,30,-86.7425,-3.396481,89.9694,57,0
Base5,0,31,-87.7022,-3.566883,90.6955,57,0
Base5,0,32,-87.7022,-3.566883,90.6955,57,0
Base5,0,33,-87.7022,-3.566883,90.6955,57,0
Base5,0,34,-71.2291,-2.038414,78.2320,52,0
Base5,0,35,-71.2291,-2.038414,78.2320,52,0
Base5,0,36,-63.1352,-1.647921,72.1081,49,0
Base5,0,37,-63.1352,-1.647921,72.1081,49,0
Base5,0,38,-63.1352,-1.647921,72.1081,49,0
Base5,0,39,-61.5176,-1.566726,70.8842,48,0
Base5,0,40,-61.5176,-1.566726,70.8842,48,0
Base5,0,41,-74.1615,-2.474749,80.4507,48,0
Base5,0,42,-74.1615,-2.474749,80.4507,48,0
Base5,0,43,-70.0988,-2.248971,77.3768,45,0
Base5,0,44,-70.0988,-2.248971,77.3768,45,0
Base5,0,45,-70.0988,-2.248971,77.3768,45,0
Base5,0,46,-68.9016,-2.170056,76.4710,44,0
Base5,0,47,-68.9016,-2.170056,76.4710,44,0
Base5,0,48,-67.8122,-2.099941,75.6468,43,0
Base5,0,49,-67.8122,-2.099941,75.6468,43,0
Base5,0,50,-67.8122,-2.099941,75.6468,43,0
Base5,0,51,-70.1734,-2.286945,77.4333,43,0
Base5,0,52,-70.1734,-2.286945,77.4333,43,0
Base5,0,53,-75.5342,-2.645770,80.4447,43,0
Base5,0,54,-75.5342,-2.645770,80.4447,43,0
Base5,0,55,-73.9482,-2.509331,79.1771,41,0
Base5,0,56,-73.9482,-2.509331,79.1771,41,0
Base5,0,57,-73.9482,-2.509331,79.1771,41,0
Base5,0,58,-71.5328,-2.299381,77.2464,38,0
Base5,0,59,-71.5328,-2.299381,77.2464,38,0
Base5,0,60,-70.5359,-2.237374,76.4497,37,0
Base5,0,61,-70.5359,-2.237374,76.4497,37,0
Base5,0,62,-58.8614,-1.731668,67.3067,32,0
Base5,0,63,-58.8614,-1.731668,67.3067,32,0
Base5,0,64,-58.8614,-1.731668,67.3067,32,0
Base5,0,65,-58.8614,-1.731668,67.3067,32,0
Base5,0,66,-58.8614,-1.731668,67.3067,32,0
Base5,0,67,-58.8614,-1.731668,67.3067,32,0
Base5,0,68,-58.8614,-1.731668,67.3067,32,0
Base5,0,69,-58.8614,-1.731668,67.3067,32,0
Base5,0,70,-53.3525,-1.477924,62.9287,29,0
Base5,0,71,-53.3525,-1.477924,62.9287,29,0
Base5,0,72,-49.0747,-1.281878,58.9597,28,0
Base5,0,73,-49.0747,-1.281878,58.9597,28,0
Base5,0,74,-54.0971,-1.743681,58.9597,28,0
Base5,0,75,-54.0971,-1.743681,58.9597,28,0
Base5,0,76,-54.0971,-1.743681,58.9597,28,0
Base5,0,77,-58.3107,-2.061848,62.7269,27,0
Base5,0,78,-58.3107,-2.061848,62.7269,27,0
Base5,0,79,-64.0507,-2.750673,67.8589,24,0
Base5,0,80,-64.0507,-2.750673,67.8589,24,0
Base5,0,81,-59.7301,-2.515785,63.9960,23,0
Base5,0,82,-59.7301,-2.515785,63.9960,23,0
Base5,0,83,-59.7301,-2.515785,63.9960,23,0
Base5,0,84,-67.8460,-3.517729,67.8460,23,0
Base5,0,85,-67.8460,-3.517729,67.8460,23,0
Base5,0,86,-67.7975,-3.512578,67.7975,22,0
Base5,0,87,-67.7975,-3.512578,67.7975,22,0
Base5,0,88,-67.7975,-3.512578,67.7975,22,0
Base5,0,89,-67.7975,-3.512578,67.7975,22,0
Base5,0,90,-67.7975,-3.512578,67.7975,22,0
Base5,0,91,-67.7975,-3.512578,67.7975,22,0
Base5,0,92,-67.7975,-3.512578,67.7975,22,0
Base5,0,93,-60.5765,-3.496941,60.5765,19,0
Base5,0,94,-60.5765,-3.496941,60.5765,19,0
Base5,0,95,-60.5765,-3.496941,60.5765,19,0
Base5,0,96,-52.6261,-3.367046,52.6261,18,0
Base5,0,97,-52.6261,-3.367046,52.6261,18,0
Base5,0,98,0.0000,0.000000,0.0000,0,0
Base5,0,99,0.0000,0.000000,0.0000,0,0
Base5,0,100,0.0000,0.000000,0.0000,0,0
Base5,1,0,-86.8546,-2.682027,91.9588,69,0
Base5,1,1,-88.8856,-2.954301,93.2012,63,0
Base5,1,2,-88.8856,-2.954301,93.2012,63,0
Base5,1,3,-76.2160,-2.174107,85.4511,58,0
Base5,1,4,-76.2160,-2.174107,85.4511,58,0
Base5,1,5,-70.0847,-1.890282,84.3908,57,0
Base5,1,6,-70.0847,-1.890282,84.3908,57,0
Base5,1,7,-70.0847,-1.890282,84.3908,57,0
Base5,1,8,-67.1483,-1.757723,82.8587,56,0
Base5,1,9,-67.1483,-1.757723,82.8587,56,0
Base5,1,10,-69.9038,-1.957506,84.2964,55,0
Base5,1,11,-69.9038,-1.957506,84.2964,55,0
Base5,1,12,-66.2945,-1.763634,82.4132,53,0
Base5,1,13,-66.2945,-1.763634,82.4132,53,0
Base5,1,14,-66.2945,-1.763634,82.4132,53,0
Base5,1,15,-62.6176,-1.575431,80.4946,52,0
Base5,1,16,-62.6176,-1.575431,80.4946,52,0
Base5,1,17,-62.8955,-1.595708,79.4404,51,0
Base5,1,18,-62.8955,-1.595708,79.4404,51,0
Base5,1,19,-62.8955,-1.595708,79.4404,51,0
Base5,1,20,-57.1217,-1.418769,76.2411,49,0
Base5,1,21,-57.1217,-1.418769,76.2411,49,0
Base5,1,22,-44.0000,-0.953587,68.9704,47,0
Base5,1,23,-44.0000,-0.953587,68.9704,47,0
Base5,1,24,-32.1306,-0.577788,63.5355,43,0
Base5,1,25,-32.1306,-0.577788,63.5355,43,0
Base5,1,26,-32.1306,-0.577788,63.5355,43,0
Base5,1,27,-35.4884,-0.696939,64.9705,42,0
Base5,1,28,-35.4884,-0.696939,64.9705,42,0
Base5,1,29,-29.0774,-0.495517,61.4894,41,0
Base5,1,30,-29.0774,-0.495517,61.4894,41,0
Base5,1,31,-16.1131,-0.139767,54.4498,40,0
Base5,1,32,-16.1131,-0.139767,54.4498,40,0
Base5,1,33,-16.1131,-0.139767,54.4498,40,0
Base5,1,34,-24.9932,-0.443578,59.2717,39,0
Base5,1,35,-24.9932,-0.443578,59.2717,39,0
Base5,1,36,-24.9932,-0.443578,59.2717,39,0
Base5,1,37,-24.9932,-0.443578,59.2717,39,0
Base5,1,38,-24.9932,-0.443578,59.2717,39,0
Base5,1,39,-24.8429,-0.438518,59.1901,38,0
Base5,1,40,-24.8429,-0.438518,59.1901,38,0
Base5,1,41,-24.8429,-0.438518,59.1901,38,0
Base5,1,42,-24.8429,-0.438518,59.1901,38,0
Base5,1,43,-19.9048,-0.284866,56.5087,37,0
Base5,1,44,-19.9048,-0.284866,56.5087,37,0
Base5,1,45,-19.9048,-0.284866,56.5087,37,0
Base5,1,46,-19.9048,-0.284866,56.5087,37,0
Base5,1,47,-19.9048,-0.284866,56.5087,37,0
Base5,1,48,-19.9048,-0.284866,56.5087,37,0
Base5,1,49,-19.9048,-0.284866,56.5087,37,0
Base5,1,50,-19.9048,-0.284866,56.5087,37,0
Base5,1,51,-19.9048,-0.284866,56.5087,37,0
Base5,1,52,-19.9048,-0.284866,56.5087,37,0
Base5,1,53,-19.9048,-0.284866,56.5087,37,0
Base5,1,54,-19.9048,-0.284866,56.5087,37,0
Base5,1,55,-19.9048,-0.284866,56.5087,37,0
Base5,1,56,-19.9048,-0.284866,56.5087,37,0
Base5,1,57,-19.9048,-0.284866,56.5087,37,0
Base5,1,58,-19.9048,-0.284866,56.5087,37,0
Base5,1,59,-19.9048,-0.284866,56.5087,37,0
Base5,1,60,-12.8346,-0.071252,52.6696,34,0
Base5,1,61,-12.8346,-0.071252,52.6696,34,0
Base5,1,62,-18.3294,-0.245970,54.6846,34,0
Base5,1,63,-18.3294,-0.245970,54.6846,34,0
Base5,1,64,-18.3294,-0.245970,54.6846,34,0
Base5,1,65,-14.8399,-0.135204,54.6846,33,0
Base5,1,66,-14.8399,-0.135204,54.6846,33,0
Base5,1,67,-15.2672,-0.170842,51.3465,32,0
Base5,1,68,-15.2672,-0.170842,51.3465,32,0
Base5,1,69,-15.2672,-0.170842,51.3465,32,0
Base5,1,70,2.0575,0.288067,38.0716,25,1
Base5,1,71,2.0575,0.288067,38.0716,25,1
Base5,1,72,2.0575,0.288067,38.0716,25,1
Base5,1,73,2.0575,0.288067,38.0716,25,1
Base5,1,74,-0.3138,0.207036,34.9846,24,0
Base5,1,75,-0.3138,0.207036,34.9846,24,0
Base5,1,76,-0.3138,0.207036,34.9846,24,0
Base5,1,77,-10.6425,-0.170665,37.8609,21,0
Base5,1,78,-10.6425,-0.170665,37.8609,21,0
Base5,1,79,-24.8200,-0.956206,43.4020,19,0
Base5,1,80,-24.8200,-0.956206,43.4020,19,0
