window,bar,base_equity,cons_equity
0,0,1.000000,1.000000
0,1,1.000000,1.000000
0,2,1.000000,1.000000
0,3,1.000000,1.000000
0,4,1.000000,1.000000
0,5,1.000000,1.000000
0,6,1.000000,1.000000
0,7,1.000000,1.000000
0,8,1.000000,1.000000
0,9,1.000000,1.000000
0,10,1.000000,1.000000
0,11,1.000000,1.000000
0,12,1.000000,1.000000
0,13,1.000000,1.000000
0,14,1.000000,1.000000
0,15,1.000000,1.000000
0,16,1.000000,1.000000
0,17,1.000000,1.000000
0,18,1.000000,1.000000
0,19,1.000000,1.000000
0,20,1.000000,1.000000
0,21,1.000000,1.000000
0,22,1.000000,1.000000
0,23,1.217625,1.000000
0,24,1.217625,1.000000
0,25,2.184264,1.000000
0,26,2.184264,1.000000
0,27,3.446120,1.000000
0,28,3.446120,1.000000
0,29,3.446120,1.000000
0,30,3.446120,1.000000
0,31,3.446120,1.000000
0,32,3.446120,1.000000
0,33,3.446120,1.000000
0,34,4.227275,1.731941
0,35,4.227275,1.731941
0,36,4.227275,1.731941
0,37,4.227275,1.731941
0,38,4.227275,3.528474
0,39,4.227275,3.528474
0,40,4.227275,3.528474
0,41,4.227275,3.528474
0,42,4.227275,3.528474
0,43,4.227275,3.528474
0,44,4.355720,3.528474
0,45,4.355720,3.528474
0,46,4.974381,3.528474
0,47,4.974381,3.528474
0,48,4.974381,3.528474
0,49,4.974381,3.528474
0,50,4.974381,3.528474
0,51,4.974381,3.750828
0,52,4.804246,3.750828
0,53,4.804246,3.750828
0,54,4.804246,3.750828
0,55,4.804246,3.750828
0,56,4.804246,3.750828
0,57,4.804246,3.750828
0,58,4.804246,3.857018
0,59,5.582453,3.857018
0,60,5.582453,4.396082
0,61,5.582453,4.396082
0,62,5.582453,4.396082
0,63,5.582453,4.396082
0,64,5.582453,4.396082
0,65,5.582453,4.396082
0,66,5.582453,4.191641
0,67,4.950816,4.191641
0,68,4.950816,4.191641
0,69,4.950816,4.191641
0,70,4.950816,4.191641
0,71,4.950816,4.191641
0,72,4.950816,4.191641
0,73,4.950816,4.776111
