bar,date,equity
0,2021-06-07 00:00:00,1.000000
1,2021-06-08 00:00:00,1.000000
2,2021-06-09 00:00:00,1.000000
3,2021-06-10 00:00:00,1.000000
4,2021-06-11 00:00:00,1.000000
5,2021-06-12 00:00:00,1.000000
6,2021-06-13 00:00:00,1.000000
7,2021-06-14 00:00:00,0.999853
8,2021-06-15 00:00:00,0.998170
9,2021-06-16 00:00:00,0.990054
10,2021-06-17 00:00:00,0.988897
11,2021-06-18 00:00:00,0.978619
12,2021-06-19 00:00:00,0.978619
13,2021-06-20 00:00:00,0.978619
14,2021-06-21 00:00:00,0.978619
15,2021-06-22 00:00:00,0.978619
16,2021-06-23 00:00:00,0.978619
17,2021-06-24 00:00:00,0.978619
18,2021-06-25 00:00:00,0.978619
19,2021-06-26 00:00:00,0.978619
20,2021-06-27 00:00:00,0.978619
21,2021-06-28 00:00:00,0.978619
22,2021-06-29 00:00:00,0.978619
23,2021-06-30 00:00:00,0.978619
24,2021-07-01 00:00:00,0.978619
25,2021-07-02 00:00:00,0.978619
26,2021-07-03 00:00:00,0.978619
27,2021-07-04 00:00:00,0.978619
28,2021-07-05 00:00:00,0.978619
29,2021-07-06 00:00:00,0.978619
30,2021-07-07 00:00:00,0.978619
31,2021-07-08 00:00:00,0.978619
32,2021-07-09 00:00:00,0.978619
33,2021-07-10 00:00:00,0.978619
34,2021-07-11 00:00:00,0.978619
35,2021-07-12 00:00:00,0.978619
36,2021-07-13 00:00:00,0.978619
37,2021-07-14 00:00:00,0.978619
38,2021-07-15 00:00:00,0.978619
39,2021-07-16 00:00:00,0.978619
40,2021-07-17 00:00:00,0.978619
41,2021-07-18 00:00:00,0.978619
42,2021-07-19 00:00:00,0.978619
43,2021-07-20 00:00:00,0.978619
44,2021-07-21 00:00:00,0.978619
45,2021-07-22 00:00:00,0.978619
46,2021-07-23 00:00:00,0.978619
47,2021-07-24 00:00:00,0.978619
48,2021-07-25 00:00:00,0.978619
49,2021-07-26 00:00:00,0.978358
50,2021-07-27 00:00:00,0.997793
51,2021-07-28 00:00:00,0.996995
52,2021-07-29 00:00:00,1.016118
53,2021-07-30 00:00:00,1.047489
54,2021-07-31 00:00:00,1.100755
55,2021-08-01 00:00:00,1.067346
56,2021-08-02 00:00:00,1.070816
57,2021-08-03 00:00:00,1.054966
58,2021-08-04 00:00:00,1.113831
59,2021-08-05 00:00:00,1.134789
60,2021-08-06 00:00:00,1.170417
61,2021-08-07 00:00:00,1.221808
62,2021-08-08 00:00:00,1.170996
63,2021-08-09 00:00:00,1.213539
64,2021-08-10 00:00:00,1.316292
65,2021-08-11 00:00:00,1.424900
66,2021-08-12 00:00:00,1.427364
67,2021-08-13 00:00:00,1.476931
68,2021-08-14 00:00:00,1.450959
69,2021-08-15 00:00:00,1.458292
70,2021-08-16 00:00:00,1.387198
71,2021-08-17 00:00:00,1.355433
72,2021-08-18 00:00:00,1.419054
73,2021-08-19 00:00:00,1.417132
74,2021-08-20 00:00:00,1.417132
75,2021-08-21 00:00:00,1.416377
76,2021-08-22 00:00:00,1.456957
77,2021-08-23 00:00:00,1.416581
78,2021-08-24 00:00:00,1.466281
79,2021-08-25 00:00:00,1.527806
80,2021-08-26 00:00:00,1.438397
81,2021-08-27 00:00:00,1.451163
82,2021-08-28 00:00:00,1.430240
83,2021-08-29 00:00:00,1.430240
84,2021-08-30 00:00:00,1.429478
85,2021-08-31 00:00:00,1.458085
86,2021-09-01 00:00:00,1.447957
87,2021-09-02 00:00:00,1.512865
88,2021-09-03 00:00:00,1.518650
89,2021-09-04 00:00:00,1.536529
90,2021-09-05 00:00:00,1.552480
91,2021-09-06 00:00:00,1.553532
92,2021-09-07 00:00:00,1.529693
93,2021-09-08 00:00:00,1.543716
94,2021-09-09 00:00:00,1.530219
95,2021-09-10 00:00:00,1.473909
96,2021-09-11 00:00:00,1.523619
97,2021-09-12 00:00:00,1.523619
98,2021-09-13 00:00:00,1.523619
99,2021-09-14 00:00:00,1.523619
100,2021-09-15 00:00:00,1.523619
101,2021-09-16 00:00:00,1.523619
102,2021-09-17 00:00:00,1.523619
103,2021-09-18 00:00:00,1.523619
104,2021-09-19 00:00:00,1.523619
105,2021-09-20 00:00:00,1.523619
106,2021-09-21 00:00:00,1.523619
107,2021-09-22 00:00:00,1.523619
108,2021-09-23 00:00:00,1.523619
109,2021-09-24 00:00:00,1.523619
110,2021-09-25 00:00:00,1.523619
111,2021-09-26 00:00:00,1.523619
112,2021-09-27 00:00:00,1.523619
113,2021-09-28 00:00:00,1.523619
114,2021-09-29 00:00:00,1.523619
115,2021-09-30 00:00:00,1.523619
116,2021-10-01 00:00:00,1.523619
117,2021-10-02 00:00:00,1.523619
118,2021-10-03 00:00:00,1.523619
119,2021-10-04 00:00:00,1.523619
120,2021-10-05 00:00:00,1.523619
121,2021-10-06 00:00:00,1.523212
122,2021-10-07 00:00:00,1.505644
123,2021-10-08 00:00:00,1.521040
124,2021-10-09 00:00:00,1.534163
125,2021-10-10 00:00:00,1.496849
126,2021-10-11 00:00:00,1.510565
127,2021-10-12 00:00:00,1.510565
128,2021-10-13 00:00:00,1.520240
129,2021-10-14 00:00:00,1.511536
130,2021-10-15 00:00:00,1.539674
131,2021-10-16 00:00:00,1.516443
132,2021-10-17 00:00:00,1.529676
133,2021-10-18 00:00:00,1.542997
134,2021-10-19 00:00:00,1.592792
135,2021-10-20 00:00:00,1.589676
136,2021-10-21 00:00:00,1.591024
137,2021-10-22 00:00:00,1.582890
138,2021-10-23 00:00:00,1.593434
139,2021-10-24 00:00:00,1.615655
140,2021-10-25 00:00:00,1.612860
141,2021-10-26 00:00:00,1.608951
142,2021-10-27 00:00:00,1.611106
143,2021-10-28 00:00:00,1.612007
144,2021-10-29 00:00:00,1.610296
145,2021-10-30 00:00:00,1.580150
146,2021-10-31 00:00:00,1.525893
147,2021-11-01 00:00:00,1.550354
148,2021-11-02 00:00:00,1.548400
149,2021-11-03 00:00:00,1.541922
150,2021-11-04 00:00:00,1.539534
151,2021-11-05 00:00:00,1.541703
152,2021-11-06 00:00:00,1.559690
153,2021-11-07 00:00:00,1.589024
154,2021-11-08 00:00:00,1.586694
155,2021-11-09 00:00:00,1.558986
156,2021-11-10 00:00:00,1.588077
157,2021-11-11 00:00:00,1.584061
158,2021-11-12 00:00:00,1.582238
159,2021-11-13 00:00:00,1.570404
160,2021-11-14 00:00:00,1.562766
161,2021-11-15 00:00:00,1.562766
162,2021-11-16 00:00:00,1.562766
163,2021-11-17 00:00:00,1.562766
164,2021-11-18 00:00:00,1.562766
165,2021-11-19 00:00:00,1.562766
166,2021-11-20 00:00:00,1.562766
167,2021-11-21 00:00:00,1.562766
168,2021-11-22 00:00:00,1.562766
169,2021-11-23 00:00:00,1.562766
170,2021-11-24 00:00:00,1.562766
171,2021-11-25 00:00:00,1.562766
172,2021-11-26 00:00:00,1.562766
173,2021-11-27 00:00:00,1.562766
174,2021-11-28 00:00:00,1.562766
175,2021-11-29 00:00:00,1.562766
176,2021-11-30 00:00:00,1.562766
177,2021-12-01 00:00:00,1.562766
178,2021-12-02 00:00:00,1.562766
179,2021-12-03 00:00:00,1.562766
180,2021-12-04 00:00:00,1.562766
181,2021-12-05 00:00:00,1.562766
182,2021-12-06 00:00:00,1.562766
183,2021-12-07 00:00:00,1.562766
184,2021-12-08 00:00:00,1.562766
185,2021-12-09 00:00:00,1.562766
186,2021-12-10 00:00:00,1.562766
187,2021-12-11 00:00:00,1.562766
188,2021-12-12 00:00:00,1.562766
189,2021-12-13 00:00:00,1.562766
190,2021-12-14 00:00:00,1.562766
191,2021-12-15 00:00:00,1.562766
192,2021-12-16 00:00:00,1.562766
193,2021-12-17 00:00:00,1.562766
194,2021-12-18 00:00:00,1.562766
195,2021-12-19 00:00:00,1.562766
196,2021-12-20 00:00:00,1.562766
197,2021-12-21 00:00:00,1.562766
198,2021-12-22 00:00:00,1.562766
199,2021-12-23 00:00:00,1.562766
200,2021-12-24 00:00:00,1.562766
201,2021-12-25 00:00:00,1.562766
202,2021-12-26 00:00:00,1.562766
203,2021-12-27 00:00:00,1.562537
204,2021-12-28 00:00:00,1.538750
205,2021-12-29 00:00:00,1.542696
206,2021-12-30 00:00:00,1.541198
207,2021-12-31 00:00:00,1.543185
208,2022-01-01 00:00:00,1.521472
209,2022-01-02 00:00:00,1.521472
210,2022-01-03 00:00:00,1.521472
211,2022-01-04 00:00:00,1.521472
212,2022-01-05 00:00:00,1.521472
213,2022-01-06 00:00:00,1.521472
214,2022-01-07 00:00:00,1.521472
