symbol,entry_bar,exit_bar,entry_date,exit_date,bars_held,entry_price,exit_price,size,pct_ret,equity_mult,exit_reason,hedge_active,rebal
BTCUSDT,307,311,2021-06-14 00:00:00,2021-06-18 00:00:00,4,40516.2900,35819.8400,0.183333,-0.11662209,0.97861928,TURTLE_ATR,true,false
BTCUSDT,349,350,2021-07-26 00:00:00,2021-07-27 00:00:00,1,37237.6000,39457.8700,0.333333,0.05877705,1.01959235,TURTLE_ATR,false,false
BTCUSDT,351,353,2021-07-28 00:00:00,2021-07-30 00:00:00,2,40019.5600,42206.3700,0.333333,0.05380015,1.01793338,TURTLE_ATR,false,false
ETHUSDT,351,358,2021-07-28 00:00:00,2021-08-04 00:00:00,7,2300.9000,2724.7800,0.333333,0.18327656,1.06109219,TURTLE_ATR,false,false
ADAUSDT,358,364,2021-08-04 00:00:00,2021-08-10 00:00:00,6,1.3765,1.6780,0.333333,0.21805894,1.07268631,TURTLE_ATR,false,false
XRPUSDT,351,365,2021-07-28 00:00:00,2021-08-11 00:00:00,14,0.7327,1.0105,0.333333,0.37804275,1.12601425,TURTLE_ATR,false,false
DOGEUSDT,365,366,2021-08-11 00:00:00,2021-08-12 00:00:00,1,0.2645,0.2640,0.333333,-0.00246218,0.99917927,TURTLE_ATR,false,false
ADAUSDT,365,366,2021-08-11 00:00:00,2021-08-12 00:00:00,1,1.7934,1.8324,0.333333,0.02092933,1.00697644,TURTLE_ATR,false,false
SOLUSDT,353,368,2021-07-30 00:00:00,2021-08-14 00:00:00,15,32.3540,44.1400,0.333333,0.36319163,1.12106388,HOLD_MAX,false,false
XRPUSDT,368,370,2021-08-14 00:00:00,2021-08-16 00:00:00,2,1.2791,1.1855,0.333333,-0.07391761,0.97536080,TURTLE_ATR,false,false
BTCUSDT,367,372,2021-08-13 00:00:00,2021-08-18 00:00:00,5,47800.0000,44705.2900,0.333333,-0.06549079,0.97816974,REBAL_CLOSE,false,true
ETHUSDT,367,372,2021-08-13 00:00:00,2021-08-18 00:00:00,5,3322.3200,3014.5500,0.333333,-0.09336267,0.96887911,REBAL_CLOSE,false,true
SOLUSDT,371,372,2021-08-17 00:00:00,2021-08-18 00:00:00,1,64.1230,72.6630,0.333333,0.13227536,1.04409179,TURTLE_ATR,false,false
SOLUSDT,373,378,2021-08-19 00:00:00,2021-08-24 00:00:00,5,72.7640,70.5270,0.333333,-0.03151832,0.98949389,TURTLE_ATR,false,false
ADAUSDT,373,378,2021-08-19 00:00:00,2021-08-24 00:00:00,5,2.4411,2.7187,0.333333,0.11282861,1.03760954,TURTLE_ATR,false,false
BTCUSDT,374,380,2021-08-20 00:00:00,2021-08-26 00:00:00,6,49322.4700,46843.8700,0.333333,-0.05101245,0.98299585,REBAL_CLOSE,false,true
SOLUSDT,381,384,2021-08-27 00:00:00,2021-08-30 00:00:00,3,87.9800,110.2500,0.333333,0.25212361,1.08404120,TURTLE_ATR,false,false
ADAUSDT,381,392,2021-08-27 00:00:00,2021-09-07 00:00:00,11,2.9460,2.5140,0.333333,-0.14732193,0.95089269,TURTLE_ATR,false,false
SOLUSDT,392,393,2021-09-07 00:00:00,2021-09-08 00:00:00,1,173.4600,191.0200,0.333333,0.10035308,1.03345103,TURTLE_ATR,false,false
DOGEUSDT,420,422,2021-10-05 00:00:00,2021-10-07 00:00:00,2,0.2516,0.2428,0.333333,-0.03574786,0.98808405,TURTLE_ATR,false,false
SOLUSDT,418,423,2021-10-03 00:00:00,2021-10-08 00:00:00,5,172.9800,158.8600,0.333333,-0.08236234,0.97254589,REBAL_CLOSE,false,true
XRPUSDT,424,427,2021-10-09 00:00:00,2021-10-12 00:00:00,3,1.1604,1.1018,0.183333,-0.05125912,0.99060249,TURTLE_ATR,true,false
BTCUSDT,419,430,2021-10-04 00:00:00,2021-10-15 00:00:00,11,49224.9400,61672.4200,0.333333,0.25186748,1.08395583,TURTLE_ATR,false,false
BTCUSDT,435,437,2021-10-20 00:00:00,2021-10-22 00:00:00,2,66001.4100,60688.2200,0.183333,-0.08123646,0.98510665,TURTLE_ATR,true,false
ETHUSDT,428,437,2021-10-13 00:00:00,2021-10-22 00:00:00,9,3607.4200,3972.2000,0.183333,0.10023882,1.01837712,TURTLE_ATR,true,false
