universe,window,bar,equity
Base5_0,0,0,1.000000
Base5_0,0,1,1.000000
Base5_0,0,2,1.074788
Base5_0,0,3,1.026244
Base5_0,0,4,1.026244
Base5_0,0,5,1.026244
Base5_0,0,6,1.026244
Base5_0,0,7,1.026244
Base5_0,0,8,1.026244
Base5_0,0,9,1.026244
Base5_0,0,10,1.026244
Base5_0,0,11,1.026244
Base5_0,0,12,1.026244
Base5_0,0,13,1.026244
Base5_0,0,14,1.026244
Base5_0,0,15,1.026244
Base5_0,0,16,1.026244
Base5_0,0,17,1.026244
Base5_0,0,18,1.026244
Base5_0,0,19,1.026244
Base5_0,0,20,1.026244
Base5_0,0,21,1.026244
Base5_0,0,22,1.026244
Base5_0,0,23,1.026244
Base5_0,0,24,1.026244
Base5_0,0,25,1.026244
Base5_0,0,26,1.026244
Base5_0,0,27,1.026244
Base5_0,0,28,1.026244
Base5_0,0,29,1.026244
Base5_0,0,30,1.026244
Base5_0,0,31,1.026244
Base5_0,0,32,1.026244
Base5_0,0,33,1.026244
Base5_0,0,34,1.026244
Base5_0,0,35,1.026244
Base5_0,0,36,1.026244
Base5_0,0,37,1.026244
Base5_0,0,38,1.026244
Base5_0,0,39,1.026244
Base5_0,0,40,1.026244
Base5_0,0,41,1.026244
Base5_0,0,42,1.026244
Base5_0,0,43,1.026244
Base5_0,0,44,1.026244
Base5_0,0,45,1.026244
Base5_0,0,46,1.026244
Base5_0,0,47,1.014870
Base5_0,0,48,1.014870
Base5_0,0,49,0.985105
Base5_0,0,50,0.985105
Base5_0,0,51,0.891720
Base5_0,0,52,0.724168
Base5_0,0,53,0.724168
Base5_0,0,54,0.724168
Base5_0,0,55,0.724168
Base5_0,0,56,0.630031
Base5_0,0,57,0.630031
Base5_0,0,58,0.754693
Base5_0,0,59,1.124514
Base5_0,0,60,1.770315
Base5_0,0,61,1.770315
Base5_0,0,62,1.770315
Base5_0,0,63,1.770315
Base5_0,0,64,1.770315
Base5_0,0,65,1.770315
Base5_0,0,66,1.770315
Base5_0,0,67,1.770315
Base5_0,0,68,1.770315
Base5_0,0,69,1.770315
Base5_0,0,70,1.770315
Base5_0,0,71,1.770315
Base5_0,0,72,1.770315
Base5_0,0,73,1.770315
Base5_0,0,74,1.770315
Base5_0,0,75,2.179805
Base5_0,0,76,2.179805
Base5_0,0,77,2.185214
Base5_0,0,78,1.994411
Base5_0,0,79,1.994411
Base5_0,0,80,1.994411
Base5_0,0,81,1.994411
Base5_0,0,82,1.994411
Base5_0,0,83,1.994411
Base5_0,0,84,1.978334
Base5_0,0,85,1.978334
Base5_0,0,86,2.357657
Base5_0,0,87,2.225880
Base5_0,0,88,2.225880
Base5_0,0,89,2.225880
Base5_0,0,90,2.225880
Base5_0,0,91,2.225880
Base5_0,0,92,2.225880
Base5_0,0,93,2.225880
Base5_0,0,94,2.225880
Base5_0,0,95,2.225880
Base5_0,0,96,1.986249
Base5_0,0,97,1.986249
Base5_0,0,98,1.986249
Base5_0,0,99,1.986249
Base5_0,0,100,1.986249
Base5_0,0,101,1.986249
Base5_0,0,102,1.986249
Base5_0,0,103,1.986249
Base5_0,0,104,1.986249
Base5_0,0,105,1.986249
Base5_1,1,0,1.000000
Base5_1,1,1,1.265450
Base5_1,1,2,1.265450
Base5_1,1,3,1.265450
Base5_1,1,4,1.265450
Base5_1,1,5,1.265450
Base5_1,1,6,1.265450
Base5_1,1,7,1.265450
Base5_1,1,8,1.265450
Base5_1,1,9,1.265450
Base5_1,1,10,1.265450
Base5_1,1,11,1.265450
Base5_1,1,12,1.265450
Base5_1,1,13,1.265450
Base5_1,1,14,1.265450
Base5_1,1,15,1.265450
Base5_1,1,16,1.265450
Base5_1,1,17,1.265450
Base5_1,1,18,1.265450
Base5_1,1,19,1.265450
Base5_1,1,20,1.265450
Base5_1,1,21,1.265450
Base5_1,1,22,1.265450
Base5_1,1,23,1.265450
Base5_1,1,24,1.265450
Base5_1,1,25,1.265450
Base5_1,1,26,1.265450
Base5_1,1,27,1.265450
Base5_1,1,28,1.265450
Base5_1,1,29,1.265450
Base5_1,1,30,1.265450
Base5_1,1,31,1.265450
Base5_1,1,32,1.265450
Base5_1,1,33,1.180637
Base5_1,1,34,1.180637
Base5_1,1,35,1.180637
Base5_1,1,36,1.180637
Base5_1,1,37,1.180637
Base5_1,1,38,1.176692
Base5_1,1,39,1.176692
Base5_1,1,40,1.176692
Base5_1,1,41,1.176692
Base5_1,1,42,1.176692
Base5_1,1,43,1.176692
Base5_1,1,44,1.176692
Base5_1,1,45,1.176692
Base5_1,1,46,1.176692
Base5_1,1,47,1.176692
Base5_1,1,48,1.176692
Base5_1,1,49,1.479941
Base5_1,1,50,1.479941
Base5_1,1,51,1.479941
Base5_1,1,52,1.479941
Base5_1,1,53,1.479941
Base5_1,1,54,1.479941
Base5_1,1,55,1.580413
Base5_1,1,56,1.580413
Base5_1,1,57,1.873197
Base5_1,1,58,1.873197
Base5_1,1,59,1.873197
Base5_1,1,60,1.873197
Base5_1,1,61,1.873197
Base5_1,1,62,1.873197
Base5_1,1,63,1.873197
Base5_1,1,64,1.873197
Base5_1,1,65,1.873197
Base5_1,1,66,1.873197
Base5_1,1,67,1.632680
Base5_1,1,68,1.632680
Base5_1,1,69,1.632680
Base5_1,1,70,1.632680
Base5_1,1,71,1.632680
Base5_1,1,72,1.632680
Base5_1,1,73,1.632680
Base5_1,1,74,1.632680
Base5_1,1,75,1.632680
Base5_1,1,76,1.741144
Base5_1,1,77,1.602984
Base5_1,1,78,3.212328
Base5_1,1,79,3.212328
Base5_1,1,80,3.212328
Base5_1,1,81,2.492859
Base5_1,1,82,2.492859
Base5_1,1,83,2.492859
Base5_1,1,84,2.492859
Base5_1,1,85,2.492859
Base5_1,1,86,2.492859
Base5_1,1,87,2.492859
Base5_1,1,88,2.492859
Base5_1,1,89,2.492859
Base5_1,1,90,2.492859
Base5_1,1,91,2.492859
Base5_1,1,92,2.492859
Base5_1,1,93,2.492859
Base5_1,1,94,2.545493
Base5_1,1,95,2.545493
Base5_1,1,96,2.545493
Base5_1,1,97,2.545493
Base5_1,1,98,2.545493
Base5_1,1,99,2.545493
Base5_1,1,100,2.545493
Base5_1,1,101,2.545493
Base5_1,1,102,2.545493
Base5_1,1,103,2.545493
Base5_1,1,104,2.545493
Base5_1,1,105,2.545493
Base5_1,1,106,2.545493
Base5_1,1,107,2.545493
