chand_mult,avg_return,avg_sharpe,avg_max_dd,avg_trades,avg_win_rate,pass_rate,windows_passed,total_windows
1.50,66.67,4.8316,26.12,11.3,49.42,83.3,45,54
1.55,70.87,4.9960,26.50,11.2,49.65,79.6,43,54
1.60,72.32,5.2796,25.71,11.1,50.94,83.3,45,54
1.65,69.73,4.9170,26.32,10.8,50.67,75.9,41,54
1.70,91.14,5.8314,26.17,10.4,52.13,79.6,43,54
1.75,88.11,5.5117,26.93,10.3,52.30,77.8,42,54
1.80,93.47,5.7996,25.19,10.1,53.17,81.5,44,54
1.85,90.05,5.6000,25.98,10.1,53.35,81.5,44,54
1.90,87.34,5.4498,26.11,10.1,52.51,81.5,44,54
1.95,87.23,6.0094,27.81,9.9,53.35,81.5,44,54
2.00,88.40,6.0664,27.38,9.8,53.90,81.5,44,54
2.05,88.26,6.0278,27.23,9.8,54.04,81.5,44,54
2.10,87.54,5.9109,27.34,9.8,52.31,81.5,44,54
2.15,93.16,6.0764,26.83,9.8,54.79,81.5,44,54
2.20,93.32,6.0797,26.76,9.8,54.92,81.5,44,54
2.25,92.33,6.1225,26.81,9.8,55.07,81.5,44,54
2.30,92.84,6.2036,26.85,9.8,54.74,83.3,45,54
2.35,90.97,5.9787,26.71,9.8,54.08,83.3,45,54
2.40,86.38,5.6034,27.01,9.8,52.69,81.5,44,54
2.45,69.23,5.0292,27.62,9.7,51.48,79.6,43,54
2.50,64.07,4.7120,29.46,9.7,51.41,77.8,42,54
2.55,69.07,4.7626,28.47,9.6,52.96,77.8,42,54
2.60,71.47,5.0166,27.99,9.6,53.37,77.8,42,54
2.65,71.22,5.1153,28.48,9.6,53.70,77.8,42,54
2.70,72.81,5.2369,27.74,9.6,53.70,77.8,42,54
2.75,72.34,5.2060,28.00,9.6,53.70,77.8,42,54
2.80,74.02,5.2671,27.67,9.6,53.70,77.8,42,54
2.85,71.88,5.2366,27.79,9.5,53.01,77.8,42,54
2.90,71.28,5.2184,28.28,9.5,52.87,77.8,42,54
2.95,72.58,5.3114,28.31,9.4,53.29,77.8,42,54
3.00,69.22,4.9450,29.26,9.4,52.21,77.8,42,54
3.05,67.78,4.8628,29.67,9.4,52.08,77.8,42,54
3.10,76.92,5.3062,29.08,9.4,53.99,77.8,42,54
3.15,76.38,5.3706,29.49,9.4,54.04,77.8,42,54
3.20,77.57,5.4198,29.49,9.4,53.71,77.8,42,54
3.25,77.81,5.4251,29.49,9.4,53.71,77.8,42,54
3.30,77.04,5.5162,29.46,9.4,53.54,81.5,44,54
3.35,77.12,5.5430,29.43,9.4,53.54,81.5,44,54
3.40,76.73,5.4219,29.71,9.4,53.24,81.5,44,54
3.45,76.34,5.3944,29.88,9.4,53.24,81.5,44,54
3.50,76.24,5.3815,29.92,9.4,53.24,81.5,44,54
3.55,82.98,5.4832,29.22,9.4,53.68,81.5,44,54
3.60,82.98,5.4832,29.22,9.4,53.68,81.5,44,54
3.65,79.23,5.2941,30.73,9.4,53.56,77.8,42,54
3.70,78.25,5.2415,31.11,9.4,53.56,77.8,42,54
3.75,78.62,5.2569,30.85,9.4,53.56,79.6,43,54
3.80,78.62,5.2569,30.85,9.4,53.56,79.6,43,54
3.85,80.02,5.3036,30.61,9.4,53.56,79.6,43,54
3.90,81.03,5.3568,30.23,9.4,53.56,79.6,43,54
3.95,79.56,5.2387,30.57,9.4,53.56,79.6,43,54
4.00,79.95,5.2481,30.57,9.4,53.56,79.6,43,54
4.05,79.95,5.2481,30.57,9.4,53.56,79.6,43,54
4.10,81.50,5.3099,29.82,9.4,53.56,79.6,43,54
4.15,81.50,5.3099,29.82,9.4,53.56,79.6,43,54
4.20,81.50,5.3099,29.82,9.4,53.56,79.6,43,54
4.25,81.38,5.3035,29.83,9.4,53.56,79.6,43,54
4.30,81.38,5.3035,29.83,9.4,53.56,79.6,43,54
4.35,80.88,5.2833,29.89,9.4,53.56,79.6,43,54
4.40,80.88,5.2833,29.89,9.4,53.56,79.6,43,54
4.45,81.26,5.3030,29.74,9.4,53.56,79.6,43,54
4.50,81.26,5.3030,29.74,9.4,53.56,79.6,43,54
4.55,81.44,5.3167,29.74,9.4,53.68,79.6,43,54
4.60,81.44,5.3167,29.74,9.4,53.68,79.6,43,54
4.65,81.44,5.3167,29.74,9.4,53.68,79.6,43,54
4.70,81.44,5.3167,29.74,9.4,53.68,79.6,43,54
4.75,82.83,5.3379,29.36,9.4,53.68,79.6,43,54
4.80,82.83,5.3379,29.36,9.4,53.68,79.6,43,54
4.85,82.83,5.3379,29.36,9.4,53.68,79.6,43,54
4.90,82.83,5.3379,29.36,9.4,53.68,79.6,43,54
4.95,82.83,5.3379,29.36,9.4,53.68,79.6,43,54
5.00,82.62,5.3346,29.31,9.3,53.62,79.6,43,54
