chand_mult,window,return_pct,sharpe,max_dd_pct,trades,win_rate,pass
0.50,0,101.73,3.362,-52.5,39,59.0,PASS
0.50,1,66.04,5.405,-15.9,23,43.5,PASS
0.50,2,-18.04,-0.984,-34.7,33,42.4,FAIL
0.50,3,28.31,1.948,-34.2,37,48.6,PASS
0.50,4,4.89,0.847,-16.8,32,46.9,PASS
0.50,5,18.78,2.129,-10.5,30,40.0,PASS
0.75,0,66.38,2.676,-55.5,35,57.1,PASS
0.75,1,44.94,4.372,-14.7,21,42.9,PASS
0.75,2,-27.59,-2.058,-41.1,29,41.4,FAIL
0.75,3,19.15,1.889,-31.2,28,57.1,PASS
0.75,4,21.22,2.141,-15.5,25,48.0,PASS
0.75,5,27.92,2.911,-15.0,25,36.0,PASS
1.00,0,335.57,5.583,-47.6,26,57.7,PASS
1.00,1,56.31,5.510,-9.0,13,53.8,PASS
1.00,2,23.60,2.590,-14.9,22,54.5,PASS
1.00,3,-5.95,0.267,-38.9,25,52.0,FAIL
1.00,4,56.22,4.336,-20.2,18,55.6,PASS
1.00,5,-7.23,-0.644,-20.0,20,30.0,FAIL
1.25,0,313.20,5.866,-50.6,22,54.5,PASS
1.25,1,87.14,7.848,-9.0,11,63.6,PASS
1.25,2,12.26,1.783,-17.6,17,47.1,PASS
1.25,3,69.27,3.674,-27.6,18,55.6,PASS
1.25,4,36.75,4.087,-11.9,15,46.7,PASS
1.25,5,21.73,2.932,-12.5,15,46.7,PASS
1.50,0,307.70,5.782,-50.6,19,47.4,PASS
1.50,1,59.36,8.547,-9.0,9,77.8,PASS
1.50,2,0.49,0.965,-33.3,14,42.9,PASS
1.50,3,108.79,5.173,-26.6,14,57.1,PASS
1.50,4,28.69,3.737,-9.4,13,46.2,PASS
1.50,5,-2.04,0.463,-23.9,14,42.9,FAIL
1.75,0,423.16,7.033,-21.1,17,52.9,PASS
1.75,1,49.23,10.669,-7.9,8,75.0,PASS
1.75,2,13.86,1.992,-38.0,13,30.8,PASS
1.75,3,178.80,7.776,-27.1,10,50.0,PASS
1.75,4,36.62,4.810,-13.9,10,60.0,PASS
1.75,5,15.04,2.322,-23.9,11,45.5,PASS
2.00,0,621.80,9.285,-18.8,14,57.1,PASS
2.00,1,49.23,10.669,-7.9,8,75.0,PASS
2.00,2,0.65,1.307,-43.4,13,30.8,PASS
2.00,3,186.90,7.980,-28.5,9,55.6,PASS
2.00,4,52.75,7.318,-13.9,8,75.0,PASS
2.00,5,24.24,3.984,-15.4,9,55.6,PASS
2.25,0,583.67,9.016,-18.8,14,57.1,PASS
2.25,1,49.23,10.669,-7.9,8,75.0,PASS
2.25,2,81.59,4.799,-30.1,11,36.4,PASS
2.25,3,186.90,7.980,-28.5,9,55.6,PASS
2.25,4,52.75,7.318,-13.9,8,75.0,PASS
2.25,5,8.97,1.937,-16.1,10,50.0,PASS
2.50,0,583.67,9.016,-18.8,14,57.1,PASS
2.50,1,49.23,10.669,-7.9,8,75.0,PASS
2.50,2,81.59,4.799,-30.1,11,36.4,PASS
2.50,3,186.90,7.980,-28.5,9,55.6,PASS
2.50,4,51.04,7.065,-14.8,8,75.0,PASS
2.50,5,9.28,1.974,-15.9,10,50.0,PASS
2.75,0,583.67,9.016,-18.8,14,57.1,PASS
2.75,1,49.23,10.669,-7.9,8,75.0,PASS
2.75,2,67.36,4.359,-30.1,11,36.4,PASS
2.75,3,186.90,7.980,-28.5,9,55.6,PASS
2.75,4,51.04,7.065,-14.8,8,75.0,PASS
2.75,5,9.28,1.974,-15.9,10,50.0,PASS
3.00,0,583.67,9.016,-18.8,14,57.1,PASS
3.00,1,49.23,10.669,-7.9,8,75.0,PASS
3.00,2,67.36,4.359,-30.1,11,36.4,PASS
3.00,3,186.90,7.980,-28.5,9,55.6,PASS
3.00,4,51.04,7.065,-14.8,8,75.0,PASS
3.00,5,9.28,1.974,-15.9,10,50.0,PASS
3.25,0,583.67,9.016,-18.8,14,57.1,PASS
3.25,1,49.23,10.669,-7.9,8,75.0,PASS
3.25,2,67.36,4.359,-30.1,11,36.4,PASS
3.25,3,186.90,7.980,-28.5,9,55.6,PASS
3.25,4,51.04,7.065,-14.8,8,75.0,PASS
3.25,5,9.28,1.974,-15.9,10,50.0,PASS
3.50,0,583.67,9.016,-18.8,14,57.1,PASS
3.50,1,49.23,10.669,-7.9,8,75.0,PASS
3.50,2,67.36,4.359,-30.1,11,36.4,PASS
3.50,3,186.90,7.980,-28.5,9,55.6,PASS
3.50,4,51.04,7.065,-14.8,8,75.0,PASS
3.50,5,9.28,1.974,-15.9,10,50.0,PASS
3.75,0,583.67,9.016,-18.8,14,57.1,PASS
3.75,1,49.23,10.669,-7.9,8,75.0,PASS
3.75,2,67.36,4.359,-30.1,11,36.4,PASS
3.75,3,186.90,7.980,-28.5,9,55.6,PASS
3.75,4,51.04,7.065,-14.8,8,75.0,PASS
3.75,5,9.28,1.974,-15.9,10,50.0,PASS
4.00,0,583.67,9.016,-18.8,14,57.1,PASS
4.00,1,49.23,10.669,-7.9,8,75.0,PASS
4.00,2,67.36,4.359,-30.1,11,36.4,PASS
4.00,3,186.90,7.980,-28.5,9,55.6,PASS
4.00,4,51.04,7.065,-14.8,8,75.0,PASS
4.00,5,9.28,1.974,-15.9,10,50.0,PASS
4.25,0,583.67,9.016,-18.8,14,57.1,PASS
4.25,1,49.23,10.669,-7.9,8,75.0,PASS
4.25,2,67.36,4.359,-30.1,11,36.4,PASS
4.25,3,186.90,7.980,-28.5,9,55.6,PASS
4.25,4,51.04,7.065,-14.8,8,75.0,PASS
4.25,5,9.28,1.974,-15.9,10,50.0,PASS
4.50,0,583.67,9.016,-18.8,14,57.1,PASS
4.50,1,49.23,10.669,-7.9,8,75.0,PASS
4.50,2,67.36,4.359,-30.1,11,36.4,PASS
4.50,3,186.90,7.980,-28.5,9,55.6,PASS
4.50,4,51.04,7.065,-14.8,8,75.0,PASS
4.50,5,9.28,1.974,-15.9,10,50.0,PASS
4.75,0,583.67,9.016,-18.8,14,57.1,PASS
4.75,1,49.23,10.669,-7.9,8,75.0,PASS
4.75,2,67.36,4.359,-30.1,11,36.4,PASS
4.75,3,186.90,7.980,-28.5,9,55.6,PASS
4.75,4,51.04,7.065,-14.8,8,75.0,PASS
4.75,5,9.28,1.974,-15.9,10,50.0,PASS
5.00,0,583.67,9.016,-18.8,14,57.1,PASS
5.00,1,49.23,10.669,-7.9,8,75.0,PASS
5.00,2,67.36,4.359,-30.1,11,36.4,PASS
5.00,3,186.90,7.980,-28.5,9,55.6,PASS
5.00,4,51.04,7.065,-14.8,8,75.0,PASS
5.00,5,9.28,1.974,-15.9,10,50.0,PASS
