chand_p,pass_count,total_count,pass_pct,avg_sharpe,avg_ret_pct,avg_dd_pct,total_trades,positive_universes
5,53,63,84.1270,5.428148,85.4388,0.0000,574,9
6,53,63,84.1270,5.428148,85.4388,0.0000,574,9
7,53,63,84.1270,5.428148,85.4388,0.0000,574,9
8,53,63,84.1270,5.428148,85.4388,0.0000,574,9
9,53,63,84.1270,5.428148,85.4388,0.0000,574,9
10,53,63,84.1270,5.428148,85.4388,0.0000,574,9
11,53,63,84.1270,5.428148,85.4388,0.0000,574,9
12,53,63,84.1270,5.428148,85.4388,0.0000,574,9
13,53,63,84.1270,5.428148,85.4388,0.0000,574,9
14,53,63,84.1270,5.428148,85.4388,0.0000,574,9
15,53,63,84.1270,5.428148,85.4388,0.0000,574,9
16,53,63,84.1270,5.428148,85.4388,0.0000,574,9
17,53,63,84.1270,5.428148,85.4388,0.0000,574,9
18,53,63,84.1270,5.428148,85.4388,0.0000,574,9
19,53,63,84.1270,5.428148,85.4388,0.0000,574,9
20,53,63,84.1270,5.428148,85.4388,0.0000,574,9
21,53,63,84.1270,5.428148,85.4388,0.0000,574,9
22,53,63,84.1270,5.428148,85.4388,0.0000,574,9
23,53,63,84.1270,5.428148,85.4388,0.0000,574,9
24,53,63,84.1270,5.428148,85.4388,0.0000,574,9
25,53,63,84.1270,5.428148,85.4388,0.0000,574,9
26,53,63,84.1270,5.428148,85.4388,0.0000,574,9
27,53,63,84.1270,5.428148,85.4388,0.0000,574,9
28,53,63,84.1270,5.428148,85.4388,0.0000,574,9
29,53,63,84.1270,5.428148,85.4388,0.0000,574,9
30,53,63,84.1270,5.428148,85.4388,0.0000,574,9
31,53,63,84.1270,5.428148,85.4388,0.0000,574,9
32,53,63,84.1270,5.428148,85.4388,0.0000,574,9
33,53,63,84.1270,5.428148,85.4388,0.0000,574,9
34,53,63,84.1270,5.428148,85.4388,0.0000,574,9
35,53,63,84.1270,5.428148,85.4388,0.0000,574,9
36,53,63,84.1270,5.428148,85.4388,0.0000,574,9
37,53,63,84.1270,5.428148,85.4388,0.0000,574,9
38,53,63,84.1270,5.428148,85.4388,0.0000,574,9
39,53,63,84.1270,5.428148,85.4388,0.0000,574,9
40,53,63,84.1270,5.428148,85.4388,0.0000,574,9
41,53,63,84.1270,5.428148,85.4388,0.0000,574,9
42,53,63,84.1270,5.428148,85.4388,0.0000,574,9
43,53,63,84.1270,5.428148,85.4388,0.0000,574,9
44,53,63,84.1270,5.428148,85.4388,0.0000,574,9
45,53,63,84.1270,5.428148,85.4388,0.0000,574,9
46,53,63,84.1270,5.428148,85.4388,0.0000,574,9
47,53,63,84.1270,5.428148,85.4388,0.0000,574,9
48,53,63,84.1270,5.428148,85.4388,0.0000,574,9
49,53,63,84.1270,5.428148,85.4388,0.0000,574,9
50,53,63,84.1270,5.428148,85.4388,0.0000,574,9
51,53,63,84.1270,5.428148,85.4388,0.0000,574,9
52,53,63,84.1270,5.428148,85.4388,0.0000,574,9
53,53,63,84.1270,5.428148,85.4388,0.0000,574,9
54,53,63,84.1270,5.428148,85.4388,0.0000,574,9
55,53,63,84.1270,5.428148,85.4388,0.0000,574,9
56,53,63,84.1270,5.428148,85.4388,0.0000,574,9
57,53,63,84.1270,5.428148,85.4388,0.0000,574,9
58,53,63,84.1270,5.428148,85.4388,0.0000,574,9
59,53,63,84.1270,5.428148,85.4388,0.0000,574,9
60,53,63,84.1270,5.428148,85.4388,0.0000,574,9
