cp,universe,window,ret_pct,sharpe,max_dd_pct,trades,win_rate_pct,equity_final,pass
5,Base5,0,-46.60,-1.0465,54.90,13,38.46,0.533952,false
5,Base5,1,483.74,8.3250,17.63,10,50.00,5.837388,true
5,Base5,2,87.01,7.2600,31.03,10,50.00,1.870127,true
5,Base5,3,35.31,4.3550,42.37,13,61.54,1.353102,true
5,Base5,4,69.32,12.6695,17.74,7,71.43,1.693177,true
5,Base5,5,27.29,4.0862,16.84,9,33.33,1.272887,true
5,NoDOGE,0,-46.60,-1.0465,54.90,13,38.46,0.533952,false
5,NoDOGE,1,-6.66,-0.7361,27.74,7,42.86,0.933390,false
5,NoDOGE,2,152.72,9.4880,19.28,9,55.56,2.527242,true
5,NoDOGE,3,71.26,6.1687,42.37,13,69.23,1.712587,true
5,NoDOGE,4,69.32,12.6695,17.74,7,71.43,1.693177,true
5,NoDOGE,5,-24.38,-4.4681,30.21,8,25.00,0.756185,false
5,LargeCaps5,0,-23.35,1.0183,48.93,13,46.15,0.766508,false
5,LargeCaps5,1,-6.66,-0.7361,27.74,7,42.86,0.933390,false
5,LargeCaps5,2,152.72,9.4880,19.28,9,55.56,2.527242,true
5,LargeCaps5,3,62.18,5.7047,42.37,11,63.64,1.621801,true
5,LargeCaps5,4,76.43,12.2115,21.19,7,71.43,1.764342,true
5,LargeCaps5,5,-24.38,-4.4681,30.21,8,25.00,0.756185,false
5,Legacy3,0,23.42,4.6853,23.68,7,42.86,1.234234,true
5,Legacy3,1,-6.65,0.0133,29.06,7,57.14,0.933500,false
5,Legacy3,2,303.90,14.8373,2.00,6,83.33,4.039001,true
5,Legacy3,3,23.57,4.5158,42.37,9,66.67,1.235712,true
5,Legacy3,4,35.85,8.8456,11.23,7,57.14,1.358519,true
5,Legacy3,5,-5.74,-0.0524,20.59,6,50.00,0.942575,false
5,Legacy4,0,42.66,4.5028,39.87,12,41.67,1.426587,true
5,Legacy4,1,70.98,9.9023,12.30,9,55.56,1.709753,true
5,Legacy4,2,264.91,11.9540,21.67,7,71.43,3.649140,true
5,Legacy4,3,-27.46,2.3535,70.43,10,70.00,0.725375,false
5,Legacy4,4,-17.10,-3.4404,29.97,7,28.57,0.828981,false
5,Legacy4,5,-4.85,0.1452,20.59,7,57.14,0.951491,false
5,Legacy5,0,39.23,4.7141,25.89,13,46.15,1.392271,true
5,Legacy5,1,41.15,6.3377,26.40,9,66.67,1.411503,true
5,Legacy5,2,179.58,8.4400,21.67,9,66.67,2.795849,true
5,Legacy5,3,-27.46,2.3535,70.43,10,70.00,0.725375,false
5,Legacy5,4,39.41,6.2148,21.11,7,42.86,1.394052,true
5,Legacy5,5,27.39,4.0242,38.42,10,50.00,1.273908,true
5,LowVolume5,0,-39.72,-2.2437,63.74,14,35.71,0.602823,false
5,LowVolume5,1,0.14,1.9965,52.52,12,50.00,1.001447,true
5,LowVolume5,2,20.54,3.4454,45.86,12,58.33,1.205409,true
5,LowVolume5,3,-77.24,-5.0453,82.93,10,40.00,0.227624,false
5,LowVolume5,4,22.58,3.9489,35.57,9,55.56,1.225807,true
5,LowVolume5,5,61.66,6.3269,26.89,11,54.55,1.616625,true
5,Blend5,0,-32.09,-0.3763,57.69,13,53.85,0.679121,false
5,Blend5,1,11.58,4.8705,13.62,6,50.00,1.115847,true
5,Blend5,2,84.54,6.9364,30.48,10,60.00,1.845417,true
5,Blend5,3,58.31,5.2342,44.04,11,45.45,1.583113,true
5,Blend5,4,69.32,12.6695,17.74,7,71.43,1.693177,true
5,Blend5,5,-30.20,-7.0475,35.58,7,14.29,0.698017,false
5,AltCap5,0,284.84,7.9628,66.51,13,69.23,3.848365,true
5,AltCap5,1,503.97,16.4507,17.51,8,62.50,6.039664,true
5,AltCap5,2,-3.68,0.7020,34.09,9,44.44,0.963222,false
5,AltCap5,3,69.04,7.0984,29.16,9,33.33,1.690370,true
5,AltCap5,4,-25.61,-1.6000,43.14,10,50.00,0.743891,false
5,AltCap5,5,34.89,4.5144,31.60,12,50.00,1.348937,true
6,Base5,0,-46.60,-1.0465,54.90,13,38.46,0.533952,false
6,Base5,1,483.74,8.3250,17.63,10,50.00,5.837388,true
6,Base5,2,87.01,7.2600,31.03,10,50.00,1.870127,true
6,Base5,3,35.31,4.3550,42.37,13,61.54,1.353102,true
6,Base5,4,69.32,12.6695,17.74,7,71.43,1.693177,true
6,Base5,5,27.29,4.0862,16.84,9,33.33,1.272887,true
6,NoDOGE,0,-46.60,-1.0465,54.90,13,38.46,0.533952,false
6,NoDOGE,1,-6.66,-0.7361,27.74,7,42.86,0.933390,false
6,NoDOGE,2,152.72,9.4880,19.28,9,55.56,2.527242,true
6,NoDOGE,3,71.26,6.1687,42.37,13,69.23,1.712587,true
6,NoDOGE,4,69.32,12.6695,17.74,7,71.43,1.693177,true
6,NoDOGE,5,-24.38,-4.4681,30.21,8,25.00,0.756185,false
6,LargeCaps5,0,-23.35,1.0183,48.93,13,46.15,0.766508,false
6,LargeCaps5,1,-6.66,-0.7361,27.74,7,42.86,0.933390,false
6,LargeCaps5,2,152.72,9.4880,19.28,9,55.56,2.527242,true
6,LargeCaps5,3,62.18,5.7047,42.37,11,63.64,1.621801,true
6,LargeCaps5,4,76.43,12.2115,21.19,7,71.43,1.764342,true
6,LargeCaps5,5,-24.38,-4.4681,30.21,8,25.00,0.756185,false
6,Legacy3,0,23.42,4.6853,23.68,7,42.86,1.234234,true
6,Legacy3,1,-6.65,0.0133,29.06,7,57.14,0.933500,false
6,Legacy3,2,303.90,14.8373,2.00,6,83.33,4.039001,true
6,Legacy3,3,23.57,4.5158,42.37,9,66.67,1.235712,true
6,Legacy3,4,35.85,8.8456,11.23,7,57.14,1.358519,true
6,Legacy3,5,-5.74,-0.0524,20.59,6,50.00,0.942575,false
6,Legacy4,0,42.66,4.5028,39.87,12,41.67,1.426587,true
6,Legacy4,1,70.98,9.9023,12.30,9,55.56,1.709753,true
6,Legacy4,2,264.91,11.9540,21.67,7,71.43,3.649140,true
6,Legacy4,3,-27.46,2.3535,70.43,10,70.00,0.725375,false
6,Legacy4,4,-17.10,-3.4404,29.97,7,28.57,0.828981,false
6,Legacy4,5,-4.85,0.1452,20.59,7,57.14,0.951491,false
6,Legacy5,0,39.23,4.7141,25.89,13,46.15,1.392271,true
6,Legacy5,1,41.15,6.3377,26.40,9,66.67,1.411503,true
6,Legacy5,2,179.58,8.4400,21.67,9,66.67,2.795849,true
6,Legacy5,3,-27.46,2.3535,70.43,10,70.00,0.725375,false
6,Legacy5,4,39.41,6.2148,21.11,7,42.86,1.394052,true
6,Legacy5,5,27.39,4.0242,38.42,10,50.00,1.273908,true
6,LowVolume5,0,-39.72,-2.2437,63.74,14,35.71,0.602823,false
6,LowVolume5,1,0.14,1.9965,52.52,12,50.00,1.001447,true
6,LowVolume5,2,20.54,3.4454,45.86,12,58.33,1.205409,true
6,LowVolume5,3,-77.24,-5.0453,82.93,10,40.00,0.227624,false
6,LowVolume5,4,22.58,3.9489,35.57,9,55.56,1.225807,true
6,LowVolume5,5,61.66,6.3269,26.89,11,54.55,1.616625,true
6,Blend5,0,-32.09,-0.3763,57.69,13,53.85,0.679121,false
6,Blend5,1,11.58,4.8705,13.62,6,50.00,1.115847,true
6,Blend5,2,84.54,6.9364,30.48,10,60.00,1.845417,true
6,Blend5,3,58.31,5.2342,44.04,11,45.45,1.583113,true
6,Blend5,4,69.32,12.6695,17.74,7,71.43,1.693177,true
6,Blend5,5,-30.20,-7.0475,35.58,7,14.29,0.698017,false
6,AltCap5,0,284.84,7.9628,66.51,13,69.23,3.848365,true
6,AltCap5,1,503.97,16.4507,17.51,8,62.50,6.039664,true
6,AltCap5,2,-3.68,0.7020,34.09,9,44.44,0.963222,false
6,AltCap5,3,69.04,7.0984,29.16,9,33.33,1.690370,true
6,AltCap5,4,-25.61,-1.6000,43.14,10,50.00,0.743891,false
6,AltCap5,5,34.89,4.5144,31.60,12,50.00,1.348937,true
7,Base5,0,-46.60,-1.0465,54.90,13,38.46,0.533952,false
7,Base5,1,483.74,8.3250,17.63,10,50.00,5.837388,true
7,Base5,2,87.01,7.2600,31.03,10,50.00,1.870127,true
7,Base5,3,35.31,4.3550,42.37,13,61.54,1.353102,true
7,Base5,4,69.32,12.6695,17.74,7,71.43,1.693177,true
7,Base5,5,27.29,4.0862,16.84,9,33.33,1.272887,true
7,NoDOGE,0,-46.60,-1.0465,54.90,13,38.46,0.533952,false
7,NoDOGE,1,-6.66,-0.7361,27.74,7,42.86,0.933390,false
7,NoDOGE,2,152.72,9.4880,19.28,9,55.56,2.527242,true
7,NoDOGE,3,71.26,6.1687,42.37,13,69.23,1.712587,true
7,NoDOGE,4,69.32,12.6695,17.74,7,71.43,1.693177,true
7,NoDOGE,5,-24.38,-4.4681,30.21,8,25.00,0.756185,false
7,LargeCaps5,0,-23.35,1.0183,48.93,13,46.15,0.766508,false
7,LargeCaps5,1,-6.66,-0.7361,27.74,7,42.86,0.933390,false
7,LargeCaps5,2,152.72,9.4880,19.28,9,55.56,2.527242,true
7,LargeCaps5,3,62.18,5.7047,42.37,11,63.64,1.621801,true
7,LargeCaps5,4,76.43,12.2115,21.19,7,71.43,1.764342,true
7,LargeCaps5,5,-24.38,-4.4681,30.21,8,25.00,0.756185,false
7,Legacy3,0,23.42,4.6853,23.68,7,42.86,1.234234,true
7,Legacy3,1,-6.65,0.0133,29.06,7,57.14,0.933500,false
7,Legacy3,2,303.90,14.8373,2.00,6,83.33,4.039001,true
7,Legacy3,3,23.57,4.5158,42.37,9,66.67,1.235712,true
7,Legacy3,4,35.85,8.8456,11.23,7,57.14,1.358519,true
7,Legacy3,5,-5.74,-0.0524,20.59,6,50.00,0.942575,false
7,Legacy4,0,42.66,4.5028,39.87,12,41.67,1.426587,true
7,Legacy4,1,70.98,9.9023,12.30,9,55.56,1.709753,true
7,Legacy4,2,264.91,11.9540,21.67,7,71.43,3.649140,true
7,Legacy4,3,-27.46,2.3535,70.43,10,70.00,0.725375,false
7,Legacy4,4,-17.10,-3.4404,29.97,7,28.57,0.828981,false
7,Legacy4,5,-4.85,0.1452,20.59,7,57.14,0.951491,false
7,Legacy5,0,39.23,4.7141,25.89,13,46.15,1.392271,true
7,Legacy5,1,41.15,6.3377,26.40,9,66.67,1.411503,true
7,Legacy5,2,179.58,8.4400,21.67,9,66.67,2.795849,true
7,Legacy5,3,-27.46,2.3535,70.43,10,70.00,0.725375,false
7,Legacy5,4,39.41,6.2148,21.11,7,42.86,1.394052,true
7,Legacy5,5,27.39,4.0242,38.42,10,50.00,1.273908,true
7,LowVolume5,0,-39.72,-2.2437,63.74,14,35.71,0.602823,false
7,LowVolume5,1,0.14,1.9965,52.52,12,50.00,1.001447,true
7,LowVolume5,2,20.54,3.4454,45.86,12,58.33,1.205409,true
7,LowVolume5,3,-77.24,-5.0453,82.93,10,40.00,0.227624,false
7,LowVolume5,4,22.58,3.9489,35.57,9,55.56,1.225807,true
