cp,universe,window,ret_pct,sharpe,max_dd_pct,trades,win_rate_pct,equity_final,pass
5,Base5,0,495.8823,10.224556,35.88,16,62.50,5.958823,true
5,Base5,1,1168.2276,7.492047,8.73,12,75.00,12.682276,true
5,Base5,2,799.2922,14.846088,10.71,12,83.33,8.992922,true
5,Base5,3,386.6705,12.235517,26.06,15,73.33,4.866705,true
5,Base5,4,25.9814,4.279961,20.04,11,36.36,1.259814,true
5,Base5,5,-8.2651,0.704143,33.94,16,37.50,0.917349,false
5,NoDOGE,0,495.8823,10.224556,35.88,16,62.50,5.958823,true
5,NoDOGE,1,-24.6150,-2.263345,41.58,10,40.00,0.753850,false
5,NoDOGE,2,85.8060,5.715840,24.71,15,46.67,1.858060,true
5,NoDOGE,3,474.0807,12.356073,26.06,15,73.33,5.740807,true
5,NoDOGE,4,25.9814,4.279961,20.04,11,36.36,1.259814,true
5,NoDOGE,5,-16.8474,-1.208745,35.24,15,40.00,0.831526,false
5,Legacy4,0,197.8333,9.409890,20.38,18,61.11,2.978333,true
5,Legacy4,1,33.9190,4.439362,29.13,13,46.15,1.339190,true
5,Legacy4,2,305.1808,10.133909,9.70,11,72.73,4.051808,true
5,Legacy4,3,275.9388,11.817108,20.15,14,57.14,3.759388,true
5,Legacy4,4,57.8109,7.045107,25.14,11,63.64,1.578109,true
5,Legacy4,5,11.6112,2.472321,21.39,13,38.46,1.116112,true
5,Legacy5BNB,0,195.4183,9.090463,21.49,18,55.56,2.954183,true
5,Legacy5BNB,1,-25.6813,-3.288010,29.83,14,35.71,0.743187,false
5,Legacy5BNB,2,342.8582,10.740951,9.70,11,72.73,4.428582,true
5,Legacy5BNB,3,223.6277,7.953476,48.74,14,50.00,3.236277,true
5,Legacy5BNB,4,82.3918,11.809054,12.61,9,66.67,1.823918,true
5,Legacy5BNB,5,-2.4147,0.736499,22.69,11,36.36,0.975853,false
5,OldGuardNoBNB,0,421.3033,11.666989,17.37,19,63.16,5.213033,true
5,OldGuardNoBNB,1,-41.1990,-4.039166,54.43,13,38.46,0.588010,false
5,OldGuardNoBNB,2,305.1808,10.133909,9.70,11,72.73,4.051808,true
5,OldGuardNoBNB,3,275.9388,11.817108,20.15,14,57.14,3.759388,true
5,OldGuardNoBNB,4,37.7418,4.846505,25.14,12,58.33,1.377418,true
5,OldGuardNoBNB,5,-29.7917,-2.544780,40.59,15,33.33,0.702083,false
5,LargeCaps5,0,332.4170,8.714374,35.88,16,62.50,4.324170,true
5,LargeCaps5,1,-24.6150,-2.263345,41.58,10,40.00,0.753850,false
5,LargeCaps5,2,93.5903,6.004833,24.71,15,46.67,1.935903,true
5,LargeCaps5,3,271.4153,8.414280,38.19,14,64.29,3.714153,true
5,LargeCaps5,4,28.5054,4.531844,16.76,11,45.45,1.285054,true
5,LargeCaps5,5,-20.5941,-1.761537,35.24,15,33.33,0.794059,false
5,Legacy3,0,211.9663,9.817399,20.38,18,61.11,3.119663,true
5,Legacy3,1,55.9844,6.132239,15.50,14,50.00,1.559844,true
5,Legacy3,2,140.0437,6.971628,26.25,14,42.86,2.400437,true
5,Legacy3,3,35.8155,3.856583,32.84,14,42.86,1.358155,true
5,Legacy3,4,3.1649,1.387780,25.14,12,50.00,1.031649,true
5,Legacy3,5,-31.2362,-2.305105,46.24,15,26.67,0.687638,false
5,LowVolume5,0,66.5182,4.797292,28.25,18,50.00,1.665182,true
5,LowVolume5,1,-17.2837,-0.114239,55.89,16,43.75,0.827163,false
5,LowVolume5,2,529.9880,10.784772,24.04,15,60.00,6.299880,true
5,LowVolume5,3,833.3183,12.554944,27.06,14,64.29,9.333183,true
5,LowVolume5,4,-74.2585,-8.166200,76.03,15,26.67,0.257415,false
5,LowVolume5,5,-71.6579,-4.976028,72.79,19,31.58,0.283421,false
5,OldGuard4,0,375.7406,10.207555,20.38,19,63.16,4.757406,true
5,OldGuard4,1,57.9990,7.102604,17.20,12,66.67,1.579990,true
5,OldGuard4,2,166.1275,7.810913,29.83,13,53.85,2.661275,true
5,OldGuard4,3,35.8155,3.856583,32.84,14,42.86,1.358155,true
5,OldGuard4,4,-25.3042,-2.321849,35.94,14,35.71,0.746958,false
5,OldGuard4,5,-63.7003,-5.353403,68.01,17,17.65,0.362997,false
6,Base5,0,217.1533,7.835255,43.47,16,50.00,3.171533,true
6,Base5,1,1050.7937,7.130627,8.73,12,75.00,11.507937,true
6,Base5,2,799.2922,14.846088,10.71,12,83.33,8.992922,true
6,Base5,3,347.4142,11.745148,15.30,15,66.67,4.474142,true
6,Base5,4,19.1074,3.466929,21.93,11,36.36,1.191074,true
6,Base5,5,-8.3469,0.690199,33.94,16,37.50,0.916531,false
