chand_period,window,bar,equity
17,0,0,1.000000
17,0,1,1.000000
17,0,2,1.074788
17,0,3,1.074788
17,0,4,1.074788
17,0,5,1.074788
17,0,6,1.074788
17,0,7,1.074788
17,0,8,1.074788
17,0,9,1.074788
17,0,10,1.074788
17,0,11,1.074788
17,0,12,0.992073
17,0,13,0.992073
17,0,14,0.992073
17,0,15,0.992073
17,0,16,0.992073
17,0,17,0.992073
17,0,18,0.992073
17,0,19,0.992073
17,0,20,0.992073
17,0,21,0.992073
17,0,22,0.992073
17,0,23,0.992073
17,0,24,0.992073
17,0,25,0.992073
17,0,26,0.992073
17,0,27,0.992073
17,0,28,0.992073
17,0,29,0.992073
17,0,30,0.992073
17,0,31,0.992073
17,0,32,0.992073
17,0,33,0.992073
17,0,34,0.992073
17,0,35,0.992073
17,0,36,0.992073
17,0,37,0.992073
17,0,38,0.992073
17,0,39,0.992073
17,0,40,0.992073
17,0,41,0.992073
17,0,42,0.992073
17,0,43,0.992073
17,0,44,0.981079
17,0,45,0.981079
17,0,46,0.981079
17,0,47,0.981079
17,0,48,0.981079
17,0,49,0.981079
17,0,50,0.888076
17,0,51,0.888076
17,0,52,0.888076
17,0,53,0.888076
17,0,54,0.888076
17,0,55,0.888076
17,0,56,0.888076
17,0,57,0.888076
17,0,58,0.888076
17,0,59,0.772632
17,0,60,0.772632
17,0,61,0.925510
17,0,62,1.379037
17,0,63,2.171008
17,0,64,2.171008
17,0,65,2.171008
17,0,66,2.171008
17,0,67,2.171008
17,0,68,2.171008
17,0,69,2.171008
17,0,70,2.171008
17,0,71,2.171008
17,0,72,2.171008
17,0,73,2.171008
17,0,74,2.171008
17,0,75,2.171008
17,0,76,2.171008
17,0,77,2.673182
17,0,78,2.673182
17,0,79,2.679816
17,0,80,2.500123
17,0,81,2.500123
17,0,82,2.500123
17,0,83,2.500123
17,0,84,2.500123
17,0,85,2.500123
17,0,86,2.479969
17,0,87,2.955476
17,0,88,2.790284
17,0,89,2.790284
17,0,90,2.790284
17,0,91,2.790284
17,0,92,2.790284
17,0,93,2.790284
17,0,94,2.790284
17,0,95,2.790284
17,0,96,2.790284
17,0,97,2.489891
17,0,98,2.489891
17,0,99,2.489891
17,0,100,2.489891
17,0,101,2.489891
17,0,102,2.489891
17,0,103,2.489891
17,0,104,2.489891
17,0,105,2.489891
17,0,106,2.489891
17,0,107,2.489891
17,1,0,1.000000
17,1,1,1.216453
17,1,2,1.216453
17,1,3,1.216453
17,1,4,1.216453
17,1,5,1.216453
17,1,6,1.216453
17,1,7,1.216453
17,1,8,1.216453
17,1,9,1.216453
17,1,10,1.216453
17,1,11,1.216453
17,1,12,1.216453
17,1,13,1.216453
17,1,14,1.216453
17,1,15,1.216453
17,1,16,1.216453
17,1,17,1.216453
17,1,18,1.216453
17,1,19,1.216453
17,1,20,1.216453
17,1,21,1.216453
17,1,22,1.216453
17,1,23,1.216453
17,1,24,1.216453
17,1,25,1.216453
17,1,26,1.216453
17,1,27,1.216453
17,1,28,1.216453
17,1,29,1.216453
17,1,30,1.109884
17,1,31,1.109884
17,1,32,1.009571
17,1,33,1.009571
17,1,34,1.009571
17,1,35,1.009571
17,1,36,1.009571
17,1,37,1.009571
17,1,38,1.009571
17,1,39,1.009571
17,1,40,1.009571
17,1,41,1.009571
17,1,42,1.009571
17,1,43,1.009571
17,1,44,1.269751
17,1,45,1.269751
17,1,46,1.269751
17,1,47,1.269751
17,1,48,1.269751
17,1,49,1.269751
17,1,50,1.355953
17,1,51,1.355953
17,1,52,1.430820
17,1,53,1.430820
17,1,54,1.430820
17,1,55,1.430820
17,1,56,1.430820
17,1,57,1.430820
17,1,58,1.430820
17,1,59,1.430820
17,1,60,1.430820
17,1,61,1.247103
17,1,62,1.247103
17,1,63,1.247103
17,1,64,1.247103
17,1,65,1.247103
17,1,66,1.247103
17,1,67,1.247103
17,1,68,1.247103
17,1,69,1.329952
17,1,70,1.224421
17,1,71,3.684804
17,1,72,3.684804
17,1,73,3.684804
17,1,74,2.859514
17,1,75,2.859514
17,1,76,2.859514
17,1,77,2.859514
17,1,78,2.859514
17,1,79,2.859514
17,1,80,2.859514
17,1,81,2.859514
17,1,82,2.859514
17,1,83,2.859514
17,1,84,2.859514
17,1,85,2.859514
17,1,86,2.859514
17,1,87,2.919889
17,1,88,2.919889
17,1,89,2.919889
17,1,90,2.919889
17,1,91,2.919889
17,1,92,2.919889
17,1,93,2.919889
17,1,94,2.919889
17,1,95,2.919889
17,1,96,2.919889
17,1,97,2.919889
17,1,98,2.919889
17,1,99,2.919889
17,1,100,2.919889
17,1,101,2.919889
17,1,102,2.919889
17,1,103,2.919889
17,1,104,2.919889
17,1,105,2.919889
17,1,106,2.919889
17,1,107,2.919889
17,1,108,2.919889
17,1,109,2.919889
17,1,110,2.919889
17,1,111,2.919889
17,1,112,2.919889
17,1,113,2.919889
17,1,114,2.919889
17,1,115,2.919889
17,1,116,2.990710
17,1,117,3.066417
17,1,118,3.066417
17,1,119,3.066417
17,1,120,3.066417
17,1,121,3.066417
17,1,122,3.174949
17,1,123,3.174949
17,1,124,3.174949
17,1,125,3.174949
17,1,126,3.174949
17,2,0,1.000000
17,2,1,1.000000
17,2,2,1.000000
17,2,3,1.000000
17,2,4,1.000000
17,2,5,1.000000
17,2,6,1.000000
17,2,7,0.881410
17,2,8,0.807603
17,2,9,0.807603
17,2,10,0.807603
17,2,11,0.914123
17,2,12,0.914123
17,2,13,0.914123
17,2,14,0.914123
17,2,15,0.914123
17,2,16,0.914123
17,2,17,0.914123
17,2,18,0.914123
17,2,19,0.914123
17,2,20,0.914123
17,2,21,0.914123
17,2,22,0.914123
17,2,23,0.914123
17,2,24,0.914123
17,2,25,0.914123
17,2,26,0.914123
17,2,27,0.914123
17,2,28,0.914123
17,2,29,0.914123
17,2,30,0.914123
17,2,31,1.159794
17,2,32,1.054693
17,2,33,0.921237
17,2,34,0.921237
17,2,35,0.921237
17,2,36,0.921237
17,2,37,0.921237
17,2,38,0.921237
17,2,39,0.860135
17,2,40,0.736438
17,2,41,0.736438
17,2,42,0.736438
17,2,43,0.736438
17,2,44,0.736438
17,2,45,0.736438
17,2,46,0.736438
17,2,47,0.736438
17,2,48,0.736438
17,2,49,0.736438
17,2,50,0.736438
17,2,51,0.736438
17,2,52,0.736438
17,2,53,0.736438
17,2,54,0.736438
17,2,55,0.736438
17,2,56,0.736438
17,2,57,0.942188
17,2,58,1.420894
17,2,59,1.420894
17,2,60,1.414913
17,2,61,1.414913
17,2,62,1.414913
17,2,63,1.414913
17,2,64,1.414913
17,2,65,1.414913
17,2,66,1.414913
17,2,67,1.414913
17,2,68,1.414913
17,2,69,1.414913
17,2,70,1.414913
17,2,71,1.135144
17,2,72,1.135144
17,2,73,1.135144
17,2,74,1.135144
17,2,75,1.135144
17,2,76,1.135144
17,2,77,1.135144
17,2,78,1.135144
17,2,79,1.135144
17,2,80,1.135144
17,2,81,1.135144
17,2,82,1.135144
17,2,83,1.135144
17,2,84,1.135144
17,2,85,1.135144
17,2,86,1.135144
17,2,87,1.135144
17,2,88,1.135144
17,2,89,1.135144
17,2,90,1.135144
17,2,91,1.135144
17,2,92,1.135144
17,2,93,1.135144
17,2,94,1.135144
17,2,95,1.135144
17,2,96,1.135144
17,2,97,1.080772
17,2,98,1.080772
17,2,99,1.080772
17,2,100,1.080772
17,2,101,1.791437
17,3,0,1.000000
17,3,1,1.000000
17,3,2,1.222907
17,3,3,1.222907
17,3,4,1.222907
17,3,5,1.222907
17,3,6,2.198246
17,3,7,2.198246
17,3,8,2.198246
17,3,9,2.198246
17,3,10,2.198246
17,3,11,2.198246
17,3,12,2.198246
17,3,13,2.198246
17,3,14,2.540422
17,3,15,2.673525
17,3,16,2.673525
17,3,17,2.673525
17,3,18,2.673525
17,3,19,2.673525
17,3,20,2.673525
17,3,21,2.673525
17,3,22,2.673525
17,3,23,2.673525
17,3,24,2.673525
17,3,25,2.673525
17,3,26,2.502770
17,3,27,2.502770
17,3,28,2.502770
17,3,29,2.502770
17,3,30,2.502770
17,3,31,2.502770
17,3,32,2.502770
17,3,33,2.502770
17,3,34,2.502770
17,3,35,2.502770
17,3,36,2.843064
17,3,37,3.046669
17,3,38,3.046669
17,3,39,3.046669
17,3,40,3.706865
17,3,41,4.016797
17,3,42,4.016797
17,3,43,4.016797
17,3,44,4.016797
17,3,45,4.016797
17,3,46,4.016797
17,3,47,4.016797
17,3,48,4.016797
17,3,49,4.016797
17,3,50,4.016797
17,3,51,4.016797
17,3,52,4.016797
17,3,53,3.883849
17,3,54,3.493939
17,3,55,3.493939
17,3,56,3.618318
17,3,57,3.087730
17,3,58,3.087730
17,3,59,3.087730
17,3,60,3.087730
17,3,61,3.087730
17,3,62,3.087730
17,3,63,3.087730
17,3,64,3.087730
17,3,65,3.087730
17,3,66,3.087730
17,3,67,3.087730
17,3,68,3.087730
17,3,69,3.087730
17,3,70,3.087730
17,3,71,3.087730
17,3,72,2.880977
17,4,0,1.000000
17,4,1,1.000000
17,4,2,1.000000
17,4,3,1.000000
17,4,4,1.000000
17,4,5,1.000000
17,4,6,1.000000
17,4,7,1.000000
17,4,8,1.000000
17,4,9,1.000000
17,4,10,1.000000
17,4,11,1.000000
17,4,12,1.000000
17,4,13,1.000000
17,4,14,1.079874
17,4,15,1.361175
17,4,16,1.361175
17,4,17,1.361175
17,4,18,1.361175
17,4,19,1.361175
17,4,20,1.361175
17,4,21,1.361175
17,4,22,1.361175
17,4,23,1.361175
17,4,24,1.361175
17,4,25,1.361175
17,4,26,1.159268
17,4,27,1.159268
17,4,28,1.159268
17,4,29,1.159268
17,4,30,1.159268
17,4,31,1.159268
17,4,32,1.159268
17,4,33,1.429233
17,4,34,1.443858
17,4,35,1.443858
17,4,36,1.443858
17,4,37,1.443858
17,4,38,1.443858
17,4,39,1.443858
17,4,40,1.443858
17,4,41,1.443858
17,4,42,1.443858
17,4,43,1.443858
17,4,44,1.443858
17,4,45,1.443858
17,4,46,1.443858
17,4,47,1.443858
17,4,48,1.443858
17,4,49,1.443858
17,4,50,1.443858
17,4,51,1.443858
17,4,52,1.443858
17,4,53,1.443858
17,4,54,1.443858
17,4,55,1.443858
17,4,56,1.443858
17,4,57,1.443858
17,4,58,1.443858
17,4,59,1.443858
17,4,60,1.443858
17,4,61,1.443858
17,4,62,1.443858
17,4,63,1.443858
17,4,64,1.443858
17,4,65,1.443858
17,4,66,1.443858
17,4,67,1.443858
17,4,68,1.443858
17,4,69,1.443858
17,4,70,1.443858
17,4,71,1.443858
17,4,72,1.443858
17,4,73,1.443858
17,4,74,1.443858
17,4,75,1.443858
17,4,76,1.443858
17,4,77,1.443858
17,4,78,1.443858
17,4,79,1.443858
17,4,80,1.443858
17,4,81,1.555558
17,4,82,1.555558
17,4,83,1.555558
17,4,84,1.555558
17,4,85,1.555558
17,4,86,1.555558
17,4,87,1.555558
17,4,88,1.555558
17,4,89,1.555558
17,4,90,1.555558
17,4,91,1.555558
17,4,92,1.555558
17,4,93,1.555558
17,4,94,1.555558
17,4,95,1.555558
17,4,96,1.555558
17,4,97,1.555558
17,4,98,1.555558
17,4,99,1.555558
17,4,100,1.487098
17,4,101,1.358828
17,4,102,1.344653
17,5,0,1.000000
17,5,1,1.000000
17,5,2,1.066968
17,5,3,1.066968
17,5,4,1.109102
17,5,5,1.109102
17,5,6,1.109102
17,5,7,1.109102
17,5,8,1.109102
17,5,9,1.371234
17,5,10,1.371234
17,5,11,1.371234
17,5,12,1.371234
17,5,13,1.371234
17,5,14,1.371234
17,5,15,1.371234
17,5,16,1.371234
17,5,17,1.371234
17,5,18,1.371234
17,5,19,1.371234
17,5,20,1.371234
17,5,21,1.371234
17,5,22,1.371234
17,5,23,1.257059
17,5,24,1.257059
17,5,25,1.257059
17,5,26,1.257059
17,5,27,1.257059
17,5,28,1.257059
17,5,29,1.257059
17,5,30,1.481143
17,5,31,1.481143
17,5,32,1.481143
17,5,33,1.481143
17,5,34,1.481143
17,5,35,1.481143
17,5,36,1.481143
17,5,37,1.481143
17,5,38,1.481143
17,5,39,1.481143
17,5,40,1.481143
17,5,41,1.468661
17,5,42,1.415122
17,5,43,1.415122
17,5,44,1.415122
17,5,45,1.415122
17,5,46,1.415122
17,5,47,1.415122
17,5,48,1.415122
17,5,49,1.679349
17,5,50,1.679349
17,5,51,1.679349
17,5,52,1.679349
17,5,53,1.679349
17,5,54,1.679349
17,5,55,1.679349
17,5,56,1.679349
17,5,57,1.679349
17,5,58,1.679349
17,5,59,1.679349
17,5,60,1.679349
17,5,61,1.679349
17,5,62,1.679349
17,5,63,1.679349
17,5,64,1.679349
17,5,65,1.679349
17,5,66,1.679349
17,5,67,1.679349
17,5,68,1.679349
17,5,69,1.679349
17,5,70,1.538774
17,5,71,1.538774
17,5,72,1.538774
17,5,73,1.538774
17,5,74,1.538774
17,5,75,1.538774
17,5,76,1.538774
17,5,77,1.538774
17,5,78,1.538774
17,5,79,1.538774
17,5,80,1.850061
17,5,81,2.031960
17,5,82,2.031960
17,5,83,2.031960
17,5,84,2.031960
17,5,85,1.905231
17,5,86,1.905231
17,5,87,1.905231
17,5,88,1.905231
17,5,89,1.905231
17,5,90,1.905231
17,5,91,1.907112
17,5,92,1.699770
17,5,93,1.699770
17,5,94,1.699770
17,5,95,1.699770
17,5,96,1.699770
17,5,97,1.699770
17,5,98,1.699770
17,5,99,1.699770
17,5,100,1.699770
17,5,101,1.699770
17,5,102,1.699770
17,5,103,1.699770
17,5,104,1.699770
17,5,105,1.699770
17,5,106,1.699770
17,5,107,1.699770
17,5,108,1.699770
17,5,109,1.699770
18,0,0,1.000000
18,0,1,1.000000
18,0,2,1.074788
18,0,3,1.074788
18,0,4,1.074788
18,0,5,1.074788
18,0,6,1.074788
18,0,7,1.074788
18,0,8,1.074788
18,0,9,1.074788
18,0,10,1.074788
18,0,11,1.074788
18,0,12,0.992073
18,0,13,0.992073
18,0,14,0.992073
18,0,15,0.992073
18,0,16,0.992073
18,0,17,0.992073
18,0,18,0.992073
18,0,19,0.992073
18,0,20,0.992073
18,0,21,0.992073
18,0,22,0.992073
18,0,23,0.992073
18,0,24,0.992073
18,0,25,0.992073
18,0,26,0.992073
18,0,27,0.992073
18,0,28,0.992073
18,0,29,0.992073
18,0,30,0.992073
18,0,31,0.992073
18,0,32,0.992073
18,0,33,0.992073
18,0,34,0.992073
18,0,35,0.992073
18,0,36,0.992073
18,0,37,0.992073
18,0,38,0.992073
18,0,39,0.992073
18,0,40,0.992073
18,0,41,0.992073
18,0,42,0.992073
18,0,43,0.992073
18,0,44,0.981079
18,0,45,0.981079
18,0,46,0.981079
18,0,47,0.981079
18,0,48,0.981079
18,0,49,0.981079
18,0,50,0.888076
18,0,51,0.888076
18,0,52,0.888076
18,0,53,0.888076
18,0,54,0.888076
18,0,55,0.888076
18,0,56,0.888076
18,0,57,0.888076
18,0,58,0.888076
18,0,59,0.772632
18,0,60,0.772632
18,0,61,0.925510
18,0,62,1.379037
18,0,63,2.171008
18,0,64,2.171008
18,0,65,2.171008
18,0,66,2.171008
18,0,67,2.171008
18,0,68,2.171008
18,0,69,2.171008
18,0,70,2.171008
18,0,71,2.171008
18,0,72,2.171008
18,0,73,2.171008
18,0,74,2.171008
18,0,75,2.171008
18,0,76,2.171008
18,0,77,2.673182
18,0,78,2.673182
18,0,79,2.679816
18,0,80,2.500123
18,0,81,2.500123
18,0,82,2.500123
18,0,83,2.500123
18,0,84,2.500123
18,0,85,2.500123
18,0,86,2.479969
18,0,87,2.955476
18,0,88,2.790284
18,0,89,2.790284
18,0,90,2.790284
18,0,91,2.790284
18,0,92,2.790284
18,0,93,2.790284
18,0,94,2.790284
18,0,95,2.790284
18,0,96,2.790284
18,0,97,2.489891
18,0,98,2.489891
18,0,99,2.489891
18,0,100,2.489891
18,0,101,2.489891
18,0,102,2.489891
18,0,103,2.489891
18,0,104,2.489891
18,0,105,2.489891
18,0,106,2.489891
18,0,107,2.489891
18,1,0,1.000000
18,1,1,1.216453
18,1,2,1.216453
18,1,3,1.216453
18,1,4,1.216453
18,1,5,1.216453
18,1,6,1.216453
18,1,7,1.216453
18,1,8,1.216453
18,1,9,1.216453
18,1,10,1.216453
18,1,11,1.216453
18,1,12,1.216453
18,1,13,1.216453
18,1,14,1.216453
18,1,15,1.216453
18,1,16,1.216453
18,1,17,1.216453
18,1,18,1.216453
18,1,19,1.216453
18,1,20,1.216453
18,1,21,1.216453
18,1,22,1.216453
18,1,23,1.216453
18,1,24,1.216453
18,1,25,1.216453
18,1,26,1.216453
18,1,27,1.216453
18,1,28,1.216453
18,1,29,1.216453
18,1,30,1.109884
18,1,31,1.109884
18,1,32,1.009571
18,1,33,1.009571
18,1,34,1.009571
18,1,35,1.009571
18,1,36,1.009571
18,1,37,1.009571
18,1,38,1.009571
18,1,39,1.009571
18,1,40,1.009571
18,1,41,1.009571
18,1,42,1.009571
18,1,43,1.009571
18,1,44,1.269751
18,1,45,1.269751
18,1,46,1.269751
18,1,47,1.269751
18,1,48,1.269751
18,1,49,1.269751
18,1,50,1.355953
18,1,51,1.355953
18,1,52,1.430820
18,1,53,1.430820
18,1,54,1.430820
18,1,55,1.430820
18,1,56,1.430820
18,1,57,1.430820
18,1,58,1.430820
18,1,59,1.430820
18,1,60,1.430820
18,1,61,1.247103
18,1,62,1.247103
18,1,63,1.247103
18,1,64,1.247103
18,1,65,1.247103
18,1,66,1.247103
18,1,67,1.247103
18,1,68,1.247103
18,1,69,1.329952
18,1,70,1.224421
18,1,71,3.684804
18,1,72,3.684804
18,1,73,3.684804
18,1,74,2.859514
18,1,75,2.859514
18,1,76,2.859514
18,1,77,2.859514
18,1,78,2.859514
18,1,79,2.859514
18,1,80,2.859514
18,1,81,2.859514
18,1,82,2.859514
18,1,83,2.859514
18,1,84,2.859514
18,1,85,2.859514
18,1,86,2.859514
18,1,87,2.919889
18,1,88,2.919889
18,1,89,2.919889
18,1,90,2.919889
18,1,91,2.919889
18,1,92,2.919889
18,1,93,2.919889
18,1,94,2.919889
18,1,95,2.919889
18,1,96,2.919889
18,1,97,2.919889
18,1,98,2.919889
18,1,99,2.919889
18,1,100,2.919889
18,1,101,2.919889
18,1,102,2.919889
18,1,103,2.919889
18,1,104,2.919889
18,1,105,2.919889
18,1,106,2.919889
18,1,107,2.919889
18,1,108,2.919889
18,1,109,2.919889
18,1,110,2.919889
18,1,111,2.919889
18,1,112,2.919889
18,1,113,2.919889
18,1,114,2.919889
18,1,115,2.919889
18,1,116,2.990710
18,1,117,3.066417
18,1,118,3.066417
18,1,119,3.066417
18,1,120,3.066417
18,1,121,3.066417
18,1,122,3.174949
18,1,123,3.174949
18,1,124,3.174949
18,1,125,3.174949
18,1,126,3.174949
18,2,0,1.000000
18,2,1,1.000000
18,2,2,1.000000
18,2,3,1.000000
18,2,4,1.000000
18,2,5,1.000000
18,2,6,1.000000
18,2,7,0.881410
18,2,8,0.807603
18,2,9,0.807603
18,2,10,0.807603
18,2,11,0.914123
18,2,12,0.914123
18,2,13,0.914123
18,2,14,0.914123
18,2,15,0.914123
18,2,16,0.914123
18,2,17,0.914123
18,2,18,0.914123
18,2,19,0.914123
18,2,20,0.914123
18,2,21,0.914123
18,2,22,0.914123
18,2,23,0.914123
18,2,24,0.914123
18,2,25,0.914123
18,2,26,0.914123
18,2,27,0.914123
18,2,28,0.914123
18,2,29,0.914123
18,2,30,0.914123
18,2,31,1.159794
18,2,32,1.054693
18,2,33,0.921237
18,2,34,0.921237
18,2,35,0.921237
18,2,36,0.921237
18,2,37,0.921237
18,2,38,0.921237
18,2,39,0.860135
18,2,40,0.736438
18,2,41,0.736438
18,2,42,0.736438
18,2,43,0.736438
18,2,44,0.736438
18,2,45,0.736438
18,2,46,0.736438
18,2,47,0.736438
18,2,48,0.736438
18,2,49,0.736438
18,2,50,0.736438
18,2,51,0.736438
18,2,52,0.736438
18,2,53,0.736438
18,2,54,0.736438
18,2,55,0.736438
18,2,56,0.736438
18,2,57,0.942188
18,2,58,1.420894
18,2,59,1.420894
18,2,60,1.414913
18,2,61,1.414913
18,2,62,1.414913
18,2,63,1.414913
18,2,64,1.414913
18,2,65,1.414913
18,2,66,1.414913
18,2,67,1.414913
18,2,68,1.414913
18,2,69,1.414913
18,2,70,1.414913
18,2,71,1.135144
18,2,72,1.135144
18,2,73,1.135144
18,2,74,1.135144
18,2,75,1.135144
18,2,76,1.135144
18,2,77,1.135144
18,2,78,1.135144
18,2,79,1.135144
18,2,80,1.135144
18,2,81,1.135144
18,2,82,1.135144
18,2,83,1.135144
18,2,84,1.135144
18,2,85,1.135144
18,2,86,1.135144
18,2,87,1.135144
18,2,88,1.135144
18,2,89,1.135144
18,2,90,1.135144
18,2,91,1.135144
18,2,92,1.135144
18,2,93,1.135144
18,2,94,1.135144
18,2,95,1.135144
18,2,96,1.135144
18,2,97,1.080772
18,2,98,1.080772
18,2,99,1.080772
18,2,100,1.080772
18,2,101,1.791437
18,3,0,1.000000
18,3,1,1.000000
18,3,2,1.222907
18,3,3,1.222907
18,3,4,1.222907
18,3,5,1.222907
18,3,6,2.198246
18,3,7,2.198246
18,3,8,2.198246
18,3,9,2.198246
18,3,10,2.198246
18,3,11,2.198246
18,3,12,2.198246
18,3,13,2.198246
18,3,14,2.540422
18,3,15,2.673525
18,3,16,2.673525
18,3,17,2.673525
18,3,18,2.673525
18,3,19,2.673525
18,3,20,2.673525
18,3,21,2.673525
18,3,22,2.673525
18,3,23,2.673525
18,3,24,2.673525
18,3,25,2.673525
18,3,26,2.502770
18,3,27,2.502770
18,3,28,2.502770
18,3,29,2.502770
18,3,30,2.502770
18,3,31,2.502770
18,3,32,2.502770
18,3,33,2.502770
18,3,34,2.502770
18,3,35,2.502770
18,3,36,2.843064
18,3,37,3.046669
18,3,38,3.046669
18,3,39,3.046669
18,3,40,3.706865
18,3,41,4.016797
18,3,42,4.016797
18,3,43,4.016797
18,3,44,4.016797
18,3,45,4.016797
18,3,46,4.016797
18,3,47,4.016797
18,3,48,4.016797
18,3,49,4.016797
18,3,50,4.016797
18,3,51,4.016797
18,3,52,4.016797
18,3,53,3.883849
18,3,54,3.493939
18,3,55,3.493939
18,3,56,3.618318
18,3,57,3.087730
18,3,58,3.087730
18,3,59,3.087730
18,3,60,3.087730
18,3,61,3.087730
18,3,62,3.087730
18,3,63,3.087730
18,3,64,3.087730
18,3,65,3.087730
18,3,66,3.087730
18,3,67,3.087730
18,3,68,3.087730
18,3,69,3.087730
18,3,70,3.087730
18,3,71,3.087730
18,3,72,2.880977
18,4,0,1.000000
18,4,1,1.000000
18,4,2,1.000000
18,4,3,1.000000
18,4,4,1.000000
18,4,5,1.000000
18,4,6,1.000000
18,4,7,1.000000
18,4,8,1.000000
18,4,9,1.000000
18,4,10,1.000000
18,4,11,1.000000
18,4,12,1.000000
18,4,13,1.000000
18,4,14,1.079874
18,4,15,1.361175
18,4,16,1.361175
18,4,17,1.361175
18,4,18,1.361175
18,4,19,1.361175
18,4,20,1.361175
18,4,21,1.361175
18,4,22,1.361175
18,4,23,1.361175
18,4,24,1.361175
18,4,25,1.361175
18,4,26,1.159268
18,4,27,1.159268
18,4,28,1.159268
18,4,29,1.159268
18,4,30,1.159268
18,4,31,1.159268
18,4,32,1.159268
18,4,33,1.429233
18,4,34,1.443858
18,4,35,1.443858
18,4,36,1.443858
18,4,37,1.443858
18,4,38,1.443858
18,4,39,1.443858
18,4,40,1.443858
18,4,41,1.443858
18,4,42,1.443858
18,4,43,1.443858
18,4,44,1.443858
18,4,45,1.443858
18,4,46,1.443858
18,4,47,1.443858
18,4,48,1.443858
18,4,49,1.443858
18,4,50,1.443858
18,4,51,1.443858
18,4,52,1.443858
18,4,53,1.443858
18,4,54,1.443858
18,4,55,1.443858
18,4,56,1.443858
18,4,57,1.443858
18,4,58,1.443858
18,4,59,1.443858
18,4,60,1.443858
18,4,61,1.443858
18,4,62,1.443858
18,4,63,1.443858
18,4,64,1.443858
18,4,65,1.443858
18,4,66,1.443858
18,4,67,1.443858
18,4,68,1.443858
18,4,69,1.443858
18,4,70,1.443858
18,4,71,1.443858
18,4,72,1.443858
18,4,73,1.443858
18,4,74,1.443858
18,4,75,1.443858
18,4,76,1.443858
18,4,77,1.443858
18,4,78,1.443858
18,4,79,1.443858
18,4,80,1.443858
18,4,81,1.555558
18,4,82,1.555558
18,4,83,1.555558
18,4,84,1.555558
18,4,85,1.555558
18,4,86,1.555558
18,4,87,1.555558
18,4,88,1.555558
18,4,89,1.555558
18,4,90,1.555558
18,4,91,1.555558
18,4,92,1.555558
18,4,93,1.555558
18,4,94,1.555558
18,4,95,1.555558
18,4,96,1.555558
18,4,97,1.555558
18,4,98,1.555558
18,4,99,1.555558
18,4,100,1.487098
18,4,101,1.358828
18,4,102,1.344653
18,5,0,1.000000
18,5,1,1.000000
18,5,2,1.066968
18,5,3,1.066968
18,5,4,1.109102
18,5,5,1.109102
18,5,6,1.109102
18,5,7,1.109102
18,5,8,1.109102
18,5,9,1.371234
18,5,10,1.371234
18,5,11,1.371234
18,5,12,1.371234
18,5,13,1.371234
18,5,14,1.371234
18,5,15,1.371234
18,5,16,1.371234
18,5,17,1.371234
18,5,18,1.371234
18,5,19,1.371234
18,5,20,1.371234
18,5,21,1.371234
18,5,22,1.371234
18,5,23,1.257059
18,5,24,1.257059
18,5,25,1.257059
18,5,26,1.257059
18,5,27,1.257059
18,5,28,1.257059
18,5,29,1.257059
18,5,30,1.481143
18,5,31,1.481143
18,5,32,1.481143
18,5,33,1.481143
18,5,34,1.481143
18,5,35,1.481143
18,5,36,1.481143
18,5,37,1.481143
18,5,38,1.481143
18,5,39,1.481143
18,5,40,1.481143
18,5,41,1.468661
18,5,42,1.415122
18,5,43,1.415122
18,5,44,1.415122
18,5,45,1.415122
18,5,46,1.415122
18,5,47,1.415122
18,5,48,1.415122
18,5,49,1.679349
18,5,50,1.679349
18,5,51,1.679349
18,5,52,1.679349
18,5,53,1.679349
18,5,54,1.679349
18,5,55,1.679349
18,5,56,1.679349
18,5,57,1.679349
18,5,58,1.679349
18,5,59,1.679349
18,5,60,1.679349
18,5,61,1.679349
18,5,62,1.679349
18,5,63,1.679349
18,5,64,1.679349
18,5,65,1.679349
18,5,66,1.679349
18,5,67,1.679349
18,5,68,1.679349
18,5,69,1.679349
18,5,70,1.538774
18,5,71,1.538774
18,5,72,1.538774
18,5,73,1.538774
18,5,74,1.538774
18,5,75,1.538774
18,5,76,1.538774
18,5,77,1.538774
18,5,78,1.538774
18,5,79,1.538774
18,5,80,1.850061
18,5,81,2.031960
18,5,82,2.031960
18,5,83,2.031960
18,5,84,2.031960
18,5,85,1.910684
18,5,86,1.910684
18,5,87,1.912570
