chand_period,universe,window,ret,sharpe,trades,max_dd,win_rate,pass
5,Base5,0,417.17,9.441,14,51.04,0.643,true
5,Base5,1,1037.85,7.530,11,11.73,0.636,true
5,Base5,2,326.18,15.040,12,10.50,0.750,true
5,Base5,3,215.86,8.191,15,31.12,0.533,true
5,Base5,4,9.63,2.115,13,25.35,0.462,true
5,Base5,5,7.82,1.966,13,26.82,0.385,true
5,Base5,6,61.02,4.690,14,34.90,0.357,true
5,Base5,7,10.03,2.094,14,22.43,0.500,true
5,Base5,8,287.81,8.713,12,18.64,0.667,true
5,Base5,9,38.37,5.461,13,16.68,0.538,true
6,Base5,0,325.96,8.825,14,59.67,0.571,true
6,Base5,1,898.18,7.214,11,11.73,0.636,true
6,Base5,2,213.45,7.561,12,25.05,0.750,true
6,Base5,3,117.75,5.862,16,50.03,0.438,true
6,Base5,4,-7.49,0.125,13,37.01,0.462,false
6,Base5,5,8.63,2.066,13,26.82,0.385,true
6,Base5,6,64.39,4.812,14,34.60,0.357,true
6,Base5,7,2.07,1.300,13,22.43,0.462,true
6,Base5,8,294.76,8.741,12,16.05,0.667,true
6,Base5,9,43.59,5.981,13,16.68,0.615,true
7,Base5,0,379.59,9.479,14,54.60,0.571,true
7,Base5,1,925.69,7.329,11,11.73,0.636,true
7,Base5,2,213.45,7.561,12,25.05,0.750,true
7,Base5,3,117.55,7.446,14,31.91,0.714,true
7,Base5,4,3.37,1.331,13,29.61,0.538,true
7,Base5,5,3.16,1.487,13,27.10,0.385,true
7,Base5,6,58.14,4.541,14,34.60,0.357,true
7,Base5,7,-14.78,-0.374,15,30.73,0.400,false
7,Base5,8,294.76,8.741,12,16.05,0.667,true
7,Base5,9,40.47,5.455,13,18.49,0.615,true
8,Base5,0,267.98,8.313,14,65.16,0.571,true
8,Base5,1,844.75,7.099,11,11.73,0.636,true
8,Base5,2,213.45,7.561,12,25.05,0.750,true
8,Base5,3,60.41,4.684,15,40.33,0.533,true
8,Base5,4,3.37,1.331,13,29.61,0.538,true
8,Base5,5,2.39,1.397,13,27.10,0.385,true
8,Base5,6,36.59,3.657,14,41.21,0.286,true
8,Base5,7,-22.45,-1.356,15,35.40,0.400,false
8,Base5,8,240.00,8.890,12,16.05,0.667,true
8,Base5,9,34.96,4.782,13,21.72,0.615,true
9,Base5,0,184.56,6.838,14,70.51,0.571,true
9,Base5,1,423.88,5.876,12,15.97,0.583,true
9,Base5,2,171.19,6.581,13,25.05,0.615,true
9,Base5,3,57.55,4.497,16,38.82,0.500,true
9,Base5,4,53.76,5.565,13,22.63,0.615,true
9,Base5,5,2.39,1.397,13,27.10,0.385,true
9,Base5,6,30.91,3.371,14,41.21,0.286,true
9,Base5,7,-13.68,-0.478,14,30.73,0.429,false
9,Base5,8,294.76,8.741,12,16.05,0.667,true
9,Base5,9,37.13,5.033,13,21.72,0.615,true
10,Base5,0,184.56,6.838,14,70.51,0.571,true
10,Base5,1,378.03,5.793,12,20.42,0.500,true
10,Base5,2,188.57,6.845,13,25.05,0.615,true
10,Base5,3,75.03,5.201,15,38.82,0.600,true
10,Base5,4,87.25,6.575,13,13.87,0.615,true
10,Base5,5,2.77,1.440,13,26.82,0.385,true
10,Base5,6,24.73,3.133,14,42.86,0.357,true
10,Base5,7,-13.68,-0.478,14,30.73,0.429,false
10,Base5,8,240.00,8.890,12,16.05,0.667,true
10,Base5,9,35.61,4.989,13,21.20,0.615,true
11,Base5,0,305.78,6.797,14,57.95,0.571,true
11,Base5,1,418.10,5.960,12,20.42,0.500,true
11,Base5,2,115.70,5.039,14,25.05,0.571,true
11,Base5,3,89.28,5.701,15,37.77,0.600,true
11,Base5,4,87.25,6.575,13,13.87,0.615,true
11,Base5,5,2.39,1.397,13,27.10,0.385,true
11,Base5,6,20.92,2.969,14,42.31,0.286,true
11,Base5,7,-7.61,0.156,15,30.73,0.467,false
11,Base5,8,146.11,8.104,12,16.05,0.667,true
11,Base5,9,35.09,4.804,13,21.72,0.615,true
12,Base5,0,354.99,7.288,14,52.85,0.571,true
12,Base5,1,294.95,5.567,12,20.42,0.417,true
