cp,universe,window,step,equity
1,Base5,0,0,1.000000
1,Base5,0,1,1.000000
1,Base5,0,2,1.307108
1,Base5,0,3,1.256037
1,Base5,0,4,1.256037
1,Base5,0,5,1.256037
1,Base5,0,6,1.256037
1,Base5,0,7,1.256037
1,Base5,0,8,1.256037
1,Base5,0,9,1.256037
1,Base5,0,10,1.256037
1,Base5,0,11,0.699174
1,Base5,0,12,0.699174
1,Base5,0,13,0.699174
1,Base5,0,14,0.699174
1,Base5,0,15,0.699174
1,Base5,0,16,0.699174
1,Base5,0,17,0.699174
1,Base5,0,18,0.699174
1,Base5,0,19,0.699174
1,Base5,0,20,0.699174
1,Base5,0,21,0.699174
1,Base5,0,22,0.699174
1,Base5,0,23,0.699174
1,Base5,0,24,0.699174
1,Base5,0,25,0.699174
1,Base5,0,26,0.699174
1,Base5,0,27,0.699174
1,Base5,0,28,0.699174
1,Base5,0,29,0.699174
1,Base5,0,30,0.699174
1,Base5,0,31,0.699174
1,Base5,0,32,0.699174
1,Base5,0,33,0.699174
1,Base5,0,34,0.699174
1,Base5,0,35,0.699174
1,Base5,0,36,0.699174
1,Base5,0,37,0.699174
1,Base5,0,38,0.699174
1,Base5,0,39,0.699174
1,Base5,0,40,0.699174
1,Base5,0,41,0.710864
1,Base5,0,42,0.755346
1,Base5,0,43,0.755346
1,Base5,0,44,0.755346
1,Base5,0,45,0.755346
1,Base5,0,46,0.755346
1,Base5,0,47,0.755346
1,Base5,0,48,0.755346
1,Base5,0,49,0.755346
1,Base5,0,50,0.755346
1,Base5,0,51,0.755346
1,Base5,0,52,0.755346
1,Base5,0,53,0.755346
1,Base5,0,54,0.755346
1,Base5,0,55,0.755346
1,Base5,0,56,0.755346
1,Base5,0,57,0.755346
1,Base5,0,58,0.755346
1,Base5,0,59,0.755346
1,Base5,0,60,0.755346
1,Base5,0,61,0.755346
1,Base5,0,62,0.689117
1,Base5,0,63,0.743436
1,Base5,0,64,0.689727
1,Base5,0,65,0.689727
1,Base5,0,66,0.689727
1,Base5,0,67,1.470115
1,Base5,0,68,1.470115
1,Base5,0,69,1.470115
1,Base5,0,70,1.502802
1,Base5,0,71,1.843452
1,Base5,0,72,1.843452
1,Base5,0,73,1.843452
1,Base5,0,74,1.843452
1,Base5,0,75,1.843452
1,Base5,0,76,1.843452
1,Base5,0,77,1.843452
1,Base5,0,78,1.843452
1,Base5,0,79,1.843452
1,Base5,0,80,1.843452
1,Base5,0,81,1.818666
1,Base5,0,82,2.161074
1,Base5,0,83,2.161074
1,Base5,0,84,2.009130
1,Base5,0,85,2.009130
1,Base5,0,86,2.009130
1,Base5,0,87,2.009130
1,Base5,0,88,2.009130
1,Base5,0,89,2.009130
1,Base5,0,90,2.009130
1,Base5,0,91,2.009130
1,Base5,0,92,1.988739
1,Base5,0,93,1.988739
1,Base5,0,94,1.988739
1,Base5,0,95,1.988739
1,Base5,0,96,1.988739
1,Base5,0,97,1.988739
1,Base5,0,98,1.988739
1,Base5,0,99,1.988739
1,Base5,0,100,1.988739
1,Base5,0,101,1.988739
1,Base5,0,102,1.988739
1,Base5,0,103,1.988739
1,Base5,0,104,1.988739
1,Base5,0,105,1.988739
1,Base5,0,106,2.794094
2,Base5,0,0,1.000000
2,Base5,0,1,1.000000
2,Base5,0,2,1.307108
2,Base5,0,3,1.258106
2,Base5,0,4,1.258106
2,Base5,0,5,1.258106
2,Base5,0,6,1.258106
2,Base5,0,7,1.258106
2,Base5,0,8,1.258106
2,Base5,0,9,1.258106
2,Base5,0,10,0.700325
2,Base5,0,11,0.700325
2,Base5,0,12,0.700325
2,Base5,0,13,0.700325
2,Base5,0,14,0.700325
2,Base5,0,15,0.700325
2,Base5,0,16,0.700325
2,Base5,0,17,0.700325
2,Base5,0,18,0.700325
2,Base5,0,19,0.700325
2,Base5,0,20,0.700325
2,Base5,0,21,0.700325
2,Base5,0,22,0.700325
2,Base5,0,23,0.700325
2,Base5,0,24,0.700325
2,Base5,0,25,0.700325
2,Base5,0,26,0.700325
2,Base5,0,27,0.700325
2,Base5,0,28,0.700325
2,Base5,0,29,0.700325
2,Base5,0,30,0.700325
2,Base5,0,31,0.700325
2,Base5,0,32,0.700325
2,Base5,0,33,0.700325
2,Base5,0,34,0.700325
2,Base5,0,35,0.700325
2,Base5,0,36,0.700325
2,Base5,0,37,0.700325
2,Base5,0,38,0.700325
2,Base5,0,39,0.700325
2,Base5,0,40,0.616428
2,Base5,0,41,0.616428
2,Base5,0,42,0.616428
2,Base5,0,43,0.616428
2,Base5,0,44,0.616428
2,Base5,0,45,0.545539
2,Base5,0,46,0.545539
2,Base5,0,47,0.545539
2,Base5,0,48,0.545539
2,Base5,0,49,0.545539
2,Base5,0,50,0.545539
2,Base5,0,51,0.545539
2,Base5,0,52,0.545539
2,Base5,0,53,0.545539
2,Base5,0,54,0.545539
2,Base5,0,55,0.545539
2,Base5,0,56,0.545539
2,Base5,0,57,0.545539
2,Base5,0,58,0.545539
2,Base5,0,59,0.545539
2,Base5,0,60,0.545539
2,Base5,0,61,0.545539
2,Base5,0,62,0.497707
2,Base5,0,63,0.536938
2,Base5,0,64,0.495715
2,Base5,0,65,0.495715
2,Base5,0,66,1.056589
2,Base5,0,67,1.056589
2,Base5,0,68,1.056589
2,Base5,0,69,1.080081
2,Base5,0,70,1.324911
2,Base5,0,71,1.324911
2,Base5,0,72,1.324911
2,Base5,0,73,1.324911
2,Base5,0,74,1.324911
2,Base5,0,75,1.324911
2,Base5,0,76,1.324911
2,Base5,0,77,1.324911
2,Base5,0,78,1.324911
2,Base5,0,79,1.324911
2,Base5,0,80,1.310016
2,Base5,0,81,1.310016
2,Base5,0,82,1.310016
2,Base5,0,83,1.310016
2,Base5,0,84,1.310016
2,Base5,0,85,1.781625
2,Base5,0,86,1.781625
2,Base5,0,87,1.781625
