cp,universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass,equity_final
1,Base5,0,179.41,6.6444,47.28,16,56.25,true,2.794094
2,Base5,0,125.51,5.7388,62.08,15,46.67,true,2.255115
3,Base5,0,239.60,7.7670,70.14,14,50.00,true,3.395988
4,Base5,0,291.02,8.0208,64.27,14,57.14,true,3.910152
5,Base5,0,278.83,8.0586,55.76,14,64.29,true,3.788320
6,Base5,0,212.02,7.4358,63.56,14,57.14,true,3.120174
7,Base5,0,251.30,8.0182,58.97,14,57.14,true,3.513046
8,Base5,0,169.55,6.9553,68.52,14,57.14,true,2.695459
9,Base5,0,108.44,5.6236,73.36,14,57.14,true,2.084438
10,Base5,0,108.44,5.6236,73.36,14,57.14,true,2.084438
11,Base5,0,197.24,5.6724,62.01,14,57.14,true,2.972380
12,Base5,0,233.28,6.1275,57.40,14,57.14,true,3.332827
13,Base5,0,233.28,6.1275,57.40,14,57.14,true,3.332827
14,Base5,0,233.28,6.1275,57.40,14,57.14,true,3.332827
15,Base5,0,233.28,6.1275,57.40,14,57.14,true,3.332827
16,Base5,0,241.47,6.0268,57.40,15,60.00,true,3.414736
17,Base5,0,241.47,6.0268,57.40,15,60.00,true,3.414736
18,Base5,0,241.47,6.0268,57.40,15,60.00,true,3.414736
19,Base5,0,241.47,6.0268,57.40,15,60.00,true,3.414736
20,Base5,0,282.30,6.4248,52.30,15,60.00,true,3.823017
21,Base5,0,282.30,6.4248,52.30,15,60.00,true,3.823017
22,Base5,0,282.30,6.4248,52.30,15,60.00,true,3.823017
23,Base5,0,282.30,6.4248,52.30,15,60.00,true,3.823017
24,Base5,0,195.92,5.1864,52.30,16,62.50,true,2.959200
25,Base5,0,215.76,5.4437,52.30,16,62.50,true,3.157560
26,Base5,0,201.28,5.4270,52.30,16,62.50,true,3.012804
27,Base5,0,201.28,5.4270,52.30,16,62.50,true,3.012804
28,Base5,0,201.28,5.4270,52.30,16,62.50,true,3.012804
29,Base5,0,201.28,5.4270,52.30,16,62.50,true,3.012804
30,Base5,0,169.10,5.0078,57.40,16,62.50,true,2.691049
31,Base5,0,176.66,5.1095,57.40,16,62.50,true,2.766608
32,Base5,0,176.66,5.1095,57.40,16,62.50,true,2.766608
33,Base5,0,176.66,5.1095,57.40,16,62.50,true,2.766608
34,Base5,0,176.66,5.1095,57.40,16,62.50,true,2.766608
35,Base5,0,234.61,5.6166,57.40,16,62.50,true,3.346090
36,Base5,0,234.61,5.6166,57.40,16,62.50,true,3.346090
37,Base5,0,234.61,5.6166,57.40,16,62.50,true,3.346090
38,Base5,0,234.61,5.6166,57.40,16,62.50,true,3.346090
39,Base5,0,234.61,5.6166,57.40,16,62.50,true,3.346090
40,Base5,0,273.61,6.3920,57.31,16,62.50,true,3.736081
41,Base5,0,273.61,6.3920,57.31,16,62.50,true,3.736081
42,Base5,0,273.61,6.3920,57.31,16,62.50,true,3.736081
43,Base5,0,273.61,6.3920,57.31,16,62.50,true,3.736081
44,Base5,0,198.90,5.4695,57.31,17,58.82,true,2.988954
45,Base5,0,230.15,5.7603,57.31,17,58.82,true,3.301516
46,Base5,0,230.15,5.7603,57.31,17,58.82,true,3.301516
47,Base5,0,179.30,5.2373,57.31,18,50.00,true,2.793024
48,Base5,0,179.30,5.2373,57.31,18,50.00,true,2.793024
49,Base5,0,179.30,5.2373,57.31,18,50.00,true,2.793024
50,Base5,0,179.30,5.2373,57.31,18,50.00,true,2.793024
51,Base5,0,153.12,4.7910,57.31,19,47.37,true,2.531201
