cp,global_pass,global_total,pass_rate,avg_sharpe,avg_ret,avg_dd,total_trades,avg_win_rate
1,43,54,79.63,4.6551,135.84,30.07,804,49.93
2,38,54,70.37,3.2799,85.71,35.98,773,45.23
3,39,54,72.22,3.5137,88.45,37.21,760,50.01
4,38,54,70.37,3.5263,102.13,38.17,763,50.42
5,35,54,64.81,3.7603,106.11,36.54,747,49.38
6,34,54,62.96,3.1144,99.22,38.01,754,48.58
7,34,54,62.96,3.1700,107.79,36.03,743,49.89
8,32,54,59.26,2.8089,87.18,38.85,744,48.64
9,34,54,62.96,2.6799,72.37,38.59,752,49.24
10,32,54,59.26,2.3665,72.25,40.23,753,49.57
11,35,54,64.81,2.5766,81.84,38.26,755,50.28
12,34,54,62.96,2.4923,79.31,38.58,759,50.38
13,33,54,61.11,2.6077,82.06,38.15,760,51.28
14,31,54,57.41,2.0973,67.51,39.58,770,48.82
15,32,54,59.26,2.1916,72.53,39.06,779,49.20
16,35,54,64.81,2.7222,87.95,38.06,783,52.03
17,34,54,62.96,2.5517,75.32,38.13,784,51.94
18,31,54,57.41,2.5267,77.73,38.60,789,51.09
19,31,54,57.41,2.6491,78.30,38.43,788,51.16
20,34,54,62.96,2.7758,85.24,36.68,794,51.52
21,33,54,61.11,2.6732,84.47,37.09,799,51.45
22,33,54,61.11,2.4901,77.00,36.37,807,51.69
23,34,54,62.96,2.6479,77.50,36.06,805,51.79
24,35,54,64.81,2.5308,72.82,36.38,811,51.77
25,35,54,64.81,2.4230,64.48,36.53,812,50.85
26,34,54,62.96,2.1754,65.98,36.66,817,50.63
27,33,54,61.11,2.0127,52.61,37.51,826,50.52
28,34,54,62.96,2.0774,49.74,37.66,821,49.85
29,36,54,66.67,2.2349,50.24,36.87,821,51.32
30,38,54,70.37,2.2769,49.95,36.53,831,51.72
31,38,54,70.37,2.3050,51.90,36.41,830,51.37
32,37,54,68.52,2.4211,51.95,36.92,825,51.51
33,37,54,68.52,2.4783,51.75,36.59,826,50.85
34,34,54,62.96,2.2084,49.94,36.87,828,49.50
35,34,54,62.96,2.1710,53.14,37.30,828,50.34
36,35,54,64.81,2.2524,53.77,36.75,829,50.61
37,35,54,64.81,2.2405,53.43,36.78,829,50.61
38,35,54,64.81,2.2183,54.13,37.28,829,51.28
39,35,54,64.81,2.3191,55.56,36.47,834,52.10
40,37,54,68.52,2.4733,61.69,35.97,835,52.91
41,35,54,64.81,2.5063,63.02,35.89,839,51.72
42,35,54,64.81,2.4430,61.30,35.94,838,51.78
43,34,54,62.96,2.3444,59.08,36.39,839,51.61
44,35,54,64.81,2.4186,57.24,36.08,843,51.41
45,35,54,64.81,2.4973,61.51,35.91,845,51.77
46,37,54,68.52,2.5597,61.63,34.77,848,52.03
47,37,54,68.52,2.7232,61.74,33.95,852,51.68
48,37,54,68.52,2.6071,58.43,34.85,852,51.77
49,35,54,64.81,2.5668,57.98,35.34,854,51.64
50,35,54,64.81,2.5580,57.81,35.33,854,51.64
51,38,54,70.37,2.6209,57.12,34.60,854,51.12
52,38,54,70.37,2.4974,53.58,34.28,858,50.87
53,36,54,66.67,2.4154,52.91,34.88,860,51.04
54,36,54,66.67,2.4282,51.56,34.88,858,50.84
55,36,54,66.67,2.4884,52.30,34.47,856,50.97
56,36,54,66.67,2.5461,53.84,34.46,854,51.12
57,36,54,66.67,2.5441,54.24,34.67,855,51.06
58,36,54,66.67,2.5677,54.50,34.59,855,51.34
59,36,54,66.67,2.4955,53.91,34.98,857,51.22
60,36,54,66.67,2.4623,51.63,35.50,857,50.80
