chand_period,avg_return,avg_sharpe,avg_max_dd,avg_trades,pass_rate_pct,windows_passed,total_windows
13,155.23,7.0119,-19.1,10.0,100.0,6,6
12,155.06,7.0056,-19.1,10.0,100.0,6,6
11,154.72,6.9930,-19.2,10.0,100.0,6,6
7,142.84,6.9647,-21.0,10.3,83.3,5,6
15,160.52,6.9532,-19.2,10.0,100.0,6,6
17,160.28,6.9172,-19.3,10.0,100.0,6,6
18,160.28,6.9172,-19.3,10.0,100.0,6,6
19,157.91,6.8438,-19.3,10.0,100.0,6,6
20,157.91,6.8438,-19.3,10.0,100.0,6,6
21,157.91,6.8438,-19.3,10.0,100.0,6,6
22,157.91,6.8438,-19.3,10.0,100.0,6,6
23,157.91,6.8438,-19.3,10.0,100.0,6,6
24,157.91,6.8438,-19.3,10.0,100.0,6,6
25,157.91,6.8438,-19.3,10.0,100.0,6,6
26,157.91,6.8438,-19.3,10.0,100.0,6,6
27,157.91,6.8438,-19.3,10.0,100.0,6,6
28,157.91,6.8438,-19.3,10.0,100.0,6,6
29,157.91,6.8438,-19.3,10.0,100.0,6,6
30,157.91,6.8438,-19.3,10.0,100.0,6,6
10,147.41,6.8307,-19.2,10.2,100.0,6,6
14,152.60,6.6562,-19.2,10.2,100.0,6,6
16,152.07,6.6367,-19.2,10.2,100.0,6,6
5,140.04,6.5731,-21.8,10.7,66.7,4,6
8,138.14,6.3905,-22.6,10.7,66.7,4,6
6,138.26,6.3740,-22.5,10.7,66.7,4,6
9,136.88,5.9212,-23.4,10.7,66.7,4,6
