chand_period,global_pass,global_total,pass_pct,avg_sharpe,avg_return,avg_max_dd,total_trades
5,46,54,85.1852,4.368144,86.4782,28.5044,773
6,48,54,88.8889,4.901666,86.6636,27.4724,758
7,46,54,85.1852,4.624913,90.5783,28.2230,756
8,46,54,85.1852,4.621235,90.6640,28.4222,752
9,47,54,87.0370,4.590805,88.0121,28.5529,752
10,46,54,85.1852,4.268882,81.9093,29.3061,751
11,46,54,85.1852,4.895774,94.9709,29.4709,734
12,45,54,83.3333,4.979072,98.3793,28.8553,731
13,45,54,83.3333,4.978478,97.2686,28.9138,730
14,44,54,81.4815,4.974829,98.5004,29.3767,731
15,45,54,83.3333,4.982623,96.7384,28.8016,731
16,45,54,83.3333,4.971839,96.6157,28.9074,730
17,45,54,83.3333,5.157877,100.9418,29.1028,709
18,47,54,87.0370,5.132713,99.5702,29.3490,703
19,46,54,85.1852,4.980727,96.2249,29.6624,723
20,47,54,87.0370,5.158190,99.1542,29.2645,703
21,47,54,87.0370,5.158190,99.1542,29.2645,703
22,46,54,85.1852,5.118706,98.8268,29.2929,703
23,46,54,85.1852,5.112213,98.4005,29.2929,703
24,46,54,85.1852,5.094335,97.2137,29.2929,703
25,46,54,85.1852,5.094335,97.2137,29.2929,703
26,46,54,85.1852,5.094335,97.2137,29.2929,703
27,46,54,85.1852,5.094335,97.2137,29.2929,703
28,46,54,85.1852,5.079717,96.5987,29.2929,704
29,46,54,85.1852,4.511709,88.8511,28.9871,718
30,46,54,85.1852,4.294904,79.8798,29.8731,725
31,46,54,85.1852,4.295280,79.3641,29.9039,726
32,46,54,85.1852,3.966008,72.2759,30.6903,732
33,46,54,85.1852,3.993873,71.8165,30.6903,734
34,46,54,85.1852,3.998846,72.1232,30.6903,735
35,45,54,83.3333,3.410840,54.0769,31.0851,751
36,43,54,79.6296,3.481584,58.4433,31.5307,756
37,43,54,79.6296,3.536365,60.7872,31.2945,756
38,43,54,79.6296,3.462416,58.0436,31.2219,761
39,43,54,79.6296,3.484503,59.0261,31.2219,761
40,43,54,79.6296,3.484801,59.0067,31.2413,761
41,43,54,79.6296,3.472154,58.4010,31.2219,763
42,43,54,79.6296,3.504324,59.8500,31.1390,766
43,43,54,79.6296,3.495005,59.8861,31.2219,764
44,44,54,81.4815,3.540350,58.8897,31.1800,768
45,44,54,81.4815,3.500895,58.9846,31.1265,768
46,44,54,81.4815,3.507458,58.2081,31.0151,770
47,44,54,81.4815,3.517976,57.9538,31.0111,773
48,44,54,81.4815,3.502231,58.0301,30.9957,775
49,44,54,81.4815,3.545056,58.5564,31.0111,775
50,44,54,81.4815,3.553238,58.8398,30.9957,775
