cp,pass,total,pass_pct,sharpe,avg_ret_pct,trades
5,41,54,75.93,5.824549389792917,102.66,510
7,43,54,79.63,5.908043557015081,99.54,507
9,41,54,75.93,5.3431514982306005,90.68,506
11,43,54,79.63,5.526194633295623,78.80,519
13,42,54,77.78,5.45594390822012,74.44,523
15,43,54,79.63,5.453193048186242,81.77,540
17,44,54,81.48,5.498160484129637,81.55,548
19,44,54,81.48,5.668006223576504,80.43,557
21,44,54,81.48,4.983169507058306,71.47,580
23,43,54,79.63,5.2288716343974535,72.49,573
25,43,54,79.63,4.945717038167497,71.99,581
27,43,54,79.63,4.984417377876746,74.59,593
29,42,54,77.78,4.166383936886232,63.61,609
31,41,54,75.93,4.2964554999697775,64.13,609
33,42,54,77.78,4.23528204844126,64.89,611
35,40,54,74.07,4.089932839752418,66.95,612
40,45,54,83.33,5.482765599762955,81.90,601
45,41,54,75.93,4.929060642443805,70.41,610
50,41,54,75.93,4.9633554822313135,71.80,614
55,44,54,81.48,5.4158053637961485,83.39,603
60,43,54,79.63,5.552745640939112,84.14,608
