cp,universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
5,Base5,0,532.49,12.9031,24.87,14,57.14,true
5,Base5,1,310.62,3.2937,22.57,16,62.50,true
5,Base5,2,22.70,2.3546,31.02,15,33.33,true
5,Base5,3,97.49,5.8076,34.27,15,53.33,true
5,Base5,4,77.35,19.6143,4.40,7,85.71,true
5,Base5,5,34.07,3.7899,16.98,15,53.33,true
5,NoDOGE,0,532.49,12.9031,24.87,14,57.14,true
5,NoDOGE,1,24.55,4.3535,12.60,10,60.00,true
5,NoDOGE,2,32.43,2.6903,31.69,14,28.57,true
5,NoDOGE,3,143.57,7.4448,18.94,14,64.29,true
5,NoDOGE,4,77.35,19.6143,4.40,7,85.71,true
5,NoDOGE,5,16.47,2.4877,23.93,12,50.00,true
5,Legacy4,0,22.83,2.5692,28.11,19,36.84,true
5,Legacy4,1,35.77,5.1574,17.58,13,61.54,true
5,Legacy4,2,27.38,2.5980,28.86,13,46.15,true
5,Legacy4,3,29.66,2.4653,38.29,13,38.46,true
5,Legacy4,4,13.78,1.9373,21.65,8,50.00,true
5,Legacy4,5,-12.72,-0.4944,27.78,14,35.71,false
5,Legacy5BNB,0,-4.74,0.6594,41.03,19,47.37,false
5,Legacy5BNB,1,80.26,10.1910,16.48,11,63.64,true
5,Legacy5BNB,2,28.75,2.6940,24.98,13,46.15,true
5,Legacy5BNB,3,95.57,4.7317,28.68,10,50.00,true
5,Legacy5BNB,4,15.15,2.1995,28.95,7,57.14,true
5,Legacy5BNB,5,16.86,2.9983,13.80,9,55.56,true
5,OldGuardNoBNB,0,143.53,6.7571,30.08,20,60.00,true
5,OldGuardNoBNB,1,-2.42,0.3780,33.62,15,46.67,false
5,OldGuardNoBNB,2,22.09,2.3665,28.86,13,46.15,true
5,OldGuardNoBNB,3,29.66,2.4653,38.29,13,38.46,true
5,OldGuardNoBNB,4,-1.58,0.6603,32.22,9,44.44,false
5,OldGuardNoBNB,5,6.69,1.3248,20.65,15,40.00,true
5,LargeCaps5,0,551.02,12.3460,24.87,14,57.14,true
5,LargeCaps5,1,24.55,4.3535,12.60,10,60.00,true
5,LargeCaps5,2,32.43,2.6903,31.69,14,28.57,true
5,LargeCaps5,3,177.87,13.7207,18.05,10,60.00,true
5,LargeCaps5,4,77.35,19.6143,4.40,7,85.71,true
5,LargeCaps5,5,11.17,1.9813,23.93,12,41.67,true
5,Legacy3,0,61.71,4.0707,33.34,18,38.89,true
