cp,bar,equity
50,0,1.000000
50,1,1.630803
50,2,3.694188
50,3,2.118479
50,4,0.680195
50,5,1.235401
50,6,3.077382
50,7,3.635622
50,8,34.615842
50,9,16.134658
50,10,27.071681
50,11,6.230276
50,12,11.886933
50,13,76.529909
50,14,48.860626
50,15,26.421584
50,16,14.233529
50,17,17.645023
50,18,21.929680
50,19,19.244303
50,20,16.330820
50,21,13.283644
50,22,15.266643
50,23,10.135762
50,24,8.728153
50,25,10.662626
50,26,15.864644
50,27,17.276844
50,28,8.689159
50,29,6.736391
50,30,33.974126
50,31,28.497863
50,32,38.895565
50,33,59.715915
50,34,79.733380
50,35,93.345826
50,36,89.694389
50,37,27.837852
50,38,32.220234
50,39,32.304345
50,40,102.157885
50,41,150.216822
50,42,115.072663
50,43,146.797705
50,44,235.936639
50,45,123.529559
50,46,97.760560
50,47,70.524481
50,48,235.301532
50,49,81.890459
50,50,181.348560
50,51,369.624598
50,52,621.312305
50,53,407.617650
50,54,283.408326
50,55,224.472918
50,56,209.502499
50,57,265.172106
50,58,1906.993137
50,59,2577.986746
50,60,3447.954363
50,61,3604.331401
50,62,14907.793152
50,63,54828.089846
50,64,58841.266359
50,65,43975.088553
50,66,87930.200134
50,67,103235.950272
50,68,114379.476405
50,69,182356.852762
50,70,160864.263376
50,71,122375.033117
50,72,142089.904499
50,73,142672.028848
50,74,168269.290515
50,75,212149.669614
50,76,196432.784565
50,77,143352.032385
50,78,167043.974266
50,79,342461.491348
50,80,546328.446392
50,81,434079.574034
50,82,453125.260913
50,83,335960.943949
50,84,164550.037642
50,85,111029.714578
50,86,318993.332267
50,87,126583.751842
50,88,74279.102253
50,89,63108.525481
50,90,77959.369722
50,91,60407.654366
50,92,83337.173761
50,93,50469.034318
50,94,56735.863068
50,95,11593.102025
50,96,9500.722481
50,97,6054.089228
50,98,953.156956
50,99,995.403287
50,100,1104.680263
50,101,272.667880
50,102,189.275793
50,103,165.892353
50,104,144.159447
50,105,101.428931
50,106,43.293730
50,107,36.822995
50,108,56.781864
50,109,61.894795
50,110,90.914393
50,111,5.959731
50,112,5.847757
50,113,3.563137
50,114,3.635346
50,115,3.635346
50,116,5.282408
50,117,4.231065
50,118,4.141309
50,119,4.269394
50,120,9.815776
50,121,5.175733
50,122,13.139884
50,123,24.852167
50,124,26.835768
50,125,20.003168
50,126,24.154129
50,127,34.610561
50,128,34.610561
50,129,36.263918
50,130,6.741889
50,131,6.431586
50,132,8.749606
50,133,10.370865
50,134,10.370865
50,135,10.370865
50,136,9.115130
50,137,9.115130
50,138,5.499779
50,139,5.499779
50,140,5.499779
50,141,5.499779
50,142,5.499779
50,143,5.499779
50,144,5.499779
50,145,1.433963
50,146,1.942108
50,147,1.942108
50,148,1.686658
50,149,1.686658
50,150,1.686658
50,151,1.686658
50,152,1.704174
50,153,1.550911
50,154,1.550911
50,155,1.550911
50,156,1.550911
50,157,1.350616
50,158,1.350616
50,159,1.405912
50,160,1.405912
50,161,1.405912
50,162,1.405912
50,163,1.405912
50,164,1.405912
50,165,1.405912
18,0,1.000000
18,1,5.248318
18,2,7.523809
18,3,22.203900
18,4,18.707891
18,5,1146.296187
18,6,411.955581
18,7,527.269844
18,8,47.652031
18,9,43.661771
18,10,125.732158
18,11,87.276347
18,12,257.008669
18,13,1572.263221
18,14,1013.474743
18,15,781.240059
18,16,910.583841
18,17,1128.832722
18,18,1439.445672
18,19,833.087458
18,20,706.962540
18,21,528.909450
18,22,474.526148
18,23,343.660061
18,24,284.632685
18,25,253.545588
18,26,377.243881
18,27,609.356851
18,28,293.516998
18,29,296.997842
18,30,908.609659
18,31,1099.100100
18,32,1062.146149
18,33,1253.090774
18,34,2039.494974
18,35,3307.025211
18,36,2768.832814
18,37,736.308962
18,38,1412.501952
18,39,1189.753106
18,40,3920.889775
18,41,3636.029465
18,42,6226.709319
18,43,5894.616537
18,44,14751.334748
18,45,8965.013774
18,46,9793.575942
18,47,15639.260158
18,48,18066.642665
18,49,5551.967153
18,50,5923.177988
18,51,16824.769070
18,52,15555.380028
18,53,10105.962883
18,54,13488.430683
18,55,9847.582401
18,56,11995.777867
18,57,12658.408728
18,58,97543.396424
18,59,349175.206807
18,60,2025691.967194
18,61,2800142.864007
18,62,1869955.281934
18,63,5175542.954847
18,64,7818669.421667
18,65,6108738.568502
18,66,10363553.581882
18,67,9344678.319533
18,68,12356321.993974
18,69,11515464.808805
18,70,7702523.265569
18,71,18662508.599418
18,72,22750921.962283
18,73,32790444.568480
18,74,61050238.778457
18,75,54536600.428128
18,76,18535754.334241
18,77,5010079.717293
18,78,5349211.566836
18,79,7225944.693182
18,80,6411014.370927
18,81,5323046.015880
18,82,4519895.939989
18,83,2208284.977229
18,84,3025520.851395
18,85,1268876.561129
18,86,533205.455085
18,87,1923872.555389
18,88,347265.800898
18,89,213666.042694
18,90,105932.920106
18,91,108079.704175
18,92,85868.461559
18,93,13551.164688
18,94,12284.076722
18,95,8616.438208
18,96,84296.695527
18,97,4724.687328
18,98,775.887393
18,99,136.748179
18,100,246.235456
18,101,7.097375
18,102,12.090149
18,103,7.789126
18,104,6.975444
18,105,5.625412
18,106,5.739414
18,107,4.249741
18,108,2.423087
18,109,3.567447
18,110,4.717565
18,111,4.417179
18,112,4.359221
18,113,4.194307
