universe,chand_p,chand_m,avg_sharpe,avg_ret_pct,total_trades,pass_rate
Base5,15,1.50,2.6659,8220.1024,709,88.89
Base5,15,1.55,2.6914,9665.4132,709,88.89
Base5,15,1.60,2.6557,11759.7912,709,88.89
Base5,15,1.65,2.5961,10051.1615,709,88.89
Base5,15,1.70,2.5800,10432.3996,709,88.89
Base5,15,1.75,2.6440,7653.2439,709,88.89
Base5,15,1.80,2.4944,7456.1980,709,88.89
Base5,15,1.85,2.4273,6454.0957,709,88.89
Base5,15,1.90,2.5523,6475.3921,709,88.89
Base5,15,1.95,2.5058,8328.3796,709,88.89
Base5,15,2.00,2.5461,9903.8907,709,88.89
Base5,15,2.05,2.5317,9412.9938,709,88.89
Base5,15,2.10,2.5495,9449.5521,709,88.89
Base5,16,1.50,2.4531,3162.4153,709,88.89
Base5,16,1.55,2.4382,6849.3121,709,88.89
Base5,16,1.60,2.6512,9158.1724,709,88.89
Base5,16,1.65,2.5709,9419.2351,709,88.89
Base5,16,1.70,2.4767,9083.3501,709,88.89
Base5,16,1.75,2.5316,9236.8944,709,88.89
Base5,16,1.80,2.4973,8785.1883,709,88.89
Base5,16,1.85,2.4904,9044.9321,709,88.89
Base5,16,1.90,2.6058,8581.5814,709,88.89
Base5,16,1.95,2.5300,8172.1516,709,88.89
Base5,16,2.00,2.5233,9425.6615,709,88.89
Base5,16,2.05,2.5583,9597.6451,709,88.89
Base5,16,2.10,2.5522,9584.4512,709,88.89
Base5,17,1.50,2.4127,4338.7649,709,88.89
Base5,17,1.55,2.3475,3724.8572,709,88.89
Base5,17,1.60,2.3912,5976.1817,709,88.89
Base5,17,1.65,2.5460,10002.8088,709,88.89
Base5,17,1.70,2.5286,9231.8038,709,88.89
Base5,17,1.75,2.4474,10860.5969,709,88.89
Base5,17,1.80,2.3824,8783.6002,709,88.89
Base5,17,1.85,2.4661,8817.6748,709,88.89
Base5,17,1.90,2.4511,8591.1086,709,88.89
Base5,17,1.95,2.5429,7864.0166,709,88.89
Base5,17,2.00,2.5105,8087.5300,709,88.89
Base5,17,2.05,2.5271,8338.5006,709,88.89
Base5,17,2.10,2.5470,9561.3567,709,88.89
Base5,18,1.50,2.2497,3020.1886,709,88.89
Base5,18,1.55,2.5375,7264.7042,709,88.89
Base5,18,1.60,2.4741,5972.6389,709,88.89
Base5,18,1.65,2.4369,6264.6987,709,88.89
Base5,18,1.70,2.5572,9396.4825,709,88.89
Base5,18,1.75,2.4437,8571.7478,709,88.89
Base5,18,1.80,2.1982,6786.5116,709,88.89
Base5,18,1.85,2.3894,8175.5455,709,88.89
Base5,18,1.90,2.3952,8367.9747,709,88.89
Base5,18,1.95,2.5476,8300.9332,709,88.89
Base5,18,2.00,2.4902,8200.7116,709,88.89
Base5,18,2.05,2.5446,9582.9816,709,88.89
Base5,18,2.10,2.5528,10429.7635,709,88.89
Base5,19,1.50,2.1429,918.8117,709,88.89
Base5,19,1.55,2.2590,6121.6140,709,88.89
Base5,19,1.60,2.4610,6686.1179,709,88.89
Base5,19,1.65,2.3978,7324.9392,709,88.89
Base5,19,1.70,2.3576,4785.1749,709,88.89
Base5,19,1.75,2.3628,6241.2412,709,88.89
Base5,19,1.80,2.3842,6547.7676,709,88.89
Base5,19,1.85,2.1386,6102.1015,709,88.89
Base5,19,1.90,2.4974,6874.0456,709,88.89
Base5,19,1.95,2.5314,9681.7384,709,88.89
Base5,19,2.00,2.5156,9442.3952,709,88.89
Base5,19,2.05,2.5293,9309.5040,709,88.89
Base5,19,2.10,2.5434,10194.5473,709,88.89
Base5,20,1.50,2.1719,907.8231,709,88.89
Base5,20,1.55,2.1053,1192.4960,709,88.89
Base5,20,1.60,2.2989,6030.1612,709,88.89
Base5,20,1.65,2.2851,3373.0833,709,88.89
Base5,20,1.70,2.2777,3711.4600,709,88.89
Base5,20,1.75,2.3744,5528.5336,709,88.89
Base5,20,1.80,2.2548,4138.3097,709,88.89
Base5,20,1.85,2.2842,6127.0479,709,88.89
Base5,20,1.90,2.5206,7812.0198,709,88.89
Base5,20,1.95,2.5082,9552.4087,709,88.89
Base5,20,2.00,2.5500,10272.6946,709,88.89
Base5,20,2.05,2.5407,10116.7815,709,88.89
Base5,20,2.10,2.5249,10009.8045,709,88.89
Base5,21,1.50,2.0600,1197.1220,709,88.89
Base5,21,1.55,2.0971,1235.7340,709,88.89
Base5,21,1.60,2.0236,2056.4086,709,88.89
Base5,21,1.65,1.9962,3008.2520,709,88.89
Base5,21,1.70,2.2294,3317.5362,709,88.89
Base5,21,1.75,2.3497,3864.7489,709,88.89
Base5,21,1.80,2.2111,6834.4520,709,88.89
Base5,21,1.85,2.2885,6942.7052,709,88.89
Base5,21,1.90,2.4055,11196.1392,709,88.89
Base5,21,1.95,2.5638,11582.2213,709,88.89
Base5,21,2.00,2.5250,9997.3962,709,88.89
Base5,21,2.05,2.5249,10014.6245,709,88.89
Base5,21,2.10,2.5247,10004.1394,709,88.89
Base5,22,1.50,1.9427,1272.2781,709,88.89
Base5,22,1.55,2.0655,883.9999,709,88.89
Base5,22,1.60,1.9328,800.4344,709,88.89
Base5,22,1.65,1.8928,2288.6559,709,88.89
Base5,22,1.70,1.8717,2530.9082,709,88.89
Base5,22,1.75,2.1455,3496.2709,709,88.89
Base5,22,1.80,2.1381,3736.4954,709,88.89
Base5,22,1.85,2.2716,6563.8677,709,88.89
Base5,22,1.90,2.3938,10767.0418,709,88.89
Base5,22,1.95,2.4852,9713.0453,709,88.89
Base5,22,2.00,2.5120,9665.8830,709,88.89
Base5,22,2.05,2.5182,9635.3121,709,88.89
Base5,22,2.10,2.5308,9714.8064,709,88.89
Base5,23,1.50,1.9121,1276.2146,709,88.89
Base5,23,1.55,2.0670,870.9099,709,88.89
Base5,23,1.60,1.8323,746.2051,709,88.89
Base5,23,1.65,1.8376,750.3317,709,88.89
Base5,23,1.70,1.7441,2153.3763,709,88.89
Base5,23,1.75,2.0704,2949.4477,709,88.89
Base5,23,1.80,2.3255,4427.0087,709,88.89
Base5,23,1.85,2.2885,6113.8405,709,88.89
Base5,23,1.90,2.4012,11312.0408,709,88.89
Base5,23,1.95,2.5878,12039.5431,709,88.89
Base5,23,2.00,2.6377,12309.4538,709,88.89
Base5,23,2.05,2.6402,12477.9754,709,88.89
Base5,23,2.10,2.6965,12909.7307,709,88.89
Base5,24,1.50,1.7439,955.2317,709,88.89
Base5,24,1.55,1.9374,804.8746,709,88.89
Base5,24,1.60,1.9196,799.6199,709,88.89
Base5,24,1.65,1.8405,699.8225,709,88.89
Base5,24,1.70,1.6034,581.6910,709,88.89
Base5,24,1.75,2.0020,2722.4918,709,88.89
Base5,24,1.80,2.0420,3816.2669,709,88.89
Base5,24,1.85,2.2692,5873.9536,709,88.89
Base5,24,1.90,2.3919,8207.9439,709,88.89
Base5,24,1.95,2.4027,10990.3100,709,88.89
Base5,24,2.00,2.6880,12768.4821,709,88.89
Base5,24,2.05,2.6880,12768.4821,709,88.89
Base5,24,2.10,2.6880,12768.4821,709,88.89
Base5,25,1.50,1.8373,1261.1969,709,88.89
Base5,25,1.55,1.8675,787.1713,709,88.89
Base5,25,1.60,1.8995,789.2119,709,88.89
Base5,25,1.65,1.8297,744.4591,709,88.89
Base5,25,1.70,1.7668,579.2490,709,88.89
Base5,25,1.75,1.9912,3226.9978,709,88.89
Base5,25,1.80,1.9968,3337.4116,709,88.89
Base5,25,1.85,2.1331,5313.5002,709,88.89
Base5,25,1.90,2.1982,5078.9882,709,88.89
Base5,25,1.95,2.4379,8369.4047,709,88.89
Base5,25,2.00,2.4695,10731.5789,709,88.89
Base5,25,2.05,2.6880,12768.4821,709,88.89
Base5,25,2.10,2.6880,12768.4821,709,88.89
Base5,26,1.50,1.6348,942.4164,709,88.89
Base5,26,1.55,1.9835,991.4298,709,88.89
Base5,26,1.60,1.9332,762.9963,709,88.89
Base5,26,1.65,1.9536,720.3027,709,88.89
Base5,26,1.70,1.7284,606.4334,709,88.89
Base5,26,1.75,1.7829,707.7891,709,88.89
Base5,26,1.80,2.0454,4070.4571,709,88.89
Base5,26,1.85,2.0183,5083.6216,709,88.89
Base5,26,1.90,2.3124,8451.7623,709,88.89
Base5,26,1.95,2.3884,7811.3084,709,88.89
Base5,26,2.00,2.4408,9090.9472,709,88.89
Base5,26,2.05,2.6673,12941.4828,709,88.89
Base5,26,2.10,2.6906,12768.8052,709,88.89
Base5,27,1.50,1.6628,1769.6473,709,88.89
Base5,27,1.55,1.9016,1093.3105,709,88.89
Base5,27,1.60,1.9338,758.2883,709,88.89
Base5,27,1.65,1.9815,825.4609,709,88.89
Base5,27,1.70,1.8675,914.3853,709,88.89
Base5,27,1.75,1.8436,864.2039,709,88.89
Base5,27,1.80,2.1251,4140.6586,709,88.89
Base5,27,1.85,2.1232,5182.6239,709,88.89
Base5,27,1.90,2.1760,5635.8702,709,88.89
Base5,27,1.95,2.3838,8493.9422,709,88.89
Base5,27,2.00,2.3878,8586.2874,709,88.89
Base5,27,2.05,2.3772,8950.8269,709,88.89
Base5,27,2.10,2.6693,12941.7419,709,88.89
Base5,28,1.50,1.6348,1839.3621,709,88.89
Base5,28,1.55,1.7975,689.3331,709,88.89
Base5,28,1.60,1.9399,844.5237,709,88.89
Base5,28,1.65,1.8792,849.0983,709,88.89
Base5,28,1.70,1.8458,791.9153,709,88.89
Base5,28,1.75,2.0225,1348.1557,709,88.89
Base5,28,1.80,1.9878,1148.5263,709,88.89
Base5,28,1.85,2.0851,3906.2962,709,88.89
Base5,28,1.90,2.1183,5095.0154,709,88.89
Base5,28,1.95,2.3235,8351.0061,709,88.89
Base5,28,2.00,2.4117,8615.7539,709,88.89
Base5,28,2.05,2.3358,8408.7331,709,88.89
Base5,28,2.10,2.4864,8758.1611,709,88.89
Base5,29,1.50,1.8558,1514.7977,709,100.00
Base5,29,1.55,2.0337,1400.1039,709,88.89
Base5,29,1.60,1.9531,852.5774,709,88.89
Base5,29,1.65,1.8438,736.0667,709,88.89
Base5,29,1.70,1.8873,923.5089,709,88.89
Base5,29,1.75,2.0522,1166.4014,709,88.89
Base5,29,1.80,1.9896,1190.2106,709,88.89
Base5,29,1.85,1.9525,1197.9580,709,88.89
Base5,29,1.90,2.1303,5100.7073,709,88.89
Base5,29,1.95,2.1245,4962.1047,709,88.89
Base5,29,2.00,2.3890,9160.5454,709,88.89
Base5,29,2.05,2.3735,8609.5363,709,88.89
Base5,29,2.10,2.3885,8604.4788,709,88.89
Base5,30,1.50,1.8014,1490.7937,709,100.00
Base5,30,1.55,1.7972,1355.2152,709,88.89
Base5,30,1.60,1.9795,901.9582,709,88.89
Base5,30,1.65,1.8083,972.6349,709,88.89
Base5,30,1.70,1.8907,865.5945,709,88.89
Base5,30,1.75,2.1667,1558.5161,709,88.89
Base5,30,1.80,2.0804,1424.6329,709,88.89
Base5,30,1.85,2.0097,1416.5415,709,88.89
Base5,30,1.90,2.1636,4805.9374,709,88.89
Base5,30,1.95,2.2563,7832.2832,709,88.89
Base5,30,2.00,2.3363,8407.2281,709,88.89
Base5,30,2.05,2.4265,9311.1901,709,88.89
Base5,30,2.10,2.3860,8498.0468,709,88.89
NoDOGE,15,1.50,2.0851,6093.8695,800,81.82
NoDOGE,15,1.55,2.0379,7230.4328,800,81.82
NoDOGE,15,1.60,1.9275,9004.0275,800,81.82
NoDOGE,15,1.65,1.7668,8087.6138,800,72.73
NoDOGE,15,1.70,1.7015,8552.9920,800,72.73
NoDOGE,15,1.75,1.6587,5573.2666,800,72.73
NoDOGE,15,1.80,1.5187,5457.8909,800,72.73
NoDOGE,15,1.85,1.4232,4648.2117,800,72.73
NoDOGE,15,1.90,1.5154,4667.4254,800,72.73
NoDOGE,15,1.95,1.4265,7790.5491,800,72.73
NoDOGE,15,2.00,1.4242,9611.3531,800,72.73
NoDOGE,15,2.05,1.4204,9181.3415,800,72.73
NoDOGE,15,2.10,1.4509,10582.8821,800,72.73
NoDOGE,16,1.50,1.8287,2639.6828,800,81.82
NoDOGE,16,1.55,1.8310,5121.6919,800,81.82
NoDOGE,16,1.60,1.9885,7019.3608,800,81.82
NoDOGE,16,1.65,1.7518,7607.4179,800,72.73
NoDOGE,16,1.70,1.6300,7398.3077,800,72.73
NoDOGE,16,1.75,1.5958,7643.2994,800,72.73
NoDOGE,16,1.80,1.5323,6593.0686,800,72.73
NoDOGE,16,1.85,1.4791,6767.0192,800,72.73
NoDOGE,16,1.90,1.5966,6475.5239,800,72.73
NoDOGE,16,1.95,1.4610,7666.2442,800,72.73
NoDOGE,16,2.00,1.4295,8672.3141,800,72.73
NoDOGE,16,2.05,1.4685,10758.6676,800,72.73
NoDOGE,16,2.10,1.4534,10712.2839,800,72.73
NoDOGE,17,1.50,1.7208,3613.7374,800,81.82
NoDOGE,17,1.55,1.7633,3093.1850,800,81.82
NoDOGE,17,1.60,1.7569,4847.0278,800,81.82
NoDOGE,17,1.65,1.9291,7886.7951,800,81.82
NoDOGE,17,1.70,1.6790,7421.1473,800,72.73
NoDOGE,17,1.75,1.5543,9051.8326,800,72.73
NoDOGE,17,1.80,1.4476,6573.4514,800,72.73
NoDOGE,17,1.85,1.4084,8304.7815,800,72.73
NoDOGE,17,1.90,1.3993,7813.8338,800,72.73
NoDOGE,17,1.95,1.4617,7932.6684,800,72.73
NoDOGE,17,2.00,1.4350,8082.8620,800,72.73
NoDOGE,17,2.05,1.4149,9608.7323,800,72.73
NoDOGE,17,2.10,1.4477,10453.2239,800,72.73
NoDOGE,18,1.50,1.5957,2441.9244,800,81.82
NoDOGE,18,1.55,1.7901,6435.5438,800,81.82
NoDOGE,18,1.60,1.8448,5400.3423,800,81.82
NoDOGE,18,1.65,1.7652,5566.7200,800,81.82
NoDOGE,18,1.70,1.9152,7535.6169,800,81.82
NoDOGE,18,1.75,1.6996,6988.4673,800,72.73
NoDOGE,18,1.80,1.2613,5441.3965,800,72.73
NoDOGE,18,1.85,1.3203,7599.4645,800,72.73
NoDOGE,18,1.90,1.3196,7660.3244,800,72.73
NoDOGE,18,1.95,1.4619,8220.2087,800,72.73
NoDOGE,18,2.00,1.3974,7932.9474,800,72.73
NoDOGE,18,2.05,1.4178,10255.3279,800,72.73
NoDOGE,18,2.10,1.4557,10832.2236,800,72.73
NoDOGE,19,1.50,1.5338,810.7196,800,81.82
NoDOGE,19,1.55,1.5888,4979.7892,800,81.82
NoDOGE,19,1.60,1.8273,5910.4166,800,81.82
NoDOGE,19,1.65,1.7383,6506.1567,800,81.82
NoDOGE,19,1.70,1.7143,4322.5842,800,81.82
NoDOGE,19,1.75,1.6186,5562.8932,800,72.73
NoDOGE,19,1.80,1.4660,4945.3492,800,72.73
NoDOGE,19,1.85,1.1601,6250.1571,800,72.73
NoDOGE,19,1.90,1.4009,6790.0990,800,72.73
NoDOGE,19,1.95,1.4155,9277.1608,800,72.73
NoDOGE,19,2.00,1.4192,8983.5607,800,72.73
NoDOGE,19,2.05,1.4159,10122.0767,800,72.73
NoDOGE,19,2.10,1.4535,10705.8527,800,72.73
NoDOGE,20,1.50,1.5555,808.1439,800,81.82
NoDOGE,20,1.55,1.5636,1016.0607,800,81.82
