bar,baseline_P20_M200,current_P20_M215,winner_P15_M150,runner_P15_M155
0,1.000000,1.000000,1.000000,1.000000
1,1.000000,1.000000,1.000000,1.000000
2,1.000000,1.000000,1.000000,1.000000
3,1.000000,1.000000,1.000000,1.000000
4,1.000000,1.000000,1.000000,1.000000
5,1.000000,1.000000,1.000000,1.000000
6,1.000000,1.000000,1.000000,1.000000
7,1.000000,1.000000,1.000000,1.000000
8,1.000000,1.000000,1.000000,1.000000
9,1.000000,1.000000,1.000000,1.000000
10,1.000000,1.000000,1.000000,1.000000
11,1.000000,1.000000,1.000000,1.000000
12,1.000000,1.000000,1.000000,1.000000
13,1.000000,1.000000,1.000000,1.000000
14,1.000000,1.000000,1.000000,1.000000
15,1.000000,1.000000,1.000000,1.000000
16,1.000000,1.000000,1.000000,1.000000
17,1.000000,1.000000,1.000000,1.000000
18,1.000000,1.000000,1.000000,1.000000
19,1.000000,1.000000,1.000000,1.000000
20,1.000000,1.000000,1.000000,1.000000
21,1.000000,1.000000,1.000000,1.000000
22,1.000000,1.000000,1.000000,1.000000
23,1.000000,1.000000,1.000000,1.000000
24,1.000000,1.000000,1.000000,1.000000
25,1.000000,1.000000,1.000000,1.000000
26,1.000000,1.000000,1.000000,1.000000
27,1.000000,1.000000,1.000000,1.000000
28,1.000000,1.000000,1.000000,1.000000
29,1.000000,1.000000,1.000000,1.000000
30,1.000000,1.000000,1.000000,1.000000
31,1.000000,1.000000,1.000000,1.000000
32,0.864409,0.864409,0.864409,0.864409
33,0.743925,0.743925,0.743925,0.743925
34,0.743925,0.743925,0.743925,0.743925
35,0.743925,0.743925,0.743925,0.743925
36,0.743925,0.743925,0.743925,0.743925
37,0.743925,0.743925,0.743925,0.743925
38,0.743925,0.743925,0.743925,0.743925
39,0.743925,0.743925,0.743925,0.743925
40,0.743925,0.743925,0.743925,0.743925
41,0.743925,0.743925,0.743925,0.743925
42,0.743925,0.743925,0.743925,0.743925
43,0.743925,0.743925,0.743925,0.743925
44,0.743925,0.743925,0.743925,0.743925
45,0.743925,0.743925,0.743925,0.743925
46,0.743925,0.743925,0.743925,0.743925
47,0.743925,0.743925,0.743925,0.743925
48,0.743925,0.743925,0.743925,0.743925
49,0.743925,0.743925,0.743925,0.743925
50,0.743925,0.743925,0.743925,0.743925
51,0.743925,0.743925,0.743925,0.743925
52,0.743925,0.743925,0.743925,0.743925
53,0.743925,0.743925,0.743925,0.743925
54,0.743925,0.743925,0.743925,0.743925
55,0.743925,0.743925,0.743925,0.743925
56,0.743925,0.743925,0.743925,0.743925
57,0.743925,0.743925,0.743925,0.743925
58,0.743925,0.743925,0.743925,0.743925
59,0.743925,0.743925,0.743925,0.743925
60,0.743925,0.743925,0.743925,0.743925
61,0.743925,0.743925,0.743925,0.743925
62,0.743925,0.743925,0.743925,0.743925
63,0.743925,0.743925,0.743925,0.743925
64,0.743925,0.743925,0.743925,0.743925
65,0.743925,0.743925,0.743925,0.743925
66,0.743925,0.743925,0.743925,0.743925
67,0.743925,0.743925,0.743925,0.743925
68,0.743925,0.743925,0.743925,0.743925
69,0.743925,0.743925,0.743925,0.743925
70,0.743925,0.743925,0.743925,0.743925
71,0.743925,0.743925,0.743925,0.743925
72,0.743925,0.743925,0.743925,0.743925
73,0.743925,0.743925,0.743925,0.743925
74,0.743925,0.743925,0.743925,0.743925
75,0.801551,0.801551,0.789779,0.789779
76,0.801551,0.801551,0.789779,0.789779
77,0.801551,0.801551,0.789779,0.789779
78,0.801551,0.801551,0.789779,0.789779
79,0.871895,0.871895,0.859090,0.859090
80,0.886191,0.886191,0.860352,0.860352
81,0.894828,0.894828,0.855979,0.855979
82,0.890620,0.890620,0.851953,0.851953
83,0.897418,0.897418,0.845848,0.845848
84,0.839786,0.839786,0.779904,0.779904
85,0.839786,0.839786,0.779904,0.779904
86,0.839786,0.839786,0.779904,0.779904
87,0.839786,0.839786,0.779904,0.779904
88,0.839786,0.839786,0.779904,0.779904
89,0.839786,0.839786,0.779904,0.779904
90,0.839786,0.839786,0.779904,0.779904
91,0.865213,0.865213,0.803517,0.803517
92,0.814368,0.814368,0.756299,0.756299
93,0.751909,0.751909,0.712671,0.712671
94,0.691191,0.691191,0.655121,0.655121
95,0.630803,0.630803,0.597885,0.597885
96,0.630803,0.630803,0.597885,0.597885
97,0.630803,0.630803,0.597885,0.597885
98,0.630803,0.630803,0.597885,0.597885
99,0.630803,0.630803,0.597885,0.597885
100,0.630803,0.630803,0.597885,0.597885
101,0.630803,0.630803,0.597885,0.597885
102,0.630803,0.630803,0.597885,0.597885
103,0.630803,0.630803,0.597885,0.597885
104,0.630803,0.630803,0.597885,0.597885
105,0.630803,0.630803,0.597885,0.597885
106,0.630803,0.630803,0.597885,0.597885
107,0.630803,0.630803,0.597885,0.597885
108,0.630803,0.630803,0.597885,0.597885
109,0.630803,0.630803,0.597885,0.597885
110,0.630803,0.630803,0.597885,0.597885
111,0.630803,0.630803,0.597885,0.597885
112,0.630803,0.630803,0.597885,0.597885
113,0.630803,0.630803,0.597885,0.597885
114,0.630803,0.630803,0.597885,0.597885
115,0.630803,0.630803,0.597885,0.597885
116,0.630803,0.630803,0.597885,0.597885
117,0.630803,0.630803,0.597885,0.597885
118,0.630803,0.630803,0.597885,0.597885
119,0.630803,0.630803,0.597885,0.597885
120,0.630803,0.630803,0.597885,0.597885
121,0.630803,0.630803,0.597885,0.597885
122,0.630803,0.630803,0.597885,0.597885
123,0.630803,0.630803,0.597885,0.597885
124,0.630803,0.630803,0.597885,0.597885
125,0.630803,0.630803,0.597885,0.597885
126,0.630803,0.630803,0.597885,0.597885
127,0.630803,0.630803,0.597885,0.597885
128,0.630803,0.630803,0.597885,0.597885
129,0.630803,0.630803,0.597885,0.597885
130,0.630803,0.630803,0.597885,0.597885
131,0.630803,0.630803,0.597885,0.597885
132,0.630803,0.630803,0.597885,0.597885
133,0.630803,0.630803,0.597885,0.597885
134,0.630803,0.630803,0.597885,0.597885
135,0.630803,0.630803,0.597885,0.597885
136,0.630803,0.630803,0.597885,0.597885
137,0.630803,0.630803,0.597885,0.597885
138,0.630803,0.630803,0.597885,0.597885
139,0.630803,0.630803,0.597885,0.597885
140,0.793869,0.793869,0.752442,0.752442
141,0.694686,0.694686,0.658435,0.658435
142,0.584504,0.584504,0.561979,0.561979
143,0.584504,0.584504,0.561979,0.561979
144,0.584504,0.584504,0.561979,0.561979
145,0.584504,0.584504,0.561979,0.561979
146,0.584504,0.584504,0.561979,0.561979
147,0.584504,0.584504,0.561979,0.561979
148,0.584504,0.584504,0.561979,0.561979
149,0.584504,0.584504,0.561979,0.561979
150,0.384422,0.384422,0.472333,0.472333
151,0.356796,0.356796,0.438390,0.438390
152,0.315346,0.315346,0.387461,0.387461
153,0.315346,0.315346,0.387461,0.387461
154,0.315346,0.315346,0.387461,0.387461
155,0.315346,0.315346,0.387461,0.387461
156,0.315346,0.315346,0.387461,0.387461
157,0.315346,0.315346,0.387461,0.387461
158,0.315346,0.315346,0.387461,0.387461
159,0.315346,0.315346,0.387461,0.387461
160,0.315346,0.315346,0.387461,0.387461
161,0.315346,0.315346,0.387461,0.387461
162,0.315346,0.315346,0.387461,0.387461
163,0.315346,0.315346,0.387461,0.387461
164,0.315346,0.315346,0.387461,0.387461
165,0.315346,0.315346,0.387461,0.387461
166,0.315346,0.315346,0.387461,0.387461
167,0.315346,0.315346,0.387461,0.387461
168,0.333166,0.333166,0.409356,0.409356
169,0.348918,0.348918,0.428711,0.428711
170,0.361290,0.361290,0.443911,0.443911
171,0.361290,0.361290,0.443911,0.443911
172,0.361290,0.361290,0.443911,0.443911
173,0.361290,0.361290,0.443911,0.443911
174,0.361754,0.361754,0.444481,0.444481
175,0.333049,0.333049,0.409212,0.409212
176,0.881083,0.881083,0.478761,0.478761
177,2.128369,2.128369,0.511457,0.511457
178,4.597887,4.597887,0.488632,0.488632
179,9.499899,9.499899,0.605289,0.600586
180,9.499899,9.499899,0.605289,0.600586
181,9.499899,9.499899,0.605289,0.600586
182,16.743285,16.743285,0.639595,0.629694
183,16.743285,16.743285,0.639595,0.629694
184,25.500262,25.500262,0.584023,0.570514
185,38.371238,38.371238,0.526880,0.510693
186,38.371238,38.371238,0.526880,0.510693
187,34.342890,34.342890,0.471566,0.457078
188,34.342890,34.342890,0.471566,0.457078
189,34.342890,34.342890,0.471566,0.457078
190,34.342890,34.342890,0.471566,0.457078
191,34.342890,34.342890,0.471566,0.457078
192,34.342890,34.342890,0.471566,0.457078
193,41.375125,41.375125,0.568127,0.550672
194,41.375125,41.375125,0.568127,0.550672
195,41.375125,41.375125,0.568127,0.550672
196,39.725469,39.725469,0.545475,0.528717
197,36.124073,36.124073,0.496024,0.480785
198,29.128428,29.128428,0.399966,0.387678
199,29.128428,29.128428,0.399966,0.387678
200,29.128428,29.128428,0.399966,0.387678
201,29.128428,29.128428,0.399966,0.387678
202,29.128428,29.128428,0.399966,0.387678
203,29.128428,29.128428,0.399966,0.387678
204,29.128428,29.128428,0.399966,0.387678
205,29.128428,29.128428,0.399966,0.387678
206,29.128428,29.128428,0.399966,0.387678
207,29.128428,29.128428,0.399966,0.387678
208,29.128428,29.128428,0.399966,0.387678
209,28.248753,28.248753,0.387887,0.375970
210,26.747273,26.747273,0.367270,0.355986
211,26.747273,26.747273,0.367270,0.355986
212,26.747273,26.747273,0.367270,0.355986
213,26.747273,26.747273,0.367270,0.355986
214,24.889789,24.889789,0.341765,0.331265
215,22.837765,22.837765,0.313588,0.303954
