cp,universe,window,bar,equity
3,Base5,0,0,1.000000
3,Base5,0,0,1.000000
3,Base5,0,1,1.000000
3,Base5,0,2,1.000000
3,Base5,0,3,1.000000
3,Base5,0,4,1.000000
3,Base5,0,5,1.000000
3,Base5,0,6,1.000000
3,Base5,0,7,1.000000
3,Base5,0,8,1.000000
3,Base5,0,9,1.000000
3,Base5,0,10,1.000000
3,Base5,0,11,1.000000
3,Base5,0,12,1.000000
3,Base5,0,13,1.000000
3,Base5,0,14,1.000000
3,Base5,0,15,1.000000
3,Base5,0,16,1.000000
3,Base5,0,17,1.000000
3,Base5,0,18,1.000000
3,Base5,0,19,1.000000
3,Base5,0,20,1.000000
3,Base5,0,21,1.000000
3,Base5,0,22,1.000000
3,Base5,0,23,0.927954
3,Base5,0,24,0.927954
3,Base5,0,25,1.072892
3,Base5,0,26,1.072892
3,Base5,0,27,1.051519
3,Base5,0,28,1.051519
3,Base5,0,29,1.051519
3,Base5,0,30,1.051519
3,Base5,0,31,1.051519
3,Base5,0,32,1.051519
3,Base5,0,33,1.051519
3,Base5,0,34,1.048646
3,Base5,0,35,1.048646
3,Base5,0,36,1.048646
3,Base5,0,37,1.048646
3,Base5,0,38,1.048646
3,Base5,0,39,1.048646
3,Base5,0,40,1.048646
3,Base5,0,41,1.048646
3,Base5,0,42,1.048646
3,Base5,0,43,1.048646
3,Base5,0,44,1.058449
3,Base5,0,45,1.058449
3,Base5,0,46,1.067790
3,Base5,0,47,1.067790
3,Base5,0,48,1.067790
3,Base5,0,49,1.067790
3,Base5,0,50,1.067790
3,Base5,0,51,1.067790
3,Base5,0,52,1.073958
3,Base5,0,53,1.073958
3,Base5,0,54,1.073958
3,Base5,0,55,1.073958
3,Base5,0,56,1.073958
3,Base5,0,57,1.073958
3,Base5,0,58,1.073958
3,Base5,0,59,1.080139
3,Base5,0,60,1.080139
3,Base5,0,61,1.080139
3,Base5,0,62,1.080139
3,Base5,0,63,1.080139
3,Base5,0,64,1.080139
3,Base5,0,65,1.080139
3,Base5,0,66,1.080139
3,Base5,0,67,1.074611
3,Base5,0,68,1.074611
3,Base5,0,69,1.074611
3,Base5,0,70,1.074611
3,Base5,0,71,1.074611
3,Base5,0,72,1.074611
3,Base5,0,73,1.074611
3,Base5,0,74,1.074611
3,Base5,0,75,1.074611
3,Base5,0,76,1.074611
3,Base5,0,77,1.074611
3,Base5,0,78,1.074611
3,Base5,0,79,1.074611
3,Base5,0,80,1.074611
3,Base5,0,81,1.074611
3,Base5,0,82,1.074611
3,Base5,0,83,1.074611
3,Base5,0,84,1.074611
3,Base5,0,85,1.074611
3,Base5,0,86,1.074638
3,Base5,0,87,1.074638
3,Base5,0,88,1.074638
3,Base5,0,89,1.074638
3,Base5,0,90,1.074638
3,Base5,0,91,1.074638
3,Base5,0,92,1.074638
3,Base5,0,93,1.074638
3,Base5,0,94,1.074638
3,Base5,0,95,1.074638
3,Base5,0,96,1.074638
3,Base5,0,97,1.074638
3,Base5,0,98,1.074638
3,Base5,0,99,1.074638
3,Base5,0,100,1.074638
3,Base5,0,101,1.074638
3,Base5,0,102,1.074638
3,Base5,0,103,1.074638
3,Base5,0,104,1.074638
3,Base5,0,105,1.074638
3,Base5,0,106,1.074638
3,Base5,0,107,1.074638
3,Base5,0,108,1.074638
3,Base5,0,109,1.074638
3,Base5,0,110,1.074638
3,Base5,0,111,1.074638
3,Base5,0,112,1.074638
3,Base5,0,113,1.074638
3,Base5,0,114,1.074638
3,Base5,0,115,1.074638
3,Base5,0,116,1.074638
3,Base5,0,117,1.074638
3,Base5,0,118,1.074638
3,Base5,0,119,1.074638
3,Base5,0,120,1.074638
3,Base5,1,0,1.000000
3,Base5,1,0,1.000000
3,Base5,1,1,0.955132
3,Base5,1,2,0.948615
3,Base5,1,3,0.917416
3,Base5,1,4,0.917416
3,Base5,1,5,0.917416
3,Base5,1,6,0.917416
3,Base5,1,7,0.917416
3,Base5,1,8,0.917416
3,Base5,1,9,0.917416
3,Base5,1,10,0.917416
3,Base5,1,11,0.917416
3,Base5,1,12,0.917416
3,Base5,1,13,0.917416
3,Base5,1,14,0.917416
3,Base5,1,15,0.917416
3,Base5,1,16,0.917416
3,Base5,1,17,0.917416
3,Base5,1,18,0.917416
3,Base5,1,19,0.835578
3,Base5,1,20,0.835578
3,Base5,1,21,0.835578
3,Base5,1,22,0.835578
3,Base5,1,23,0.835578
3,Base5,1,24,0.835578
3,Base5,1,25,0.835578
3,Base5,1,26,0.835578
3,Base5,1,27,0.835578
3,Base5,1,28,0.835578
3,Base5,1,29,0.835578
3,Base5,1,30,0.835578
3,Base5,1,31,0.835578
3,Base5,1,32,0.835578
3,Base5,1,33,1.017382
3,Base5,1,34,1.017382
3,Base5,1,35,1.017382
3,Base5,1,36,1.017382
3,Base5,1,37,1.017382
3,Base5,1,38,1.017382
3,Base5,1,39,1.004218
3,Base5,1,40,1.004218
3,Base5,1,41,1.004218
3,Base5,1,42,1.004218
3,Base5,1,43,1.004218
3,Base5,1,44,1.004218
3,Base5,1,45,1.033300
3,Base5,1,46,1.000769
3,Base5,1,47,1.000769
3,Base5,1,48,1.000769
3,Base5,1,49,1.000769
3,Base5,1,50,1.000769
3,Base5,1,51,1.000769
3,Base5,1,52,1.000769
3,Base5,1,53,1.000769
3,Base5,1,54,1.000769
3,Base5,1,55,1.000769
3,Base5,1,56,1.000769
3,Base5,1,57,1.000769
3,Base5,1,58,1.000769
3,Base5,1,59,1.000769
3,Base5,1,60,1.000769
3,Base5,1,61,1.000769
3,Base5,1,62,1.000769
3,Base5,1,63,1.000769
3,Base5,1,64,1.000769
3,Base5,1,65,1.000769
3,Base5,1,66,1.000769
3,Base5,1,67,1.000769
3,Base5,1,68,1.000769
3,Base5,1,69,1.000769
3,Base5,1,70,1.000769
3,Base5,1,71,1.000769
3,Base5,1,72,1.000769
3,Base5,1,73,1.000769
3,Base5,1,74,1.000769
3,Base5,1,75,0.952592
3,Base5,1,76,0.952592
3,Base5,1,77,0.944952
3,Base5,1,78,0.944952
3,Base5,1,79,0.944952
3,Base5,1,80,0.944952
3,Base5,1,81,0.945337
3,Base5,1,82,0.937538
3,Base5,1,83,0.937538
3,Base5,1,84,0.940508
3,Base5,2,0,1.000000
3,Base5,2,0,1.000000
3,Base5,2,1,1.000000
3,Base5,2,2,1.000000
3,Base5,2,3,0.979773
3,Base5,2,4,0.979773
3,Base5,2,5,0.979773
3,Base5,2,6,0.979773
3,Base5,2,7,0.979773
3,Base5,2,8,0.979773
3,Base5,2,9,0.979773
3,Base5,2,10,0.979773
3,Base5,2,11,0.979773
3,Base5,2,12,0.979773
3,Base5,2,13,0.979773
3,Base5,2,14,0.979773
3,Base5,2,15,0.979773
3,Base5,2,16,0.979773
3,Base5,2,17,0.979773
3,Base5,2,18,0.979773
3,Base5,2,19,0.979773
3,Base5,2,20,0.979773
3,Base5,2,21,0.979773
3,Base5,2,22,0.958137
3,Base5,2,23,0.964773
3,Base5,2,24,0.958283
3,Base5,2,25,0.958283
3,Base5,2,26,0.958283
3,Base5,2,27,0.958283
3,Base5,2,28,0.958283
3,Base5,2,29,0.958283
3,Base5,2,30,0.958283
3,Base5,2,31,0.958283
3,Base5,2,32,0.958283
3,Base5,2,33,0.958283
3,Base5,2,34,0.958283
3,Base5,2,35,0.958283
3,Base5,2,36,0.958283
3,Base5,2,37,0.958283
3,Base5,2,38,0.928629
3,Base5,2,39,0.928629
3,Base5,2,40,0.928629
3,Base5,2,41,0.928629
3,Base5,2,42,0.928629
3,Base5,2,43,0.928629
3,Base5,2,44,0.928629
3,Base5,2,45,0.928629
3,Base5,2,46,0.928629
3,Base5,2,47,0.928629
3,Base5,2,48,0.928629
3,Base5,2,49,0.928629
3,Base5,2,50,0.928629
3,Base5,2,51,0.928629
3,Base5,2,52,0.928629
3,Base5,2,53,0.928629
3,Base5,2,54,0.928629
3,Base5,2,55,0.928629
3,Base5,2,56,0.928629
3,Base5,2,57,0.928629
3,Base5,2,58,0.928629
3,Base5,2,59,0.928629
3,Base5,2,60,0.928629
3,Base5,2,61,0.928629
3,Base5,2,62,0.928629
3,Base5,2,63,0.928629
3,Base5,2,64,0.928629
3,Base5,2,65,0.928629
3,Base5,2,66,0.918116
3,Base5,2,67,0.918116
3,Base5,2,68,0.907444
3,Base5,2,69,0.907444
3,Base5,2,70,0.920753
3,Base5,2,71,0.920753
3,Base5,2,72,0.920753
3,Base5,2,73,0.920753
3,Base5,2,74,0.937342
3,Base5,2,75,0.937342
3,Base5,2,76,0.937342
3,Base5,2,77,0.937342
3,Base5,2,78,0.931934
3,Base5,2,79,0.951438
3,Base5,2,80,0.951438
3,Base5,2,81,0.951438
3,Base5,2,82,0.951438
3,Base5,2,83,0.951438
3,Base5,2,84,0.951438
3,Base5,2,85,0.951438
3,Base5,2,86,0.951438
3,Base5,2,87,0.953913
3,Base5,2,88,0.991592
3,Base5,3,0,1.000000
3,Base5,3,0,1.000000
3,Base5,3,1,0.993526
3,Base5,3,2,0.993526
3,Base5,3,3,0.993526
3,Base5,3,4,0.993526
3,Base5,3,5,0.993526
3,Base5,3,6,0.993526
3,Base5,3,7,0.993526
3,Base5,3,8,0.993526
3,Base5,3,9,0.993526
3,Base5,3,10,0.993526
3,Base5,3,11,0.993526
3,Base5,3,12,0.993526
3,Base5,3,13,0.993526
3,Base5,3,14,0.993526
3,Base5,3,15,0.993670
3,Base5,3,16,0.993670
3,Base5,3,17,0.993670
3,Base5,3,18,0.993670
3,Base5,3,19,0.993670
3,Base5,3,20,0.993670
3,Base5,3,21,0.993670
3,Base5,3,22,0.993670
3,Base5,3,23,0.993670
3,Base5,3,24,0.993670
3,Base5,3,25,0.993670
3,Base5,3,26,0.993670
3,Base5,3,27,0.993670
3,Base5,3,28,0.993670
3,Base5,3,29,0.993670
3,Base5,3,30,0.993670
3,Base5,3,31,0.993670
3,Base5,3,32,0.993670
3,Base5,3,33,0.993670
3,Base5,3,34,0.993670
3,Base5,3,35,0.993670
3,Base5,3,36,0.993670
3,Base5,3,37,1.006156
3,Base5,3,38,1.006638
3,Base5,3,39,1.006638
3,Base5,3,40,1.006638
3,Base5,3,41,1.006638
3,Base5,3,42,1.006638
3,Base5,3,43,1.006638
3,Base5,3,44,1.006638
3,Base5,3,45,1.006638
3,Base5,3,46,1.006638
3,Base5,3,47,1.006638
3,Base5,3,48,1.006638
3,Base5,3,49,1.006638
3,Base5,3,50,1.006638
3,Base5,3,51,1.006638
3,Base5,3,52,0.987420
3,Base5,3,53,0.987420
3,Base5,3,54,0.987420
3,Base5,3,55,0.987420
3,Base5,3,56,0.987420
3,Base5,3,57,0.987420
3,Base5,3,58,0.987420
3,Base5,3,59,0.987420
3,Base5,3,60,0.987420
