cp,sharpe,pass_pct,pass_cnt,equity_mult
3,2.7969,68.25,43,1.4538
4,2.7969,68.25,43,1.4538
5,2.7969,68.25,43,1.4538
6,2.7969,68.25,43,1.4538
7,2.7969,68.25,43,1.4538
8,2.7969,68.25,43,1.4538
9,2.7969,68.25,43,1.4538
10,2.7969,68.25,43,1.4538
11,2.7969,68.25,43,1.4538
12,2.7969,68.25,43,1.4538
13,2.7969,68.25,43,1.4538
14,2.7969,68.25,43,1.4538
15,2.7969,68.25,43,1.4538
16,2.7969,68.25,43,1.4538
17,2.7969,68.25,43,1.4538
18,2.7969,68.25,43,1.4538
19,2.7969,68.25,43,1.4538
20,2.7969,68.25,43,1.4538
21,2.7969,68.25,43,1.4538
22,2.7969,68.25,43,1.4538
23,2.7969,68.25,43,1.4538
24,2.7969,68.25,43,1.4538
25,2.7969,68.25,43,1.4538
26,2.7969,68.25,43,1.4538
27,2.7969,68.25,43,1.4538
28,2.7969,68.25,43,1.4538
29,2.7969,68.25,43,1.4538
30,2.7969,68.25,43,1.4538
31,2.7969,68.25,43,1.4538
32,2.7969,68.25,43,1.4538
33,2.7969,68.25,43,1.4538
34,2.7969,68.25,43,1.4538
35,2.7969,68.25,43,1.4538
36,2.7969,68.25,43,1.4538
37,2.7969,68.25,43,1.4538
38,2.7969,68.25,43,1.4538
39,2.7969,68.25,43,1.4538
40,2.7969,68.25,43,1.4538
41,2.7969,68.25,43,1.4538
42,2.7969,68.25,43,1.4538
43,2.7969,68.25,43,1.4538
44,2.7969,68.25,43,1.4538
45,2.7969,68.25,43,1.4538
46,2.7969,68.25,43,1.4538
47,2.7969,68.25,43,1.4538
48,2.7969,68.25,43,1.4538
49,2.7969,68.25,43,1.4538
50,2.7969,68.25,43,1.4538
51,2.7969,68.25,43,1.4538
52,2.7969,68.25,43,1.4538
53,2.7969,68.25,43,1.4538
54,2.7969,68.25,43,1.4538
55,2.7969,68.25,43,1.4538
56,2.7969,68.25,43,1.4538
57,2.7969,68.25,43,1.4538
58,2.7969,68.25,43,1.4538
59,2.7969,68.25,43,1.4538
60,2.7969,68.25,43,1.4538
61,2.7969,68.25,43,1.4538
62,2.7969,68.25,43,1.4538
63,2.7969,68.25,43,1.4538
64,2.7969,68.25,43,1.4538
65,2.7969,68.25,43,1.4538
66,2.7969,68.25,43,1.4538
67,2.7969,68.25,43,1.4538
68,2.7969,68.25,43,1.4538
69,2.7969,68.25,43,1.4538
70,2.7969,68.25,43,1.4538
71,2.7969,68.25,43,1.4538
72,2.7969,68.25,43,1.4538
73,2.7969,68.25,43,1.4538
74,2.7969,68.25,43,1.4538
75,2.7969,68.25,43,1.4538
76,2.7969,68.25,43,1.4538
77,2.7969,68.25,43,1.4538
78,2.7969,68.25,43,1.4538
79,2.7969,68.25,43,1.4538
80,2.7969,68.25,43,1.4538
81,2.7969,68.25,43,1.4538
82,2.7969,68.25,43,1.4538
83,2.7969,68.25,43,1.4538
84,2.7969,68.25,43,1.4538
85,2.7969,68.25,43,1.4538
86,2.7969,68.25,43,1.4538
87,2.7969,68.25,43,1.4538
88,2.7969,68.25,43,1.4538
89,2.7969,68.25,43,1.4538
90,2.7969,68.25,43,1.4538
91,2.7969,68.25,43,1.4538
92,2.7969,68.25,43,1.4538
93,2.7969,68.25,43,1.4538
94,2.7969,68.25,43,1.4538
95,2.7969,68.25,43,1.4538
96,2.7969,68.25,43,1.4538
97,2.7969,68.25,43,1.4538
98,2.7969,68.25,43,1.4538
99,2.7969,68.25,43,1.4538
100,2.7969,68.25,43,1.4538
