universe,window,strategy,symbol,return_pct,sharpe,max_dd,trades,win_rate,pass
Base5,W0,SHORT,BTC,23.6994,1.7964,19.2077,6,0.5000,PASS
Base5,W0,LONG_SKIP_CRISIS,BTC,107.5981,3.9374,25.8671,17,0.5294,PASS
Base5,W1,SHORT,BTC,4.1696,0.4131,26.1635,6,0.3333,PASS
Base5,W1,LONG_SKIP_CRISIS,BTC,82.7432,2.9832,25.1360,20,0.5000,PASS
Base5,W2,SHORT,BTC,-25.9225,-8.8453,25.9225,3,0.0000,FAIL
Base5,W2,LONG_SKIP_CRISIS,BTC,131.2992,4.2706,23.1018,18,0.6111,PASS
Base5,W3,SHORT,BTC,-18.9159,-5.7222,23.3633,3,0.3333,FAIL
Base5,W3,LONG_SKIP_CRISIS,BTC,125.8436,4.3697,34.1414,14,0.4286,PASS
Base5,W4,SHORT,BTC,-21.4900,-6.9716,23.3842,3,0.3333,FAIL
Base5,W4,LONG_SKIP_CRISIS,BTC,103.0480,3.7565,32.2326,17,0.5294,PASS
Base5,W5,SHORT,BTC,-0.3652,-0.0490,16.9380,3,0.3333,FAIL
Base5,W5,LONG_SKIP_CRISIS,BTC,76.0031,3.0039,41.2796,19,0.5789,PASS
Base5,W6,SHORT,BTC,-4.5442,-0.9942,16.9380,3,0.3333,FAIL
Base5,W6,LONG_SKIP_CRISIS,BTC,48.4137,2.1336,45.9760,20,0.5000,PASS
Base5,W7,SHORT,BTC,25.2496,3.1607,16.9380,4,0.5000,PASS
Base5,W7,LONG_SKIP_CRISIS,BTC,28.6294,1.4151,49.7163,20,0.5000,PASS
Base5,W8,SHORT,BTC,14.4268,2.4698,16.9380,5,0.6000,PASS
Base5,W8,LONG_SKIP_CRISIS,BTC,-4.6000,-0.0616,51.8138,20,0.4000,FAIL
Base5,W9,SHORT,BTC,11.4864,2.0043,16.9380,6,0.3333,PASS
Base5,W9,LONG_SKIP_CRISIS,BTC,-9.3996,-0.3082,54.9341,19,0.4211,FAIL
Base5,W10,SHORT,BTC,5.8502,0.9781,16.9380,6,0.3333,PASS
Base5,W10,LONG_SKIP_CRISIS,BTC,-13.4329,-0.6450,54.9341,15,0.4000,FAIL
Base5,W11,SHORT,BTC,5.8502,0.9781,16.9380,6,0.3333,PASS
Base5,W11,LONG_SKIP_CRISIS,BTC,5.8489,0.4602,54.9341,13,0.4615,PASS
Base5,W12,SHORT,BTC,16.5000,2.3863,16.9380,7,0.4286,PASS
Base5,W12,LONG_SKIP_CRISIS,BTC,-42.4174,-4.4924,50.8428,12,0.3333,FAIL
Base5,W13,SHORT,BTC,98.9907,3.5930,18.2162,8,0.3750,PASS
Base5,W13,LONG_SKIP_CRISIS,BTC,-59.6584,-2.4319,60.3302,12,0.3333,FAIL
Base5,W14,SHORT,BTC,116.0111,4.1449,24.7555,9,0.3333,PASS
Base5,W14,LONG_SKIP_CRISIS,BTC,-53.7607,-2.0013,59.9864,12,0.3333,FAIL
Base5,W15,SHORT,BTC,78.5023,2.9921,37.7631,9,0.3333,PASS
Base5,W15,LONG_SKIP_CRISIS,BTC,-36.7365,-1.0223,57.6534,11,0.3636,FAIL
Base5,W16,SHORT,BTC,52.2842,2.2704,37.7631,8,0.2500,PASS
Base5,W16,LONG_SKIP_CRISIS,BTC,-18.2102,-0.2526,51.2349,12,0.4167,FAIL
Base5,W17,SHORT,BTC,47.5716,2.1025,37.7631,8,0.2500,PASS
Base5,W17,LONG_SKIP_CRISIS,BTC,-21.6928,-0.3864,51.2349,13,0.3846,FAIL
Base5,W18,SHORT,BTC,50.3804,2.1958,39.8009,8,0.2500,PASS
Base5,W18,LONG_SKIP_CRISIS,BTC,-18.7470,-0.2748,51.2349,11,0.3636,FAIL
Base5,W19,SHORT,BTC,14.9532,0.8512,43.3888,7,0.1429,PASS
Base5,W19,LONG_SKIP_CRISIS,BTC,9.7304,0.6351,51.2349,11,0.4545,PASS
Base5,W20,SHORT,BTC,9.5346,0.5911,43.3888,7,0.1429,PASS
Base5,W20,LONG_SKIP_CRISIS,BTC,21.5471,0.9550,51.2349,12,0.5000,PASS
Base5,W21,SHORT,BTC,28.6799,1.4198,43.3888,6,0.3333,PASS
Base5,W21,LONG_SKIP_CRISIS,BTC,-4.6332,0.2130,51.2349,13,0.4615,FAIL
Base5,W22,SHORT,BTC,22.0507,1.1553,46.0663,7,0.2857,PASS
Base5,W22,LONG_SKIP_CRISIS,BTC,-16.2518,-0.1874,51.2349,13,0.4615,FAIL
Base5,W23,SHORT,BTC,15.4121,0.8748,48.7683,7,0.1429,PASS
Base5,W23,LONG_SKIP_CRISIS,BTC,-2.2844,0.2862,51.2349,13,0.4615,FAIL
Base5,W24,SHORT,BTC,-10.5511,-0.0556,48.7683,7,0.1429,FAIL
Base5,W24,LONG_SKIP_CRISIS,BTC,53.3983,1.6826,39.7048,13,0.6154,PASS
Base5,W25,SHORT,BTC,-32.2284,-8.8112,32.2284,4,0.0000,FAIL
Base5,W25,LONG_SKIP_CRISIS,BTC,186.9523,13.1289,14.3871,14,0.6429,PASS
Base5,W26,SHORT,BTC,-17.6827,-10.4870,17.6827,3,0.0000,FAIL
Base5,W26,LONG_SKIP_CRISIS,BTC,259.4348,11.5864,14.3871,16,0.6875,PASS
Base5,W27,SHORT,BTC,-17.6827,-10.4870,17.6827,3,0.0000,FAIL
Base5,W27,LONG_SKIP_CRISIS,BTC,221.0251,8.3610,14.3871,20,0.6500,PASS
Base5,W28,SHORT,BTC,-17.6827,-10.4870,17.6827,3,0.0000,FAIL
Base5,W28,LONG_SKIP_CRISIS,BTC,226.3548,7.7160,21.2795,21,0.6190,PASS
Base5,W29,SHORT,BTC,-17.6827,-10.4870,17.6827,3,0.0000,FAIL
Base5,W29,LONG_SKIP_CRISIS,BTC,355.2585,8.9023,21.2795,22,0.6364,PASS
Base5,W30,SHORT,BTC,-16.5118,-7.1683,16.5118,3,0.0000,FAIL
Base5,W30,LONG_SKIP_CRISIS,BTC,509.1384,10.9849,21.2795,22,0.6818,PASS
Base5,W31,SHORT,BTC,-9.5024,-6.7970,9.5024,2,0.0000,FAIL
Base5,W31,LONG_SKIP_CRISIS,BTC,400.3841,9.7229,21.2795,21,0.7143,PASS
Base5,W32,SHORT,BTC,-15.0076,-6.1758,15.0076,3,0.0000,FAIL
Base5,W32,LONG_SKIP_CRISIS,BTC,350.5094,8.7644,21.2795,21,0.7143,PASS
Base5,W33,SHORT,BTC,54.1351,2.5613,10.7882,5,0.6000,PASS
Base5,W33,LONG_SKIP_CRISIS,BTC,319.2739,8.3729,21.2795,20,0.7000,PASS
Base5,W34,SHORT,BTC,33.3348,1.7622,13.0744,5,0.4000,PASS
Base5,W34,LONG_SKIP_CRISIS,BTC,334.6415,8.4785,21.2795,21,0.7143,PASS
Base5,W35,SHORT,BTC,41.2212,2.1137,7.1469,5,0.6000,PASS
Base5,W35,LONG_SKIP_CRISIS,BTC,218.0538,6.4680,29.4658,21,0.6190,PASS
Base5,W36,SHORT,BTC,40.8413,2.0981,7.1469,5,0.6000,PASS
Base5,W36,LONG_SKIP_CRISIS,BTC,137.2893,5.0540,29.4658,18,0.6111,PASS
Base5,W37,SHORT,BTC,33.9462,1.8126,11.3216,5,0.4000,PASS
Base5,W37,LONG_SKIP_CRISIS,BTC,231.4382,7.1737,29.4658,16,0.6250,PASS
Base5,W38,SHORT,BTC,33.9462,1.8126,11.3216,5,0.4000,PASS
Base5,W38,LONG_SKIP_CRISIS,BTC,174.4672,6.3117,29.4658,14,0.5714,PASS
Base5,W39,SHORT,BTC,26.3273,1.4633,16.3656,6,0.3333,PASS
Base5,W39,LONG_SKIP_CRISIS,BTC,86.7707,4.4848,29.4658,11,0.5455,PASS
Base5,W40,SHORT,BTC,14.4740,0.8900,24.2131,6,0.3333,PASS
