asset,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
SPY,0,0.69,1.0343,6.93,5,40.00,true
SPY,1,2.76,16.5810,0.48,3,66.67,true
SPY,2,9.09,5.4771,5.97,7,42.86,true
SPY,3,-0.95,-1.0432,4.89,7,28.57,false
SPY,4,0.37,0.7845,2.01,7,42.86,true
SPY,5,-4.34,-3.5293,8.47,10,30.00,false
SPY,6,-1.67,-1.7394,3.16,6,50.00,false
SPY,7,-6.65,-12.5947,6.65,4,25.00,false
SPY,8,16.19,10.4954,3.30,7,57.14,true
SPY,9,13.00,7.7118,4.72,6,50.00,true
SPY,10,6.07,8.9066,2.53,7,28.57,true
SPY,11,3.37,2.2332,4.81,9,55.56,true
SPY,12,9.89,9.4076,1.80,8,87.50,true
SPY,13,-3.14,-2.3178,4.03,9,55.56,false
SPY,14,-2.36,-2.2208,6.89,6,33.33,false
SPY,15,17.27,25.6729,0.43,5,80.00,true
SPY,16,14.58,17.6386,0.73,8,62.50,true
SPY,17,-4.39,-3.6527,5.69,7,57.14,false
SPY,18,17.92,35.7606,0.31,7,85.71,true
SPY,19,14.39,12.4037,4.52,8,75.00,true
SPY,20,-0.90,-0.4329,3.56,10,20.00,false
SPY,21,3.43,6.8442,2.29,4,50.00,true
SPY,22,5.85,4.1739,3.81,9,44.44,true
SPY,23,-0.30,-0.1108,6.69,9,44.44,false
QQQ,0,-14.05,-7.1462,17.45,5,40.00,false
QQQ,1,-6.08,-8.2082,8.39,4,25.00,false
QQQ,2,-7.09,-2.8397,11.62,11,45.45,false
QQQ,3,2.56,3.1020,5.54,6,33.33,true
QQQ,4,9.57,18.4089,1.74,4,75.00,true
QQQ,5,5.72,4.5253,6.72,5,40.00,true
QQQ,6,-6.53,-2.4315,12.88,9,33.33,false
QQQ,7,-7.82,-4.9749,9.62,5,20.00,false
QQQ,8,13.78,5.6320,6.85,8,62.50,true
QQQ,9,16.47,6.1434,5.22,6,50.00,true
QQQ,10,-2.04,-0.6482,11.99,9,22.22,false
QQQ,11,6.66,3.4920,6.58,8,37.50,true
QQQ,12,6.16,4.7486,4.17,9,44.44,true
QQQ,13,7.50,6.5154,2.53,8,50.00,true
QQQ,14,-4.63,-3.3053,7.37,7,28.57,false
QQQ,15,8.03,3.5128,6.26,8,37.50,true
QQQ,16,9.37,10.9687,2.15,10,50.00,true
QQQ,17,-0.36,-0.4052,3.34,5,80.00,false
QQQ,18,24.23,27.4626,1.79,7,85.71,true
QQQ,19,27.98,8.7402,4.44,9,55.56,true
QQQ,20,5.43,3.5662,5.34,8,50.00,true
QQQ,21,-3.03,-2.1928,8.56,4,50.00,false
QQQ,22,26.02,19.0014,3.13,6,66.67,true
QQQ,23,-0.35,0.0440,5.77,10,50.00,false
GLD,0,26.54,31.1011,0.19,6,83.33,true
GLD,1,22.79,17.7482,1.28,5,80.00,true
GLD,2,-5.80,-1.2363,13.48,8,37.50,false
GLD,3,9.23,5.5244,4.06,9,55.56,true
GLD,4,5.37,3.9170,6.38,8,50.00,true
GLD,5,17.49,9.6823,3.01,8,62.50,true
GLD,6,6.37,6.0518,3.63,4,50.00,true
GLD,7,-7.01,-14.1851,7.01,6,33.33,false
GLD,8,6.32,15.9626,1.49,3,33.33,true
GLD,9,-5.23,-6.7895,5.76,7,42.86,false
GLD,10,-0.70,-0.3491,6.09,8,25.00,false
GLD,11,2.62,7.8793,1.43,7,71.43,true
GLD,12,1.58,4.0940,2.01,3,33.33,true
GLD,13,10.87,8.7760,1.81,8,62.50,true
GLD,14,5.67,2.5573,4.44,8,50.00,true
GLD,15,-2.91,-2.4919,7.08,6,16.67,false
GLD,16,-4.32,-3.3683,9.17,9,33.33,false
GLD,17,-0.91,-0.6802,5.49,8,25.00,false
GLD,18,8.32,4.7884,6.16,10,50.00,true
