universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
Base5,0,341.84,6.6398,34.36,16,50.00,true
Base5,1,607.67,3.7038,60.46,22,50.00,true
Base5,2,14.07,2.3195,30.68,15,46.67,true
Base5,3,75.93,3.9679,67.78,15,40.00,true
Base5,4,3.76,1.4759,38.93,13,23.08,true
Base5,5,-38.86,-1.4363,53.79,20,30.00,false
NoDOGE,0,341.84,6.6398,34.36,16,50.00,true
NoDOGE,1,-19.76,-1.2965,37.46,15,40.00,false
NoDOGE,2,44.31,5.1003,12.65,13,53.85,true
NoDOGE,3,75.93,3.9679,67.78,15,40.00,true
NoDOGE,4,3.76,1.4759,38.93,13,23.08,true
NoDOGE,5,-38.55,-1.5489,53.55,17,23.53,false
Legacy4,0,196.98,8.5135,26.26,19,52.63,true
Legacy4,1,-46.24,-2.8687,58.35,18,22.22,false
Legacy4,2,42.77,3.0017,26.23,14,50.00,true
Legacy4,3,166.27,5.4583,54.81,13,53.85,true
Legacy4,4,-30.10,-1.6110,52.80,13,15.38,false
Legacy4,5,-76.80,-6.9702,76.80,18,11.11,false
Legacy5BNB,0,196.98,8.5135,26.26,19,52.63,true
Legacy5BNB,1,-46.24,-2.8687,58.35,18,22.22,false
Legacy5BNB,2,40.98,2.7762,27.61,14,50.00,true
Legacy5BNB,3,261.42,13.1026,11.87,11,63.64,true
Legacy5BNB,4,-22.06,-0.7804,47.37,12,16.67,false
Legacy5BNB,5,-60.84,-5.9500,62.50,16,12.50,false
OldGuardNoBNB,0,174.98,9.4838,14.91,14,50.00,true
OldGuardNoBNB,1,-61.52,-4.4890,68.95,19,31.58,false
OldGuardNoBNB,2,43.65,3.0398,26.23,14,50.00,true
OldGuardNoBNB,3,166.27,5.4583,54.81,13,53.85,true
OldGuardNoBNB,4,-39.54,-2.5275,59.17,14,14.29,false
OldGuardNoBNB,5,-61.06,-1.5353,66.92,21,19.05,false
LargeCaps5,0,341.84,6.6398,34.36,16,50.00,true
LargeCaps5,1,-19.76,-1.2965,37.46,15,40.00,false
LargeCaps5,2,4.33,1.0262,34.38,14,42.86,true
LargeCaps5,3,138.79,8.4593,37.16,13,46.15,true
LargeCaps5,4,3.76,1.4759,38.93,13,23.08,true
LargeCaps5,5,-38.55,-1.5489,53.55,17,23.53,false
Legacy3,0,328.56,11.1862,26.26,18,61.11,true
Legacy3,1,-46.24,-2.8687,58.35,18,22.22,false
Legacy3,2,46.61,3.1497,26.23,14,50.00,true
Legacy3,3,298.39,14.1617,11.88,12,58.33,true
Legacy3,4,-41.06,-2.7556,52.51,13,23.08,false
Legacy3,5,-50.74,-2.5631,61.01,18,27.78,false
LowVolume5,0,262.44,9.9534,17.98,13,53.85,true
LowVolume5,1,-76.29,-3.3049,83.98,20,35.00,false
LowVolume5,2,148.42,4.7791,66.50,22,40.91,true
LowVolume5,3,-23.76,1.1099,67.97,19,36.84,false
LowVolume5,4,-68.75,-6.7110,70.55,18,22.22,false
LowVolume5,5,-9.10,1.1670,47.77,19,26.32,false
OldGuard4,0,144.34,8.4511,17.98,14,50.00,true
OldGuard4,1,-56.10,-3.4215,64.57,19,31.58,false
OldGuard4,2,42.77,3.0017,26.23,14,50.00,true
OldGuard4,3,298.39,14.1617,11.88,12,58.33,true
OldGuard4,4,-44.38,-2.8997,57.77,16,25.00,false
OldGuard4,5,-7.49,1.1908,57.20,21,28.57,false
