universe,window,turtle_pass,turtle_sharpe,turtle_return,turtle_dd,turtle_trades,don_pass,don_sharpe,don_return,don_dd,don_trades,sleeve_pass,sleeve_sharpe,sleeve_return,sleeve_dd,sleeve_trades,delta_sharpe
Base5,0,true,5.914,721.1,58.8,14,true,4.579,371.6,51.0,11,true,5.667,616.8,57.0,25,-0.246
Base5,1,true,4.689,16913.2,20.5,11,true,4.313,1281.9,20.5,10,true,4.881,9944.3,20.5,21,0.192
Base5,2,true,0.350,2.8,46.2,15,true,0.953,26.6,57.9,14,true,0.520,8.6,48.6,29,0.170
Base5,3,true,6.900,236.7,30.3,14,true,7.199,258.9,35.4,13,true,7.143,242.5,31.1,27,0.243
Base5,4,true,5.829,119.0,18.4,12,true,8.229,116.4,10.0,11,true,6.955,118.9,14.8,23,1.126
Base5,5,false,-3.709,-33.0,52.1,13,true,1.135,15.3,37.0,10,false,-2.452,-23.1,44.3,23,1.258
NoDOGE,0,true,5.914,721.1,58.8,14,true,4.579,371.6,51.0,11,true,5.667,616.8,57.0,25,-0.246
NoDOGE,1,false,-2.258,-21.4,25.4,10,false,-1.638,-16.7,24.0,9,false,-2.176,-20.2,20.5,19,0.082
NoDOGE,2,true,3.453,179.5,33.2,14,true,4.003,293.1,38.1,14,true,3.719,205.9,34.4,28,0.266
NoDOGE,3,true,7.613,284.4,30.3,14,true,5.476,182.3,35.4,14,true,7.151,256.1,31.1,28,-0.462
NoDOGE,4,true,5.829,119.0,18.4,12,true,8.229,116.4,10.0,11,true,6.955,118.9,14.8,23,1.126
NoDOGE,5,false,-1.184,-14.8,41.0,13,false,-1.508,-19.8,43.2,10,false,-1.300,-16.0,41.5,23,-0.116
Legacy4,0,true,6.311,163.2,21.3,16,true,3.450,72.7,33.1,11,true,6.370,137.9,16.4,27,0.059
Legacy4,1,false,-1.613,-31.8,45.4,14,true,4.895,95.2,16.8,9,false,-0.503,-10.7,39.0,23,1.110
Legacy4,2,true,3.458,183.9,33.2,13,false,0.061,-2.8,38.1,12,true,3.088,119.9,34.4,25,-0.369
Legacy4,3,true,6.769,1015.8,33.4,14,true,5.370,228.8,44.7,14,true,6.775,728.7,36.4,28,0.006
Legacy4,4,true,0.591,6.8,33.0,12,true,1.403,12.9,22.5,9,true,0.775,8.4,29.0,21,0.184
Legacy4,5,false,-1.609,-23.0,36.6,13,true,1.057,13.9,30.7,7,false,-1.141,-14.8,31.8,20,0.469
Legacy5BNB,0,true,9.462,389.7,21.3,15,true,5.876,167.4,33.1,12,true,9.541,322.8,16.4,27,0.079
Legacy5BNB,1,false,-2.420,-31.8,40.3,12,true,2.048,31.2,30.6,9,false,-1.522,-19.4,32.5,21,0.898
Legacy5BNB,2,true,0.315,3.1,33.2,13,false,-0.146,-7.4,38.1,12,true,0.195,0.6,34.4,25,-0.119
Legacy5BNB,3,true,8.001,1560.5,16.2,13,true,10.290,583.1,21.1,12,true,8.573,1239.7,13.0,25,0.572
Legacy5BNB,4,true,2.581,48.5,37.2,11,true,8.220,103.9,10.0,9,true,3.698,61.2,28.8,20,1.117
Legacy5BNB,5,false,-3.574,-42.6,52.7,13,false,-0.334,-5.1,29.9,7,false,-3.048,-34.8,47.6,20,0.525
OldGuardNoBNB,0,true,5.657,299.6,39.2,15,false,-0.142,-6.6,52.1,13,true,4.706,179.9,42.6,28,-0.951
OldGuardNoBNB,1,false,-7.503,-52.6,52.6,12,false,-2.128,-30.6,55.0,11,false,-6.301,-47.8,52.4,23,1.202
OldGuardNoBNB,2,true,3.458,183.9,33.2,13,false,0.061,-2.8,38.1,12,true,3.088,119.9,34.4,25,-0.369
OldGuardNoBNB,3,true,6.769,1015.8,33.4,14,true,5.370,228.8,44.7,14,true,6.775,728.7,36.4,28,0.006
OldGuardNoBNB,4,true,0.591,6.8,33.0,12,true,1.403,12.9,22.5,9,true,0.775,8.4,29.0,21,0.184
OldGuardNoBNB,5,true,1.959,39.6,31.3,12,true,2.526,46.8,30.7,8,true,2.192,41.7,27.6,20,0.232
LargeCaps5,0,true,5.914,721.1,58.8,14,true,3.843,261.6,51.0,12,true,5.495,571.0,57.0,26,-0.419
LargeCaps5,1,false,-3.395,-33.0,33.0,11,false,-1.638,-16.7,24.0,9,false,-3.138,-29.2,29.2,20,0.257
LargeCaps5,2,true,3.453,179.5,33.2,14,true,4.003,293.1,38.1,14,true,3.719,205.9,34.4,28,0.266
LargeCaps5,3,true,8.772,318.5,26.3,13,true,6.421,260.7,41.9,12,true,8.587,304.4,20.5,25,-0.185
LargeCaps5,4,true,6.349,138.4,18.4,12,true,9.900,143.5,10.0,11,true,7.898,140.4,13.6,23,1.549
LargeCaps5,5,false,-1.184,-14.8,41.0,13,false,-1.508,-19.8,43.2,10,false,-1.300,-16.0,41.5,23,-0.116
Legacy3,0,true,9.183,478.8,13.0,15,true,5.524,214.1,32.9,13,true,8.911,399.0,12.1,28,-0.272
Legacy3,1,true,1.399,28.3,36.0,13,true,1.969,24.1,23.6,9,true,1.618,27.9,30.5,22,0.219
Legacy3,2,false,-3.253,-53.4,53.4,16,true,3.532,222.5,30.1,13,false,-1.004,-23.3,32.4,29,2.249
Legacy3,3,true,3.036,199.1,70.8,15,true,4.420,156.8,45.8,14,true,3.417,191.3,65.4,29,0.380
Legacy3,4,false,-2.744,-34.3,55.9,13,false,-2.297,-25.9,46.2,10,false,-2.703,-32.3,53.6,23,0.041
Legacy3,5,false,-3.919,-51.3,58.2,17,false,-4.524,-57.2,57.2,12,false,-4.654,-52.6,57.0,29,-0.735
LowVolume5,0,true,6.419,354.8,25.6,16,true,3.092,91.4,43.5,13,true,6.131,268.8,23.5,29,-0.288
LowVolume5,1,false,-0.564,-12.1,41.8,14,false,-4.280,-43.6,45.5,11,false,-1.415,-21.0,42.0,25,-0.852
LowVolume5,2,true,8.343,1019.3,33.9,15,true,5.390,509.0,30.1,11,true,8.630,878.6,26.8,26,0.287
LowVolume5,3,true,7.926,1276.2,45.8,14,true,4.532,875.1,66.8,13,true,8.114,1210.9,46.3,27,0.188
LowVolume5,4,false,-3.684,-53.5,55.0,13,false,-3.910,-54.8,60.5,9,false,-3.886,-53.7,56.4,22,-0.202
LowVolume5,5,false,-5.582,-74.3,82.7,18,true,0.722,11.7,40.5,12,false,-4.720,-62.6,73.3,30,0.862
OldGuard4,0,true,6.582,347.0,32.3,17,true,0.556,9.2,52.1,14,true,5.768,217.2,36.9,31,-0.813
OldGuard4,1,false,-2.310,-32.5,34.3,13,false,-3.152,-30.9,39.7,11,false,-2.776,-31.9,32.1,24,-0.466
OldGuard4,2,false,-3.072,-51.5,52.9,16,true,3.675,238.6,30.1,12,false,-0.819,-20.0,32.4,28,2.253
OldGuard4,3,true,3.036,199.1,70.8,15,true,4.420,156.8,45.8,14,true,3.417,191.3,65.4,29,0.380
OldGuard4,4,false,-1.039,-14.5,38.1,14,false,-0.203,-3.0,29.6,10,false,-0.892,-11.7,35.6,24,0.147
OldGuard4,5,false,-2.374,-43.0,66.2,19,false,-2.119,-39.1,61.0,14,false,-2.533,-41.7,63.8,33,-0.159
