ema_fast,pass_rate,passes,windows,avg_sharpe,worst_dd,avg_ret,trades,win_rate
1,0.5714,4,7,-2.6905,0.00,155.58,180,0.5444
2,0.5714,4,7,-2.6800,0.00,162.56,189,0.5503
3,0.5714,4,7,-3.5502,0.00,135.55,190,0.5526
4,0.5714,4,7,-7.4072,0.00,139.20,191,0.5602
5,0.5714,4,7,-7.4524,0.00,137.58,192,0.5469
6,0.5714,4,7,-7.5246,0.00,117.38,191,0.5340
7,0.5714,4,7,-7.4860,0.00,117.45,191,0.5340
8,0.5714,4,7,-7.4319,0.00,119.63,180,0.5500
9,0.5714,4,7,-7.4704,0.00,119.27,184,0.5380
10,0.5714,4,7,-505.0091,0.00,105.04,187,0.5294
11,0.5714,4,7,-505.0185,0.00,107.44,193,0.5285
12,0.5714,4,7,-504.9319,0.00,111.52,184,0.5326
13,0.5714,4,7,-504.9804,0.00,109.67,184,0.5272
14,0.5714,4,7,-504.9925,0.00,104.31,183,0.5355
15,0.5714,4,7,-505.0014,0.00,104.14,184,0.5326
16,0.5714,4,7,-505.0317,0.00,102.92,184,0.5326
17,0.5714,4,7,-512.5265,0.00,76.88,212,0.5189
18,0.5714,4,7,-512.4756,0.00,78.62,212,0.5236
19,0.5714,4,7,-14.5767,0.00,82.16,187,0.5241
20,0.5714,4,7,-14.4576,0.00,98.73,186,0.5323
21,0.5714,4,7,-14.2307,0.00,133.04,158,0.5253
22,0.5714,4,7,-14.2586,0.00,126.78,158,0.5190
23,0.5714,4,7,-515.1136,0.00,112.17,161,0.5093
24,0.5714,4,7,-14.3004,0.00,121.18,159,0.5157
25,0.5714,4,7,-14.3111,0.00,116.66,159,0.5157
26,0.5714,4,7,-14.2748,0.00,117.67,159,0.5157
27,0.5714,4,7,-14.2271,0.00,123.89,159,0.5283
28,0.5714,4,7,-14.2276,0.00,122.46,158,0.5253
29,0.5714,4,7,-14.3064,0.00,119.90,159,0.5157
30,0.5714,4,7,-12.1899,0.00,117.00,160,0.5188
31,0.5714,4,7,-12.1972,0.00,119.80,159,0.5094
32,0.5714,4,7,-12.1916,0.00,115.60,159,0.5094
33,0.7143,5,7,2.1856,0.00,103.07,207,0.5169
34,0.7143,5,7,2.1888,0.00,111.17,207,0.5217
35,0.7143,5,7,2.2428,0.00,125.37,207,0.5266
36,0.7143,5,7,-499.5427,0.00,103.83,211,0.5118
37,0.7143,5,7,-502.9445,0.00,110.29,210,0.5143
38,0.7143,5,7,-485.7901,0.00,123.60,211,0.5498
39,0.7143,5,7,2.2477,0.00,116.83,207,0.5314
40,0.7143,5,7,-145.2415,0.00,121.22,215,0.5442
41,0.7143,5,7,-140.8457,0.00,114.86,214,0.5421
42,0.7143,5,7,-0.2049,0.00,122.55,265,0.5321
43,0.7143,5,7,-5.8887,0.00,113.98,265,0.5283
44,0.7143,5,7,-7.2640,0.00,115.05,263,0.5285
45,0.7143,5,7,-2.2556,0.00,107.99,265,0.5094
46,0.7143,5,7,-1.8496,0.00,125.32,260,0.5231
47,0.7143,5,7,-450.5022,0.00,126.82,208,0.5673
48,0.7143,5,7,-5.1316,0.00,124.74,258,0.5233
49,0.8571,6,7,2.5216,0.00,146.13,259,0.5212
50,0.8571,6,7,2.6873,0.00,155.14,258,0.5349
51,0.7143,5,7,-6.3090,0.00,102.12,260,0.5269
