universe,window,dt_ret_pct,dt_sharpe,dt_max_dd,dt_trades,dt_win_rate,turtle_ret_pct,turtle_sharpe,turtle_max_dd,turtle_trades,turtle_win_rate,dt_pass,turtle_pass,dt_wins
Base5,0,51.592955725724735,2.898,70.5,16,50.0,148.9891422296295,6.411,28.1,15,46.7,1,1,0
Base5,1,362.82718086481293,3.547,78.2,18,61.1,217.49491645775257,1.928,22.4,15,66.7,1,1,1
Base5,2,-26.605401391547822,-0.809,46.7,11,45.5,65.11098033525158,4.136,41.5,14,35.7,0,1,0
Base5,3,79.6686746494625,4.077,56.0,14,42.9,188.09766023871987,11.574,28.3,14,64.3,1,1,0
Base5,4,-40.5049560129775,-2.302,58.3,15,26.7,34.4652581536629,6.339,14.8,9,55.6,0,1,0
Base5,5,28.47696400779711,2.207,29.5,14,50.0,70.46346311551746,4.197,16.1,14,57.1,1,1,0
NoDOGE,0,163.30436701343493,4.416,63.7,15,60.0,148.9891422296295,6.411,28.1,15,46.7,1,1,0
NoDOGE,1,-32.02263430661911,-3.124,44.1,9,33.3,-7.158782027179167,-0.396,26.3,11,45.5,0,0,0
NoDOGE,2,-16.14295932041764,-0.203,38.6,13,38.5,194.73706125495204,7.370,23.9,11,45.5,0,1,0
NoDOGE,3,201.52758887886182,6.123,41.8,14,50.0,255.31179420415992,15.170,20.4,13,76.9,1,1,0
NoDOGE,4,-40.5049560129775,-2.302,58.3,15,26.7,51.04108090450929,9.529,14.8,8,75.0,0,1,0
NoDOGE,5,30.630164899836387,3.031,29.5,10,50.0,36.46619922452192,4.254,15.9,11,54.5,1,1,0
LargeCaps5,0,86.36820534983876,3.707,63.7,14,57.1,136.40041569811555,5.466,28.1,16,43.8,1,1,0
LargeCaps5,1,-38.40719137218724,-3.873,49.4,10,30.0,11.492447074614853,2.467,24.6,10,50.0,0,1,0
LargeCaps5,2,-16.14295932041764,-0.203,38.6,13,38.5,194.73706125495204,7.370,23.9,11,45.5,0,1,0
LargeCaps5,3,303.39481197857594,8.034,40.5,11,54.5,313.1533768490744,11.305,31.0,11,54.5,1,1,0
LargeCaps5,4,-18.32677009865389,-0.293,48.5,13,30.8,51.04108090450929,9.529,14.8,8,75.0,0,1,0
LargeCaps5,5,6.650711905089413,1.226,35.8,11,45.5,30.262449068616238,3.749,15.9,11,45.5,1,1,0
Legacy4,0,385.44195496812597,17.254,5.6,12,83.3,243.56636213267385,8.831,15.6,16,50.0,1,1,1
Legacy4,1,-20.845110944130862,-0.770,37.1,12,41.7,21.271681392967157,3.251,23.2,14,50.0,0,1,0
Legacy4,2,-30.444010008766544,-1.193,49.5,13,30.8,90.55311905051788,5.045,32.4,13,46.2,0,1,0
Legacy4,3,155.23811478761593,5.550,52.9,13,53.8,106.38739688053423,5.087,28.7,10,50.0,1,1,1
Legacy4,4,-47.02644451753256,-7.482,47.0,11,18.2,38.04406506418447,7.262,14.3,7,57.1,0,1,0
Legacy4,5,-15.715890213241511,-0.940,33.5,8,25.0,-9.398480791573071,-0.246,22.3,12,33.3,0,0,0
