ema_fast,pass_rate,total_passes,total_windows,avg_sharpe,avg_dd_pct,avg_ret_pct,total_trades
60,0.8571,24,28,-25.1632,0.00,85.03,1107
63,0.8214,23,28,-22.3533,0.00,84.35,1065
59,0.8214,23,28,-25.2541,0.00,79.41,1079
65,0.8214,23,28,-27.5378,0.00,83.52,1029
81,0.8214,23,28,-29.6167,0.00,143.06,1075
79,0.7857,22,28,-1.4990,0.00,113.10,1069
61,0.7857,22,28,-29.6831,0.00,103.48,1082
62,0.7857,22,28,-38.8019,0.00,94.86,1084
85,0.7857,22,28,-39.6316,0.00,112.90,1055
83,0.7500,21,28,-8.2359,0.00,129.60,1011
67,0.7500,21,28,-18.1460,0.00,89.25,1011
66,0.7500,21,28,-23.1485,0.00,78.24,995
58,0.7500,21,28,-36.1748,0.00,86.71,1069
82,0.7500,21,28,-38.0289,0.00,113.46,1060
64,0.7500,21,28,-46.5498,0.00,84.34,1052
99,0.7143,20,28,-10.1964,0.00,61.19,276
91,0.7143,20,28,-10.7587,0.00,70.76,399
92,0.7143,20,28,-14.1615,0.00,72.21,470
57,0.7143,20,28,-21.7568,0.00,78.29,1046
93,0.7143,20,28,-124.1896,0.00,67.85,399
78,0.7143,20,28,-134.9555,0.00,87.30,908
80,0.7143,20,28,-155.6693,0.00,80.00,684
75,0.7143,20,28,-207.1681,0.00,79.34,834
76,0.7143,20,28,-227.0829,0.00,55.05,611
88,0.6786,19,28,2.1415,0.00,121.06,809
90,0.6786,19,28,-11.2838,0.00,51.41,452
49,0.6786,19,28,-11.6397,0.00,95.36,862
50,0.6786,19,28,-13.0167,0.00,101.89,863
87,0.6786,19,28,-31.5029,0.00,117.68,724
89,0.6786,19,28,-31.7864,0.00,68.29,541
86,0.6786,19,28,-32.0162,0.00,107.52,815
95,0.6786,19,28,-107.8038,0.00,39.54,312
84,0.6786,19,28,-134.9859,0.00,103.29,876
70,0.6786,19,28,-183.1565,0.00,66.72,676
69,0.6786,19,28,-184.9967,0.00,62.47,660
71,0.6786,19,28,-192.3744,0.00,64.67,661
74,0.6786,19,28,-198.5768,0.00,84.76,829
77,0.6786,19,28,-200.5565,0.00,54.26,604
72,0.6786,19,28,-212.5147,0.00,68.45,674
73,0.6786,19,28,-243.2423,0.00,56.52,582
56,0.6786,19,28,-296.6455,0.00,67.28,811
39,0.6429,18,28,-3.6944,0.00,114.08,746
42,0.6429,18,28,-12.4485,0.00,83.88,876
33,0.6429,18,28,-15.6908,0.00,87.93,749
45,0.6429,18,28,-16.5931,0.00,79.54,869
46,0.6429,18,28,-17.2769,0.00,80.06,864
43,0.6429,18,28,-17.7997,0.00,112.61,950
48,0.6429,18,28,-18.0897,0.00,83.02,857
40,0.6429,18,28,-114.4596,0.00,86.78,770
55,0.6429,18,28,-204.7630,0.00,63.37,778
68,0.6429,18,28,-214.7425,0.00,73.76,776
53,0.6429,18,28,-217.6024,0.00,66.02,764
54,0.6429,18,28,-222.3577,0.00,66.29,807
47,0.6429,18,28,-347.2603,0.00,81.86,723
34,0.6071,17,28,-3.8947,0.00,83.17,673
35,0.6071,17,28,-3.8968,0.00,82.73,674
44,0.6071,17,28,-18.3313,0.00,78.98,866
51,0.6071,17,28,-23.0849,0.00,67.26,890
52,0.6071,17,28,-24.1194,0.00,84.65,901
97,0.6071,17,28,-75.0526,0.00,45.48,255
41,0.6071,17,28,-125.4403,0.00,76.21,732
38,0.6071,17,28,-125.8654,0.00,87.26,679
37,0.6071,17,28,-130.1542,0.00,83.56,677
36,0.6071,17,28,-380.1834,0.00,73.55,683
98,0.5714,16,28,-5.0943,0.00,80.52,442
6,0.5714,16,28,-20.9366,0.00,103.87,748
22,0.5714,16,28,-40.3408,0.00,93.73,665
24,0.5714,16,28,-40.3470,0.00,92.06,665
26,0.5714,16,28,-40.4562,0.00,86.49,662
19,0.5714,16,28,-40.5390,0.00,77.05,698
20,0.5714,16,28,-40.5607,0.00,79.24,695
27,0.5714,16,28,-43.5667,0.00,86.85,664
28,0.5714,16,28,-43.5727,0.00,85.61,661
12,0.5714,16,28,-398.9316,0.00,93.45,745
11,0.5714,16,28,-398.9392,0.00,92.45,754
14,0.5714,16,28,-408.4523,0.00,88.94,741
15,0.5714,16,28,-408.4641,0.00,84.95,743
16,0.5714,16,28,-408.4932,0.00,83.96,743
23,0.5714,16,28,-415.9669,0.00,84.40,673
1,0.5357,15,28,-17.2548,0.00,103.36,643
2,0.5357,15,28,-17.2591,0.00,105.51,655
3,0.5357,15,28,-18.1218,0.00,102.02,668
5,0.5357,15,28,-20.9955,0.00,103.21,667
7,0.5357,15,28,-24.8544,0.00,98.43,740
8,0.5357,15,28,-27.1631,0.00,123.70,728
9,0.5357,15,28,-27.1714,0.00,125.50,739
21,0.5357,15,28,-41.7794,0.00,88.52,665
25,0.5357,15,28,-44.7341,0.00,85.59,668
30,0.5357,15,28,-45.5905,0.00,85.67,671
32,0.5357,15,28,-54.6768,0.00,81.97,667
31,0.5357,15,28,-61.7657,0.00,106.82,673
10,0.5357,15,28,-400.4500,0.00,89.52,747
13,0.5357,15,28,-408.5761,0.00,93.06,745
17,0.5357,15,28,-414.2580,0.00,74.42,771
18,0.5357,15,28,-414.2607,0.00,74.32,769
96,0.5357,15,28,-464.8833,0.00,27.33,196
4,0.5000,14,28,-21.1632,0.00,99.82,655
29,0.5000,14,28,-48.4410,0.00,78.45,666
94,0.5000,14,28,-106.6116,0.00,40.42,399
100,0.0000,0,28,0.0000,0.00,0.00,0
