ema_fast,pass_rate,passes,windows,avg_sharpe,worst_dd,avg_ret,trades,win_rate
1,0.5714,4,7,-3.1683,0.00,85.42,205,0.5366
2,0.5714,4,7,-3.1885,0.00,86.82,205,0.5366
3,0.5714,4,7,-3.9119,0.00,99.95,206,0.5340
4,0.5714,4,7,-7.7708,0.00,95.55,206,0.5485
5,0.5714,4,7,-7.8283,0.00,96.27,207,0.5362
6,0.5714,4,7,-7.7865,0.00,99.74,207,0.5266
7,0.5714,4,7,-7.7470,0.00,95.12,207,0.5217
8,0.5714,4,7,-7.7938,0.00,88.75,206,0.5291
9,0.5714,4,7,-7.7890,0.00,92.08,206,0.5194
10,0.5714,4,7,-505.2777,0.00,88.18,209,0.5215
11,0.7143,5,7,-504.8457,0.00,89.93,211,0.5308
12,0.7143,5,7,-504.8875,0.00,89.41,212,0.5283
13,0.5714,4,7,-505.7239,0.00,94.82,211,0.5118
14,0.7143,5,7,-505.1694,0.00,89.88,210,0.5286
15,0.7143,5,7,-505.1334,0.00,81.60,211,0.5261
16,0.7143,5,7,-505.1746,0.00,80.29,211,0.5261
17,0.5714,4,7,-513.4027,0.00,89.90,210,0.5190
18,0.5714,4,7,-513.3964,0.00,91.33,210,0.5238
19,0.7143,5,7,-14.4241,0.00,92.35,186,0.5269
20,0.7143,5,7,-14.5565,0.00,89.42,186,0.5161
21,0.5714,4,7,-19.8122,0.00,71.31,185,0.4865
22,0.7143,5,7,-14.2279,0.00,98.25,185,0.5568
23,0.7143,5,7,-515.0674,0.00,83.96,188,0.5532
24,0.7143,5,7,-14.2260,0.00,96.49,185,0.5622
25,0.5714,4,7,-31.6923,0.00,77.33,188,0.5372
26,0.7143,5,7,-14.4483,0.00,90.45,184,0.5272
27,0.7143,5,7,-14.4912,0.00,87.82,184,0.5272
28,0.7143,5,7,-14.5336,0.00,84.12,184,0.5217
29,0.4286,3,7,-33.8095,0.00,72.79,186,0.5108
30,0.5714,4,7,-29.4794,0.00,86.82,187,0.5615
31,0.5714,4,7,-94.5967,0.00,90.29,188,0.5532
32,0.5714,4,7,-103.4531,0.00,81.00,187,0.5508
33,0.7143,5,7,2.3614,0.00,101.13,201,0.5572
34,0.7143,5,7,2.2776,0.00,89.29,203,0.5517
35,0.7143,5,7,2.2366,0.00,80.99,203,0.5517
36,0.7143,5,7,-499.4457,0.00,74.36,205,0.5512
37,0.7143,5,7,2.3248,0.00,91.46,203,0.5665
38,0.7143,5,7,2.3263,0.00,92.62,203,0.5665
39,0.7143,5,7,2.1946,0.00,77.55,200,0.5450
40,0.7143,5,7,-145.2930,0.00,81.80,207,0.5556
41,0.7143,5,7,-158.8673,0.00,73.79,209,0.5598
42,0.7143,5,7,-14.0059,0.00,82.54,252,0.5437
43,0.7143,5,7,-13.9339,0.00,81.93,255,0.5294
44,0.7143,5,7,-13.8682,0.00,85.18,252,0.5437
45,0.8571,6,7,-13.4444,0.00,90.26,254,0.5315
46,0.8571,6,7,-11.4769,0.00,77.69,254,0.5472
47,0.8571,6,7,-450.3312,0.00,84.79,209,0.5694
48,0.8571,6,7,-11.4523,0.00,90.29,252,0.5159
49,0.8571,6,7,-2.7430,0.00,101.81,255,0.5608
50,0.8571,6,7,-1.1317,0.00,110.23,255,0.5647
51,0.7143,5,7,-29.6911,0.00,69.52,256,0.5312
52,0.7143,5,7,-32.9880,0.00,93.75,259,0.5444
53,0.7143,5,7,-291.9130,0.00,63.51,212,0.5519
54,0.7143,5,7,-341.6448,0.00,59.39,217,0.5484
55,0.7143,5,7,-290.2488,0.00,56.03,215,0.5488
56,0.7143,5,7,-432.5623,0.00,62.88,214,0.5701
57,0.7143,5,7,-22.8598,0.00,85.79,279,0.5448
58,0.8571,6,7,-80.4919,0.00,80.38,284,0.5317
59,0.8571,6,7,-80.5256,0.00,79.90,283,0.5336
60,0.8571,6,7,-80.4195,0.00,86.91,295,0.5288
61,0.8571,6,7,-80.2499,0.00,99.94,294,0.5578
62,0.8571,6,7,-80.2167,0.00,111.20,295,0.5559
63,0.8571,6,7,-15.2436,0.00,94.74,288,0.5347
