ema_fast,pass_rate,passes,windows,avg_sharpe,worst_dd,avg_ret,trades,win_rate
1,0.4286,3,7,-60.4537,0.00,33.27,83,0.5904
2,0.4286,3,7,-60.4219,0.00,36.05,86,0.6163
3,0.4286,3,7,-61.5120,0.00,32.51,96,0.6354
4,0.2857,2,7,-62.1278,0.00,18.49,82,0.5976
5,0.4286,3,7,-61.3071,0.00,34.20,91,0.6264
6,0.5714,4,7,-61.1128,0.00,43.33,173,0.5607
7,0.4286,3,7,-76.9069,0.00,24.78,165,0.5455
8,0.4286,3,7,-86.1096,0.00,134.82,166,0.5663
9,0.4286,3,7,-86.1059,0.00,140.99,173,0.5665
10,0.4286,3,7,-86.6778,0.00,24.64,172,0.5058
11,0.4286,3,7,-81.0912,0.00,31.28,172,0.5291
12,0.4286,3,7,-81.0716,0.00,32.62,170,0.5294
13,0.4286,3,7,-118.7498,0.00,32.37,172,0.5698
14,0.4286,3,7,-118.7538,0.00,31.82,171,0.5673
15,0.4286,3,7,-118.8195,0.00,24.46,170,0.5588
16,0.4286,3,7,-118.8257,0.00,24.12,170,0.5588
17,0.4286,3,7,-118.8257,0.00,24.12,170,0.5588
18,0.4286,3,7,-118.8941,0.00,20.54,168,0.5179
19,0.4286,3,7,-118.8116,0.00,25.05,171,0.5673
20,0.4286,3,7,-118.8861,0.00,21.18,170,0.5294
21,0.4286,3,7,-118.8276,0.00,23.88,170,0.5647
22,0.4286,3,7,-118.8012,0.00,30.26,170,0.5412
23,0.4286,3,7,-118.7999,0.00,30.09,169,0.5385
24,0.4286,3,7,-118.7999,0.00,30.09,169,0.5385
25,0.4286,3,7,-118.8775,0.00,21.17,168,0.5298
26,0.4286,3,7,-118.8524,0.00,22.25,168,0.5536
27,0.4286,3,7,-131.2586,0.00,20.97,169,0.5503
28,0.4286,3,7,-131.2455,0.00,21.28,168,0.5536
29,0.4286,3,7,-131.2568,0.00,21.54,169,0.5503
30,0.4286,3,7,-128.7311,0.00,24.79,171,0.5556
31,0.4286,3,7,-128.2900,0.00,104.16,173,0.5838
32,0.4286,3,7,-91.0268,0.00,28.75,169,0.5266
33,0.4286,3,7,-69.9115,0.00,31.92,169,0.5680
34,0.2857,2,7,-22.6248,0.00,17.48,90,0.5889
35,0.2857,2,7,-22.5966,0.00,19.37,91,0.5934
