ema_fast,pass_rate,passes,windows,avg_sharpe,worst_dd,avg_ret,trades,win_rate
1,0.5714,4,7,-2.7066,0.00,139.18,175,0.5600
2,0.5714,4,7,-2.7460,0.00,136.61,175,0.5543
3,0.5714,4,7,-3.5129,0.00,140.07,176,0.5455
4,0.5714,4,7,-7.3471,0.00,146.03,176,0.5682
5,0.5714,4,7,-7.3941,0.00,144.78,177,0.5537
6,0.5714,4,7,-7.3225,0.00,155.03,177,0.5480
7,0.5714,4,7,-7.2777,0.00,156.37,177,0.5480
8,0.5714,4,7,-7.3169,0.00,151.60,176,0.5568
9,0.5714,4,7,-7.3202,0.00,149.64,176,0.5455
10,0.5714,4,7,-504.8353,0.00,140.24,179,0.5419
11,0.5714,4,7,-504.8014,0.00,141.15,178,0.5449
12,0.5714,4,7,-504.8353,0.00,140.24,179,0.5419
13,0.5714,4,7,-504.8502,0.00,135.40,178,0.5393
14,0.5714,4,7,-504.8933,0.00,129.74,177,0.5424
15,0.5714,4,7,-504.9022,0.00,129.59,178,0.5393
16,0.5714,4,7,-504.9406,0.00,128.54,178,0.5393
17,0.5714,4,7,-512.2770,0.00,106.79,179,0.5251
18,0.5714,4,7,-512.2770,0.00,106.79,179,0.5251
19,0.5714,4,7,-14.3437,0.00,108.61,154,0.5260
20,0.5714,4,7,-14.3427,0.00,107.62,153,0.5163
21,0.5714,4,7,-14.2471,0.00,125.85,152,0.5263
22,0.5714,4,7,-14.0755,0.00,119.63,152,0.5658
23,0.5714,4,7,-514.8868,0.00,111.39,155,0.5677
24,0.5714,4,7,-14.0617,0.00,120.46,152,0.5724
25,0.5714,4,7,-14.0555,0.00,127.21,153,0.5686
26,0.5714,4,7,-14.2494,0.00,115.60,151,0.5298
27,0.5714,4,7,-14.2900,0.00,114.72,152,0.5395
28,0.5714,4,7,-14.2841,0.00,114.59,151,0.5364
29,0.5714,4,7,-14.3915,0.00,99.55,152,0.5263
30,0.5714,4,7,-11.9616,0.00,114.07,153,0.5817
31,0.5714,4,7,-11.9787,0.00,113.03,153,0.5752
32,0.5714,4,7,-12.0357,0.00,102.52,152,0.5724
33,0.7143,5,7,2.6011,0.00,115.60,172,0.5756
34,0.7143,5,7,2.5796,0.00,114.73,173,0.5723
35,0.7143,5,7,2.5301,0.00,105.21,173,0.5723
36,0.7143,5,7,-499.1644,0.00,95.28,175,0.5657
37,0.7143,5,7,2.6107,0.00,113.93,173,0.5838
38,0.7143,5,7,2.6039,0.00,113.48,173,0.5838
39,0.7143,5,7,2.5240,0.00,105.47,171,0.5789
40,0.7143,5,7,-144.9792,0.00,108.57,179,0.5866
41,0.7143,5,7,-158.5448,0.00,101.12,180,0.5889
42,0.7143,5,7,-13.1421,0.00,107.81,222,0.5541
43,0.7143,5,7,-13.0418,0.00,105.62,225,0.5511
44,0.7143,5,7,-12.9922,0.00,99.85,222,0.5495
45,0.7143,5,7,-12.9426,0.00,103.97,222,0.5450
46,0.7143,5,7,-10.7812,0.00,103.99,221,0.5566
47,0.7143,5,7,-450.4857,0.00,98.46,178,0.5730
48,0.7143,5,7,-10.8322,0.00,101.11,220,0.5136
49,0.7143,5,7,-1.4462,0.00,114.08,221,0.5701
50,0.7143,5,7,0.2859,0.00,125.50,222,0.5766
51,0.7143,5,7,-11.6111,0.00,80.64,249,0.5542
52,0.7143,5,7,-15.1412,0.00,104.17,250,0.5640
53,0.7143,5,7,-274.4800,0.00,77.39,177,0.5650
54,0.7143,5,7,-259.2138,0.00,68.91,207,0.5652
55,0.7143,5,7,-272.8356,0.00,67.67,180,0.5611
56,0.7143,5,7,-415.2723,0.00,69.01,206,0.5874
57,0.7143,5,7,-7.5572,0.00,92.22,269,0.5539
58,0.7143,5,7,-7.2717,0.00,83.84,266,0.5489
59,0.8571,6,7,1.8519,0.00,87.33,267,0.5468
60,0.8571,6,7,1.9684,0.00,93.28,272,0.5441
61,0.8571,6,7,2.0909,0.00,98.87,268,0.5634
62,0.8571,6,7,2.1168,0.00,110.43,267,0.5581
63,0.8571,6,7,2.1283,0.00,104.77,241,0.5436
64,0.7143,5,7,-6.7608,0.00,99.99,239,0.5272
65,0.8571,6,7,2.0064,0.00,100.91,237,0.5527
66,0.7143,5,7,-3.2274,0.00,95.62,240,0.5583
67,0.7143,5,7,1.7579,0.00,100.43,242,0.5702
68,0.7143,5,7,-275.7091,0.00,78.13,199,0.5427
