ep,cp,window,ret_pct,sharpe,max_dd_pct,trades,win_rate,pass
15,5,0,-63.0501,-1.8437,63.84,97,0.0000,0
15,5,1,-76.5566,-2.2604,76.82,105,0.0000,0
15,5,2,-36.5697,-1.3449,40.01,90,0.0000,0
15,6,0,-64.5859,-2.0709,65.48,102,0.0000,0
15,6,1,-78.3567,-2.3583,78.51,110,0.0000,0
15,6,2,-39.3905,-1.4846,41.74,92,0.0000,0
15,7,0,-61.0076,-2.0075,61.89,103,0.0000,0
15,7,1,-76.5373,-2.3878,76.83,110,0.0000,0
15,7,2,-40.3889,-1.5495,41.23,90,0.0000,0
15,8,0,-59.8151,-2.0644,60.71,105,0.0000,0
15,8,1,-76.1928,-2.3898,76.41,111,0.0000,0
15,8,2,-41.8541,-1.5328,44.11,90,0.0000,0
15,9,0,-61.3827,-2.1738,62.12,106,0.0000,0
15,9,1,-76.7726,-2.4569,76.94,114,0.0000,0
15,9,2,-42.5307,-1.4938,45.07,92,0.0000,0
15,10,0,-61.5447,-2.2031,62.40,111,0.0000,0
15,10,1,-78.1979,-2.5589,78.39,121,0.0000,0
15,10,2,-43.7294,-1.5304,46.73,96,0.0000,0
15,11,0,-58.8350,-2.1822,59.80,109,0.0000,0
15,11,1,-77.3112,-2.5375,77.62,125,0.0000,0
15,11,2,-44.3077,-1.5987,45.47,97,0.0000,0
15,12,0,-57.1326,-2.1167,57.68,107,0.0000,0
15,12,1,-78.3082,-2.5780,78.59,126,0.0000,0
15,12,2,-44.4768,-1.6039,46.38,100,0.0000,0
15,13,0,-56.0977,-2.1426,56.76,108,0.0000,0
15,13,1,-77.5227,-2.5688,77.76,128,0.0000,0
15,13,2,-44.8803,-1.6294,46.97,100,0.0000,0
15,14,0,-58.6383,-2.1662,59.33,111,0.0000,0
15,14,1,-77.6010,-2.5689,77.77,129,0.0000,0
15,14,2,-47.5563,-1.7234,48.97,102,0.0000,0
15,15,0,-61.4781,-2.2138,62.70,115,0.0000,0
15,15,1,-75.7156,-2.4932,75.94,127,0.0000,0
15,15,2,-43.8904,-1.5584,47.00,104,0.0000,0
15,16,0,-62.7568,-2.3075,63.35,117,0.0000,0
15,16,1,-74.5829,-2.4290,74.85,127,0.0000,0
15,16,2,-46.6061,-1.6663,48.05,103,0.0000,0
15,17,0,-50.7261,-1.6746,57.73,112,0.0000,0
15,17,1,-70.6645,-2.3589,70.84,116,0.0000,0
15,17,2,-42.1225,-1.5035,43.78,102,0.0000,0
15,18,0,-38.5103,-1.4240,51.15,105,0.0000,0
15,18,1,-63.3194,-2.0604,63.94,111,0.0000,0
15,18,2,-33.1753,-1.1559,36.44,96,0.0000,0
15,19,0,-40.3701,-1.1641,47.93,103,0.0000,0
15,19,1,-60.0072,-1.8355,60.55,108,0.0000,0
15,19,2,-29.8075,-0.9806,34.66,94,0.0000,0
15,20,0,-39.3586,-1.2855,45.30,100,0.0000,0
15,20,1,-48.6415,-1.3800,55.09,106,0.0000,0
15,20,2,-23.2676,-0.7276,32.01,92,0.0000,0
16,5,0,-63.7707,-1.8900,64.55,91,0.0000,0
16,5,1,-74.1127,-2.2000,74.38,102,0.0000,0
16,5,2,-35.9298,-1.3787,38.87,89,0.0000,0
16,6,0,-65.1615,-2.0736,65.88,96,0.0000,0
16,6,1,-75.8469,-2.3041,76.04,107,0.0000,0
16,6,2,-38.9401,-1.4971,41.29,91,0.0000,0
16,7,0,-62.1486,-2.0525,62.87,97,0.0000,0
16,7,1,-74.3432,-2.3233,74.69,107,0.0000,0
