ep,cp,avg_sharpe,avg_ret_pct,avg_max_dd_pct,total_trades,pass_count,total_windows
15,5,-1.8163,-58.7255,60.22,292,0,3
15,6,-1.9712,-60.7777,61.91,304,0,3
15,7,-1.9816,-59.3113,59.98,303,0,3
15,8,-1.9957,-59.2874,60.41,306,0,3
15,9,-2.0415,-60.2287,61.38,312,0,3
15,10,-2.0975,-61.1573,62.51,328,0,3
15,11,-2.1061,-60.1513,60.96,331,0,3
15,12,-2.0995,-59.9725,60.88,333,0,3
15,13,-2.1136,-59.5003,60.50,336,0,3
15,14,-2.1528,-61.2652,62.02,342,0,3
15,15,-2.0884,-60.3614,61.88,346,0,3
15,16,-2.1343,-61.3152,62.08,347,0,3
15,17,-1.8456,-54.5043,57.45,330,0,3
15,18,-1.5467,-45.0017,50.51,312,0,3
15,19,-1.3268,-43.3949,47.71,305,0,3
15,20,-1.1310,-37.0892,44.13,298,0,3
16,5,-1.8229,-57.9377,59.27,282,0,3
16,6,-1.9582,-59.9829,61.07,294,0,3
16,7,-1.9769,-58.8723,59.47,293,0,3
16,8,-1.9804,-58.7597,59.70,297,0,3
16,9,-2.0275,-59.6169,60.72,303,0,3
16,10,-2.0660,-59.9618,61.62,314,0,3
16,11,-2.0891,-59.3180,60.15,317,0,3
16,12,-2.0798,-59.3136,60.31,320,0,3
16,13,-2.0902,-58.7057,59.71,323,0,3
16,14,-2.1273,-60.8115,61.56,331,0,3
16,15,-2.0538,-59.3369,60.90,335,0,3
16,16,-2.0932,-60.0746,60.87,335,0,3
16,17,-2.0583,-58.5363,59.30,337,0,3
16,18,-1.7324,-49.9668,53.95,318,0,3
16,19,-1.4768,-43.2361,49.39,303,0,3
16,20,-1.3503,-42.2322,47.14,294,0,3
17,5,-1.8070,-57.0286,58.56,276,0,3
17,6,-1.9553,-59.3701,60.52,288,0,3
17,7,-1.9796,-58.1948,58.85,288,0,3
17,8,-1.9853,-57.9960,59.01,292,0,3
17,9,-2.0116,-58.7436,59.91,297,0,3
17,10,-2.0331,-59.1160,60.85,308,0,3
17,11,-2.0901,-58.7331,59.61,312,0,3
17,12,-2.0822,-58.8257,59.88,315,0,3
17,13,-2.0988,-58.3678,59.41,317,0,3
17,14,-2.1380,-60.4381,61.22,324,0,3
17,15,-2.0707,-59.2060,60.79,329,0,3
17,16,-2.1102,-59.9418,60.76,329,0,3
17,17,-2.0686,-58.1841,58.97,331,0,3
17,18,-1.9778,-55.5228,56.47,328,0,3
17,19,-1.7031,-49.7510,53.92,317,0,3
17,20,-1.4729,-41.6280,48.87,297,0,3
18,5,-1.8138,-57.2142,58.60,272,0,3
18,6,-1.9890,-59.8870,60.77,282,0,3
18,7,-2.0038,-58.5116,59.05,281,0,3
18,8,-2.0197,-58.5930,59.32,286,0,3
18,9,-2.0230,-58.9010,60.00,291,0,3
18,10,-2.0404,-59.0791,60.49,301,0,3
