ep,cp,window,ret_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
15,5,0,103.2015,3.8436,63.44,30,50.00,1
15,5,1,1080.3078,7.8396,50.73,33,63.64,1
15,6,0,227.0654,5.0929,54.33,29,51.72,1
15,6,1,1393.2344,8.3744,51.19,34,61.76,1
15,7,0,130.3796,3.8579,54.33,31,48.39,1
15,7,1,943.8479,7.6122,49.45,34,58.82,1
15,8,0,130.8959,3.8296,53.30,31,48.39,1
15,8,1,791.3217,7.0842,55.12,34,58.82,1
15,9,0,99.6710,3.4359,55.80,31,45.16,1
15,9,1,895.2091,7.4855,49.62,34,58.82,1
15,10,0,113.8219,3.5850,57.00,31,45.16,1
15,10,1,839.4355,7.2324,55.12,34,58.82,1
15,11,0,116.6912,3.2651,47.89,31,48.39,1
15,11,1,962.9321,7.5167,50.08,35,54.29,1
15,12,0,56.2138,2.4830,47.89,31,45.16,1
15,12,1,1443.6508,8.0348,50.08,36,52.78,1
15,13,0,-12.5095,0.8433,52.69,32,40.62,0
15,13,1,1959.1443,8.7767,43.15,35,57.14,1
15,14,0,21.1046,1.6854,47.89,32,40.62,1
15,14,1,1362.2914,8.2908,43.15,36,58.33,1
15,15,0,42.2495,1.9212,47.89,32,40.62,1
15,15,1,1710.6985,9.7082,43.15,34,64.71,1
15,16,0,-6.0489,0.9978,51.10,33,36.36,0
15,16,1,2263.4947,8.5760,44.81,34,61.76,1
15,17,0,-6.0489,0.9978,51.10,33,36.36,0
15,17,1,1407.8483,7.4886,44.81,36,55.56,1
15,18,0,81.1263,2.4048,41.05,32,43.75,1
15,18,1,1448.3300,7.5548,47.29,36,55.56,1
15,19,0,62.0456,2.1732,41.05,32,40.62,1
15,19,1,1496.2384,7.7232,45.71,36,52.78,1
15,20,0,36.8596,1.8145,45.51,33,36.36,1
15,20,1,1454.8000,8.6654,45.71,36,55.56,1
16,5,0,114.3520,4.0360,63.44,29,51.72,1
16,5,1,719.3904,7.0929,50.73,32,59.38,1
16,6,0,252.3341,5.4364,54.33,28,53.57,1
16,6,1,936.6295,7.6342,51.19,33,57.58,1
16,7,0,143.2168,4.0455,54.33,30,50.00,1
16,7,1,1185.9045,7.8410,49.45,33,54.55,1
16,8,0,148.7347,4.1023,53.30,30,50.00,1
16,8,1,998.0091,7.3479,55.12,33,54.55,1
16,9,0,115.0973,3.7028,55.80,30,46.67,1
16,9,1,1125.9869,7.7378,49.62,33,54.55,1
16,10,0,130.3416,3.8490,57.00,30,46.67,1
16,10,1,1057.2800,7.4903,55.12,33,54.55,1
16,11,0,133.4325,3.5227,47.89,30,50.00,1
16,11,1,1209.4141,7.7372,50.08,34,50.00,1
16,12,0,68.2827,2.7250,47.89,30,46.67,1
16,12,1,971.6294,7.3473,50.08,35,48.57,1
16,13,0,-5.7501,1.0525,52.69,31,41.94,0
16,13,1,1329.4940,8.0768,43.15,34,52.94,1
16,14,0,30.4610,1.9170,47.89,31,41.94,1
16,14,1,915.1483,7.5300,43.15,35,54.29,1
16,15,0,53.2395,2.0966,47.89,31,41.94,1
16,15,1,1157.0186,8.8093,43.15,33,60.61,1
16,16,0,1.2096,1.1606,51.10,32,37.50,1
16,16,1,1540.7794,7.9201,44.81,33,57.58,1
16,17,0,1.2096,1.1606,51.10,32,37.50,1
16,17,1,946.7747,6.8495,44.81,35,51.43,1
16,18,0,95.1199,2.5911,38.98,31,45.16,1
16,18,1,974.8778,6.9148,47.29,35,51.43,1
16,19,0,74.5651,2.3554,38.98,31,41.94,1
16,19,1,1008.1367,7.0598,45.71,35,48.57,1
16,20,0,47.4332,1.9878,43.28,32,37.50,1
16,20,1,979.3694,7.8567,45.71,35,51.43,1
17,5,0,114.3520,4.0360,63.44,29,51.72,1
17,5,1,966.1333,8.3530,50.73,31,67.74,1
17,6,0,252.3341,5.4364,54.33,28,53.57,1
17,6,1,1248.7897,8.9867,51.19,32,65.62,1
17,7,0,143.2168,4.0455,54.33,30,50.00,1
17,7,1,1612.7245,9.0896,49.45,32,65.62,1
17,8,0,148.7347,4.1023,53.30,30,50.00,1
17,8,1,1328.6525,8.4140,55.12,32,62.50,1
17,9,0,115.0973,3.7028,55.80,30,46.67,1
17,9,1,1495.1682,8.9134,49.62,32,62.50,1
17,10,0,130.3416,3.8490,57.00,30,46.67,1
17,10,1,1405.7717,8.6042,55.12,32,62.50,1
17,11,0,133.4325,3.5227,47.89,30,50.00,1
17,11,1,1603.7179,8.9585,50.08,33,57.58,1
17,12,0,68.2827,2.7250,47.89,30,46.67,1
17,12,1,2002.4796,9.7979,39.99,33,60.61,1
17,13,0,-5.7501,1.0525,52.69,31,41.94,0
17,13,1,1759.9575,9.3760,43.15,33,60.61,1
17,14,0,30.4610,1.9170,47.89,31,41.94,1
17,14,1,1270.2276,9.0757,43.15,34,61.76,1
17,15,0,53.2395,2.0966,47.89,31,41.94,1
17,15,1,1474.5794,9.6029,43.15,33,63.64,1
17,16,0,1.2096,1.1606,51.10,32,37.50,1
17,16,1,1955.2898,8.4495,44.81,33,60.61,1
17,17,0,1.2096,1.1606,51.10,32,37.50,1
17,17,1,1295.0830,7.4983,44.81,35,54.29,1
17,18,0,95.1199,2.5911,38.98,31,45.16,1
17,18,1,1332.5372,7.5668,47.29,35,54.29,1
17,19,0,74.5651,2.3554,38.98,31,41.94,1
17,19,1,1376.8628,7.7406,45.71,35,51.43,1
17,20,0,47.4332,1.9878,43.28,32,37.50,1
17,20,1,1338.5234,8.7253,45.71,35,54.29,1
18,5,0,114.3520,4.0360,63.44,29,51.72,1
18,5,1,587.0822,6.6567,53.24,31,64.52,1
18,6,0,252.3341,5.4364,54.33,28,53.57,1
18,6,1,793.0343,7.1153,53.68,31,67.74,1
18,7,0,143.2168,4.0455,54.33,30,50.00,1
18,7,1,1504.7151,8.0222,52.03,31,67.74,1
18,8,0,148.7347,4.1023,53.30,30,50.00,1
18,8,1,1196.9030,7.4744,57.41,31,64.52,1
18,9,0,115.0973,3.7028,55.80,30,46.67,1
18,9,1,1394.5723,7.8762,52.19,31,64.52,1
18,10,0,130.3416,3.8490,57.00,30,46.67,1
18,10,1,1266.9103,7.6398,57.41,31,64.52,1
18,11,0,133.4325,3.5227,47.89,30,50.00,1
18,11,1,1446.6020,7.9048,52.62,32,59.38,1
18,12,0,68.2827,2.7250,47.89,30,46.67,1
18,12,1,1869.8911,8.5770,43.05,32,62.50,1
18,13,0,-5.7501,1.0525,52.69,31,41.94,0
18,13,1,1642.6631,8.2365,46.05,32,62.50,1
18,14,0,30.4610,1.9170,47.89,31,41.94,1
18,14,1,1183.8170,7.7720,46.05,33,63.64,1
18,15,0,53.2395,2.0966,47.89,31,41.94,1
18,15,1,1375.2818,8.1773,46.05,32,65.62,1
18,16,0,1.2096,1.1606,51.10,32,37.50,1
18,16,1,1765.7521,7.7613,47.62,32,62.50,1
18,17,0,1.2096,1.1606,51.10,32,37.50,1
18,17,1,1166.4293,6.9222,47.62,34,55.88,1
18,18,0,95.1199,2.5911,38.98,31,45.16,1
18,18,1,1261.7125,7.0914,47.62,34,55.88,1
18,19,0,74.5651,2.3554,38.98,31,41.94,1
18,19,1,1303.8466,7.2156,46.05,34,52.94,1
18,20,0,47.4332,1.9878,43.28,32,37.50,1
18,20,1,1267.4027,7.8108,46.05,34,55.88,1
19,5,0,82.1843,3.5232,63.71,29,51.72,1
19,5,1,587.0822,6.6567,53.24,31,64.52,1
19,6,0,179.7068,4.9232,54.67,28,53.57,1
19,6,1,793.0343,7.1153,53.68,31,67.74,1
19,7,0,93.0820,3.4359,54.67,30,50.00,1
19,7,1,1547.3423,8.0876,52.03,31,67.74,1
19,8,0,16.0528,1.7288,54.90,30,50.00,1
19,8,1,1218.0047,7.5394,57.41,31,64.52,1
19,9,0,3.1700,1.2333,56.12,30,46.67,1
19,9,1,1418.8902,7.9446,52.19,31,64.52,1
19,10,0,10.4818,1.4889,57.32,30,46.67,1
19,10,1,1303.2204,7.7034,57.41,31,64.52,1
19,11,0,27.3433,1.9600,48.28,30,50.00,1
19,11,1,1487.6855,7.9706,52.62,32,59.38,1
19,12,0,-8.1975,0.8364,48.28,30,46.67,0
19,12,1,1800.4782,8.5506,43.05,32,62.50,1
19,13,0,-43.1973,-1.0229,53.03,31,41.94,0
19,13,1,1688.9547,8.3039,46.05,32,62.50,1
19,14,0,-20.0568,0.1928,47.41,31,41.94,0
19,14,1,1181.7994,7.7231,46.05,33,63.64,1
19,15,0,-7.6454,0.7525,48.28,31,41.94,0
19,15,1,1375.2818,8.1773,46.05,32,65.62,1
19,16,0,-4.9662,1.0439,54.08,32,37.50,0
19,16,1,1765.7521,7.7613,47.62,32,62.50,1
19,17,0,-39.0028,-0.7282,55.07,32,37.50,0
19,17,1,1164.4390,6.9066,47.62,34,55.88,1
19,18,0,16.5556,1.4695,39.96,31,45.16,1
19,18,1,1259.5724,7.0748,47.62,34,55.88,1
19,19,0,4.2770,1.1098,39.96,31,41.94,1
19,19,1,1301.6403,7.1964,46.05,34,52.94,1
19,20,0,37.2130,1.8499,44.20,32,37.50,1
19,20,1,1265.2537,7.7718,46.05,34,55.88,1
20,5,0,122.5108,4.2211,55.68,28,50.00,1
20,5,1,815.6123,7.3585,53.24,31,61.29,1
20,6,0,244.5544,5.8148,44.16,27,51.85,1
20,6,1,1090.0660,7.8084,53.68,31,64.52,1
20,7,0,137.8464,4.1355,44.16,29,48.28,1
20,7,1,2095.2639,8.7433,52.03,31,64.52,1
20,8,0,46.9635,2.6040,42.89,29,48.28,1
20,8,1,1656.3855,8.1865,57.41,31,61.29,1
20,9,0,27.0891,2.0193,45.95,29,48.28,1
20,9,1,1924.0874,8.6044,52.19,31,61.29,1
20,10,0,39.9087,2.3395,45.95,29,48.28,1
20,10,1,1769.9448,8.3544,57.41,31,61.29,1
20,11,0,61.2613,2.8565,34.50,29,48.28,1
20,11,1,2015.7646,8.6324,52.62,32,56.25,1
20,12,0,16.2542,1.6804,38.43,29,44.83,1
20,12,1,1597.4041,7.9578,43.05,33,51.52,1
20,13,0,-28.0679,-0.2875,40.52,30,40.00,0
20,13,1,1657.1322,7.9814,46.05,33,51.52,1
20,14,0,-0.4314,0.9606,34.50,30,40.00,0
20,14,1,1044.8337,7.1720,46.05,34,52.94,1
20,15,0,16.9533,1.4736,34.50,30,40.00,1
20,15,1,1349.0391,7.7744,46.05,33,54.55,1
20,16,0,18.3638,1.4831,42.81,31,35.48,1
20,16,1,1744.0487,7.6544,47.62,33,57.58,1
20,17,0,-24.0286,-0.0975,44.04,31,35.48,0
20,17,1,1374.6729,7.2629,47.62,34,55.88,1
20,18,0,27.1561,1.7873,34.50,30,43.33,1
20,18,1,1485.6239,7.4351,47.62,34,55.88,1
20,19,0,13.7609,1.4164,34.50,30,40.00,1
20,19,1,1547.0575,7.5831,46.05,34,55.88,1
20,20,0,49.6923,2.0753,39.12,31,35.48,1
20,20,1,1504.2999,8.2084,46.05,34,58.82,1
21,5,0,122.5108,4.2211,55.68,28,50.00,1
21,5,1,975.5414,8.3874,43.67,30,63.33,1
21,6,0,243.8221,5.8140,44.28,27,51.85,1
21,6,1,1297.9337,8.8512,44.20,30,66.67,1
21,7,0,137.3410,4.1344,44.28,29,48.28,1
21,7,1,2478.7086,9.7133,42.21,30,66.67,1
21,8,0,46.9635,2.6040,42.89,29,48.28,1
21,8,1,1963.1717,9.0794,48.69,30,63.33,1
21,9,0,27.0891,2.0193,45.95,29,48.28,1
21,9,1,2277.6329,9.5583,42.40,30,63.33,1
21,10,0,39.9087,2.3395,45.95,29,48.28,1
21,10,1,2096.5663,9.2682,48.69,30,63.33,1
21,11,0,61.2613,2.8565,34.50,29,48.28,1
21,11,1,2086.0922,8.9383,49.80,31,58.06,1
21,12,0,16.2542,1.6804,38.43,29,44.83,1
21,12,1,1653.8255,8.2211,39.65,32,53.12,1
